Publication Type,Authors,Title,Abstract,DOI
J,"Berg, AH; Combs, TP; Du, XL; Brownlee, M; Scherer, PE",The adipocyte-secreted protein Acrp30 enhances hepatic insulin action,"Acrp30 is a circulating protein synthesized in adipose tissue. A single injection in mice of purified recombinant Acrp30 leads to a 2-3-fold elevation in circulating Acrp30 levels, which triggers a transient decrease in basal glucose levels. Similar treatment in ob/ob, NOD (non-obese diabetic) or streptozotocin-treated mice transiently abolishes hyperglycemia. This effect on glucose is not associated with an increase in insulin levels. Moreover, in isolated hepatocytes, Acrp30 increases the ability of sub-physiological levels of insulin to suppress glucose production. We thus propose that Acrp30 is a potent insulin enhancer linking adipose tissue and whole-body glucose metabolism.",10.1038/90992
J,"Hucka, M; Finney, A; Sauro, HM; Bolouri, H; Doyle, JC; Kitano, H; Arkin, AP; Bornstein, BJ; Bray, D; Cornish-Bowden, A; Cuellar, AA; Dronov, S; Gilles, ED; Ginkel, M; Gor, V; Goryanin, II; Hedley, WJ; Hodgman, TC; Hofmeyr, JH; Hunter, PJ; Juty, NS; Kasberger, JL; Kremling, A; Kummer, U; Le Novère, N; Loew, LM; Lucio, D; Mendes, P; Minch, E; Mjolsness, ED; Nakayama, Y; Nelson, MR; Nielsen, PF; Sakurada, T; Schaff, JC; Shapiro, BE; Shimizu, TS; Spence, HD; Stelling, J; Takahashi, K; Tomita, M; Wagner, J; Wang, J",The systems biology markup language (SBML):: a medium for representation and exchange of biochemical network models,"Motivation: Molecular biotechnology now makes it possible to build elaborate systems models, but the systems biology community needs information standards if models are to be shared, evaluated and developed cooperatively. Results: We summarize the Systems Biology Markup Language (SBML) Level 1, a free, open, XML-based format for representing biochemical reaction networks. SBML is a software-independent language for describing models common to research in many areas of computational biology, including cell signaling pathways, metabolic pathways, gene regulation, and others.",10.1093/bioinformatics/btg015
J,"Untergasser, A; Nijveen, H; Rao, X; Bisseling, T; Geurts, R; Leunissen, JAM","Primer3Plus, an enhanced web interface to Primer3","Here we present Primer3Plus, a new web interface to the popular Primer3 primer design program as an enhanced alternative for the CGI-scripts that come with Primer3. Primer3 consists of a command line program and a web interface. The web interface is one large form showing all of the possible options. This makes the interface powerful, but at the same time confusing for occasional users. Primer3Plus provides an intuitive user interface using present-day web technologies and has been developed in close collaboration with molecular biologists and technicians regularly designing primers. It focuses on the task at hand, and hides detailed settings from the user until these are needed. We also added functionality to automate specific tasks like designing primers for cloning or step-wise sequencing. Settings and designed primer sequences can be stored locally for later use. Primer3Plus supports a range of common sequence formats, such as FASTA. Finally, primers selected by Primer3Plus can be sent to an order form, allowing tight integration into laboratory ordering systems. Moreover, the open architecture of Primer3Plus allows easy expansion or integration of external software packages. The Primer3Plus Perl source code is available under GPL license from SourceForge. Primer3Plus is available at http://www.bioinformatics.nl/primer3plus.",10.1093/nar/gkm306
J,"Jost, L",G<sub>ST</sub> and its relatives do not measure differentiation,"G(ST) and its relatives are often interpreted as measures of differentiation between subpopulations, with values near zero supposedly indicating low differentiation. However, G(ST) necessarily approaches zero when gene diversity is high, even if subpopulations are completely differentiated, and it is not monotonic with increasing differentiation. Likewise, when diversity is equated with heterozygosity, standard similarity measures formed by taking the ratio of mean within-subpopulation diversity to total diversity necessarily approach unity when diversity is high, even if the subpopulations are completely dissimilar (no shared alleles). None of these measures can be interpreted as measures of differentiation or similarity. The derivations of these measures contain two subtle misconceptions which cause their paradoxical behaviours. Conclusions about population differentiation, gene flow, relatedness, and conservation priority will often be wrong when based on these fixation indices or similarity measures. These are not statistical issues; the problems persist even when true population frequencies are used in the calculations. Recent advances in the mathematics of diversity identify the misconceptions, and yield mathematically consistent descriptive measures of population structure which eliminate the paradoxes produced by standard measures. These measures can be directly related to the migration and mutation rates of the finite-island model.",10.1111/j.1365-294X.2008.03887.x
J,"Rentzsch, P; Witten, D; Cooper, GM; Shendure, J; Kircher, M",CADD: predicting the deleteriousness of variants throughout the human genome,"Combined Annotation-Dependent Depletion (CADD) is a widely used measure of variant deleteriousness that can effectively prioritize causal variants in genetic analyses, particularly highly penetrant contributors to severe Mendelian disorders. CADD is an integrative annotation built from more than 60 genomic features, and can score human single nucleotide variants and short insertion and deletions anywhere in the reference assembly. CADD uses a machine learning model trained on a binary distinction between simulated de novo variants and variants that have arisen and become fixed in human populations since the split between humans and chimpanzees; the former are free of selective pressure and may thus include both neutral and deleterious alleles, while the latter are overwhelmingly neutral (or, at most, weakly deleterious) by virtue of having survived millions of years of purifying selection. Here we review the latest updates to CADD, including the most recent version, 1.4, which supports the human genome build GRCh38. We also present updates to our website that include simplified variant lookup, extended documentation, an Application Program Interface and improved mechanisms for integrating CADD scores into other tools or applications. CADD scores, software and documentation are available at https://cadd.gs.washington.edu.",10.1093/nar/gky1016
J,"Palmer, C; Bik, EM; DiGiulio, DB; Relman, DA; Brown, PO",Development of the human infant intestinal microbiota,"Almost immediately after a human being is born, so too is a new microbial ecosystem, one that resides in that person's gastrointestinal tract. Although it is a universal and integral part of human biology, the temporal progression of this process, the sources of the microbes that make up the ecosystem, how and why it varies from one infant to another, and how the composition of this ecosystem influences human physiology, development, and disease are still poorly understood. As a step toward systematically investigating these questions, we designed a microarray to detect and quantitate the small subunit ribosomal RNA (SSU rRNA) gene sequences of most currently recognized species and taxonomic groups of bacteria. We used this microarray, along with sequencing of cloned libraries of PCR-amplified SSU rDNA, to profile the microbial communities in an average of 26 stool samples each from 14 healthy, full-term human infants, including a pair of dizygotic twins, beginning with the first stool after birth and continuing at defined intervals throughout the first year of life. To investigate possible origins of the infant microbiota, we also profiled vaginal and milk samples from most of the mothers, and stool samples from all of the mothers, most of the fathers, and two siblings. The composition and temporal patterns of the microbial communities varied widely from baby to baby. Despite considerable temporal variation, the distinct features of each baby's microbial community were recognizable for intervals of weeks to months. The strikingly parallel temporal patterns of the twins suggested that incidental environmental exposures play a major role in determining the distinctive characteristics of the microbial community in each baby. By the end of the first year of life, the idiosyncratic microbial ecosystems in each baby, although still distinct, had converged toward a profile characteristic of the adult gastrointestinal tract.",10.1371/journal.pbio.0050177
J,"Agarwala, R; Barrett, T; Beck, J; Benson, DA; Bollin, C; Bolton, E; Bourexis, D; Brister, JR; Bryant, SH; Canese, K; Cavanaugh, M; Charowhas, C; Clark, K; Dondoshansky, I; Feolo, M; Fitzpatrick, L; Funk, K; Geer, LY; Gorelenkov, V; Graeff, A; Hlavina, W; Holmes, B; Johnson, M; Kattman, B; Khotomlianski, V; Kimchi, A; Kimelman, M; Kimura, M; Kitts, P; Klimke, W; Kotliarov, A; Krasnov, S; Kuznetsov, A; Landrum, MJ; Landsman, D; Lathrop, S; Lee, JM; Leubsdorf, C; Lu, ZY; Madden, TL; Marchler-Bauer, A; Malheiro, A; Meric, P; Karsch-Mizrachi, I; Mnev, A; Murphy, T; Orris, R; Ostell, J; O'Sullivan, C; Palanigobu, V; Panchenko, AR; Phan, L; Pierov, B; Pruitt, KD; Rodarmer, K; Sayers, EW; Schneider, V; Schoch, CL; Schuler, GD; Sherry, ST; Siyan, K; Soboleva, A; Soussov, V; Starchenko, G; Tatusova, TA; Thibaud-Nissen, F; Todorov, K; Trawick, BW; Vakatov, D; Ward, M; Yaschenko, E; Zasypkin, A; Zbicz, K",Database resources of the National Center for Biotechnology Information,"The National Center for Biotechnology Information (NCBI) provides a large suite of online resources for biological information and data, including the GenBank (R) nucleic acid sequence database and the PubMed database of citations and abstracts for published life science journals. The Entrez system provides search and retrieval operations for most of these data from 39 distinct databases. The E-utilities serve as the programming interface for the Entrez system. Augmenting many of the Web applications are custom implementations of the BLAST program optimized to search specialized data sets. New resources released in the past year include PubMed Data Management, RefSeq Functional Elements, genome data download, variation services API, Magic-BLAST, QuickBLASTp, and Identical Protein Groups. Resources that were updated in the past year include the genome data viewer, a human genome resources page, Gene, virus variation, OSIRIS, and PubChem. All of these resources can be accessed through the NCBI home page at www.ncbi.nlm.nih.gov.",10.1093/nar/gkx1095
J,"Acland, A; Agarwala, R; Barrett, T; Beck, J; Benson, DA; Bollin, C; Bolton, E; Bryant, SH; Canese, K; Church, DM; Clark, K; DiCuccio, M; Dondoshansky, I; Federhen, S; Feolo, M; Geer, LY; Gorelenkov, V; Hoeppner, M; Johnson, M; Kelly, C; Khotomlianski, V; Kimchi, A; Kimelman, M; Kitts, P; Krasnov, S; Kuznetsov, A; Landsman, D; Lipman, DJ; Lu, ZY; Madden, TL; Madej, T; Maglott, DR; Marchler-Bauer, A; Karsch-Mizrachi, I; Murphy, T; Ostell, J; O'Sullivan, C; Panchenko, A; Phan, L; Pruitt, DPKD; Rubinstein, W; Sayers, EW; Schneider, V; Schuler, GD; Sequeira, E; Sherry, ST; Shumway, M; Sirotkin, K; Siyan, K; Slotta, D; Soboleva, A; Starchenko, G; Tatusova, TA; Trawick, B; Vakatov, D; Wang, YL; Ward, M; Wilbur, WJ; Yaschenko, E; Zbicz, K",Database resources of the National Center for Biotechnology Information,"In addition to maintaining the GenBank (R) nucleic acid sequence database, the National Center for Biotechnology Information (NCBI, http://www.ncbi.nlm.nih.gov) provides analysis and retrieval resources for the data in GenBank and other biological data made available through the NCBI web site. NCBI resources include Entrez, the Entrez Programming Utilities, MyNCBI, PubMed, PubMed Central, Gene, the NCBI Taxonomy Browser, BLAST, BLAST Link (BLink), Primer-BLAST, COBALT, Splign, RefSeq, UniGene, HomoloGene, ProtEST, dbMHC, dbSNP, dbVar, Epigenomics, the Genetic Testing Registry, Genome and related tools, the Map Viewer, Model Maker, Evidence Viewer, Trace Archive, Sequence Read Archive, BioProject, BioSample, Retroviral Genotyping Tools, HIV-1/Human Protein Interaction Database, Gene Expression Omnibus, Probe, Online Mendelian Inheritance in Animals, the Molecular Modeling Database, the Conserved Domain Database, the Conserved Domain Architecture Retrieval Tool, Biosystems, Protein Clusters and the PubChem suite of small molecule databases. Augmenting many of the web applications are custom implementations of the BLAST program optimized to search specialized data sets. All of these resources can be accessed through the NCBI home page.",10.1093/nar/gks1189
J,"Schwarz, DS; Hutvágner, G; Du, T; Xu, ZS; Aronin, N; Zamore, PD",Asymmetry in the assembly of the RNAi enzyme complex,"A key step in RNA interference (RNAi) is assembly of the RISC, the protein-siRNA complex that mediates target RNA cleavage. Here, we show that the two strands of an siRNA duplex are not equally eligible for assembly into RISC. Rather, both the absolute and relative stabilities of the base pairs at the 5' ends of the two siRNA strands determine the degree to which each strand participates in the RNAi pathway. siRNA duplexes can be functionally asymmetric, with only one of the two strands able to trigger RNAi. Asymmetry is the hallmark of a related class of small, single-stranded, noncoding RNAs, microRNAs (miRNAs). We suggest that single-stranded miRNAs are initially generated as siRNA-like duplexes whose structures predestine one strand to enter the RISC and the other strand to be destroyed. Thus, the common step of RISC assembly is an unexpected source of asymmetry for both siRNA function and miRNA biogenesis.",10.1016/S0092-8674(03)00759-1
J,"Greten, FR; Eckmann, L; Greten, TF; Park, JM; Li, ZW; Egan, LJ; Kagnoff, MF; Karin, M",IKKβ links inflammation and tumorigenesis in a mouse model of colitis-associated cancer,"A link between inflammation and cancer has long been suspected, but its molecular nature remained ill defined. A key player in inflammation is transcription factor NF-kappaB whose activity is triggered in response to infectious agents and proinflammatory cytokines via the IkappaB kinase (IKK) complex. Using a colitis-associated cancer model, we show that although deletion of IKKbeta in intestinal epithelial cells does not decrease inflammation, it leads to a dramatic decrease in tumor incidence without affecting tumor size. This is linked to increased epithelial apoptosis during tumor promotion. Deleting IKKbeta in myeloid cells, however, results in a significant decrease in tumor size. This deletion diminishes expression of proinflammatory cytokines that may serve as tumor growth factors, without affecting apoptosis. Thus, specific inactivation of the IKK/NF-kappaB pathway in two different cell types can attenuate formation of inflammation-associated tumors. In addition to suppressing apoptosis in advanced tumors, IKKbeta may link inflammation to cancer.",10.1016/j.cell.2004.07.013
