Publication Type,Authors,Title,Abstract,DOI
J,"Masella, AP; Bartram, AK; Truszkowski, JM; Brown, DG; Neufeld, JD",PANDAseq: PAired-eND Assembler for Illumina sequences,"Background: Illumina paired-end reads are used to analyse microbial communities by targeting amplicons of the 16S rRNA gene. Publicly available tools are needed to assemble overlapping paired-end reads while correcting mismatches and uncalled bases; many errors could be corrected to obtain higher sequence yields using quality information. Results: PANDAseq assembles paired-end reads rapidly and with the correction of most errors. Uncertain error corrections come from reads with many low-quality bases identified by upstream processing. Benchmarks were done using real error masks on simulated data, a pure source template, and a pooled template of genomic DNA from known organisms. PANDAseq assembled reads more rapidly and with reduced error incorporation compared to alternative methods. Conclusions: PANDAseq rapidly assembles sequences and scales to billions of paired-end reads. Assembly of control libraries showed a 4-50% increase in the number of assembled sequences over naive assembly with negligible loss of ""good"" sequence.",10.1186/1471-2105-13-31
J,"Preibisch, S; Saalfeld, S; Tomancak, P",Globally optimal stitching of tiled 3D microscopic image acquisitions,"Motivation: Modern anatomical and developmental studies often require high-resolution imaging of large specimens in three dimensions (3D). Confocal microscopy produces high-resolution 3D images, but is limited by a relatively small field of view compared with the size of large biological specimens. Therefore, motorized stages that move the sample are used to create a tiled scan of the whole specimen. The physical coordinates provided by the microscope stage are not precise enough to allow direct reconstruction (Stitching) of the whole image from individual image stacks. Results: To optimally stitch a large collection of 3D confocal images, we developed a method that, based on the Fourier Shift Theorem, computes all possible translations between pairs of 3D images, yielding the best overlap in terms of the cross-correlation measure and subsequently finds the globally optimal configuration of the whole group of 3D images. This method avoids the propagation of errors by consecutive registration steps. Additionally, to compensate the brightness differences between tiles, we apply a smooth, nonlinear intensity transition between the overlapping images. Our stitching approach is fast, works on 2D and 3D images, and for small image sets does not require prior knowledge about the the configuration.",10.1093/bioinformatics/btp184
J,"McCoy, AJ; Grosse-Kunstleve, RW; Storoni, LC; Read, RJ",Likelihood-enhanced fast translation functions,"This paper is a companion to a recent paper on fast rotation functions [Storoni et al. (2004), Acta Cryst. D60, 432-438], which showed how a Taylor-series expansion of the maximum-likelihood rotation function leads to improved likelihood-enhanced fast rotation functions. In a similar manner, it is shown here how linear and quadratic Taylor-series expansions and least-squares approximations of the maximum-likelihood translation function lead to likelihood-enhanced translation functions, which can be calculated by FFT and which are more sensitive to the correct translation than the traditional correlation-coefficient fast translation function. These likelihood-enhanced translation targets for molecular-replacement searches have been implemented in the program Phaser using the Computational Crystallography Toolbox (cctbx).",10.1107/S0907444905001617
J,"Miranda, KC; Huynh, T; Tay, Y; Ang, YS; Tam, WL; Thomson, AM; Lim, B; Rigoutsos, I",A pattern-based method for the identification of microRNA binding sites and their corresponding heteroduplexes,"We present rna22, a method for identifying microRNA binding sites and their corresponding heteroduplexes. Rna22 does not rely upon cross-species conservation, is resilient to noise, and, unlike previous methods, it first finds putative microRNA binding sites in the sequence of interest, then identifies the targeting microRNA. Computationally, we show that rna22 identifies most of the currently known heteroduplexes. Experimentally, with luciferase assays, we demonstrate average repressions of 30% or more for 168 of 226 tested targets. The analysis suggests that some microRNAs may have as many as a few thousand targets, and that between 74% and 92% of the gene transcripts in four model genomes are likely under microRNA control through their untranslated and amino acid coding regions. We also extended the method's key idea to a low-error microRNA-precursor-discovery scheme; our studies suggest that the number of microRNA precursors in mammalian genomes likely ranges in the tens of thousands.",10.1016/j.cell.2006.07.031
J,"Piepenburg, O; Williams, CH; Stemple, DL; Armes, NA",DNA detection using recombination proteins,"DNA amplification is essential to most nucleic acid testing strategies, but established techniques require sophisticated equipment or complex experimental procedures, and their uptake outside specialised laboratories has been limited. Our novel approach, recombinase polymerase amplification (RPA), couples isothermal recombinase-driven primer targeting of template material with strand-displacement DNA synthesis. It achieves exponential amplification with no need for pretreatment of sample DNA. Reactions are sensitive, specific, and rapid and operate at constant low temperature. We have also developed a probe-based detection system. Key aspects of the combined RPA amplification/detection process are illustrated by a test for the pathogen methicillin-resistant Staphylococcus aureus. The technology proves to be sensitive to fewer than ten copies of genomic DNA. Furthermore, products can be detected in a simple sandwich assay, thereby establishing an instrument-free DNA testing system. This unique combination of properties is a significant advance in the development of portable and widely accessible nucleic acid based tests.",10.1371/journal.pbio.0040204
J,"Degterev, A; Hitomi, J; Germscheid, M; Ch'en, IL; Korkina, O; Teng, X; Abbott, D; Cuny, GD; Yuan, C; Wagner, G; Hedrick, SM; Gerber, SA; Lugovskoy, A; Yuan, J",Identification of RIP1 kinase as a specific cellular target of necrostatins,"Necroptosis is a cellular mechanism of necrotic cell death induced by apoptotic stimuli in the form of death domain receptor engagement by their respective ligands under conditions where apoptotic execution is prevented. Although it occurs under regulated conditions, necroptotic cell death is characterized by the same morphological features as unregulated necrotic death. Here we report that necrostatin-1, a previously identified small-molecule inhibitor of necroptosis, is a selective allosteric inhibitor of the death domain receptor-associated adaptor kinase RIP1 in vitro. We show that RIP1 is the primary cellular target responsible for the antinecroptosis activity of necrostatin-1. In addition, we show that two other necrostatins, necrostatin-3 and necrostatin-5, also target the RIP1 kinase step in the necroptosis pathway, but through mechanisms distinct from that of necrostatin-1. Overall, our data establish necrostatins as the first-in-class inhibitors of RIP1 kinase, the key upstream kinase involved in the activation of necroptosis.",10.1038/nchembio.83
J,"Sakaue-Sawano, A; Kurokawa, H; Morimura, T; Hanyu, A; Hama, H; Osawa, H; Kashiwagi, S; Fukami, K; Miyata, T; Miyoshi, H; Imamura, T; Ogawa, M; Masai, H; Miyawaki, A",Visualizing spatiotemporal dynamics of multicellular cell-cycle progression,"The cell-cycle transition from G(1) to S phase has been difficult to visualize. We have harnessed antiphase oscillating proteins that mark cell-cycle transitions in order to develop genetically encoded fluorescent probes for this purpose. These probes effectively label individual G, phase nuclei red and those in S/G(2)/M phases green. We were able to generate cultured cells and transgenic mice constitutively expressing the cell-cycle probes, in which every cell nucleus exhibits either red or green fluorescence. We performed time-lapse imaging to explore the spatiotemporal patterns of cell-cycle dynamics during the epithelial-mesenchymal transition of cultured cells, the migration and differentiation of neural progenitors in brain slices, and the development of tumors across blood vessels in live mice. These mice and cell lines will serve as model systems permitting unprecedented spatial and temporal resolution to help us better understand how the cell cycle is coordinated with various biological events.",10.1016/j.cell.2007.12.033
J,"Marx, SO; Reiken, S; Hisamatsu, Y; Jayaraman, T; Burkhoff, D; Rosemblit, N; Marks, AR",PKA phosphorylation dissociates FKBP12.6 from the calcium release channel (ryanodine receptor): Defective regulation in failing hearts,"The ryanodine receptor (RyR)/calcium release channel on the sarcoplasmic reticulum (SR) is the major source of calcium (Ca2+) required for cardiac muscle excitation-contraction (EC) coupling. The channel is a tetramer comprised of four type 2 RyR polypeptides (RyR2) and four FK506 binding proteins (FKBP12.6). We show that protein kinase A (PKA) phosphorylation of RyR2 dissociates FKBP12.6 and regulates the channel open probability (P-o). Using cosedimentation and coimmunoprecipitation we have defined a macromolecular complex comprised of RyR2, FKBP12.6, PKA, the protein phosphatases PP1 and PP2A, and an anchoring protein, mAKAP. In failing human hearts, RyR2 is PKA hyperphosphorylated, resulting in defective channel function due to increased sensitivity to Ca2+-induced activation.",10.1016/S0092-8674(00)80847-8
J,"Wirth, T; Falush, D; Lan, RT; Colles, F; Mensa, P; Wieler, LH; Karch, H; Reeves, PR; Maiden, MCJ; Ochman, H; Achtman, M",Sex and virulence in <i>Escherichia coli</i>:: an evolutionary perspective,"Pathogenic Escherichia coli cause over 160 million cases of dysentery and one million deaths per year, whereas non-pathogenic E. coli constitute part of the normal intestinal flora of healthy mammals and birds. The evolutionary pathways underlying this dichotomy in bacterial lifestyle were investigated by multilocus sequence typing of a global collection of isolates. Specific pathogen types [enterohaemorrhagic E. coli, enteropathogenic E. coli, enteroinvasive E. coli, K1 and Shigella] have arisen independently and repeatedly in several lineages, whereas other lineages contain only few pathogens. Rates of evolution have accelerated in pathogenic lineages, culminating in highly virulent organisms whose genomic contents are altered frequently by increased rates of homologous recombination; thus, the evolution of virulence is linked to bacterial sex. This long-term pattern of evolution was observed in genes distributed throughout the genome, and thereby is the likely result of episodic selection for strains that can escape the host immune response.",10.1111/j.1365-2958.2006.05172.x
J,"Repetto, G; del Peso, A; Zurita, JL",Neutral red uptake assay for the estimation of cell viability/cytotoxicity,"The neutral red uptake assay provides a quantitative estimation of the number of viable cells in a culture. It is one of the most used cytotoxicity tests with many biomedical and environmental applications. It is based on the ability of viable cells to incorporate and bind the supravital dye neutral red in the lysosomes. Most primary cells and cell lines from diverse origin may be successfully used. Cells are seeded in 96-well tissue culture plates and are treated for the appropriate period. The plates are then incubated for 2 h with a medium containing neutral red. The cells are subsequently washed, the dye is extracted in each well and the absorbance is read using a spectrophotometer. The procedure is cheaper and more sensitive than other cytotoxicity tests (tetrazolium salts, enzyme leakage or protein content). Once the cells have been treated, the assay can be completed in < 3 h.",10.1038/nprot.2008.75
