Publication Type,Authors,Title,Abstract,DOI
J,"Desai, MS; Seekatz, AM; Koropatkin, NM; Kamada, N; Hickey, CA; Wolter, M; Pudlo, NA; Kitamoto, S; Terrapon, N; Muller, A; Young, VB; Henrissat, B; Wilmes, P; Stappenbeck, TS; Núñez, G; Martens, EC",A Dietary Fiber-Deprived Gut Microbiota Degrades the Colonic Mucus Barrier and Enhances Pathogen Susceptibility,"Despite the accepted health benefits of consuming dietary fiber, little is known about the mechanisms by which fiber deprivation impacts the gut microbiota and alters disease risk. Using a gnotobiotic mouse model, in which animals were colonized with a synthetic human gut microbiota composed of fully sequenced commensal bacteria, we elucidated the functional interactions between dietary fiber, the gut microbiota, and the colonic mucus barrier, which serves as a primary defense against enteric pathogens. We show that during chronic or intermittent dietary fiber deficiency, the gut microbiota resorts to host-secreted mucus glycoproteins as a nutrient source, leading to erosion of the colonic mucus barrier. Dietary fiber deprivation, together with a fiber-deprived, mucus-eroding microbiota, promotes greater epithelial access and lethal colitis by the mucosal pathogen, Citrobacter rodentium. Our work reveals intricate pathways linking diet, the gut microbiome, and intestinal barrier dysfunction, which could be exploited to improve health using dietary therapeutics.",10.1016/j.cell.2016.10.043
J,"Gietz, RD; Schiestl, RH",High-efficiency yeast transformation using the LiAc/SS carrier DNA/PEG method,"Here we describe a high-efficiency version of the lithium acetate/single-stranded carrier DNA/PEG method of transformation of Saccharomyces cerevisiae. This method currently gives the highest efficiency and yield of transformants, although a faster protocol is available for small number of transformations. The procedure takes up to 1.5 h, depending on the length of heat shock, once the yeast culture has been grown. This method is useful for most transformation requirements.",10.1038/nprot.2007.13
J,"Owen, MR; Doran, E; Halestrap, AP",Evidence that metformin exerts its anti-diabetic effects through inhibition of complex 1 of the mitochondrial respiratory chain,"Although metformin is widely used for the treatment of noninsulin-dependent diabetes, its mode of action remains unclear. Here we provide evidence that its primary site of action is through a direct inhibition of complex 1 of the respiratory chain. Metformin (50 mu M) inhibited mitochondrial oxidation of glutamate+malate in hepatoma cells by 13 and 30% after 24 and 60h exposure respectively, but succinate oxidation was unaffected. Metformin also caused time-dependent inhibition of complex 1 in isolated mitochondria, whereas in submitochondrial particles inhibition was immediate but required very high metformin concentrations (K-0.5, 79 mM). These data are compatible with the slow membrane-potential-driven accumulation of the positively charged drug within the mitochondrial matrix leading to inhibition of complex 1. Metformin inhibition of gluconeogenesis from L-lactate in isolated rat hepatocytes was also time- and concentration-dependent, and accompanied by changes in metabolite levels similar to those induced by other inhibitors of gluconeogenesis acting on complex 1. Freeze-clamped livers from metformin-treated rats exhibited similar changes in metabolite concentrations. We conclude that the drug's pharmacological effects are mediated, at least in part, through a lime-dependent, self-limiting inhibition of the respiratory chain that restrains hepatic gluconeogenesis while increasing glucose utilization in peripheral tissues. Lactic acidosis, an occasional side effect, can also be explained in this way.",10.1042/0264-6021:3480607
J,"Ivanova, NV; Dewaard, JR; Hebert, PDN","An inexpensive, automation-friendly protocol for recovering high-quality DNA","Although commercial kits are available for automated DNA extraction, 'artisanal' protocols are not. In this study, we present a silica-based method that is sensitive, inexpensive and compliant with automation. The effectiveness of this protocol has now been tested on more than 5000 animal specimens with highly positive results.",10.1111/j.1471-8286.2006.01428.x
J,"Kagan, VE; Mao, GW; Qu, F; Angeli, JPF; Doll, S; St Croix, C; Dar, HH; Liu, B; Tyurin, VA; Ritov, VB; Kapralov, AA; Amoscato, AA; Jiang, JF; Anthonymuthu, T; Mohammadyani, D; Yang, Q; Proneth, B; Klein-Seetharaman, J; Watkins, S; Bahar, H; Greenberger, J; Mallampalli, RK; Stockwell, BR; Tyurina, YY; Conrad, M; Bayir, H",Oxidized arachidonic and adrenic PEs navigate cells to ferroptosis,"Enigmatic lipid peroxidation products have been claimed as the proximate executioners of ferroptosis-a specialized death program triggered by insufficiency of glutathione peroxidase 4 (GPX4). Using quantitative redox lipidomics, reverse genetics, bioinformatics and systems biology, we discovered that ferroptosis involves a highly organized oxygenation center, wherein oxidation in endoplasmic-reticulum-associated compartments occurs on only one class of phospholipids (phosphatidylethanolamines (PEs)) and is specific toward two fatty acyls-arachidonoyl (AA) and adrenoyl (AdA). Suppression of AA or AdA esterification into PE by genetic or pharmacological inhibition of acyl-CoA synthase 4 (ACSL4) acts as a specific antiferroptotic rescue pathway. Lipoxygenase (LOX) generates doubly and triply-oxygenated (15-hydroperoxy)-diacylated PE species, which act as death signals, and tocopherols and tocotrienols (vitamin E) suppress LOX and protect against ferroptosis, suggesting a homeostatic physiological role for vitamin E. This oxidative PE death pathway may also represent a target for drug discovery.",10.1038/NCHEMBIO.2238
J,"Yang, JY; Zhang, Y",I-TASSER server: new development for protein structure and function predictions,"The I-TASSER server (http://zhanglab.ccmb.med.umich.edu/I-TASSER) is an online resource for automated protein structure prediction and structure-based function annotation. In I-TASSER, structural templates are first recognized from the PDB using multiple threading alignment approaches. Full-length structure models are then constructed by iterative fragment assembly simulations. The functional insights are finally derived by matching the predicted structure models with known proteins in the function databases. Although the server has been widely used for various biological and biomedical investigations, numerous comments and suggestions have been reported from the user community. In this article, we summarize recent developments on the I-TASSER server, which were designed to address the requirements from the user community and to increase the accuracy of modeling predictions. Focuses have been made on the introduction of new methods for atomic-level structure refinement, local structure quality estimation and biological function annotations. We expect that these new developments will improve the quality of the I-TASSER server and further facilitate its use by the community for high-resolution structure and function prediction.",10.1093/nar/gkv342
J,"Huerta-Cepas, J; Forslund, K; Coelho, LP; Szklarczyk, D; Jensen, LJ; von Mering, C; Bork, P",Fast Genome-Wide Functional Annotation through Orthology Assignment by eggNOG-Mapper,"Orthology assignment is ideally suited for functional inference. However, because predicting orthology is computationally intensive at large scale, and most pipelines are relatively inaccessible (e.g., new assignments only available through database updates), less precise homology-based functional transfer is still the default for (meta-)genome annotation. We, therefore, developed eggNOG-mapper, a tool for functional annotation of large sets of sequences based on fast orthology assignments using precomputed clusters and phylogenies from the eggNOG database. To validate our method, we benchmarked Gene Ontology (GO) predictions against two widely used homology-based approaches: BLAST and InterProScan. Orthology filters applied to BLAST results reduced the rate of false positive assignments by 11%, and increased the ratio of experimentally validated terms recovered over all terms assigned per protein by 15%. Compared with InterProScan, eggNOG-mapper achieved similar proteome coverage and precision while predicting, on average, 41 more terms per protein and increasing the rate of experimentally validated terms recovered over total term assignments per protein by 35%. EggNOG-mapper predictions scored within the top-5 methods in the three GO categories using the CAFA2 NK-partial benchmark. Finally, we evaluated eggNOG-mapper for functional annotation of metagenomics data, yielding better performance than interProScan. eggNOG-mapper runs similar to 15x faster than BLAST and at least 2.5x faster than InterProScan. The tool is available standalone and as an online service at http://eggnog-mapper.embl.de.",10.1093/molbev/msx148
J,"Kopylova, E; Noé, L; Touzet, H",SortMeRNA: fast and accurate filtering of ribosomal RNAs in metatranscriptomic data,"MOTIVATION: The application of next-generation sequencing (NGS) technologies to RNAs directly extracted from a community of organisms yields a mixture of fragments characterizing both coding and non-coding types of RNAs. The task to distinguish among these and to further categorize the families of messenger RNAs and ribosomal RNAs (rRNAs) is an important step for examining gene expression patterns of an interactive environment and the phylogenetic classification of the constituting species. RESULTS: We present SortMeRNA, a new software designed to rapidly filter rRNA fragments from metatranscriptomic data. It is capable of handling large sets of reads and sorting out all fragments matching to the rRNA database with high sensitivity and low running time.",10.1093/bioinformatics/bts611
J,"Bard, F; Cannon, C; Barbour, R; Burke, RL; Games, D; Grajeda, H; Guido, T; Hu, K; Huang, JP; Johnson-Wood, K; Khan, K; Kholodenko, D; Lee, M; Lieberburg, I; Motter, R; Nguyen, M; Soriano, F; Vasquez, N; Weiss, K; Welch, B; Seubert, P; Schenk, D; Yednock, T",Peripherally administered antibodies against amyloid β-peptide enter the central nervous system and reduce pathology in a mouse model of Alzheimer disease,"One hallmark of Alzheimer disease is the accumulation of amyloid beta -peptide in the brain and its deposition as plaques. Mice transgenic for an amyloid beta precursor protein (APP) mini-gene driven by a platelet-derived (PD) growth factor promoter (PDAPP mice), which overexpress one of the disease-linked mutant forms of the human amyloid precursor protein, show many of the pathological features of Alzheimer disease, including extensive deposition of extracellular amyloid plaques, astrocytosis and neuritic dystrophy(1,2). Active immunization of PDAPP mice with human amyloid beta -peptide reduces plaque burden and its associated pathologies(3). Several hypotheses have been proposed regarding the mechanism of this response(4,5). Here we report that peripheral administration of antibodies against amyloid beta -peptide, was sufficient to reduce amyloid burden. Despite their relatively modest serum levels, the passively administered antibodies were able to enter the central nervous system, decorate plaques and induce clearance of preexisting amyloid. When examined in an ex vivo assay with sections of PDAPP or Alzheimer disease brain tissue, antibodies against amyloid beta -peptide triggered microglial cells to clear plaques through Fc receptor-mediated phagocytosis and subsequent peptide degradation. These results indicate that antibodies can cross the blood-brain barrier to act directly in the central nervous system and should be considered as a therapeutic approach for the treatment of Alzheimer disease and other neurological disorders.",10.1038/78682
J,"de Leeuw, CA; Mooij, JM; Heskes, T; Posthuma, D",MAGMA: Generalized Gene-Set Analysis of GWAS Data,"By aggregating data for complex traits in a biologically meaningful way, gene and gene-set analysis constitute a valuable addition to single-marker analysis. However, although various methods for gene and gene-set analysis currently exist, they generally suffer from a number of issues. Statistical power for most methods is strongly affected by linkage disequilibrium between markers, multi-marker associations are often hard to detect, and the reliance on permutation to compute p-values tends to make the analysis computationally very expensive. To address these issues we have developed MAGMA, a novel tool for gene and gene-set analysis. The gene analysis is based on a multiple regression model, to provide better statistical performance. The gene-set analysis is built as a separate layer around the gene analysis for additional flexibility. This gene-set analysis also uses a regression structure to allow generalization to analysis of continuous properties of genes and simultaneous analysis of multiple gene sets and other gene properties. Simulations and an analysis of Crohn's Disease data are used to evaluate the performance of MAGMA and to compare it to a number of other gene and gene-set analysis tools. The results show that MAGMA has significantly more power than other tools for both the gene and the gene-set analysis, identifying more genes and gene sets associated with Crohn's Disease while maintaining a correct type 1 error rate. Moreover, the MAGMA analysis of the Crohn's Disease data was found to be considerably faster as well.",10.1371/journal.pcbi.1004219
