Publication Type,Authors,Title,Abstract,DOI
J,"Yuan, HY; Liu, GJ; Gao, LN; Xu, EY; Liu, JT",Sensitive Detection of Cyanide in Urine by HPLC ESI-MS/MS Combined with Derivatization Pretreatment,"The high toxicity and availability in industrial production have made cyanide a concern for clinical testing and forensic toxicological analysis. An efficient and accurate method for detecting cyanide in urine sample has been established. The process was carried out by a two-step derivatization reaction. The cyanide reacted with benzaldehyde to form a stable intermediate which reacted with heptafluorobutyryl chloride in the second step. The quantitative MS/MS transition of thecyanide derivative was m/z 330.2m/z 303.4, and the qualitative MS/MS transition was m/z 330.2m/z 185.2. The method had good linearity (r(2)=0.999 4) and covered the cyanide poisoning detection window (0.01-10 mu g mL(-1)), and the limit of detection was 3ng mL(-1). At the same time, the method demonstrated good accuracy (recoveries=92.7.0-102.0%) and precision (intra-day precision=3.3-5.1%, inter-day precision=4.4-5.3%). The complete derivatization reaction and detection time were controlled within 20min and successfully applied in a lethal case of ingestion of potassium cyanide. [GRAPHICS] .",10.1007/s10337-019-03698-w
J,"Zhang, J; Zhao, ZG; Zhang, K; Wei, Z",A Feature Sampling Strategy for Analysis of High Dimensional Genomic Data,"With the development of high throughput technology, it has become feasible and common to profile tens of thousands of gene activities simultaneously. These genomic data typically have sample size of hundreds or fewer, which is much less than the feature size (number of genes). In addition, the genes, in particular the ones from the same pathway, are often highly correlated. These issues impose a great challenge for selecting meaningful genes from a large number of (correlated) candidates in many genomic studies. Quite a few methods have been proposed to attack this challenge. Among them, regularization-based techniques, e.g., lasso, become much more appealing, because they can do model fitting and variable selection at the same time. However, the lasso regression has its known limitations. One is that the number of genes selected by the lasso couldn't exceed the number of samples. Another limitation is that, if causal genes are highly correlated, the lasso tends to select only one or few genes from them. Biologists, however, desire to identify them all. To overcome these limitations, we present here a novel, robust, and stable variable selection method. Through simulation studies and a real application to the transcriptome data, we demonstrate the superiority of the proposed method in selecting highly correlated causal genes. We also provide some theoretical justifications for this feature sampling strategy based on the mean and variance analyses.",10.1109/TCBB.2017.2779492
J,"Zhao, XY; Wang, XJ; Su, G; Sun, Q; Fu, JT; Zhang, HL; Teng, JF",The effect of early growth response 1 on levels of Amyloid-β 40 peptide in U87MG cells,"A recent study has shown that early growth response 1 (EGR1) plays a critical role in the beta-amyloid cascade and tau hypotheses. In addition, evidence has suggested that EGR1 can regulate levels of amyloid-beta peptides, key molecules in the pathogenesis of Alzheimer's disease (AD). However, whether EGR1 is a deleterious or protective factor in the AD is still controversial. In this present study, we constructed an overexpression plasmid, CMV-EGFP-EGR1-Kanamycin, and transfected it into U87MG cells to investigate the effects of EGR1 expression on amyloid-beta (1-40) peptide (A beta 40) levels. U87MG cells transfected by CMV-EGFP-EGR1-Kanamycin and CMV-EGFP-Kanamycin were assigned, respectively, to experimental and control groups. Fluorescence microscopy was used to observe transfection efficiencies of the plasmids after 6 hours. EGR1 messenger RNA levels were measured by quantitative reverse transcription polymerase chain reaction. A beta 40 secretion was analyzed by enzyme-linked immunosorbent assay. Expression of the amyloid precursor protein, beta-secretase enzyme, and presenilin 1 proteins were analyzed by Western blot analysis. The results showed that EGR1 overexpression increased A beta 40 secretion in vitro, possibly through increasing BACE1 expression. Based on these results, EGR1 might be a promising therapeutic target for the AD.",10.1002/jcb.27627
J,"Zhao, Y; Ma, L; Jiang, SK; Song, GD; He, SH; Li, H; Song, Q",AncestryView: data-driven visualization of whole-genome local-ancestry,"Data visualization is a crucial tool for data exploration, analysis and interpretation. To visualize the ancestry data, we developed a new software tool, called AncestryView. We demonstrate its functionality with the data from admixed individuals.",10.1093/bioinformatics/bty732
J,"Zhu, YL; Peng, ZB; Chen, ZP; Wang, JK; Shi, CX; Chen, Y; Yu, RQ",Quantification of enantiomers by mass spectrometry based on chemical derivatization and spectral shape deformation quantitative theory,"A facile mass spectrometric kinetic method for quantitative analysis of chiral compounds was developed by integrating mass spectrometry based on chemical derivatization and the spectral shape deformation quantitative theory. Chemical derivatization was employed to introduce diastereomeric environments to the chiral compounds of interest, resulting in different abundance distribution patterns of fragment ions of the derivatization products of enantiomers in mass spectrometry. The quantitative information of the chiral compounds of interest was extracted from complex mass spectral data by an advanced calibration model derived based on the spectral shape deformation quantitative theory. The performance of the proposed method was tested on the quantitative analysis of R-propranolol in propranolol tablets. Experimental results demonstrated that it could achieve accurate and precise concentration ratio predictions for R-propranolol with an average relative predictive error (ARPE) of about 4%, considerably better than the corresponding results of the mass spectrometric method based on chemical derivatization and the univariate ratiometric model (ARPE: about 12%). The limit of detection (LOD) and limit of quantification (LOQ) of the proposed method for the concentration ratio of R-propranolol were estimated to be 1.5% and 6.0%, respectively. The proposed method is complementary to the existing methods designed for the quantification of enantiomers such as the Cooks kinetic method.",10.1002/jms.4334
J,"Jian, FF; Liu, E; Li, ZY",An efficient <i>t</i>RNA cleaver without additional co-reactants at physiological condition,"A square-planar Cu(II) complex, [Cu(Me-Im)(gly-gly)]center dot H2O 1 (Me-Im = 1 methyl-imidazole, gly-gly = glycylglycinato), has been prepared and structurally characterized by single crystal X-ray. The complex 1 was tested for its ability to the transfer RNA by UV-vis spectroscopy, cyclic voltammetry (CV), capillary electrophoresis (CE). Comparative spectroscopic analysis shows a maximum fluorescence quenching ratio of 0.41 of 1 upon binding to RNA, which gives a binding constant (K-b) of 1.24 x 10(5) M-1. Cyclic voltammograms of complex 1 attached on the mercaptoethanol (-SH) linked Au electrodes in phosphate buffer solution give a well-defined and quasi-reversible redox couple, indicate complex 1 can efficiently degrade the high-order structure of RNA in physiological conditions (pH 7.0 phosphate buffer solution at 37 degrees C) without additional co-reactants, yielding a digestion coefficient more than 90% within 113 h. This study targeting the genetic biomacromolecule degradation based on the strong binding of chemical nucleases paves an important way to the novel materials in the decontamination of microorganisms (e.g., bacteria and viruses) at mild condition. (C) 2018 Henan University of Science and Technology. Published by Elsevier Inc.",10.1016/j.bbrc.2018.12.041
J,"de Brito, RR; Leao-Araújo, EF; Ferreira, LBD; Mendes, LDO; Pereira, CCD; da Silva, JO; Bógea, E; Hoffmann, LV; de Menezes, IPP","Viability of simultaneous genotypic screening and germination of individual seeds in rice, beans and maize","DNA-assisted selection can be applied to vegetal species in the seed stage; however, little is known about the effect of seed fractionation on the physiological quality and viability of the seedlings or the effectiveness of DNA extraction from seed pieces. We evaluated the efficiency of pre-germinative genotypic screening by DNA markers from manually cut partial seeds of rice, beans and maize. Tests to evaluate PCR amplification and physiological quality were performed. We observed that the Sarkosyl method was efficient to extract DNA from a 1/2 fraction of the rice seeds and 1/4 of the bean and maize seeds, generating good quality SSR-PCR products. The physiological quality of the rice seeds cut in half and the bean and maize seeds remaining fraction of 3/4 of the original seed provided a high germination percentage. The method is effective for simultaneously genotyping and germinating plants from a single seed, since DNA extracted from these fractions of seeds can be used for studies with DNA markers, while the remaining portions can be used for seedling production.",10.4238/gmr18130
J,"Hu, X; Chen, Y; Singh, CO; Zhang, S; Miao, YG; Zhou, Y; Xu, J; Roy, B","An improved Bac-to-Bac/BmNPV technology expressing envelope E2 glycoprotein of classical swine fever virus (CSFV) in the silkworm, <i>Bombyx mori</i>","The envelope E2 glycoprotein of classical swine fever virus (CSFV) is an immunodominant protein which neutralizes the virus. Previous trials to eradicate CSFV have been expensive, inefficient and time-consuming process without complete success. In contrast to DNA transfection into cultured cells, the efficacy of gene transduction in in vivo organ is very low because of the presence of cortical laminar structures and multilayered cells followed by quality and quantity of DNA. Therefore, to eradicate CSFs, developing an effective and inexpensive vaccine targeting E2 glycoprotein is important. Here, we reported using different quantity of DNA with lipofectamine-2000 reagents that could markedly enhance the effectiveness of gene transfer in particular experiment while we are looking for long term development of animal vaccine and an alternative strategy for large scale production of CSFV E2 glycoprotein using baculovirus (bac-to-bac) system in silkworm, Bombyx mori, L. Our results show successful expression of E2 glycoprotein in BmN cell lines and silkworm larvae. The direct injection of recombinant rBacmid/BmNPV/E2 DNA with lipofectamine-2000 reagent infecting the silkworm larvae are varied in different groups and clear symptoms of infection were found and polyhedrons were counted by hemocytometer in individual and different batch. Confocal and electronic microscopy further revealed the expressed polyhedral, followed by SDS-PAGE and western blot further supporting our data. Our study provides an alternative strategy to produce large scale protein against CSFV. Current work to purify the E2 protein for elucidating its structure and development of vaccine is underway.",10.4238/gmr18084
J,"Moraes, MP; Silva, KSFE; Lagares, MH; Barbosa, AM; Martins, JVM; Campedelli, FL; da Costa, IR; Rodrigues, DA; Moura, KKVO","Polymorphisms of the genes <i>eNOS</i>, <i>GSTT1</i> and <i>GSTM1</i> are significantly associated with atherosclerotic disease in hypertensive patients","Atherosclerosis is a multifactorial chronic inflammatory disease that occurs in response to endothelial aggression. Systemic arterial hypertension is the main risk factor for the formation of atheromas, increasing the risk of cardiovascular diseases. Several genes are involved in atherogenesis and hypertension. We analyzed polymorphisms of candidate genes that potentially participate in processes related to this pathology, including G894T and T786C of eNOS, as well as GSTT1 and GSTM1 in 167 hypertensive patients and 100 controls. Blood samples were from patients attended at the Angiogenesis/Vascular Surgery and Cardiology Department of the Angiogyn clinic in Goiania. There was significant prevalence of the genotype GT (76%) and the mutant allele T (56%) of the T786C (eNOS) polymorphism in the patients. For the polymorphism T786C (eNOS), the heterozygote genotype (TC) was found in 58% of the samples; allele C was found in 61%, but there was no significant difference compared to controls. The GSTT1 genotype was found in 84% and GSTM1 was found in 73%; for both their predominance was significant. There are many possible explanations for how these polymorphisms affect the development of atherosclerosis and hypertension, but more studies are necessary for their elucidation.",10.4238/gmr18089
J,"Broadwater, DWB; Altman, RB; Blanchard, SC; Kim, HD",ERASE: a novel surface reconditioning strategy for single-molecule experiments,"While surface-based single-molecule experiments have revolutionized our understanding of biology and biomolecules, the workflow in preparing for such experiments, especially surface cleaning and functionalization, remains labor-intensive and time-consuming. Even worse, meticulously assembled flow channels can be used only once for most experiments. A reusable surface would thus dramatically increase productivity and efficiency of single-molecule experiments. In this paper, we report a novel surface reconditioning strategy termed ERASE (Epitaxial Removal Aided by Strand Exchange) that allows a single flow cell to be used for vast repetition of single-molecule experiments. In this method, biomolecules immobilized to the surface through a nucleic acid duplex are liberated when a competing DNA strand disrupts the duplex via toehold-mediated strand displacement. We demonstrate the wide-range applicability of this method with various common surface preparation techniques, fluorescent dyes, and biomolecules including the bacterial ribosome. Beyond time and cost savings, we also show ERASE can assort molecules based on a nucleic acid barcode sequence, thus allowing experiments on different molecules in parallel. Our method increases the utility of prepared surfaces and is a significant improvement to the current single-use paradigm.",10.1093/nar/gky1168
