Publication Type,Authors,Title,Abstract,DOI
J,"Antiñolo, A; García-Yuste, S; López-Solera, I; Otero, A; Tercero-Morales, MT; Carrillo-Hermosilla, F","Reactivity studies on a trihydride niobocene complex towards α,β-Unsaturated carboxylic acids","The reactions of the trihydride niobocene complex [NbCp'H-2(3)] (Cp' = eta(5)-C5H4SiMe3) (1) with different alpha,beta-unsaturated carboxylic acids have been studied. The reactions with fumaric and maleic acids (A and B) gave a new dinuclear carboxylato-containing niobocene derivative [(NbCp'(2))(2)(mu-kappa O-2,O-OOC-CH2-CH2-COO-kappa O-2,O)] (2), due to the occurrence of two processes, dihydrogen elimination and hydrogenation of the C=C bond of the alpha,beta-unsaturated carboxylic acid. Likewise, the use of an alpha,beta-unsaturated carboxylic acid derivative such as mono-methyl fumarate (ester) (C) gave the mononuclear [NbCp'(2)(OOC-CH2-CH2-COOMe-kappa O-2,O)] (3). When other alpha,beta-unsaturated carboxylic acids with less activated alkenes were used, such as trans-cinnamic acid (F), (E)-2-methyl-3-phenylacrylic acid (G), cyclohex-1-ene-1-carboxylic acid (H), 3-methylbut-2-enoic acid (I), (E)-2-methylbut-2-enoic acid (J) or (E)-pent-2-enoic acid (K), only the complexes [NbCp'(2)(OOCR-kappa O-2,O)], (R = trans-CH = CHPh (4), trans-CMe = CHPh (5), 1-cyclohexenyl (6), (CH = CMe2) (7), (cis-CMe = CHMe) (8), (trans-C(H) = CH-Et) (9)), were isolated, respectively, resulting from a process with dihydrogen elimination and the hydrogenation of the C=C bond do not takes place. Treatment of 2-9 with CO (3 atm) promote that the coordination mode of the carboxylate ligand changes from (kappa O-2,O-OOC-R) to (kappa O-1-OOC-R) and yielding new carbonyl derivatives [(NbCp'(2))(2)(mu-kappa O-1-OOC-CH2-CH2-COO-kappa O-1) (CO)(2)] (10); and [NbCp'(2)(OOCR-kappa O-1) (CO)] (R = CH2-CH2-COOMe (11), trans-CH = CHPh (12), trans-CMe = CHPh (13), 1-cyclohexenyl (14), CH = CMe2 (15), cis-CMe = CHMe (16) and R = trans-CH] CH-Et) (17)). Reaction of 2 with O-2 afford a new diperoxo compound [{NbCp'(2)(O-2-kappa O-2,O)}(2) (mu - kappa O-1-OOC-CH2-CH2-COO-kappa O-1)] (19), through a monoperoxo derivative [NbCp'(2)(O-2-kappa O-2,O) (mu-kappa O-1-OOC-CH2-CH2-COO-kappa O-2,O) NbCp'(2)] (18). All the new complexes were characterized by usual IR and NMR spectroscopic methods and the crystal structure of 16 and 18 were determined by X-ray diffraction studies. (c) 2019 Elsevier B.V. All rights reserved.",10.1016/j.jorganchem.2019.06.006
J,"Araiza-Villanueva, MG; Olicón-Hernández, DR; Pardo, JP; Vázquez-Meza, H; Guerra-Sánchez, G",Monitoring of the enzymatic activity of intracellular lipases of <i>Ustilago maydis</i> expressed during the growth under nitrogen limitation and its correlation in lipolytic reactions,"Under nitrogen starvation, Ustilago maydis forms lipid droplets (LDs). Although the dynamics of these organelles are known in the literature, the identity of the lipases implicated in their degradation is unknown. We determined lipase activity and identified the intracellular lipases expressed during growth under nitrogen starvation and YPD media by zymograms. The results showed that cytosolic extracts exhibited higher lipase activity when cells were grown in YPD. Under nitrogen starvation, lipase activity was not detected after 24 h of culture, resulting in lipid accumulation in LDs. This suggests that these lipases could be implicated in LD degradation. In the zymogram, two bands, one of 25 and the other of 37 kDa, presented lipase activity. The YPD extracts showed lipase activity in olive and almond oils, which contain triacylglycerols with mono and polyunsaturated fatty acids. This is the first report about U. maydis cytosolic lipases involved in LD degradation.",10.3989/gya.1049182
J,"Bae, JH; Lim, S; Kwon, D; Lee, ST; Kim, H; Lee, JH",Gated Schottky Diode-Type Synaptic Device with a Field-Plate Structure to Reduce the Forward Current,"A gated Schottky diode with a field-plate structure is proposed and investigated as a new low-power synaptic device to suppress the forward current of the Schottky diode. In a hardware-based neural network, unwanted forward current can flow through gated Schottky diode-type synaptic devices during integration operations, possibly causing a malfunction of the neural network and increasing the power consumption. By adopting a field-plate structure, a virtual pn junction to suppress the forward current of the Schottky diode is formed in the poly-Si active layer. As a result, the unwanted forward current of the gated Schottky diode is successfully reduced to less than 1 pA/mu m.",10.1166/jnn.2019.17003
J,"Bahmanova, FN; Tahirli, SA; Askerov, RK; Hajiyeva, SR; Chyragov, FM",X-Ray Diffraction Study of Crystal and Molecular Structures of Azo Compounds of Two β-Diketones,"Novel compounds 2-(2-(2-hydroxy-4-nitrophenyl) hydrazono)-1,3-diphenyl propane-1,3-dione and 2-(2-(2-hydroxy-4-nitrophenyl) hydrazono)-1-phenyl butane-1,3-dione are prepared on the base of beta-diketones. Crystal and molecular structures of synthesized compounds are determined by X-ray diffraction analysis. The crystals are found to be monoclinic. The compounds are represented only by their hydrazo forms. The structural data for the two obtained compounds are compared with previously reported data.",10.1134/S0022476619100147
J,"Beiginejad, H; Nematollahi, D","Electrochemical oxidation of 2,5-diethoxy 4-morpholinoaniline in the presence of thiobarbituric acid: present an <i>ECCCEC</i> Mechanism","The electrochemical oxidation of 2,5-diethoxy-4-morpholinoaniline has been studied in the presence of thiobarbituric acid by the use of experimental and calculation methods. Cyclic voltammetry, controlled-potential coulometry and density functional theory (DFT) were used in this study. By the use of the cyclic voltammetry, the best condition of synthesis was obtained, and controlled-potential coulometry was performed under this condition. The results indicated that the produced p-benzoquinonediimine is unstable, and it was hydrolyzed in the experimental condition. It was found that the produced p-quinoneimine from oxidation/hydrolysis of 2,5-diethoxy-4-morpholinoaniline reacts with the thiobarbituric acid as a nucleophile and via an ECCCEC mechanism converts to the product. Also, computational calculations were used to analyze oxidation peaks in voltammetry. DFT, BP86 level of theory and 6-31G(p,d) basis set, was used to obtain the theoretical results.",10.1007/s13738-019-01687-2
J,"Beresescu, G; Baldean, A; Comaneanu, RM; Cosarca, AS; Monea, A; Ormenisan, A",Evaluation of the Efficacy of Essential Oil Mouthwash on Oral Malodour and Periodontal Status in Patient with Special Needs,"Oral malodour is the general term used to describe disagreeable odor in expired air with psychological component in patients with special needs. The aim of this study is to evaluate the effect of essential oil mouthwash on oral halitosis and periodontal status of patient with special needs. 26 patients aged between 16-45 were enrolled in this single-blind, parallel-group study. Informed consent was obtained. The following parameters were recorded: gingival index, plaque index, organoleptic breath assessment, and BANA test from tongue coating samples prior to treatment with essential oil mouthwash (group 1) or a placebo (group 2) at baseline and 28 days after the start of treatment. There were significant differences (p<0.05) in plaque and gingival index after treatment with essential oil mouthwash compared to the placebo. The results provide a statistically significantly greater level of efficacy in controlling established plaque and gingival index after use of essential oil mouthwash. Therefore, it can be recommended in halitosis therapy in order to maintain a good periodontal status.",
J,"Bhaumik, P; Roymahapatra, G",Chemo-catalytic synthesis of C6 sugars from plant-derived carbohydrates: A technical assessment on solid catalysis,"Considering the wide applications of C6 sugars, several methodologies have been developed through chemo-catalysis from plant-derived biomass wastes.This review critically overviewed the existing industrial processes as well latest advancement in this area. Further, influence of catalyst properties in each developed processes, reaction kinetics, mechanism and plausible focus of the topic are technically assessed.",
J,"Birla, RD; Hoara, PA; Dinca, VG; Constantinoiu, S",Evaluation and Management of Post-caustic Stenosis,"After caustic ingestion, patients may be either asymptomatic or may exhibit a variety of initial signs and symptoms, depending on the digestive segment predominantly affected. The DROOL system is a noninvasive scoring method used for the evaluation of esophageal lesions and has a good correlation with the development of esophageal stenosis. Management of these patients depends on several factors, including the presence of the symptomatology, in addition to the nature of the caustic substance. Upper endoscopy is indicated in the first 48 hours or after the first two weeks, when it is recommended to start endoscopic dilation sessions. If endoscopic treatment is inefficient, surgical treatment is required.",
J,"Brodowski, F; Oleskowicz-Popiel, P",Caproic acid as an alternative product of bioconversion,"A review, with 55 refs., of methods for biotechnol. prodn. of caproic acid. A techno-economic anal. was performed to confirm the economic potential of the prodn.",10.15199/62.2019.10.20
J,"Calabrone, L; Martelli, G; Mazzanti, G; Vitalone, A","Genomic Study, Phytochemical Characterization, and Antiproliferative Activity of Two Different Genotypes of <i>Jatropha curcas</i> L. Obtained by a Breeding Program","Featured Application This work could be used as operational scheme to work on the characterization of a medicinal plant, taking into account its characteristic variability. AbstractJatropha curcas (Euphorbiaceaefamily) is a multipurpose plant with considerable potential in biodiesel production, and in cosmetic and medicinal uses. The part of J. curcas usually used is the oil obtained from its seeds, whereas the leaves generally represent the waste material. The aim of this study was to characterize the composition and to preliminary investigate the biological activity of J. curcas leaves obtained from plants by a breeding program. To describe genomic structure, molecular markers were applied. For biological study, two genotypes (JA and JB) that are genetically divergent were selected by cluster analysis. A phytochemical analysis was carried out to characterize the chemical composition of the extracts, which resulted rich in biologically active compounds, whereas toxic phorbol esters were absent. Biological assays showed an antiproliferative effect on the Buffalo normal rat liver cell line (BRL-3A), with genotype B being more potent than that of the counterpart (JA). The purified compounds isolated did not show antiproliferative activity, suggesting that the effect observed was due to the phytocomplex and should involve several secondary metabolites. This study highlights that a plant of the same genus and same species that has been cultivated in the same soil and climatic conditions can be characterized by a high variability. This is what makes research in pharmacognosya complex process.",10.3390/app9204373
