Publication Type,Authors,Title,Abstract,DOI
J,"Liu, BD; Liu, YK",Expected value of fuzzy variable and fuzzy expected value models,"This paper will present a novel concept of expected values of fuzzy variables, which is essentially a type of Choquet integral and coincides with that of random variables. In order to calculate the expected value of general fuzzy variable, a fuzzy simulation technique is also designed. Finally, we construct a spectrum, of fuzzy expected value models,,and integrate fuzzy simulation, neural network, and genetic algorithms to produce a hybrid intelligent algorithm for solving general fuzzy expected value models.",10.1109/TFUZZ.2002.800692
J,"Broder, A; Kumar, R; Maghoul, F; Raghavan, P; Rajagopalan, S; Stata, R; Tomkins, A; Wiener, J",Graph structure in the Web,"The study of the Web as a graph is not only fascinating in its own right, but also yields valuable insight into Web algorithms for crawling, searching and community discovery, and the sociological phenomena which characterize its evolution. We report on experiments on local and global properties of the Web graph using two AltaVista crawls each with over 200 million pages and 1.5 billion links. Our study indicates that the macroscopic structure of the Web is considerably more intricate than suggested by earlier experiments on a smaller scale. (C) 2000 Published by Elsevier Science B.V. All rights reserved.",10.1016/S1389-1286(00)00083-9
J,"Arandjelovic, R; Gronat, P; Torii, A; Pajdla, T; Sivic, J",NetVLAD: CNN Architecture for Weakly Supervised Place Recognition,"We tackle the problem of large scale visual place recognition, where the task is to quickly and accurately recognize the location of a given query photograph. We present the following four principal contributions. First, we develop a convolutional neural network (CNN) architecture that is trainable in an end-to-end manner directly for the place recognition task. The main component of this architecture, NetVLAD, is a new generalized VLAD layer, inspired by the ""Vector of Locally Aggregated Descriptors"" image representation commonly used in image retrieval. The layer is readily pluggable into any CNN architecture and amenable to training via backpropagation. Second, we create a new weakly supervised ranking loss, which enables end-to-end learning of the architecture's parameters from images depicting the same places over time downloaded from Google Street View Time Machine. Third, we develop an efficient training procedure which can be applied on very large-scale weakly labelled tasks. Finally, we show that the proposed architecture and training procedure significantly outperform non-learnt image representations and off-the-shelf CNN descriptors on challenging place recognition and image retrieval benchmarks.",10.1109/TPAMI.2017.2711011
J,"Taal, CH; Hendriks, RC; Heusdens, R; Jensen, J",An Algorithm for Intelligibility Prediction of Time-Frequency Weighted Noisy Speech,"In the development process of noise-reduction algorithms, an objective machine-driven intelligibility measure which shows high correlation with speech intelligibility is of great interest. Besides reducing time and costs compared to real listening experiments, an objective intelligibility measure could also help provide answers on how to improve the intelligibility of noisy unprocessed speech. In this paper, a short-time objective intelligibility measure (STOI) is presented, which shows high correlation with the intelligibility of noisy and time-frequency weighted noisy speech (e.g., resulting from noise reduction) of three different listening experiments. In general, STOI showed better correlation with speech intelligibility compared to five other reference objective intelligibility models. In contrast to other conventional intelligibility models which tend to rely on global statistics across entire sentences, STOI is based on shorter time segments (386 ms). Experiments indeed show that it is beneficial to take segment lengths of this order into account. In addition, a free Matlab implementation is provided.",10.1109/TASL.2011.2114881
J,"Zhu, QS; Mai, JM; Shao, L",A Fast Single Image Haze Removal Algorithm Using Color Attenuation Prior,"Single image haze removal has been a challenging problem due to its ill-posed nature. In this paper, we propose a simple but powerful color attenuation prior for haze removal from a single input hazy image. By creating a linear model for modeling the scene depth of the hazy image under this novel prior and learning the parameters of the model with a supervised learning method, the depth information can be well recovered. With the depth map of the hazy image, we can easily estimate the transmission and restore the scene radiance via the atmospheric scattering model, and thus effectively remove the haze from a single image. Experimental results show that the proposed approach outperforms state-of-the-art haze removal algorithms in terms of both efficiency and the dehazing effect.",10.1109/TIP.2015.2446191
J,"Warfield, SK; Zou, KH; Wells, WM",Simultaneous truth and performance level estimation (STAPLE): An algorithm for the validation of image segmentation,"Characterizing the performance of image segmentation approaches has been a persistent challenge. Performance analysis is important since segmentation algorithms often have limited accuracy and precision. Interactive drawing of the desired segmentation by human raters has often been the only acceptable approach, and yet suffers from intra-rater and inter-rater variability. Automated algorithms have been sought in order to remove the variability introduced by raters, but such algorithms must be assessed to ensure they are suitable for the task. The performance of raters (human or algorithmic) generating segmentations of medical images has been difficult to quantify because of the difficulty of obtaining or estimating a known true segmentation for clinical data. Although physical and digital phantoms can be constructed for which ground truth is known or readily estimated, such phantoms do not fully reflect clinical images due to the difficulty of constructing phantoms which reproduce the full range of imaging characteristics and normal and pathological anatomical variability observed in clinical data. Comparison to a collection of segmentations by raters is an attractive alternative since it can be carried out directly on the relevant clinical imaging data. However, the most appropriate measure or set of measures with which to compare such segmentations has not been clarified and several measures are used in practice. We present here an expectation-maximization algorithm for simultaneous truth and performance level estimation (STAPLE). The algorithm considers a collection of segmentations and computes a probabilistic estimate of the true segmentation and a measure of the performance level represented by each segmentation. The source of each segmentation in the collection may be an appropriately trained human rater or raters, or may be an automated segmentation algorithm. The probabilistic estimate of the true segmentation is formed by estimating an optimal combination of the segmentations, weighting each segmentation depending upon the estimated performance level, and incorporating a prior model for the spatial distribution of structures being segmented as well as spatial homogeneity constraints. STAPLE is straightforward to apply to clinical imaging data, it readily enables assessment of the performance of an automated image segmentation algorithm, and enables direct comparison of human rater and algorithm performance.",10.1109/TMI.2004.828354
J,"Song, CS","Global challenges and strategies for control, conversion and utilization of CO<sub>2</sub> for sustainable development involving energy, catalysis, adsorption and chemical processing","Utilization of carbon dioxide (CO2) has become an important global issue due to the significant and continuous rise in atmospheric CO2 concentrations, accelerated growth in the consumption of carbon-based energy worldwide, depletion of carbon-based energy resources, and low efficiency in current energy systems. The barriers for CO2 utilization include: (1) Costs Of CO2 capture, separation, purification, and transportation to user site; (2) energy requirements of CO2 chemical conversion (plus source and cost of co-reactants); (3) market size limitations, little investment-incentives and lack of industrial commitments for enhancing CO2-based chemicals; and (4) the lack of socio-economical driving forces. The strategic objectives may include: (1) use CO2 for environmentally-benign physical and chemical processing that adds value to the process; (2) use CO2 to produce industrially useful chemicals and materials that adds value to the products; (3) use CO2 as a beneficial fluid for processing or as a medium for energy recovery and emission reduction; and (4) use CO2 recycling involving renewable sources of energy to conserve carbon resources for sustainable development. The approaches for enhancing CO2 utilization may include one or more of the following: (1) for applications that do not require pure CO2, develop effective processes for using the CO2-Concentrated flue gas from industrial plants or CO2-rich resources without CO2 separation; (2) for applications that need pure CO2, develop more efficient and less-energy intensive processes for separation of CO2 selectively without the negative impacts of co-existing gases such as H2O, 02, and N-2; (3) replace a hazardous or less-effective substance in existing processes with CO2 as an alternate medium or solvent or co-reactant or a combination of them; (4) make use of CO2 based on the unique physical properties as supercritical fluid or as either solvent or anti-solvent; (5) use CO2 based on the unique chemical properties for CO2 to be incorporated with high 'atom efficiency' such as carboxylation and carbonate synthesis; (6) produce useful chemicals and materials using CO2 as a reactant or feedstock; (7) use CO2 for energy recovery while reducing its emissions to the atmosphere by sequestration; (8) recycle CO2 as C-source for chemicals and fuels using renewable sources of energy; and (9) convert CO2 under either bio-chemical or geologic-formation conditions into ""new fossil"" energies. Several cases are discussed in more detail. The first example is tri-reforming of methane versus the well-known CO2 reforming over transition metal catalysts such as supported Ni catalysts. Using CO2 along with H2O and 02 in flue gases of power plants without separation, tri-reforming is a synergetic combination of CO2 reforming, steam reforming and partial oxidation and it can eliminate carbon deposition problem and produces syngas with desired H-2/CO ratios for industrial applications. The second example is a CO2 ""molecular basket"" as CO2-selective high-capacity adsorbent which was developed using mesoporous molecular sieve MCM-41 and polyethylenimine (PEI). The MCM41-PEI adsorbent has higher adsorption capacity than either PEI or MCM-41 alon and can be used as highly CO2-selective adsorbent for gas mixtures without the pre-removal of moisture because it even enhances CO2 adsorption capacity. The third example is synthesis of dimethyl carbonate using CO2 and methanol, which demonstrates the environmental benefit of avoiding toxic phosgene and a processing advantage. The fourth example is the application of supercritical CO2 for extraction and for chemical processing where CO2 is either a solvent or a co-reactant, or both. The CO2 utilization contributes to enhancing sustainability, since various chemicals, materials, and fuels can be synthesized using CO2, which should be a sustainable way in the long term when renewable sources of energy are used as energy input. (c) 2006 Elsevier B.V. All rights reserved.",10.1016/j.cattod.2006.02.029
J,"Van Gerpen, J",Biodiesel processing and production,"Biodiesel is an alternative diesel fuel that is produced from vegetable oils and animal fats. It consists of the monoalkyl esters formed by a catalyzed reaction of the triglycerides in the oil or fat with a simple monohydric alcohol. The reaction conditions generally involve a trade-off between reaction time and temperature as reaction completeness is the most critical fuel quality parameter. Much of the process complexity originates from contaminants in the feedstock, such as water and free fatty acids, or impurities in the final product, such as methanol, free glycerol, and soap. Processes have been developed to produce biodiesel from high free fatty acid feedstocks, such as recycled restaurant grease, animal fats, and soapstock. (c) 2004 Elsevier B.V. All rights reserved.",10.1016/j.fuproc.2004.11.005
J,"Heinz, DC; Chang, CI",Fully constrained least squares linear spectral mixture analysis method for material quantification in hyperspectral imagery,"Linear spectral mixture analysis (LSMA) is a widely used technique in remote sensing to estimate abundance fractions of materials present in an image pixel. In order for an LSMA-based estimator to produce accurate amounts of material abundance, it generally requires two constraints imposed on the linear mixture model used in LSMA, which are the abundance sum-to-one constraint and the abundance nonnegativity constraint. The first constraint requires the sum of the abundance fractions of materials present in an image pixel to be one and the second imposes a constraint that these abundance fractions be nonnegative. While the first constraint is easy to deal with, the second constraint is difficult to implement since it results in a set of inequalities and can only be solved by numerical methods. Consequently, most LSMA-based methods are unconstrained and produce solutions that do not necessarily reflect the true abundance fractions of materials. In this case, they can only be used for the purposes of material detection, discrimination, and classification, but not for material quantification. In this paper, we present a fully constrained least squares (FCLS) linear spectral mixture analysis method for material quantification. Since no closed form can be derived for this method, an efficient algorithm is developed to yield optimal solutions. In order to further apply the designed algorithm to unknown image scenes, an unsupervised least squares error (LSE)-based method is also proposed to extend the FCLS method in an unsupervised manner. A series of computer simulations and real hyperspectral data experiments were conducted to demonstrate the performance of the proposed FCLS LSMA approach in material quantification.",10.1109/36.911111
J,"Reddy, JN",Analysis of functionally graded plates,"Theoretical formulation, Navier's solutions of rectangular plates, and finite element models based on the third-order shear deformation plate theory are presented for the analysis of through-thickness functionally graded plates. The plates are assumed to have isotropic, two-constituent material distribution through the thickness, and the modulus of elasticity of the plate is assumed to vary according to a power-law distribution in terms of the volume fractions of the constituents. The formulation accounts for the thermomechanical coupling, time dependency, and the von Karman-type geometric Iron-linearity. Numerical results of the linear third-order theory and non-linear first-order theory are presented to show the effect of the material distribution on the deflections and stresses. Copyright (C) 2000 John Wiley & Sons, Ltd.",10.1002/(SICI)1097-0207(20000110/30)47:1/3<663::AID-NME787>3.0.CO;2-8
