Publication Type,Authors,Title,Abstract,DOI
J,"Dlugosz, R; Kubiak, K; Talaska, T; Zbierska-Piatek, I",PARALLEL MATRIX MULTIPLICATION CIRCUITS FOR USE IN KALMAN FILTERING,"In this work we propose several ways of the CMOS implementation of a circuit fOr the multiplication of matrices. We mainly focus on parallel and asynchronous solutions, however serial and mixed approaches are also discussed for the comparison. Practical applications are the motivation behind our in-vestigations. They include fast Kalman ""ltering commonly used in automotive active safety functions, for example. In such ""hers, numerous time-consuming operations on matrices are performed. An additional problem is the growing amount of data to be processed. It results from the growing number of sensors in the vehicle as frilly autonomuos driving is developed. Software solutions may prove themselves to he ins degrees cient in the nearest future. That is why hardware coprocessors are in the area of our interests as they could take over some of the most time-consuming operations. The paper presents possible solutions, tailored to specic problems (sizes of multiplied matrices, number of bits in signals, etc.). The estimates of the performance made on the basis of selected simulation and measurement results show that multiplication of 3x3 matrices with data rate of 20 100,V1Sps is achievable in the CMOS 130 nm technology.",10.2298/FUEE1904479D
J,"Doghmane, H; Bourouba, H; Messaoudi, K; Bournene, EB",A Spatial Pyramidal Decomposition Method for ear representation using local dual cross patterns,"In recent years, several scientific works are oriented to develop optimal ear representation, for ear recognition, which is discriminant, compact, and easyto-implement to ensure the best performance in terms of accuracy, computation cost, and storage requirement. In this manner, this paper presents a novel ear representation based on texture analysis framework, which relies mainly on Dual Cross Pattern (DCP) descriptor and Spatial Pyramid Histogram (SPH) method. The features are extracted using DCP descriptor to capture the textural structure then, the SPH of horizontal ear decomposition is applied to obtain the local information. The feature vector representations of ear image are constructed by concatenating all normalized histograms calculated at each level of the SPH method. Experiments conducted on three ear databases (IIT-Delhi-1, HT-Delhi-2 and USTB-1) confirm its performance compared to the recent existing methods.",
J,"Du, TB; Chen, CT; Huang, KH; Chen, YP",Development of an effective method for the separation of petroleum pitch using high pressure CO<sub>2</sub>,"Mesophase pitch, as an important chemical intermediate, belongs to highly structured pitch materials that has good property for conducting heat or electricity. Pitch can be naturally derived from petroleum or coal tar. Prior to producing the mesophase pitch materials, the removal of complex low molecular weight polycyclic aromatic hydrocarbons (PAHs) from the original petroleum pitch is essential. In the study, we have developed a two-step process using high pressure CO2 for separating the useful part with desired properties from the raw petroleum pitch sample. Firstly, a stepwise supercritical CO2 (scCO(2)) extraction process was employed for removing the lightest molecular weight fractions. The residual and CO2-insoluble fractions were further separated by a subcritical anti-solvent (SAS) process using CO2 at 25 degrees C and three high pressure conditions. A modified SAS apparatus was utilized in this study. The gel-permeation chromatography (GPC) analysis system with standard calibrations was used to determine the molecular weight of various pitch samples. The GPC system was equipped with dual Ultraviolet (UV) and Refractive Index (RI) detectors. The polydispersity index (PDI) value of the raw petroleum pitch 6 (PP6) sample was 6.9, and it was reduced to 3.8 after the scCO(2) extraction and under the appropriate SAS processing pressure. The corresponding weight average molecular weight (M-w) was increased from 987 to 1493 g/mol. This study provides an effective separation and product identification method that only employs commonly used GPC analyses with dual UV and RI detectors. A useful screening method has been developed for selecting the most appropriate separation parameters.",10.1016/j.jcou.2019.04.009
J,"Durickovic, I; Gaudé, S; Joineau, JY",Development of a demonstrator for the qualification of the impact of de-icing agents on the corrosion appearance through aging tests,"This paper underlines the importance of surveillance of the corrosion appearance on infrastructure materials that are constantly exposed to corrosive products such as road salt in the winter maintenance context. A specific experimental setup and methodology for the evaluation of corrosion risks of materials in contact with salted solutions were developed. Aging tests, based on a cyclic immersion of metallic samples in corrosive solutions, were performed on aluminum, crude and galvanized steel, with an investigation of the influence of parameters such as solution concentration, sample active surface and air exposure. The results show a great influence of the solution concentration on crude steel, and the enhancement of corrosion appearance and propagation by air exposure.",10.1088/2631-8695/ab4ccb
J,"Ebel, M",VERTICAL WALL STRUCTURES IN TENEMENT HOUSES AT THE TURN OF 20TH CENTURY,"This article analyses the development of masonry, used extensively during the construction of tenement houses in Czech towns after the middle of the 19th century, peaking at the turn of the 20th century. The dimensions (wall thickness) were defined by architectural codes issued for Czech Crown Lands (i.e. Bohemia, Moravia & Silesia) in three waves - the first one taking place from 1833 till 1835, the second one from 1864 till 1884, and the third one from 1886 till 1894. Tenement houses belonged, without exception, to the so-called ""below-threshold"" buildings, where a wing was 6.32 m deep (later 6.5). These principles are presented in historical examples of selected works by students of the Prague Polytechnical Institute and architectural designs for Prague (Bubenec and Nusle boroughs).",10.14311/CEJ.2019.04.0055
J,"Elshenawy, MA; Abdelkader, SM; Amin, AA; Farghal, SA",Improved plug-play SV with virtual inertia for enhancing the stability of high RES-penetrated grids,"The synchronverter (SV) is currently one of the most promising grid-friendly inverters that mimic synchronous generators (SGs). Almost all the available SV use virtual current signal for synchronization, which require a complicated controller that lacks plug-play capability. This paper proposes a new generation of self-synchronised SV with a simpler controller, which provides plug-play capability with no need for switching between actual controller current and a virtual current for each ON-OFF process. The proposed SV (PSV) can also share the load with other SGs and SVs and also it is able to take part in regulating system frequency and voltage. A linearised small-signal model is derived for the controller to investigate its stability. The PSV is also validated through multiple simulation studies carried out in MATLAB/Simulink environment. The results show the capability of the PSV to achieve self-synchronisation and plug-play operation without a dedicated PLL or a virtual current. Compared to the current self-synchronised SV, the PSV guarantees a smoother grid connection and gives more accurate reactive power sharing. Moreover, the PSV is applied to a modified IEEE 14-bus test system considering three different contingencies to prove its impact on enhancing system dynamics and stability.",10.1049/iet-stg.2018.0214
J,"Emoto, T; Nozaki, T",Shifted Coded Slotted ALOHA: A Graph-Based Random Access with Shift Operation,"A random access scheme is a fundamental scenario in which the users transmit through a shared channel and cannot coordinate with each other. Recently, successive interference cancellation (SIC) is introduced into the random access scheme. The SIC decodes the transmitted packets using collided packets. The coded slotted ALOHA (CSA) is a random access scheme using the SIC. The CSA encodes each packet by a local code prior to transmission. It is known that the CSA achieves excellent throughput. On the other hand, it is reported that shift operation improves the decoding performance for packet-oriented erasure correcting coding systems. In this paper, we propose a protocol which applies the shift operation to the CSA. Numerical simulations show that the proposed protocol achieves better throughput and packet loss rate than the CSA. Moreover, we analyze the asymptotic behavior of the throughput and the decoding erasure rate for the proposed protocol by the density evolution.",10.1587/transfun.E102.A.1611
J,"Escolle, C; Michau, V; Ferrari, M; Fusco, T; Hugot, E",Misalignment estimation for active telescopes,"The estimation of the misalignment of an active telescope, from aberrations measured in its focal plane, is a tomographic issue. MMSE-based estimation is successfully used in optical tomography issues, like multiconjugate adaptive optics, where the problem is linear, and the phase perturbation spectrum rapidly decreasing. The implementation of MMSE developed in the case of multiconjugate adaptive optics has been applied to the alignment of active telescopes, although the forward problem is not linear, and the aberration spectrum different. Its performance is characterized by numerical modeling in the case of a TMA type large-field imaging space telescope, and compared to the classical Least-Square approach. The MMSE estimation brings a significant gain in terms of robustness and accuracy.",10.1007/s12567-019-00272-w
J,"Evran, S",Thermal Buckling Analysis of Axially Layered Functionally Graded Thin Beams under Clamped-Clamped Boundary Conditions,"In the present article, the critical buckling temperature of axially layered functionally graded thin beams for the first mode was studied under clamped-clamped boundary conditions. The beams were made to be three layers using functionally graded materials with ceramic and metal systems in the axial direction. Analyses were performed using fmite element and Taguchi methods. The beam configurations were designed based on Taguchi L-9 orthogonal array in order to detect the maximum critical buckling temperature and were analyzed using finite element software ANSYS. Analysis of signal-to-noise ratio was utilized to determine the layers with optimum levels and the influence of ceramic and metal materials in each layer. Analysis of Variance at the 95 % confidence level was employed in order to select the most significant layers and their percent contribution on response characteristic. The optimum result of the critical buckling temperature was predicted based on the 95 % confidence intervals of confirmation analysis and population.",10.2339/politeknik.498684
J,"Fabiano, B; Currò, F; Reverberi, A; Palazzi, E",Generalized mathematical modelling of spray barriers,"In this paper, experimental and theoretical investigations on liquid spray curtains are presented, in the context of absorbing and dispersing hazardous gaseous releases. The problem of release mitigation by absorption, either in pure water or in aqueous solution, was investigated or analytically solved by developing a general approach. The structure of the model includes a fluid-dynamic model describing air entrainment rate both in still air and in windy conditions, an absorption model, predicting spray efficiency and a mixing-dispersion model for the evaluation of the overall barrier effectiveness in environmental control. The model was validated by means of replicated experimental runs in a wind tunnel equipped with spray nozzles suitable to create a two-blade barrier. The model agreement with experimental data was fairly good in both cases of water and reacting curtain, which is promising for short-cut design purposes. The developed framework can be applied to more complex situations and different gas, allowing, as well, the attainment of a more generalized approach for the design of a curtain, once given the release parameters, the site layout and the sensitive target specifications.",10.1016/j.cej.2018.10.045
