Publication Type,Authors,Title,Abstract,DOI
J,"Fürstner, R; Barthlott, W; Neinhuis, C; Walzel, P",Wetting and self-cleaning properties of artificial superhydrophobic surfaces,"The wetting and the self-cleaning properties (the latter is often called the ""Lotus-Effect"") of three types of superhydrophobic surfaces have been investigated: silicon wafer specimens with different regular arrays of spikes hydrophobized by chemical treatment, replicates of water-repellent leaves of plants, and commercially available metal foils which were additionally hydrophobized by means of a fluorinated agent. Water droplets rolled off easily from those silicon samples which had a microstructure consisting of rather slender spikes with narrow pitches. Such samples could be cleaned almost completely from artificial particulate contaminations by a fog consisting of water droplets (diameter range, 8-20 mum). Some metal foils and some replicates had two levels of roughening. Because of this, a complete removal of all particles was not possible using artificial fog. However, water drops with some amount of kinetic impact energy were able to clean these surfaces perfectly. A substrate where pronounced structures in the range below 5 mum were lacking could not be cleaned by means of fog because this treatment resulted in a continuous water film on the samples.",10.1021/la0401011
J,"Brincker, R; Zhang, LM; Andersen, P",Modal identification of output-only systems using frequency domain decomposition,"In this paper a new frequency domain technique is introduced for the modal identification of output-only systems, i.e. in the case where the modal parameters must be estimated without knowing the input exciting the system. By its user friendliness the technique is closely related to the classical approach where the modal parameters are estimated by simple peak picking. However, by introducing a decomposition of the spectral density function matrix, the response spectra can be separated into a set of single degree of freedom systems, each corresponding to an individual mode. By using this decomposition technique close modes can be identified with high accuracy even in the case of strong noise contamination of the signals. Also, the technique clearly indicates harmonic components in the response signals.",10.1088/0964-1726/10/3/303
J,"You, JB; Hong, ZR; Yang, Y; Chen, Q; Cai, M; Song, TB; Chen, CC; Lu, SR; Liu, YS; Zhou, HP; Yang, Y",Low-Temperature Solution-Processed Perovskite Solar Cells with High Efficiency and Flexibility,"Perovskite compounds have attracted recently great attention in photovoltaic research. The devices are typically fabricated using condensed or mesoporous TiO2 as the electron transport layer and 2,2'7,7'-tetrakis-(N,N-dip-methoxyphenylamine)9,9'-spirobifluorene as the hole transport layer. However, the high-temperature processing (450 degrees C) requirement of the TiO2 layer could hinder the widespread adoption of the technology. In this report, we adopted a low-temperature processing technique to attain high-efficiency devices in both rigid and flexible substrates, using device structure substrate/ITO/PEDOT:PSS/CH(3)NH(3)Pbl(3-x)Cl(x)/PCBM/Al, where PEDOT:PSS and PCBM are used as hole and electron transport layers, respectively. Mixed halide perovskite, CH(3)NH(3)Pbl(3-x)Cl(x) was used due to its long carrier lifetime and good electrical properties. All of these layers are solution-processed under 120 degrees C. Based on the proposed device structure, power conversion efficiency (PCE) of 11.5% is obtained in rigid substrates (glass/ITO), and a 9.2% PCE is achieved for a polyethylene terephthalate/ITO flexible substrate.",10.1021/nn406020d
J,"Bourdin, B; Francfort, GA; Marigo, JJ",The variational approach to fracture,,10.1007/s10659-007-9107-3
J,"Namasivayam, C; Kavitha, D","Removal of Congo Red from water by adsorption onto activated carbon prepared from coir pith, an agricultural solid waste","The adsorption of Congo Red by coir pith carbon was carried out by varying the parameters such as agitation time, dye concentration, adsorbent dose, pH and temperature. Equilibrium adsorption data followed both Langmuir and Freundlich isotherms. Adsorption followed second-order rate kinetics. The adsorption capacity was found to be 6.7 mg dye per g of the adsorbent. Acidic pH was favourable for the adsorption of Congo Red. Desorption studies suggest that chemisorption might be the major mode of adsorption. (C) 2002 Elsevier Science Ltd. All rights reserved.",10.1016/S0143-7208(02)00025-6
J,"Bullard, JW; Jennings, HM; Livingston, RA; Nonat, A; Scherer, GW; Schweitzer, JS; Scrivener, KL; Thomas, JJ",Mechanisms of cement hydration,"The current state of knowledge of cement hydration mechanisms is reviewed, including the origin of the period of slow reaction in alite and cement, the nature of the acceleration period, the role of calcium sulfate in modifying the reaction rate of tricalcium aluminate, the interactions of silicates and aluminates, and the kinetics of the deceleration period. In addition, several remaining controversies or gaps in understanding are identified, such as the nature and influence on kinetics of an early surface hydrate, the mechanistic origin of the beginning of the acceleration period, the manner in which microscopic growth processes lead to the characteristic morphologies of hydration products at larger length scales, and the role played by diffusion in the deceleration period. The review concludes with some perspectives on research needs for the future. Published by Elsevier Ltd.",10.1016/j.cemconres.2010.09.011
J,"Loh, KP; Bao, QL; Ang, PK; Yang, JX",The chemistry of graphene,"A review on the latest developments on graphene, written from the perspective of a chemist, is presented. The role of chemistry in bringing graphene research to the next level is discussed.",10.1039/b920539j
J,"Yu, DS; Goh, K; Wang, H; Wei, L; Jiang, WC; Zhang, Q; Dai, LM; Chen, Y",Scalable synthesis of hierarchically structured carbon nanotube-graphene fibres for capacitive energy storage,"Micro-supercapacitors are promising energy storage devices that can complement or even replace batteries in miniaturized portable electronics and microelectromechanical systems. Their main limitation, however, is the low volumetric energy density when compared with batteries. Here, we describe a hierarchically structured carbon microfibre made of an interconnected network of aligned single-walled carbon nanotubes with interposed nitrogen-doped reduced graphene oxide sheets. The nanomaterials form mesoporous structures of large specific surface area (396 m(2) g(-1)) and high electrical conductivity (102 S cm(-1)). We develop a scalable method to continuously produce the fibres using a silica capillary column functioning as a hydrothermal microreactor. The resultant fibres show a specific volumetric capacity as high as 305 F cm(-3) in sulphuric acid (measured at 73.5 mA cm(-3) in a three-electrode cell) or 300 F cm(-3) in polyvinyl alcohol (PVA)/H3PO4 electrolyte (measured at 26.7 mA cm(-3) in a two-electrode cell). A full micro-supercapacitor with PVA/H3PO4 gel electrolyte, free from binder, current collector and separator, has a volumetric energy density of similar to 6.3 mWh cm(-3) (a value comparable to that of 4 V-500 mu Ah thin-film lithium batteries) while maintaining a power density more than two orders of magnitude higher than that of batteries, as well as a long cycle life. To demonstrate that our fibre-based, all-solid-state micro-supercapacitors can be easily integrated into miniaturized flexible devices, we use them to power an ultraviolet photodetector and a light-emitting diode.",10.1038/NNANO.2014.93
J,"Zhang, LL; Zhou, R; Zhao, XS",Graphene-based materials as supercapacitor electrodes,"Graphene is an emerging carbon material that may soon find practical applications. With its unusual properties, graphene is a potential electrode material for electrochemical energy storage. This article highlights recent research progress in graphene-based materials as supercapacitor electrodes. With a brief description of the working principle of supercapacitors, research progress towards the synthesis and modification of graphene-based materials, including graphene oxide, fullerenes, and carbon nanotubes, is presented. Applications of such materials with desirable properties to meet the specific requirements for the design and configuration of advanced supercapacitor devices are summarized and discussed. Future research trends towards new approaches to the design and synthesis of graphene-based nanostructures and architectures for electrochemical energy storage are proposed.",10.1039/c000417k
J,"Speer, J; Matlock, DK; De Cooman, BC; Schroth, JG",Carbon partitioning into austenite after martensite transformation,"A model is developed to describe the endpoint of carbon partitioning between quenched martensite and retained austenite, in the absence of carbide formation. The model assumes a stationary alpha/gamma interface, and requires a uniform chemical potential for carbon, but not iron, in the two phases, leading to a metastable equilibrium condition identified here as ""constrained paraequilibrium"" or CPE. The model is explained with example calculations showing the characteristics of the constrained paraequilibrium condition, and applications are discussed with respect to new microstructures and processes, including a new ""quenching and partitioning,"" or Q&P process, to create mixtures of carbon-depleted martensite, and carbon-enriched retained austenite. Important new implications with respect to fundamental elements of the bainite transformation are also discussed. (C) 2003 Published by Elsevier Science Ltd on behalf of Acta Materialia Inc.",10.1016/S1359-6454(03)00059-4
