Publication Type,Authors,Title,Abstract,DOI
J,"Brow, RK",Review: the structure of simple phosphate glasses,"Recent developments of phosphate glasses for a variety of technological applications, from rare-earth ion hosts for solid state lasers to low temperature sealing glasses, have led to renewed interest in understanding the structures of these unusual materials. In this review, spectroscopic and diffraction studies of simple phosphate glasses, including v-P2O5 and binary phosphate compositions, are described. Special attention is given to the structures of anhydrous ultra-phosphate glasses, which have received close attention from the glass community only in the past six years. (C) 2000 Published by Elsevier Science B.V. All rights reserved.",10.1016/S0022-3093(99)00620-1
J,"Kim, HS; Gibbs, ZM; Tang, YL; Wang, H; Snyder, GJ",Characterization of Lorenz number with Seebeck coefficient measurement,"In analyzing zT improvements due to lattice thermal conductivity (kappa(L)) reduction, electrical conductivity (sigma) and total thermal conductivity (kappa(Total)) are often used to estimate the electronic component of the thermal conductivity (kappa(E)) and in turn kappa(L) from kappa(L) = similar to kappa(Total) - L sigma T. TheWiedemann-Franz law, kappa(E) = L sigma T, where L is Lorenz number, is widely used to estimate kappa(E) from sigma measurements. It is a common practice to treat L as a universal factor with 2.44 x 10(-8) W Omega K-2 (degenerate limit). However, significant deviations from the degenerate limit (approximately 40% or more for Kane bands) are known to occur for non-degenerate semiconductors where L converges to 1.5 x 10(-8) W Omega K-2 for acoustic phonon scattering. The decrease in L is correlated with an increase in thermopower (absolute value of Seebeck coefficient (S)). Thus, a first order correction to the degenerate limit of L can be based on the measured thermopower, vertical bar S vertical bar, independent of temperature or doping. We propose the equation: L = 1.5 + exp [ -vertical bar S vertical bar/116] (where L is in 10(-8) W Omega K-2 and S in mu V/K) as a satisfactory approximation for L. This equation is accurate within 5% for single parabolic band/acoustic phonon scattering assumption and within 20% for PbSe, PbS, PbTe, Si0.8Ge0.2 where more complexity is introduced, such as non-parabolic Kane bands, multiple bands, and/or alternate scattering mechanisms. The use of this equation for L rather than a constant value (when detailed band structure and scattering mechanism is not known) will significantly improve the estimation of lattice thermal conductivity. (C) 2015 Author(s).",10.1063/1.4908244
J,"Stoimenov, PK; Klinger, RL; Marchin, GL; Klabunde, KJ",Metal oxide nanoparticles as bactericidal agents,"Reactive magnesium oxide nanoparticles and halogen (Cl-2, Br-2) adducts of these MgO particles were allowed to contact certain bacteria and spore cells. Bacteriological test data, atomic force microscopy (AFM) images, and electron microscopy (TEM) images are provided, which yield insight into the biocidal action of these nanoscale materials. The tests show that these materials are very effective against Gram-positive and Gram-negative bacteria as well as spores. zeta-Potential measurements show an attractive interaction between the MgO nanoparticles and bacteria and spore cells, which is confirmed by confocal microscopy images. The AFM studies illustrate considerable changes in the cell membranes upon treatment, resulting in the death of the cells. TEM micrographs confirm these results and supply additional information about the processes inside the cells. Overall, the results presented illustrate that dry powder nanoparticulate formulations as well as water slurries are effective. It is proposed that abrasiveness, basic character, electrostatic attraction, and oxidizing power (due to the presence of active halogen) combine to promote these biocidal properties.",10.1021/la0202374
J,"Gref, R; Lück, M; Quellec, P; Marchand, M; Dellacherie, E; Harnisch, S; Blunk, T; Müller, RH",'Stealth' corona-core nanoparticles surface modified by polyethylene glycol (PEG):: influences of the corona (PEG chain length and surface density) and of the core composition on phagocytic uptake and plasma protein adsorption,"Nanoparticles possessing poly(ethylene glycol) (PEG) chains on their surface have been described as blood persistent drug delivery system with potential applications for intravenous drug administration. Considering the importance of protein interactions with injected colloidal dug carriers with regard to their in vivo fate, we analysed plasma protein adsorption onto biodegradable PEG-coated poly(lactic acid) (PLA), poly(lactic-co-glycolic acid) (PLGA) and poly(epsilon-caprolactone) (PCL) nanoparticles employing two-dimensional gel electrophoresis (2-D PAGE). A series of corona/core nanoparticles of sizes 160-270 nm were prepared from diblock PEG-PLA, PEG-PLGA and PEG-PCL and from PEG-PLA:PLA blends. The PEG Mw was varied from 2000-20 000 g/mole and the particles were prepared using different PEG contents. It was thus possible to study the influence of the PEG corona thickness and density, as well as the influence of the nature of the core (PLA, PLGA or PCL), on the competitive plasma protein adsorption, zeta potential and particle uptake by polymorphonuclear (PMN) cells. 2-D PAGE studies showed that plasma protein adsorption on PEG-coated PLA nanospheres strongly depends on the PEG molecular weight (Mw) (i.e. PEG chain length at the particle surface) as well as on the PEG content in the particles (i.e. PEG chain density at the surface of the particles). Whatever the thickness or the density of the corona, the qualitative composition of the plasma protein adsorption patterns was very similar, showing that adsorption was governed by interaction with a PLA surface protected more or less by PEG chains. The main spots on the gels were albumin, fibrinogen, IgG, Ig light chains, and the apolipoproteins apoA-I and apoE. For particles made of PEG-PLA45K with different PEG Mw, a maximal reduction in protein adsorption was found for a PEG Mw of 5000 g/mole. For nanospheres differing in their PEG content from 0.5 to 20 wt %, a PEG content between 2 and 5 wt % was determined as a threshold value for optimal protein resistance. When increasing the PEG content in the nanoparticles above 5 wt % no further reduction in protein adsorption was achieved. Phagocytosis by PMN studied using chemiluminescence and zeta potential data agreed well with these findings: the same PEG surface density threshold was found to ensure simultaneously efficient steric stabilization and to avoid the uptake by PMN cells. Supposing all the PEG chains migrate to the surface, this would correspond to a distance of about 1.5 nm between two terminally attached PEG chains in the covering 'brush'. Particles from PEG5K-PLA45K, PEG5K-PLGA45K; and PEG5K-PCL45K copolymers enabled to study the influence of the core on plasma protein adsorption, all other parameters (corona thickness and density) being kept constant. Adsorption patterns were in good qualitative agreement with each other. Only a few protein species were exclusively present just on one type of nanoparticle. However, the extent of proteins adsorbed differed in a large extent from one particle to another. In vivo studies could help elucidating the role of the type and amount of proteins adsorbed on the fate of the nanoparticles after intraveinous administration, as a function of the nature of their core. These results could be useful in the design of long circulating intravenously injectable biodegradable drug carriers endowed with protein resistant properties and low phagocytic uptake. (C) 2000 Elsevier Science B.V. All rights reserved.",10.1016/S0927-7765(99)00156-3
J,"Green, MA; Dunlop, ED; Levi, DH; Hohl-Ebinger, J; Yoshita, M; Ho-Baillie, AWY",Solar cell efficiency tables (version 54),"Consolidated tables showing an extensive listing of the highest independently confirmed efficiencies for solar cells and modules are presented. Guidelines for inclusion of results into these tables are outlined, and new entries since January 2019 are reviewed.",10.1002/pip.3171
J,"McFarland, AD; Van Duyne, RP",Single silver nanoparticles as real-time optical sensors with zeptomole sensitivity,"This work utilizes dark-field optical microscopy to demonstrate the localized surface plasmon resonance gamma(max) response of individual Ag nanoparticles to the formation of a monolayer of small-molecule adsorbates. The adsorption of fewer than 60 000 1-hexadecanethiol molecules on single Ag nanoparticles results in a localized surface plasmon resonance shift of 40.7 nm. Additionally, the kinetics of the single nanoparticle response was shown to be comparable to that of other real-time sensor technologies.",10.1021/nl034372s
J,"Miller, JS; Stevens, KR; Yang, MT; Baker, BM; Nguyen, DHT; Cohen, DM; Toro, E; Chen, AA; Galie, PA; Yu, X; Chaturvedi, R; Bhatia, SN; Chen, CS",Rapid casting of patterned vascular networks for perfusable engineered three-dimensional tissues,"In the absence of perfusable vascular networks, three-dimensional (3D) engineered tissues densely populated with cells quickly develop a necrotic core(1). Yet the lack of a general approach to rapidly construct such networks remains a major challenge for 3D tissue culture(2-4). Here, we printed rigid 3D filament networks of carbohydrate glass, and used them as a cytocompatible sacrificial template in engineered tissues containing living cells to generate cylindrical networks that could be lined with endothelial cells and perfused with blood under high-pressure pulsatile flow. Because this simple vascular casting approach allows independent control of network geometry, endothelialization and extravascular tissue, it is compatible with a wide variety of cell types, synthetic and natural extracellular matrices, and crosslinking strategies. We also demonstrated that the perfused vascular channels sustained the metabolic function of primary rat hepatocytes in engineered tissue constructs that otherwise exhibited suppressed function in their core.",10.1038/NMAT3357
J,"Lau, KKS; Bico, J; Teo, KBK; Chhowalla, M; Amaratunga, GAJ; Milne, WI; McKinley, GH; Gleason, KK",Superhydrophobic carbon nanotube forests,"The present study demonstrates the creation of a stable, superhydrophobic surface using the nanoscale roughness inherent in a vertically aligned carbon nanotube forest together with a thin, conformal hydrophobic poly(tetrafluoroethylene) (PTFE) coating on the surface of the nanotubes. Superhydrophobicity is achieved down to the microscopic level where essentially spherical, micrometer-sized water droplets can be suspended on top of the nanotube forest.",10.1021/nl034704t
J,"Sun, YM; Seo, JH; Takacs, CJ; Seifter, J; Heeger, AJ",Inverted Polymer Solar Cells Integrated with a Low-Temperature-Annealed Sol-Gel-Derived ZnO Film as an Electron Transport Layer,"Highly efficient and air-stable inverted polymer solar cells are fabricated with a poly(2,7-carbazole) derivative (PCDTBT):fullerene derivative (PC70BM) active layer. Low-temperature-annealed sol-gel-derived zinc oxide (ZnO) and molybdenum oxide films are selected as the electron and hole transporting layers, respectively. Power conversion efficiency (PCE) of 6.3% is demonstrated, which is the highest reported to date for inverted polymer solar cells.",10.1002/adma.201004301
J,"Pei, SF; Zhao, JP; Du, JH; Ren, WC; Cheng, HM",Direct reduction of graphene oxide films into highly conductive and flexible graphene films by hydrohalic acids,"We report a simple but highly-effective hydrohalic acid reducing method to reduce graphene oxide (GO) films into highly conductive graphene films without destroying their integrity and flexibility at low temperature based on the nucleophilic substitution reaction. GO films reduced for 1 h at 100 degrees C in 55% hydroiodic (HI) acid have an electrical conductivity as high as 298 S/cm and a C/O ratio above 12, both of which are much higher than films reduced by other chemical methods. The reduction maintains good integrity and flexibility, and even improves the strength and ductility, of the original GO films. Based on this reducing method, a flexible graphene-based transparent conductive film with a sheet resistance of 1.6 k Omega/sq and 85% transparency was obtained, further verifying the advantage of HI acid reduction. (C) 2010 Elsevier Ltd. All rights reserved.",10.1016/j.carbon.2010.08.006
