Publication Type,Authors,Title,Abstract,DOI
J,"Liang, PW; Liao, CY; Chueh, CC; Zuo, F; Williams, ST; Xin, XK; Lin, JJ; Jen, AKY",Additive Enhanced Crystallization of Solution-Processed Perovskite for Highly Efficient Planar-Heterojunction Solar Cells,"An effective method to control the rate of perovskite crystallization by incorporating rationally chosen additives into the perovskite precursor solutions is demonstrated. The processing additives simultaneously facilitate nucleation and modulate the kinetics of crystal growth during crystallization, leading to much smoother perovskite morphology with improved coverage area and crystal uniformity. As a result, it enables very high PCE (similar to 12%) planar-heterojunction solar cells to be fabricated through the low-temperature solution processes (under 150 degrees C). This study opens up a new direction for optimizing perovskite active layer properties to expand device performance ceilings.",10.1002/adma.201400231
J,"Tang, J; Kemp, KW; Hoogland, S; Jeong, KS; Liu, H; Levina, L; Furukawa, M; Wang, XH; Debnath, R; Cha, DK; Chou, KW; Fischer, A; Amassian, A; Asbury, JB; Sargent, EH",Colloidal-quantum-dot photovoltaics using atomic-ligand passivation,"Colloidal-quantum-dot (CQD) optoelectronics offer a compelling combination of solution processing and spectral tunability through quantum size effects. So far, CQD solar cells have relied on the use of organic ligands to passivate the surface of the semiconductor nanoparticles. Although inorganic metal chalcogenide ligands have led to record electronic transport parameters in CQD films, no photovoltaic device has been reported based on such compounds. Here we establish an atomic ligand strategy that makes use of monovalent halide anions to enhance electronic transport and successfully passivate surface defects in PbS CQD films. Both time-resolved infrared spectroscopy and transient device characterization indicate that the scheme leads to a shallower trap state distribution than the best organic ligands. Solar cells fabricated following this strategy show up to 6% solar AM1.5G power-conversion efficiency. The CQD films are deposited at room temperature and under ambient atmosphere, rendering the process amenable to low-cost, roll-by-roll fabrication.",10.1038/NMAT3118
J,"Kühn, S; Håkanson, U; Rogobete, L; Sandoghdar, V",Enhancement of single-molecule fluorescence using a gold nanoparticle as an optical nanoantenna,"We investigate the coupling of a single molecule to a single spherical gold nanoparticle acting as a nanoantenna. Using scanning probe technology, we position the particle in front of the molecule with nanometer accuracy and measure a strong enhancement of more than 20 times in the fluorescence intensity simultaneous to a 20-fold shortening of the excited state lifetime. Comparisons with three-dimensional calculations guide us to decipher the contributions of the excitation enhancement, spontaneous emission modification, and quenching. Furthermore, we provide direct evidence for the role of the particle plasmon resonance in the molecular excitation and emission processes.",10.1103/PhysRevLett.97.017402
J,"Liu, S; Tian, JQ; Wang, L; Zhang, YW; Qin, XY; Luo, YL; Asiri, AM; Al-Youbi, AO; Sun, XP","Hydrothermal Treatment of Grass: A Low-Cost, Green Route to Nitrogen-Doped, Carbon-Rich, Photoluminescent Polymer Nanodots as an Effective Fluorescent Sensing Platform for Label-Free Detection of Cu(II) Ions",,10.1002/adma.201200164
J,"Bashkatov, AN; Genina, EA; Kochubey, VI; Tuchin, VV","Optical properties of human skin, subcutaneous and mucous tissues in the wavelength range from 400 to 2000 nm","The optical properties of human skin, subcutaneous adipose tissue and human mucosa were measured in the wavelength range 400-2000 nm. The measurements were carried out using a commercially available spectrophotometer with an integrating sphere. The inverse adding-doubling method was used to determine the absorption and reduced scattering coefficients from the measurements.",10.1088/0022-3727/38/15/004
J,"Hu, LB; Pasta, M; La Mantia, F; Cui, LF; Jeong, S; Deshazer, HD; Choi, JW; Han, SM; Cui, Y","Stretchable, Porous, and Conductive Energy Textiles","Recently there is strong interest in lightweight, flexible, and wearable electronics to meet the technological demands of modern society. Integrated energy storage devices of this type are a key area that is still significantly underdeveloped, Here, we describe wearable power devices using everyday textiles as the platform. With an extremely simple ""dipping and drying"" process using single-walled carbon nanotube (SWNT) ink, we produced highly conductive textiles with conductivity of 125 S cm(-1) and sheet resistance less than 1 Omega/sq. Such conductive textiles show outstanding flexibility and stretchability and demonstrate strong adhesion between the SWNTs and the textiles of interest. Supercapacitors made from these conductive textiles show high areal capacitance, up to 0.48F/cm(2), and high specific energy. We demonstrate the loading of pseudocapacitor materials into these conductive textiles that leads to a 24-fold increase of the areal capacitance of the device. These highly conductive textiles can provide new design opportunities for wearable electronics and energy storage applications.",10.1021/nl903949m
J,"Mishin, Y; Mehl, MJ; Papaconstantopoulos, DA; Voter, AF; Kress, JD","Structural stability and lattice defects in copper: <i>Ab initio</i>, tight-binding, and embedded-atom calculations - art. no. 224106","We evaluate the ability of the embedded-atom method (EAM) potentials and the tight-binding (TB) method to predict reliably energies and stability of nonequilibrium structures by taking Cu as a model material. Two EAM potentials are used here. One is constructed in this work by using more fitting parameters than usual and including ab initio energies in the fitting database. The other potential was constructed previously using a traditional scheme. Excellent agreement is observed between ab initio, TB, and EAM results for the energies and stability of several nonequilibrium structures of Cu, as well as for energies along deformation paths between different structures. We conclude that not only TB calculations but also EAM potentials can be suitable for simulations in which correct energies and stability of different atomic configurations are essential, at least for Cu. The bcc, simple cubic, and diamond structures of Cu were identified as elastically unstable, while some other structures (e.g., hcp and 9R) are metastable. As an application of this analysis, nonequilibrium structures of epitaxial Cu films on (001)-oriented fcc or bcc substrates are evaluated using a simple model and atomistic simulations with an EAM potential. In agreement with experimental data, the structure of the film can be either deformed fee or deformed hcp. The bcc structure cannot be stabilized by epitaxial constraints.",10.1103/PhysRevB.63.224106
J,"Hartnoll, SA; Herzog, CP; Horowitz, GT",Building a holographic superconductor,"We show that a simple gravitational theory can provide a holographically dual description of a superconductor. There is a critical temperature, below which a charged condensate forms via a second order phase transition and the (dc) conductivity becomes infinite. The frequency dependent conductivity develops a gap determined by the condensate. We find evidence that the condensate consists of pairs of quasiparticles.",10.1103/PhysRevLett.101.031601
J,"Alù, A; Engheta, N",Achieving transparency with plasmonic and metamaterial coatings -: art. no. 016623,"The possibility of using plasmonic and metamaterial covers to drastically reduce the total scattering cross section of spherical and cylindrical objects is discussed. While it is intuitively expected that increasing the physical size of an object may lead to an increase in its overall scattering cross section, here we see how a proper design of these lossless metamaterial covers near their plasma resonance may induce a dramatic drop in the scattering cross section, making these objects nearly ""invisible"" or ""transparent"" to an outside observer-a phenomenon with obvious applications for low-observability and noninvasive probe design. Physical insights into this phenomenon and some numerical results are provided.",10.1103/PhysRevE.72.016623
J,"Schelling, PK; Phillpot, SR; Keblinski, P",Comparison of atomic-level simulation methods for computing thermal conductivity,"We compare the results of equilibrium and nonequilibrium methods to compute thermal conductivity. Using Sillinger-Weber silicon as a model system, we address issues related to nonlinear response, thermal equilibration, and statistical averaging. In addition, we present an analysis of finite-size effects and demonstrate how reliable results can be obtained when using nonequilibrium methods by extrapolation to an infinite system size. For the equilibrium Green-Kubo method, we show that results for the thermal conductivity are insensitive to the choice of the definition of local energy from the many-body part of the potential. Finally, we show that the results obtained by the equilibrium and nonequilibrium methods are consistent with each other and for the case of Si are in reasonable agreement with experimental results.",10.1103/PhysRevB.65.144306
