Publication Type,Authors,Title,Abstract,DOI
J,"Zhang, XL; Yang, W; Luo, TZ; Huang, YY; Lei, L; Li, GJ; Xu, P",Two-dimensional distribution expressions of micro-prism on bottom surface of partial integrated light guide plate,"The design of the microstructure distribution on the bottom surface of the partial integrated light guide plate (PILGP) is one of the key factors to improve the luminance uniformity of the partial integrated backlight module (BLM). In this paper, the two-dimensional micro-prism expressions on the bottom surface of the small-sized PILGP are presented. The two-dimensional micro-prism expressions make the micro-prisms spread out on a two-dimensional scale of the bottom surface of the PILGP. By fitting and analyzing a large number of simulation data, the relationship expressions between the coefficients of the two-dimensional micro-prism expressions and the structural parameters of the PILGP are established. The above expressions are directly applied to the two-dimensional distribution design of micro-prism on the bottom surface of small-sized PILGPs with different structural parameters. Without the help of the designers' experience and the multiple simulations of the software, the average value of luminance uniformity in the partial integrated BLMs is obtained to be 84.94%. The simulation results show that the two-dimensional micro-prism expressions and coefficient relation-expressions presented in this paper have important application value. Take the 5-inch partial integrated BLM for example. The two-dimensional distribution of the micro-prism on the bottom surface of the PILGP with high luminance uniformity can be obtained directly by using the above expressions. By fine-tuning the coefficients of two-dimensional micro-prism expressions, calculated by the coefficient relation-expressions, the utilization of light energy, illuminance uniformity and luminance uniformity of the partial integrated BLM respectively reach 90.69%, 88.02% and 92.17%, which meet the practical requirements. The optimization and design time of the partial integrated BLM are both greatly saved. Further, the two-dimensional micro-prism expressions on the bottom surface of the PILGP are analyzed and the physical mechanism is explained reasonably. This work is of significance for the distribution design of the microstructures on the surface of the LGP.",10.7498/aps.68.20190854
J,"Zhao, J; Tang, DL; Xu, L; Li, PC; Zhang, F; Li, J; Gui, BY",Effect of anode magnetic shield on inner magnetic pole etched in anode layer Hall thruster,"For anode layer Hall plasma thruster, the etching of inner magnetic pole is one of the key factors affecting its service life. In order to solve the problem of inner magnetic pole etching in anode layer Hall plasma thruster, the effect of anode magnetic shield on inner magnetic pole etched in anode layer Hall thruster is studied by combining particle simulation PIC with sputtering simulation. The magnetic shielding of anode changes the distribution of magnetic field configuration on the surface of the anode, and improves the magnetic mirror ratio of the magnetic mirror field of the thruster to the magnetic field width of the positive gradient on the central axis. The ratio of the magnetic mirror is 1.4 times that of the original one, and two additional saddle magnetic fields are added on both sides of the original saddle magnetic field region. It not only is conducive to confining electrons and improving the ionization rate of working gas, but also keeps a certain distance between the anode and the high temperature electron region, which provides the reliable reference data for the design of high power Hall plasma thruster. When the discharge voltage is 900 V and the working pressure is 2 x 10(-2) Pa, the simulation results show that after the anode is shielded by the magnetic shield, the energy range of most of the incident ions on the inner magnetic pole is 40-260 eV, which is 100 eV lower than the energy range 40-360 eV in the case without shielding the anode. The probability distribution of particle energy without magnetically shielding the anode between 260 eV and 600 eV is obviously higher than that of ion energy with magnetically shielding the anode. The maximum probability distribution of cosine value of incident angle is extended from a small range near 0.1 (incident angle 84 degrees) to a large range of 0.1-0.45 (incident angle 84 degrees-63 degrees). The magnetic shielding makes the incident ions disperse on the surface of the inner magnetic pole, which is helpful in reducing the etching of inner magnetic pole. The maximum etching rate of inner magnetic pole after the anode has been magnetically shielded is reduced from 16 x 10(-10) m/s to 6.1 x 10(-10) m/s, which is 2.62 times lower. The comparison of simulation results with experimental results in the case without magnetically shielding the anode shows that they are in good agreement.",10.7498/aps.68.20190654
J,"Zhou, BR; Tan, YD; Shen, XJ; Zhu, KY; Bao, LP",Mechanism of contrast-enhancement in ultrasound-modulated laser feedback imaging with ultrasonic microbubble contrast agent,"Ultrasound-modulated optical imaging technology is a new type of biological tissue optical detection technology, and sensitive to the change of scattering coefficient and absorption coefficient of biological tissue. This technology is a non-ionizing and non-invasive pathological detection method, which has great potential application in early detection of cancer. However, ultrasound-modulated optical imaging technology is insufficient in signal-to-noise ratio (SNR) and imaging contrast. Frequency-shifted laser feedback technology with microchip laser is a new type of highly sensitive interference technology, whose gain coefficient for weak optical signal can reach 10(6). This technology can greatly improve the SNR of imaging. Combined with the high sensitive laser feedback technology, the ultrasound-modulated laser feedback technology is proposed. The SNR of this technology is better than that of the traditional ultrasound-modulated optical imaging technology. The increase in SNR can achieve greater depth of detection in biological tissue imaging, but there is no significant improvement in imaging contrast. In order to improve the contrast of biological tissue imaging and achieve high resolution imaging of thick biological tissue, we use ultrasound microbubble contrast agent in ultrasound-modulated laser feedback imaging technology. We establish a Monte Carlo photon transport model with microbubbles in order to study the mechanism of contrast enhancement in ultrasound-modulated laser feedback imaging with microbubbles. Finally, we establish an experimental system to verify the correctness of the simulation results. Experimental and simulation results show that in the transparent solution, the ultrasonic microbubble contrast agent can enhance the ultrasound-modulated laser feedback signal and generate harmonic modulation, which can improve the imaging contrast by detecting the enhancement of the fundamental and harmonic signals of the feedback. In the scattering medium, the ultrasonic microbubble contrast agent can significantly attenuate the ultrasound modulated laser feedback signal, and the imaging contrast can be improved by detecting the attenuation of the fundamental and harmonic signal.",10.7498/aps.68.20190770
J,"Bollinger, AT; Dubuis, G; Leng, X; He, X; Bozovic, I",Electrolyte-Gated Oxides,"Electrolyte gating has the potential to generate electric fields at the surface of materials in the 10(7)-10(8)-V/cm range and induce charge carriers in these materials up to 10(14)-10(15) cm(-2), making this technique very attractive for studying complex and functional oxides. Several types of processes-notably including proton diffusion and intake-can occur during charging, which makes it vitally important to consider and understand exactly how a given material is interacting with an electrolyte. We discuss several of these mechanisms and how to distinguish between them.",10.1007/s10948-019-05313-3
J,"Dodson, A; Baydin, A; Wu, HR; Krzyzanowska, H; Tolk, N",Influence of Doping Level on Brillouin Oscillations in GaAs,"Time-domain Brillouin scattering is a unique tool for determining depth-dependent material properties. Here, we show the influence of doping level in GaAs on Brillouin oscillations. Measurements are performed on intrinsic, n-type, and p -type GaAs samples. The results show high sensitivity of the amplitude of Brillouin oscillations to the doping concentration. Theoretical calculations are in good agreement with experimental data. This work provides an insight into specific dopant profiling as a function of depth.",10.1103/PhysRevApplied.12.054006
J,"Harvey, AH",Influence of Isotopologue Dipole Moments on Precision Dielectric-Constant Measurements,"Measurements of the relative permittivity (static dielectric constant) of fluids such as methane have been interpreted with the assumption of zero dipole moment. This assumption is not strictly true, due to the presence of isotopologues with small, nonzero dipole moments. We investigate the significance of this effect by analyzing the effect of the dipole of CH3D on the static dielectric constant of methane. It is found that the isotopologue effect is more than two orders of magnitude smaller than the uncertainty of the best existing measurements. Similar estimates for other compounds such as H-2 and CO2 produce even smaller effects. Therefore, the interpretation of these measurements with a dipole moment of zero remains valid.",10.6028/jres.124.031
J,"Lammert, PE",Drift-diffusion processes resulting from elimination of fast variables under inhomogeneous conditions,"The problem of eliminating fast-relaxing variables to obtain an effective diffusion process in position is solved in a uniform and straightforward way for models with velocity a function jointly of position and fast variables. A more unified view is thereby obtained of the effect of environmental inhomogeneity on the motion of a diffusing particle, in particular, whether a drift is induced, covering both passive and active particles. Infinitesimal generators (equivalently, drift-diffusion fields) for the contracted processes are worked out in detail for several models.",10.1103/PhysRevE.100.052103
J,"Li, JZ; Tomsovic, S",Asymptotic relationship between homoclinic points and periodic orbit stability exponents,"The magnitudes of the terms in periodic orbit semiclassical trace formulas are determined by the orbits' stability exponents. In this paper, we demonstrate a simple asymptotic relationship between those stability exponents and the phase-space positions of particular homoclinic points.",10.1103/PhysRevE.100.052202
J,"Nakano, H; Miyashita, S",Characterization of localized effective spins in gapped quantum spin chains,"We study properties of localized effective spins induced in gapped quantum spin chains by local inhomogeneities of the lattice. As a prototype, we study effective spins induced in an impunity sites doped AKLT model by constructing the exact ground state in a matrix product state (MPS) form. We characterize their responses to external fields by studying an extended Zeeman interaction. We also study the antiferromagnetic bond-alternating Heisenberg chain with defect structures. For this model, an MPS representation similar to that for the AKLT model, ""a uniform MPS with windows,"" is constructed, and it gives a good approximation of the ground state. We discuss the trade-off relation between the window length and the precision of the MPS ansatz. The effective exchange interaction between the induced spins is also investigated by using this representation.",10.1103/PhysRevB.100.195105
J,"Thompson, JP; Sanchez, IC",A Lower Bound on the Partition Function for a Strictly Neutral Charge-Symmetric System,"A lower bound on the grand partition function of a classical charge-symmetric system is adapted to the neutral grand canonical ensemble, in which the system is constrained to have zero total charge. This constraint permits us to consider two-body potentials that are only conditionally positive definite.",10.1007/s10955-019-02416-y
