PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	C3	RP	EM	RI	OI	FU	FP	FX	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	DL	D2	EA	PG	WC	WE	SC	GA	PM	OA	HC	HP	DA	UT
J	Livak, KJ; Schmittgen, TD				Livak, KJ; Schmittgen, TD			Analysis of relative gene expression data using real-time quantitative PCR and the 2<SUP>-ΔΔ<i>C</i></SUP><sub>T</sub> method	METHODS												The two most commonly used methods to analyze data from real-time, quantitative PCR experiments are absolute quantification and relative quantification. Absolute quantification determines the input copy number, usually by relating the PCR signal to a standard curve. Relative quantification relates the PCR signal of the target transcript in a treatment group to that of another sample such as an untreated control. The 2(-DeltaDeltaCr) method is a convenient way to analyze the relative changes in gene expression from real-time quantitative PCR experiments. The purpose of this report is to present the derivation, assumptions, and applications of the 2(-DeltaDeltaCr) method. In addition, we present the derivation and applications of two variations of the 2(-DeltaDeltaCr) method that may be useful in the analysis of real-time, quantitative PCR data. (C) 2001 Elsevier science.					Sachmittgen, Thomas/HTL-7317-2023														1046-2023					DEC	2001	25	4					402	408		10.1006/meth.2001.1262	http://dx.doi.org/10.1006/meth.2001.1262								11846609					WOS:000173949500003
J	Schneider, CA; Rasband, WS; Eliceiri, KW				Schneider, Caroline A.; Rasband, Wayne S.; Eliceiri, Kevin W.			NIH Image to ImageJ: 25 years of image analysis	NATURE METHODS												For the past 25 years NIH Image and ImageJ software have been pioneers as open tools for the analysis of scientific images. We discuss the origins, challenges and solutions of these two programs, and how their history can serve to advise and inform other software projects.					Eliceiri, Kevin/ABD-4516-2020; Eliceiri, Kevin/P-8339-2015	Eliceiri, Kevin/0000-0001-8678-670X													1548-7091	1548-7105				JUL	2012	9	7					671	675		10.1038/nmeth.2089	http://dx.doi.org/10.1038/nmeth.2089								22930834					WOS:000305942200020
J	Schindelin, J; Arganda-Carreras, I; Frise, E; Kaynig, V; Longair, M; Pietzsch, T; Preibisch, S; Rueden, C; Saalfeld, S; Schmid, B; Tinevez, JY; White, DJ; Hartenstein, V; Eliceiri, K; Tomancak, P; Cardona, A				Schindelin, Johannes; Arganda-Carreras, Ignacio; Frise, Erwin; Kaynig, Verena; Longair, Mark; Pietzsch, Tobias; Preibisch, Stephan; Rueden, Curtis; Saalfeld, Stephan; Schmid, Benjamin; Tinevez, Jean-Yves; White, Daniel James; Hartenstein, Volker; Eliceiri, Kevin; Tomancak, Pavel; Cardona, Albert			Fiji: an open-source platform for biological-image analysis	NATURE METHODS												Fiji is a distribution of the popular open-source software I ImageJ focused on biological-image analysis. Fiji uses modern software engineering practices to combine powerful software libraries with a broad range of scripting languages to enable rapid prototyping of image-processing algorithms. Fiji facilitates the transformation of new algorithms into I ImageJ plugins that can be shared with end users through an integrated update system. We propose Fiji as a platform for productive collaboration between computer science and biology research communities.					Eliceiri, Kevin/ABD-4516-2020; Schmid, Benjamin/ABD-2017-2020; Tinevez, Jean-Yves/O-4551-2019; white, daniel/G-1159-2012; Tomancak, Pavel/C-2109-2009; Eliceiri, Kevin/P-8339-2015; Tinevez, Jean-Yves/L-7581-2015; Arganda-Carreras, Ignacio/L-4605-2014	Saalfeld, Stephan/0000-0002-4106-1761; Cardona, Albert/0000-0003-4941-6536; Schmid, Benjamin/0000-0002-9327-2296; Tomancak, Pavel/0000-0002-2222-9370; Preibisch, Stephan/0000-0002-0276-494X; Longair, Mark/0000-0002-2192-438X; Eliceiri, Kevin/0000-0001-8678-670X; Tinevez, Jean-Yves/0000-0002-0998-4718; Arganda-Carreras, Ignacio/0000-0003-0229-5722; Kaynig, Verena/0000-0002-3520-0577; Rueden, Curtis/0000-0001-7055-6707													1548-7091	1548-7105				JUL	2012	9	7					676	682		10.1038/NMETH.2019	http://dx.doi.org/10.1038/NMETH.2019								22743772					WOS:000305942200021
J	Bolger, AM; Lohse, M; Usadel, B				Bolger, Anthony M.; Lohse, Marc; Usadel, Bjoern			Trimmomatic: a flexible trimmer for Illumina sequence data	BIOINFORMATICS												Motivation: Although many next-generation sequencing (NGS) read preprocessing tools already existed, we could not find any tool or combination of tools that met our requirements in terms of flexibility, correct handling of paired-end data and high performance. We have developed Trimmomatic as a more flexible and efficient preprocessing tool, which could correctly handle paired-end data. Results: The value of NGS read preprocessing is demonstrated for both reference-based and reference-free tasks. Trimmomatic is shown to produce output that is at least competitive with, and in many cases superior to, that produced by other tools, in all scenarios tested.					Usadel, Bjorn/E-1932-2011	Usadel, Bjorn/0000-0003-0921-8041													1367-4803	1460-2059				AUG 1	2014	30	15					2114	2120		10.1093/bioinformatics/btu170	http://dx.doi.org/10.1093/bioinformatics/btu170								24695404					WOS:000340049100004
J	Tamura, K; Stecher, G; Peterson, D; Filipski, A; Kumar, S				Tamura, Koichiro; Stecher, Glen; Peterson, Daniel; Filipski, Alan; Kumar, Sudhir			MEGA6: Molecular Evolutionary Genetics Analysis Version 6.0	MOLECULAR BIOLOGY AND EVOLUTION												We announce the release of an advanced version of the Molecular Evolutionary Genetics Analysis (MEGA) software, which currently contains facilities for building sequence alignments, inferring phylogenetic histories, and conducting molecular evolutionary analysis. In version 6.0, MEGA now enables the inference of timetrees, as it implements the RelTime method for estimating divergence times for all branching points in a phylogeny. A new Timetree Wizard in MEGA6 facilitates this timetree inference by providing a graphical user interface (GUI) to specify the phylogeny and calibration constraints step-by-step. This version also contains enhanced algorithms to search for the optimal trees under evolutionary criteria and implements a more advanced memory management that can double the size of sequence data sets to which MEGA can be applied. Both GUI and command-line versions of MEGA6 can be downloaded from www.megasoftware.net free of charge.					Tamura, Koichiro/D-7572-2015; Kumar, Sudhir/F-1411-2011	Tamura, Koichiro/0000-0001-7189-5399; Kumar, Sudhir/0000-0002-9918-8212													0737-4038	1537-1719				DEC	2013	30	12					2725	2729		10.1093/molbev/mst197	http://dx.doi.org/10.1093/molbev/mst197								21546353					WOS:000327793000019
J	Edgar, RC				Edgar, RC			MUSCLE: multiple sequence alignment with high accuracy and high throughput	NUCLEIC ACIDS RESEARCH												We describe MUSCLE, a new computer program for creating multiple alignments of protein sequences. Elements of the algorithm include fast distance estimation using kmer counting, progressive alignment using a new profile function we call the log-expectation score, and refinement using tree-dependent restricted partitioning. The speed and accuracy of MUSCLE are compared with T-Coffee, MAFFT and CLUSTALW on four test sets of reference alignments: BAliBASE, SABmark, SMART and a new benchmark, PREFAB. MUSCLE achieves the highest, or joint highest, rank in accuracy on each of these sets. Without refinement, MUSCLE achieves average accuracy statistically indistinguishable from T-Coffee and MAFFT, and is the fastest of the tested methods for large numbers of sequences, aligning 5000 sequences of average length 350 in 7 min on a current desktop computer. The MUSCLE program, source code and PREFAB test data are freely available at http://www.drive5. com/muscle.																			0305-1048	1362-4962				MAR	2004	32	5					1792	1797		10.1093/nar/gkh340	http://dx.doi.org/10.1093/nar/gkh340								15034147					WOS:000220487200025
J	Kumar, S; Stecher, G; Tamura, K				Kumar, Sudhir; Stecher, Glen; Tamura, Koichiro			MEGA7: Molecular Evolutionary Genetics Analysis Version 7.0 for Bigger Datasets	MOLECULAR BIOLOGY AND EVOLUTION												We present the latest version of the Molecular Evolutionary Genetics Analysis (MEGA) software, which contains many sophisticated methods and tools for phylogenomics and phylomedicine. In this major upgrade, MEGA has been optimized for use on 64-bit computing systems for analyzing larger datasets. Researchers can now explore and analyze tens of thousands of sequences in MEGA. The new version also provides an advanced wizard for building timetrees and includes a new functionality to automatically predict gene duplication events in gene family trees. The 64-bitMEGA is made available in two interfaces: graphical and command line. The graphical user interface (GUI) is a native Microsoft Windows application that can also be used on Mac OS X. The command line MEGA is available as native applications for Windows, Linux, and Mac OS X. They are intended for use in high-throughput and scripted analysis. Both versions are available from www.megasoftware.net free of charge.					Tamura, Koichiro/D-7572-2015; Kumar, Sudhir/F-1411-2011	Kumar, Sudhir/0000-0002-9918-8212													0737-4038	1537-1719				JUL	2016	33	7					1870	1874		10.1093/molbev/msw054	http://dx.doi.org/10.1093/molbev/msw054								27004904					WOS:000378767100018
J	Langmead, B; Salzberg, SL				Langmead, Ben; Salzberg, Steven L.			Fast gapped-read alignment with Bowtie 2	NATURE METHODS												As the rate of sequencing increases, greater throughput is demanded from read aligners. The full-text minute index is often used to make alignment very fast and memory-efficient, but the approach is ill-suited to finding longer, gapped alignments. Bowtie 2 combines the strengths of the full-text minute index with the flexibility and speed of hardware-accelerated dynamic programming algorithms to achieve a combination of high speed, sensitivity and accuracy.					Langmead, Ben/F-4218-2012; Langmead, Benjamin/C-1354-2009; Salzberg, Steven/F-6162-2011	Langmead, Benjamin/0000-0003-2437-1976; Salzberg, Steven/0000-0002-8859-7432													1548-7091	1548-7105				APR	2012	9	4					357	U54		10.1038/NMETH.1923	http://dx.doi.org/10.1038/NMETH.1923								22388286					WOS:000302218500017
J	Shannon, P; Markiel, A; Ozier, O; Baliga, NS; Wang, JT; Ramage, D; Amin, N; Schwikowski, B; Ideker, T				Shannon, P; Markiel, A; Ozier, O; Baliga, NS; Wang, JT; Ramage, D; Amin, N; Schwikowski, B; Ideker, T			Cytoscape: A software environment for integrated models of biomolecular interaction networks	GENOME RESEARCH					3rd International Conference on Systems Biology 2002	DEC 13-15, 2002	KAROLINSKA INST, STOCKHOLM, SWEDEN		KAROLINSKA INST			Cytoscape is an open source software project for integrating biomolecular interaction networks with high-throughput expression data and other Molecular states into a unified conceptual framework. Although applicable to any system of molecular components and interactions, Cytoscape is most powerful when used in Conjunction with large databases of protein-protein, protein-DNA, and genetic interactions that are increasingly available for humans and model organisms. Cytoscape's software Core provides basic functionality to layout and query the network; to Visually integrate the network with expression profiles, phenotypes, and other molecular states; and to link the network to databases of functional annotations. The Core is extensible through a straightforward plug-in architecture, allowing rapid development of additional Computational analyses and features. Several case Studies of Cytoscape plug-ins are Surveyed, including a search for interaction pathways correlating with changes in gene expression, a Study of protein complexes involved in cellular recovery to DNA damage, inference of a combined physical/functional interaction network for Halobacterium, and an interface to detailed stochastic/kinetic gene regulatory models.						Ideker, Trey/0000-0002-1708-8454; Amin, Nada/0000-0002-0830-7248; baliga, nitin/0000-0001-9157-5974; Schwikowski, Benno/0000-0001-5127-5619													1088-9051	1549-5469				NOV	2003	13	11					2498	2504		10.1101/gr.1239303	http://dx.doi.org/10.1101/gr.1239303								14597658					WOS:000186357000016
J	Li, H; Durbin, R				Li, Heng; Durbin, Richard			Fast and accurate short read alignment with Burrows-Wheeler transform	BIOINFORMATICS												Motivation: The enormous amount of short reads generated by the new DNA sequencing technologies call for the development of fast and accurate read alignment programs. A first generation of hash table-based methods has been developed, including MAQ, which is accurate, feature rich and fast enough to align short reads from a single individual. However, MAQ does not support gapped alignment for single-end reads, which makes it unsuitable for alignment of longer reads where indels may occur frequently. The speed of MAQ is also a concern when the alignment is scaled up to the resequencing of hundreds of individuals. Results: We implemented Burrows-Wheeler Alignment tool (BWA), a new read alignment package that is based on backward search with Burrows-Wheeler Transform (BWT), to efficiently align short sequencing reads against a large reference sequence such as the human genome, allowing mismatches and gaps. BWA supports both base space reads, e. g. from Illumina sequencing machines, and color space reads from AB SOLiD machines. Evaluations on both simulated and real data suggest that BWA is similar to 10-20 x faster than MAQ, while achieving similar accuracy. In addition, BWA outputs alignment in the new standard SAM (Sequence Alignment/Map) format. Variant calling and other downstream analyses after the alignment can be achieved with the open source SAMtools software package.					Durbin, Richard/AAE-7178-2019; Li, Heng/D-9344-2011	Handsaker, Robert/0000-0002-3128-3547; Abecasis, Goncalo/0000-0003-1509-1825; Durbin, Richard/0000-0002-9130-1006; Li, Heng/0000-0003-4874-2874; Ruan, Jue/0000-0003-3713-3192													1367-4803	1460-2059				JUL 15	2009	25	14					1754	1760		10.1093/bioinformatics/btp324	http://dx.doi.org/10.1093/bioinformatics/btp324													WOS:000267665900006
