PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	C3	RP	EM	RI	OI	FU	FP	FX	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	DL	D2	EA	PG	WC	WE	SC	GA	PM	OA	HC	HP	DA	UT
J	Sheldrick, GM				Sheldrick, George M.			A short history of <i>SHELX</i>	ACTA CRYSTALLOGRAPHICA A-FOUNDATION AND ADVANCES												An account is given of the development of the SHELX system of computer programs from SHELX-76 to the present day. In addition to identifying useful innovations that have come into general use through their implementation in SHELX, a critical analysis is presented of the less-successful features, missed opportunities and desirable improvements for future releases of the software. An attempt is made to understand how a program originally designed for photographic intensity data, punched cards and computers over 10000 times slower than an average modern personal computer has managed to survive for so long. SHELXL is the most widely used program for small-molecule refinement and SHELXS and SHELXD are often employed for structure solution despite the availability of objectively superior programs. SHELXL also finds a niche for the refinement of macromolecules against high-resolution or twinned data; SHELXPRO acts as an interface for macromolecular applications. SHELXC, SHELXD and SHELXE are proving useful for the experimental phasing of macromolecules, especially because they are fast and robust and so are often employed in pipelines for high-throughput phasing. This paper could serve as a general literature citation when one or more of the open-source SHELX programs (and the Bruker AXS version SHELXTL) are employed in the course of a crystal-structure determination.																			2053-2733					JAN	2008	64		1				112	122		10.1107/S0108767307043930	http://dx.doi.org/10.1107/S0108767307043930								18156677					WOS:000251924000011
J	Sheldrick, GM				Sheldrick, George M.			Crystal structure refinement with <i>SHELXL</i>	ACTA CRYSTALLOGRAPHICA SECTION C-STRUCTURAL CHEMISTRY												The improvements in the crystal structure refinement program SHELXL have been closely coupled with the development and increasing importance of the CIF (Crystallographic Information Framework) format for validating and archiving crystal structures. An important simplification is that now only one file in CIF format (for convenience, referred to simply as 'a CIF') containing embedded reflection data and SHELXL instructions is needed for a complete structure archive; the program SHREDCIF can be used to extract the .hkl and .ins files required for further refinement with SHELXL. Recent developments in SHELXL facilitate refinement against neutron diffraction data, the treatment of H atoms, the determination of absolute structure, the input of partial structure factors and the refinement of twinned and disordered structures. SHELXL is available free to academics for the Windows, Linux and Mac OS X operating systems, and is particularly suitable for multiple-core processors.																			2053-2296					JAN	2015	71		1				3	8		10.1107/S2053229614024218	http://dx.doi.org/10.1107/S2053229614024218								25537383					WOS:000347804100002
J	Geim, AK; Novoselov, KS				Geim, A. K.; Novoselov, K. S.			The rise of graphene	NATURE MATERIALS												Graphene is a rapidly rising star on the horizon of materials science and condensed-matter physics. This strictly two-dimensional material exhibits exceptionally high crystal and electronic quality, and, despite its short history, has already revealed a cornucopia of new physics and potential applications, which are briefly discussed here. Whereas one can be certain of the realness of applications only when commercial products appear, graphene no longer requires any further proof of its importance in terms of fundamental physics. Owing to its unusual electronic spectrum, graphene has led to the emergence of a new paradigm of 'relativistic' condensed-matter physics, where quantum relativistic phenomena, some of which are unobservable in high-energy physics, can now be mimicked and tested in table-top experiments. More generally, graphene represents a conceptually new class of materials that are only one atom thick, and, on this basis, offers new inroads into low-dimensional physics that has never ceased to surprise and continues to provide a fertile ground for applications.					Novoselov, Kostya/G-9581-2014	Novoselov, Kostya/0000-0003-4972-5371; Sifuentes, Itan/0000-0002-9848-4896; hai yan, he/0000-0003-0366-6185													1476-1122	1476-4660				MAR	2007	6	3					183	191		10.1038/nmat1849	http://dx.doi.org/10.1038/nmat1849								17330084					WOS:000244570700015
J	Pettersen, EF; Goddard, TD; Huang, CC; Couch, GS; Greenblatt, DM; Meng, EC; Ferrin, TE				Pettersen, EF; Goddard, TD; Huang, CC; Couch, GS; Greenblatt, DM; Meng, EC; Ferrin, TE			UCSF chimera - A visualization system for exploratory research and analysis	JOURNAL OF COMPUTATIONAL CHEMISTRY												The design, implementation, and capabilities of an extensible visualization system, UCSF Chimera, are discussed. Chimera is segmented into a core that provides basic services and visualization, and extensions that provide most higher level functionality. This architecture ensures that the extension mechanism satisfies the demands of outside developers who wish to incorporate new features. Two unusual extensions are presented: Multiscale, which adds the ability to visualize large-scale molecular assemblies such as viral coats, and Collaboratory, which allows researchers to share a Chimera session interactively despite being at separate locales. Other extensions include Multalign Viewer, for showing multiple sequence alignments and associated structures; ViewDock, for screening docked ligand orientations; Movie, for replaying molecular dynamics trajectories; and Volume Viewer, for display and analysis of volumetric data. A discussion of the usage of Chimera in real-world situations is given, along with anticipated future directions. Chimera includes full user documentation, is free to academic and nonprofit users, and is available for Microsoft Windows, Linux, Apple Mac OS X, SGI IRIX, and HP Tru64 Unix from http://www.cgl.ucsf.edu/chimera/. (C) 2004 Wiley Periodicals, Inc.					Ferrin, Thomas/W-8842-2019; Luque, Daniel/I-6467-2015	Ferrin, Thomas E./0000-0001-6227-0637; Luque, Daniel/0000-0002-0151-6020													0192-8651	1096-987X				OCT	2004	25	13					1605	1612		10.1002/jcc.20084	http://dx.doi.org/10.1002/jcc.20084								15264254					WOS:000223379100005
J	Grimme, S; Antony, J; Ehrlich, S; Krieg, H				Grimme, Stefan; Antony, Jens; Ehrlich, Stephan; Krieg, Helge			A consistent and accurate ab initio parametrization of density functional dispersion correction (DFT-D) for the 94 elements H-Pu	JOURNAL OF CHEMICAL PHYSICS												The method of dispersion correction as an add-on to standard Kohn-Sham density functional theory (DFT-D) has been refined regarding higher accuracy, broader range of applicability, and less empiricism. The main new ingredients are atom-pairwise specific dispersion coefficients and cutoff radii that are both computed from first principles. The coefficients for new eighth-order dispersion terms are computed using established recursion relations. System (geometry) dependent information is used for the first time in a DFT-D type approach by employing the new concept of fractional coordination numbers (CN). They are used to interpolate between dispersion coefficients of atoms in different chemical environments. The method only requires adjustment of two global parameters for each density functional, is asymptotically exact for a gas of weakly interacting neutral atoms, and easily allows the computation of atomic forces. Three-body nonadditivity terms are considered. The method has been assessed on standard benchmark sets for inter- and intramolecular noncovalent interactions with a particular emphasis on a consistent description of light and heavy element systems. The mean absolute deviations for the S22 benchmark set of noncovalent interactions for 11 standard density functionals decrease by 15%-40% compared to the previous (already accurate) DFT-D version. Spectacular improvements are found for a tripeptide-folding model and all tested metallic systems. The rectification of the long-range behavior and the use of more accurate C-6 coefficients also lead to a much better description of large (infinite) systems as shown for graphene sheets and the adsorption of benzene on an Ag(111) surface. For graphene it is found that the inclusion of three-body terms substantially (by about 10%) weakens the interlayer binding. We propose the revised DFT-D method as a general tool for the computation of the dispersion energy in molecules and solids of any kind with DFT and related (low-cost) electronic structure methods for large systems.					Ehrlich, Stephan/F-9359-2011; Grimme, Stefan/B-2873-2010	Ehrlich, Stephan/0000-0002-6594-4710													0021-9606	1089-7690				APR 21	2010	132	15							154104	10.1063/1.3382344	http://dx.doi.org/10.1063/1.3382344								20423165					WOS:000276971500005
J	Lu, T; Chen, FW				Lu, Tian; Chen, Feiwu			Multiwfn: A multifunctional wavefunction analyzer	JOURNAL OF COMPUTATIONAL CHEMISTRY												Multiwfn is a multifunctional program for wavefunction analysis. Its main functions are: (1) Calculating and visualizing real space function, such as electrostatic potential and electron localization function at point, in a line, in a plane or in a spatial scope. (2) Population analysis. (3) Bond order analysis. (4) Orbital composition analysis. (5) Plot density-of-states and spectrum. (6) Topology analysis for electron density. Some other useful utilities involved in quantum chemistry studies are also provided. The built-in graph module enables the results of wavefunction analysis to be plotted directly or exported to high-quality graphic file. The program interface is very user-friendly and suitable for both research and teaching purpose. The code of Multiwfn is substantially optimized and parallelized. Its efficiency is demonstrated to be significantly higher than related programs with the same functions. Five practical examples involving a wide variety of systems and analysis methods are given to illustrate the usefulness of Multiwfn. The program is free of charge and open-source. Its precompiled file and source codes are available from . (c) 2011 Wiley Periodicals, Inc. J Comput Chem, 2011																			0192-8651	1096-987X				FEB 15	2012	33	5					580	592		10.1002/jcc.22885	http://dx.doi.org/10.1002/jcc.22885								22162017					WOS:000299415400012
J	Grimme, S				Grimme, Stefan			Semiempirical GGA-type density functional constructed with a long-range dispersion correction	JOURNAL OF COMPUTATIONAL CHEMISTRY												A new density functional (DF) of the generalized gradient approximation (GGA) type for general chemistry applications termed B97-D is proposed. It is based on Becke's power-series ansatz from 1997 and is explicitly parameterized by including damped atom-pairwise dispersion corrections of the form C-6 . R-6. A general computational scheme for the parameters used in this correction has been established and parameters for elements up to xenon and a scaling factor for the dispersion part for several common density functionals (BLYP, PBE, TPSS, B3LYP) are reported. The new functional is tested in comparison with other GGAs and the B3LYP hybrid functional on standard thermochemical benchmark sets, for 40 noncovalently bound complexes, including large stacked aromatic molecules and group 11 element clusters, and for the computation of molecular geometries. Further cross-validation tests were performed for organometallic reactions and other difficult problems for standard functionals. In summary, it is found that B97-D belongs to one of the most accurate general purpose GGAs, reaching, for example for the G97/2 set of heat of formations, a mean absolute deviation of only 3.8 kcal mol(-1). The performance for noncovalently bound systems including many pure van der Waals complexes is exceptionally good, reaching on the average CCSD(T) accuracy. The basic strategy in the development to restrict the density functional description to shorter electron correlation lengths scales and to describe situations with medium to large interatomic distances by damped C-6 . R-6 terms seems to be very successful, as demonstrated for some notoriously difficult reactions. As an example, for the isomerization of larger branched to linear alkanes, B97-D is the only DF available that yields the right sign for the energy difference. From a practical point of view, the new functional seems to be quite robust and it is thus suggested as an efficient and accurate quantum chemical method for large systems where dispersion forces are of general importance. (C) 2006 Wiley Periodicals, Inc.					Grimme, Stefan/B-2873-2010														0192-8651	1096-987X				NOV 30	2006	27	15					1787	1799		10.1002/jcc.20495	http://dx.doi.org/10.1002/jcc.20495								16955487					WOS:000241477200003
J	Weigend, F; Ahlrichs, R				Weigend, F; Ahlrichs, R			Balanced basis sets of split valence, triple zeta valence and quadruple zeta valence quality for H to Rn: Design and assessment of accuracy	PHYSICAL CHEMISTRY CHEMICAL PHYSICS												Gaussian basis sets of quadruple zeta valence quality for Rb-Rn are presented, as well as bases of split valence and triple zeta valence quality for H-Rn. The latter were obtained by (partly) modifying bases developed previously. A large set of more than 300 molecules representing (nearly) all elements - except lanthanides - in their common oxidation states was used to assess the quality of the bases all across the periodic table. Quantities investigated were atomization energies, dipole moments and structure parameters for Hartree-Fock, density functional theory and correlated methods, for which we had chosen Moller-Plesset perturbation theory as an example. Finally recommendations are given which type of basis set is used best for a certain level of theory and a desired quality of results.					Weigend, Florian/R-5843-2017	Weigend, Florian/0000-0001-5060-1689; Cador, Olivier/0000-0003-2064-6223													1463-9076	1463-9084					2005	7	18					3297	3305		10.1039/b508541a	http://dx.doi.org/10.1039/b508541a								16240044					WOS:000231618300007
J	Kojima, A; Teshima, K; Shirai, Y; Miyasaka, T				Kojima, Akihiro; Teshima, Kenjiro; Shirai, Yasuo; Miyasaka, Tsutomu			Organometal Halide Perovskites as Visible-Light Sensitizers for Photovoltaic Cells	JOURNAL OF THE AMERICAN CHEMICAL SOCIETY												Two organolead halide perovskite nanocrystals, CH3NH3PbBr3 and CH(3)NH(3)Pbl(3), were found to efficiently sensitize TiO2 for visible-light conversion in photoetectrochemical cells. When self-assembled on mesoporous TiO2 films, the nanocrystattine perovskites exhibit strong band-gap absorptions as semiconductors. The CH(3)NH(3)Pbl(3)-based photocell with spectral sensitivity of up to 800 nm yielded a solar energy conversion efficiency of 3.8%. The CH3NH3PbBr3-based cell showed a high photovoltage of 0.96 V with an external quantum conversion efficiency of 65%.					Miyasaka, Tsutomu/AAW-4175-2020	Miyasaka, Tsutomu/0000-0001-8535-7911													0002-7863	1520-5126				MAY 6	2009	131	17					6050	+		10.1021/ja809598r	http://dx.doi.org/10.1021/ja809598r								19366264					WOS:000265755800007
J	Trott, O; Olson, AJ				Trott, Oleg; Olson, Arthur J.			Software News and Update AutoDock Vina: Improving the Speed and Accuracy of Docking with a New Scoring Function, Efficient Optimization, and Multithreading	JOURNAL OF COMPUTATIONAL CHEMISTRY												AutoDock Vina, a new program for molecular docking and virtual screening, is presented. AutoDock Vina achieves an approximately two orders of magnitude speed-up compared with the molecular docking software previously developed in our lab (AutoDock 4), while also significantly improving the accuracy of the binding mode predictions, judging by our tests on the training set used in AutoDock 4 development. Further speed-up is achieved from parallelism, by using multithreading on multicore machines. AutoDock Vina automatically calculates the grid maps and clusters the results in a way transparent to the user. (C) 2009 Wiley Periodicals, Inc. J Comput Chem 31: 455-461, 2010																			0192-8651	1096-987X				JAN 30	2010	31	2					455	461		10.1002/jcc.21334	http://dx.doi.org/10.1002/jcc.21334								19499576					WOS:000273412900020
