PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	C3	RP	EM	RI	OI	FU	FP	FX	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	DL	D2	EA	PG	WC	WE	SC	GA	PM	OA	HC	HP	DA	UT
J	Ren, SQ; He, KM; Girshick, R; Sun, J				Ren, Shaoqing; He, Kaiming; Girshick, Ross; Sun, Jian			Faster R-CNN: Towards Real-Time Object Detection with Region Proposal Networks	IEEE TRANSACTIONS ON PATTERN ANALYSIS AND MACHINE INTELLIGENCE												State-of-the-art object detection networks depend on region proposal algorithms to hypothesize object locations. Advances like SPPnet [1] and Fast R-CNN [2] have reduced the running time of these detection networks, exposing region proposal computation as a bottleneck. In this work, we introduce a Region Proposal Network (RPN) that shares full-image convolutional features with the detection network, thus enabling nearly cost-free region proposals. An RPN is a fully convolutional network that simultaneously predicts object bounds and objectness scores at each position. The RPN is trained end-to-end to generate high-quality region proposals, which are used by Fast R-CNN for detection. We further merge RPN and Fast R-CNN into a single network by sharing their convolutional features-using the recently popular terminology of neural networks with 'attention' mechanisms, the RPN component tells the unified network where to look. For the very deep VGG-16 model [3], our detection system has a frame rate of 5 fps (including all steps) on a GPU, while achieving state-of-the-art object detection accuracy on PASCAL VOC 2007, 2012, and MS COCO datasets with only 300 proposals per image. In ILSVRC and COCO 2015 competitions, Faster R-CNN and RPN are the foundations of the 1st-place winning entries in several tracks. Code has been made publicly available.																			0162-8828	1939-3539				JUN	2017	39	6					1137	1149		10.1109/TPAMI.2016.2577031	http://dx.doi.org/10.1109/TPAMI.2016.2577031								27295650					WOS:000401091200007
J	Wang, Z; Bovik, AC; Sheikh, HR; Simoncelli, EP				Wang, Z; Bovik, AC; Sheikh, HR; Simoncelli, EP			Image quality assessment: From error visibility to structural similarity	IEEE TRANSACTIONS ON IMAGE PROCESSING												Objective methods for assessing perceptual image quality traditionally attempted to quantify the visibility of errors (differences) between a distorted image and a reference image using a variety of known properties of the human visual system. Under the assumption that human visual perception is highly adapted for extracting structural information from a scene, we introduce an alternative complementary framework for quality assessment based on the degradation of structural information. As a specific example of this concept, we develop a Structural Similarity Index and demonstrate its promise through a set of intuitive examples, as well as comparison to both subjective ratings and state-of-the-art objective methods on a database of images compressed with JPEG and JPEG2000.(1)					Bovik, Alan/B-6717-2012	Bovik, Alan/0000-0001-6067-710X; Wang, Zhou/0000-0003-4413-4441; Simoncelli, Eero/0000-0002-1206-527X													1057-7149	1941-0042				APR	2004	13	4					600	612		10.1109/TIP.2003.819861	http://dx.doi.org/10.1109/TIP.2003.819861								15376593					WOS:000220784600014
J	Donoho, DL				Donoho, DL			Compressed sensing	IEEE TRANSACTIONS ON INFORMATION THEORY												Suppose x is an unknown vector in R-m (a digital image or signal); we plan to measure n general linear functionals of x and then reconstruct. If x is known to be compressible by transform coding with a known transform, and we reconstruct via the nonlinear procedure defined here, the number of measurements n can be dramatically smaller than the size m. Thus, certain natural classes of images with m pixels need only n = O(m(1/4) log(5/2)(m)) nonadaptive nonpixel samples for faithful recovery, as opposed to the usual m pixel samples. More specifically, suppose x has a sparse representation in some orthonormal basis (e.g., wavelet, Fourier) or tight frame (e.g., curvelet, Gabor)-so the coefficients belong to an l(p), ball for O < p <= 1. The N most important coefficients in that expansion allow reconstruction with l(2) error O(N1/2-1/p). It is possible to design n = O (N log (m)) nonadaptive measurements allowing reconstruction with accuracy comparable to that attainable with direct knowledge of the N most important coefficients. Moreover, a good approximation to those N important coefficients is extracted from the n measurements by solving a linear program-Basis Pursuit in signal processing. The nonadaptive measurements have the character of "random" linear combinations of basis/frame elements. Our results use the notions of optimal recovery, of n-widths, and information-based complexity. We estimate the Gel'fand n-widths of l(p) balls in high-dimensional Euclidean space in the case 0 < p <= 1, and give a criterion identifying near-optimal subspaces for Gel'fand n-widths. We show that "most" subspaces are near-optimal, and show that convex optimization (Basis Pursuit) is a near-optimal way to extract information derived from these near-optimal subspaces.																			0018-9448	1557-9654				APR	2006	52	4					1289	1306		10.1109/TIT.2006.871582	http://dx.doi.org/10.1109/TIT.2006.871582													WOS:000236714000001
J	Pan, SJ; Yang, QA				Pan, Sinno Jialin; Yang, Qiang			A Survey on Transfer Learning	IEEE TRANSACTIONS ON KNOWLEDGE AND DATA ENGINEERING												A major assumption in many machine learning and data mining algorithms is that the training and future data must be in the same feature space and have the same distribution. However, in many real-world applications, this assumption may not hold. For example, we sometimes have a classification task in one domain of interest, but we only have sufficient training data in another domain of interest, where the latter data may be in a different feature space or follow a different data distribution. In such cases, knowledge transfer, if done successfully, would greatly improve the performance of learning by avoiding much expensive data-labeling efforts. In recent years, transfer learning has emerged as a new learning framework to address this problem. This survey focuses on categorizing and reviewing the current progress on transfer learning for classification, regression, and clustering problems. In this survey, we discuss the relationship between transfer learning and other related machine learning techniques such as domain adaptation, multitask learning and sample selection bias, as well as covariate shift. We also explore some potential future issues in transfer learning research.					PAN, Sinno/P-6696-2014; yang, qiang/GYJ-0971-2022														1041-4347	1558-2191				OCT	2010	22	10					1345	1359		10.1109/TKDE.2009.191	http://dx.doi.org/10.1109/TKDE.2009.191													WOS:000281000500001
J	Chen, LC; Papandreou, G; Kokkinos, I; Murphy, K; Yuille, AL				Chen, Liang-Chieh; Papandreou, George; Kokkinos, Iasonas; Murphy, Kevin; Yuille, Alan L.			DeepLab: Semantic Image Segmentation with Deep Convolutional Nets, Atrous Convolution, and Fully Connected CRFs	IEEE TRANSACTIONS ON PATTERN ANALYSIS AND MACHINE INTELLIGENCE												In this work we address the task of semantic image segmentation with Deep Learning and make three main contributions that are experimentally shown to have substantial practical merit. First, we highlight convolution with upsampled filters, or 'atrous convolution', as a powerful tool in dense prediction tasks. Atrous convolution allows us to explicitly control the resolution at which feature responses are computed within Deep Convolutional Neural Networks. It also allows us to effectively enlarge the field of view of filters to incorporate larger context without increasing the number of parameters or the amount of computation. Second, we propose atrous spatial pyramid pooling (ASPP) to robustly segment objects at multiple scales. ASPP probes an incoming convolutional feature layer with filters at multiple sampling rates and effective fields-of-views, thus capturing objects as well as image context at multiple scales. Third, we improve the localization of object boundaries by combining methods from DCNNs and probabilistic graphical models. The commonly deployed combination of max-pooling and downsampling in DCNNs achieves invariance but has a toll on localization accuracy. We overcome this by combining the responses at the final DCNN layer with a fully connected Conditional Random Field (CRF), which is shown both qualitatively and quantitatively to improve localization performance. Our proposed "DeepLab" system sets the new state-of-art at the PASCAL VOC-2012 semantic image segmentation task, reaching 79.7 percent mIOU in the test set, and advances the results on three other datasets: PASCAL-Context, PASCAL-Person-Part, and Cityscapes. All of our code is made publicly available online.					Murphy, Kevin/ITV-7419-2023	Yuille, Alan L./0000-0001-5207-9249													0162-8828	1939-3539				APR	2018	40	4					834	848		10.1109/TPAMI.2017.2699184	http://dx.doi.org/10.1109/TPAMI.2017.2699184								28463186					WOS:000426687100005
J	Candès, EJ; Romberg, J; Tao, T				Candès, EJ; Romberg, J; Tao, T			Robust uncertainty principles:: Exact signal reconstruction from highly incomplete frequency information	IEEE TRANSACTIONS ON INFORMATION THEORY												This paper considers the model problem of reconstructing an object from incomplete frequency samples. Consider a discrete-time signal f is an element of C-N and a randomly chosen set of frequencies Q. Is it possible to reconstruct f from the partial knowledge of its Fourier coefficients on the set Q? A typical result of this paper is as follows. Suppose that f is a superposition of vertical bar T vertical bar spikes f(t) = E-tau is an element of T f(tau)delta(t - tau) obeying vertical bar T vertical bar <= C-M (.) (logN)(-1 .) vertical bar ohm vertical bar for some constant C-M > 0. We do not know the locations of the spikes nor their amplitudes. Then with probability at least 1 - O(N-m), f can be reconstructed exactly as the solution to the l(1) minimization problem min/g Sigma(N-1)/t=0 vertical bar g(t)vertical bar, s.t. (g) over cap(omega) = (f) over cap(omega) for al omega is an element of ohm In short, exact recovery may be obtained by solving a convex optimization problem. We give numerical values for Cm which depend on the desired probability of success. Our result may be interpreted as a novel kind of nonlinear sampling theorem. In effect, it says that any signal made out of vertical bar T vertical bar spikes may be recovered by convex programming from almost every set of frequencies of size O(vertical bar T vertical bar (.) log N). Moreover, this is nearly optimal in the sense that any method succeeding with probability 1 - O(N-M) would in general require a number of frequency samples at least proportional to vertical bar T vertical bar (.) log N. The methodology extends to a variety of other situations and higher dimensions. For example, we show how one can reconstruct a piecewise constant (one- or two-dimensional) object from incomplete frequency samples-provided that the number of jumps (discontinuities) obeys the condition above-by minimizing other convex functionals such as the total variation of f.					Tao, Terence/M-1837-2015														0018-9448	1557-9654				FEB	2006	52	2					489	509		10.1109/TIT.2005.862083	http://dx.doi.org/10.1109/TIT.2005.862083													WOS:000234944700009
J	Mirjalili, S; Mirjalili, SM; Lewis, A				Mirjalili, Seyedali; Mirjalili, Seyed Mohammad; Lewis, Andrew			Grey Wolf Optimizer	ADVANCES IN ENGINEERING SOFTWARE												This work proposes a new meta-heuristic called Grey Wolf Optimizer (GWO) inspired by grey wolves (Canis lupus). The GWO algorithm mimics the leadership hierarchy and hunting mechanism of grey wolves in nature. Four types of grey wolves such as alpha, beta, delta, and omega are employed for simulating the leadership hierarchy. In addition, the three main steps of hunting, searching for prey, encircling prey, and attacking prey, are implemented. The algorithm is then benchmarked on 29 well-known test functions, and the results are verified by a comparative study with Particle Swarm Optimization (PSO), Gravitational Search Algorithm (GSA), Differential Evolution (DE), Evolutionary Programming (EP), and Evolution Strategy (ES). The results show that the GWO algorithm is able to provide very competitive results compared to these well-known meta-heuristics. The paper also considers solving three classical engineering design problems (tension/compression spring, welded beam, and pressure vessel designs) and presents a real application of the proposed method in the field of optical engineering. The results of the classical engineering design problems and real application prove that the proposed algorithm is applicable to challenging problems with unknown search spaces. (C) 2013 Elsevier Ltd. All rights reserved.					Mirjalili, Seyed Mohammad/E-9988-2013; Mirjalili, Seyedali/P-1372-2018; Lewis, Andrew/A-7245-2011	Mirjalili, Seyedali/0000-0002-1443-9458; Lewis, Andrew/0000-0002-0122-2532													0965-9978	1873-5339				MAR	2014	69						46	61		10.1016/j.advengsoft.2013.12.007	http://dx.doi.org/10.1016/j.advengsoft.2013.12.007													WOS:000331924800006
J	Ojala, T; Pietikäinen, M; Mäenpää, T				Ojala, T; Pietikäinen, M; Mäenpää, T			Multiresolution gray-scale and rotation invariant texture classification with local binary patterns	IEEE TRANSACTIONS ON PATTERN ANALYSIS AND MACHINE INTELLIGENCE												This paper presents a theoretically very simple, yet efficient, multiresolution approach to gray-scale and rotation invariant texture classification based on local binary patterns and nonparametric discrimination of sample and prototype distributions. The method is based on recognizing that certain local binary patterns, termed "uniform," are fundamental properties of local image texture and their occurrence histogram is proven to be a very powerful texture feature. We derive a generalized gray-scale and rotation invariant operator presentation that allows for detecting the "uniform" patterns for any quantization of the angular space and for any spatial resolution and presents a method for combining multiple operators for multiresolution analysis. The proposed approach is very robust in terms of gray-scale variations since the operator is, by definition, invariant against any monotonic transformation of the gray scale. Another advantage is computational simplicity as the operator can be realized with a few operations in a small neighborhood and a lookup table. Excellent experimental results obtained in true problems of rotation invariance, where the classifier is trained at one particular rotation angle and tested with samples from other rotation angles, demonstrate that good discrimination can be achieved with the occurrence statistics of simple rotation invariant local binary patterns. These operators characterize the spatial configuration of local image texture and the performance can be further improved by combining them with rotation invariant variance measures that characterize the contrast of local image texture. The joint distributions of these orthogonal measures are shown to be very powerful tools for rotation invariant texture analysis.																			0162-8828	1939-3539				JUL	2002	24	7					971	987		10.1109/TPAMI.2002.1017623	http://dx.doi.org/10.1109/TPAMI.2002.1017623													WOS:000176446100009
J	Badrinarayanan, V; Kendall, A; Cipolla, R				Badrinarayanan, Vijay; Kendall, Alex; Cipolla, Roberto			SegNet: A Deep Convolutional Encoder-Decoder Architecture for Image Segmentation	IEEE TRANSACTIONS ON PATTERN ANALYSIS AND MACHINE INTELLIGENCE												We present a novel and practical deep fully convolutional neural network architecture for semantic pixel-wise segmentation termed SegNet. This core trainable segmentation engine consists of an encoder network, a corresponding decoder network followed by a pixel-wise classification layer. The architecture of the encoder network is topologically identical to the 13 convolutional layers in the VGG16 network [1]. The role of the decoder network is to map the low resolution encoder feature maps to full input resolution feature maps for pixel-wise classification. The novelty of SegNet lies is in the manner in which the decoder upsamples its lower resolution input feature map(s). Specifically, the decoder uses pooling indices computed in the max-pooling step of the corresponding encoder to perform non-linear upsampling. This eliminates the need for learning to upsample. The upsampled maps are sparse and are then convolved with trainable filters to produce dense feature maps. We compare our proposed architecture with the widely adopted FCN [2] and also with the well known DeepLab-LargeFOV [3], DeconvNet [4] architectures. This comparison reveals the memory versus accuracy trade-off involved in achieving good segmentation performance. SegNet was primarily motivated by scene understanding applications. Hence, it is designed to be efficient both in terms of memory and computational time during inference. It is also significantly smaller in the number of trainable parameters than other competing architectures and can be trained end-to-end using stochastic gradient descent. We also performed a controlled benchmark of SegNet and other architectures on both road scenes and SUN RGB-D indoor scene segmentation tasks. These quantitative assessments show that SegNet provides good performance with competitive inference time and most efficient inference memory-wise as compared to other architectures. We also provide a Caffe implementation of SegNet and a web demo at http://mi.eng.cam.ac.uk/projects/segnet/.					Arandjelović, Ognjen/V-5255-2019														0162-8828	1939-3539				DEC	2017	39	12					2481	2495		10.1109/TPAMI.2016.2644615	http://dx.doi.org/10.1109/TPAMI.2016.2644615								28060704					WOS:000414395400012
J	Zhang, ZY				Zhang, ZY			A flexible new technique for camera calibration	IEEE TRANSACTIONS ON PATTERN ANALYSIS AND MACHINE INTELLIGENCE												We propose a flexible new technique to easily calibrate a camera. It only requires the camera to observe a planar pattern shown at a few (at Least two) different orientations. Either the camera or the planar pattern can be freely moved. The motion need not be known. Radial lens distortion is modeled. The proposed procedure consists of a closed-form solution, followed by a nonlinear refinement based on the maximum likelihood criterion. Both computer simulation and real data have been used to test the proposed technique and very good results have been obtained. Compared with classical techniques which use expensive equipment such as two or three orthogonal planes, the proposed technique is easy to use and flexible. it advances 3D computer vision one more step from laboratory environments to real world use. The corresponding software is available from the author's Web page.																			0162-8828	1939-3539				NOV	2000	22	11					1330	1334		10.1109/34.888718	http://dx.doi.org/10.1109/34.888718													WOS:000165355200011
