PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	C3	RP	EM	RI	OI	FU	FP	FX	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	DL	D2	EA	PG	WC	WE	SC	GA	PM	OA	HC	HP	DA	UT
J	Geim, AK; Novoselov, KS				Geim, A. K.; Novoselov, K. S.			The rise of graphene	NATURE MATERIALS												Graphene is a rapidly rising star on the horizon of materials science and condensed-matter physics. This strictly two-dimensional material exhibits exceptionally high crystal and electronic quality, and, despite its short history, has already revealed a cornucopia of new physics and potential applications, which are briefly discussed here. Whereas one can be certain of the realness of applications only when commercial products appear, graphene no longer requires any further proof of its importance in terms of fundamental physics. Owing to its unusual electronic spectrum, graphene has led to the emergence of a new paradigm of 'relativistic' condensed-matter physics, where quantum relativistic phenomena, some of which are unobservable in high-energy physics, can now be mimicked and tested in table-top experiments. More generally, graphene represents a conceptually new class of materials that are only one atom thick, and, on this basis, offers new inroads into low-dimensional physics that has never ceased to surprise and continues to provide a fertile ground for applications.					Novoselov, Kostya/G-9581-2014	Novoselov, Kostya/0000-0003-4972-5371; Sifuentes, Itan/0000-0002-9848-4896; hai yan, he/0000-0003-0366-6185													1476-1122	1476-4660				MAR	2007	6	3					183	191		10.1038/nmat1849	http://dx.doi.org/10.1038/nmat1849								17330084					WOS:000244570700015
J	Radisavljevic, B; Radenovic, A; Brivio, J; Giacometti, V; Kis, A				Radisavljevic, B.; Radenovic, A.; Brivio, J.; Giacometti, V.; Kis, A.			Single-layer MoS<sub>2</sub> transistors	NATURE NANOTECHNOLOGY												Two-dimensional materials are attractive for use in next-generation nanoelectronic devices because, compared to one-dimensional materials, it is relatively easy to fabricate complex structures from them. The most widely studied two-dimensional material is graphene(1,2), both because of its rich physics(3-5) and its high mobility(6). However, pristine graphene does not have a bandgap, a property that is essential for many applications, including transistors(7). Engineering a graphene bandgap increases fabrication complexity and either reduces mobilities to the level of strained silicon films(8-13) or requires high voltages(14,15). Although single layers of MoS2 have a large intrinsic bandgap of 1.8 eV (ref. 16), previously reported mobilities in the 0.5-3 cm(2) V-1 s(-1) range(17) are too low for practical devices. Here, we use a halfnium oxide gate dielectric to demonstrate a room-temperature single-layer MoS2 mobility of at least 200 cm(2) V-1 s(-1), similar to that of graphene nanoribbons, and demonstrate transistors with room-temperature current on/off ratios of 1 x 10(8) and ultralow standby power dissipation. Because monolayer MoS2 has a direct bandgap(16,18), it can be used to construct interband tunnel FETs19, which offer lower power consumption than classical transistors. Monolayer MoS2 could also complement graphene in applications that require thin transparent semiconductors, such as optoelectronics and energy harvesting.					Glazunova, Valentina/HMP-1587-2023; Radenovic, Aleksandra/C-5350-2011; Kis, Andras/I-8882-2019	Kis, Andras/0000-0002-3426-7702; Radenovic, Aleksandra/0000-0001-8194-2785													1748-3387	1748-3395				MAR	2011	6	3					147	150		10.1038/NNANO.2010.279	http://dx.doi.org/10.1038/NNANO.2010.279								21278752					WOS:000288003900006
J	Stankovich, S; Dikin, DA; Piner, RD; Kohlhaas, KA; Kleinhammes, A; Jia, Y; Wu, Y; Nguyen, ST; Ruoff, RS				Stankovich, Sasha; Dikin, Dmitriy A.; Piner, Richard D.; Kohlhaas, Kevin A.; Kleinhammes, Alfred; Jia, Yuanyuan; Wu, Yue; Nguyen, SonBinh T.; Ruoff, Rodney S.			Synthesis of graphene-based nanosheets via chemical reduction of exfoliated graphite oxide	CARBON												Reduction of a colloidal suspension of exfoliated graphene oxide sheets in water with hydrazine hydrate results in their aggregation and subsequent formation of a high-surface-area carbon material which consists of thin graphene-based sheets. The reduced material was characterized by elemental analysis, thermo-gravimetric analysis, scanning electron microscopy, X-ray photoelectron spectroscopy, NMR spectroscopy, Raman spectroscopy, and by electrical conductivity measurements. (c) 2007 Elsevier Ltd. All rights reserved.					Ruoff, Rodney/B-7605-2009; Dikin, Dmitriy/B-4649-2014; Nguyen, SonBinh/C-1682-2014	Nguyen, SonBinh/0000-0002-6977-3445													0008-6223	1873-3891				JUN	2007	45	7					1558	1565		10.1016/j.carbon.2007.02.034	http://dx.doi.org/10.1016/j.carbon.2007.02.034													WOS:000247743400022
J	Ferrari, AC; Robertson, J				Ferrari, AC; Robertson, J			Interpretation of Raman spectra of disordered and amorphous carbon	PHYSICAL REVIEW B												The model and theoretical understanding of the Raman spectra in disordered and amorphous carbon are given. The nature of the G and D vibration modes in graphite is analyzed in terms of the resonant excitation of pi states and the long-range polarizability of pi bonding. Visible Raman data on disordered, amorphous, and diamond like carbon are classified in a three-stage model to show the factors that control the position, intensity, and widths of the G and D peaks. It is shown that the visible Raman spectra depend formally on the configuration of the sp(2) sites in sp(2)-bonded clusters. In cases where the sp(2) clustering is controlled by the sp(3) fraction, such as in as-deposited tetrahedral amorphous carbon (ta-C) or hydrogenated amorphous carbon (a-C:H) films, the visible Raman parameters can be used to derive the sp(3) fraction.																			2469-9950	2469-9969				MAY 15	2000	61	20					14095	14107		10.1103/PhysRevB.61.14095	http://dx.doi.org/10.1103/PhysRevB.61.14095													WOS:000087284900099
J	Balandin, AA; Ghosh, S; Bao, WZ; Calizo, I; Teweldebrhan, D; Miao, F; Lau, CN				Balandin, Alexander A.; Ghosh, Suchismita; Bao, Wenzhong; Calizo, Irene; Teweldebrhan, Desalegne; Miao, Feng; Lau, Chun Ning			Superior thermal conductivity of single-layer graphene	NANO LETTERS												We report the measurement of the thermal conductivity of a suspended single-layer graphene. The room temperature values of the thermal conductivity in the range similar to(4.84 +/- 0.44) x 10(3) to (5.30 +/- 0.48) x 10(3) W/mK were extracted for a single-layer graphene from the dependence of the Raman G peak frequency on the excitation laser power and independently measured G peak temperature coefficient. The extremely high value of the thermal conductivity suggests that graphene can outperform carbon nanotubes in heat conduction. The superb thermal conduction property of graphene is beneficial for the proposed electronic applications and establishes graphene as an excellent material for thermal management.					Teweldebrhan, Desalegne/C-1186-2009; Calizo, Irene/B-3515-2008; Balandin, Alexander/F-9230-2011; Bao, Wenzhong/B-2453-2012; Miao, Feng/D-4321-2009	Bao, Wenzhong/0000-0002-3871-467X; Miao, Feng/0000-0002-0962-5424; Lau, Chun Ning/0000-0003-2159-6723													1530-6984	1530-6992				MAR	2008	8	3					902	907		10.1021/nl0731872	http://dx.doi.org/10.1021/nl0731872								18284217					WOS:000253947400025
J	Stukowski, A				Stukowski, Alexander			Visualization and analysis of atomistic simulation data with OVITO-the Open Visualization Tool	MODELLING AND SIMULATION IN MATERIALS SCIENCE AND ENGINEERING												The Open Visualization Tool (OVITO) is a new 3D visualization software designed for post-processing atomistic data obtained from molecular dynamics or Monte Carlo simulations. Unique analysis, editing and animations functions are integrated into its easy-to-use graphical user interface. The software is written in object-oriented C++, controllable via Python scripts and easily extendable through a plug-in interface. It is distributed as open-source software and can be downloaded from the website http://ovito.sourceforge.net/.					Stukowski, Alexander/G-9695-2017	Stukowski, Alexander/0000-0001-6750-3401													0965-0393	1361-651X				JAN	2010	18	1							015012	10.1088/0965-0393/18/1/015012	http://dx.doi.org/10.1088/0965-0393/18/1/015012													WOS:000272791800012
J	Thouin, F; Valverde-Chávez, DA; Quarti, C; Cortecchia, D; Bargigia, I; Beljonne, D; Petrozza, A; Silva, C; Kandada, ARS				Thouin, Felix; Valverde-Chavez, David A.; Quarti, Claudio; Cortecchia, Daniele; Bargigia, Ilaria; Beljonne, David; Petrozza, Annamaria; Silva, Carlos; Kandada, Ajay Ram Srimath			Phonon coherences reveal the polaronic character of excitons in two-dimensional lead halide perovskites	NATURE MATERIALS												Hybrid organic-inorganic semiconductors feature complex lattice dynamics due to the ionic character of the crystal and the softness arising from non-covalent bonds between molecular moieties and the inorganic network. Here we establish that such dynamic structural complexity in a prototypical two-dimensional lead iodide perovskite gives rise to the coexistence of diverse excitonic resonances, each with a distinct degree of polaronic character. By means of high-resolution resonant impulsive stimulated Raman spectroscopy, we identify vibrational wavepacket dynamics that evolve along different configurational coordinates for distinct excitons and photocarriers. Employing density functional theory calculations, we assign the observed coherent vibrational modes to various low-frequency (less than or similar to 50 cm(-1)) optical phonons involving motion in the lead iodide layers. We thus conclude that different excitons induce specific lattice reorganizations, which are signatures of polaronic binding. This insight into the energetic/configurational landscape involving globally neutral primary photoexcitations may be relevant to a broader class of emerging hybrid semiconductor materials.					Cortecchia, Daniele/AAK-2853-2020; Thouin, Felix/IQV-7160-2023; Petrozza, Annamaria/A-1065-2014; Kandada, Ajay/ABE-6118-2020; Silva, Carlos/B-5153-2010; quarti, claudio/O-9063-2017; Kresse, Georg/X-2531-2018	Valverde Chavez, David Alberto/0000-0001-5491-4244; quarti, claudio/0000-0002-5488-1216; Thouin, Felix/0000-0001-5357-4292; Silva Acuna, Carlos/0000-0002-3969-5271; Cortecchia, Daniele/0000-0001-8623-9191; Srimath Kandada, Ajay Ram/0000-0002-7420-1150; Bargigia, Ilaria/0000-0003-4428-7958; Kresse, Georg/0000-0001-9102-4259													1476-1122	1476-4660				APR	2019	18	4					349	+		10.1038/s41563-018-0262-7	http://dx.doi.org/10.1038/s41563-018-0262-7								30643234					WOS:000461785400012
J	Wang, XC; Maeda, K; Thomas, A; Takanabe, K; Xin, G; Carlsson, JM; Domen, K; Antonietti, M				Wang, Xinchen; Maeda, Kazuhiko; Thomas, Arne; Takanabe, Kazuhiro; Xin, Gang; Carlsson, Johan M.; Domen, Kazunari; Antonietti, Markus			A metal-free polymeric photocatalyst for hydrogen production from water under visible light	NATURE MATERIALS												The production of hydrogen from water using a catalyst and solar energy is an ideal future energy source, independent of fossil reserves. For an economical use of water and solar energy, catalysts that are sufficiently efficient, stable, inexpensive and capable of harvesting light are required. Here, we show that an abundant material, polymeric carbon nitride, can produce hydrogen from water under visible-light irradiation in the presence of a sacrificial donor. Contrary to other conducting polymer semiconductors, carbon nitride is chemically and thermally stable and does not rely on complicated device manufacturing. The results represent an important first step towards photosynthesis in general where artificial conjugated polymer semiconductors can be used as energy transducers.					DOMEN, Kazunari/D-6155-2011; Antonietti, Alessandro/K-9096-2016; wang, xin chen/D-6020-2016; Thomas, Arne/A-2178-2016; Takanabe, Kazuhiro/D-6119-2011; Maeda, Kazuhiko/F-5802-2015	wang, xin chen/0000-0002-2490-3568; Thomas, Arne/0000-0002-2130-4930; Antonietti, Markus/0000-0002-8395-7558; Carlsson, Johan M./0000-0002-1596-0923; Takanabe, Kazuhiro/0000-0001-5374-9451; Maeda, Kazuhiko/0000-0001-7245-8318													1476-1122					JAN	2009	8	1					76	80		10.1038/NMAT2317	http://dx.doi.org/10.1038/NMAT2317								18997776					WOS:000261866700023
J	Marcano, DC; Kosynkin, DV; Berlin, JM; Sinitskii, A; Sun, ZZ; Slesarev, A; Alemany, LB; Lu, W; Tour, JM				Marcano, Daniela C.; Kosynkin, Dmitry V.; Berlin, Jacob M.; Sinitskii, Alexander; Sun, Zhengzong; Slesarev, Alexander; Alemany, Lawrence B.; Lu, Wei; Tour, James M.			Improved Synthesis of Graphene Oxide	ACS NANO												An improved method for the preparation of graphene oxide (GO) is described. Currently, Hummers' method (KMnO4, NaNO3, H2SO4) is the most common method used for preparing graphene oxide. We have found that excluding the NaNO3, increasing the amount of KMnO4, and performing the reaction in a 9:1 mixture of H2SO4/H3PO4 improves the efficiency of the oxidation process. This improved method provides a greater amount of hydrophilic oxidized graphene material as compared to Hummers' method or Hummers' method with additional KMnO4. Moreover, even though the GO produced by our method is more oxidized than that prepared by Hummers' method, when both are reduced in the same chamber with hydrazine, chemically converted graphene (CCG) produced from this new method is equivalent in its electrical conductivity. In contrast to Hummers' method, the new method does not generate toxic gas and the temperature is easily controlled. This improved synthesis of GO may be important for large-scale production of GO as well as the construction of devices composed of the subsequent CCG.					Tour, James/AGW-1519-2022; Sun, Zhengzong/C-5292-2014; Lu, Wei/D-1751-2012; Kosynkin, Dmitry/AAX-1108-2021; Sinitskii, Alexander/J-6619-2015	Sun, Zhengzong/0000-0002-3710-4001; Tour, James/0000-0002-8479-9328; Marcano, Daniela C./0000-0002-3446-8010; Sinitskii, Alexander/0000-0002-8688-3451													1936-0851	1936-086X				AUG	2010	4	8					4806	4814		10.1021/nn1006368	http://dx.doi.org/10.1021/nn1006368								20731455					WOS:000281052700057
J	Naguib, M; Kurtoglu, M; Presser, V; Lu, J; Niu, JJ; Heon, M; Hultman, L; Gogotsi, Y; Barsoum, MW				Naguib, Michael; Kurtoglu, Murat; Presser, Volker; Lu, Jun; Niu, Junjie; Heon, Min; Hultman, Lars; Gogotsi, Yury; Barsoum, Michel W.			Two-Dimensional Nanocrystals Produced by Exfoliation of Ti<sub>3</sub>AlC<sub>2</sub>	ADVANCED MATERIALS																	Barsoum, Michel/ABW-5127-2022; Lu, Jun/K-3321-2015; Hultman, Lars/H-4061-2018; Presser, Volker/F-1975-2010; Niu, Jun/H-1099-2011; Naguib, Michael/A-7315-2012; Gogotsi, Yury/B-2167-2008	Barsoum, Michel/0000-0001-7800-3517; Naguib, Michael/0000-0002-4952-9023; Gogotsi, Yury/0000-0001-9423-4032													0935-9648					OCT 4	2011	23	37					4248	4253		10.1002/adma.201102306	http://dx.doi.org/10.1002/adma.201102306								21861270					WOS:000296258900004
