PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	C3	RP	EM	RI	OI	FU	FP	FX	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	DL	D2	EA	PG	WC	WE	SC	GA	PM	OA	HC	HP	DA	UT
J	Geim, AK; Novoselov, KS				Geim, A. K.; Novoselov, K. S.			The rise of graphene	NATURE MATERIALS												Graphene is a rapidly rising star on the horizon of materials science and condensed-matter physics. This strictly two-dimensional material exhibits exceptionally high crystal and electronic quality, and, despite its short history, has already revealed a cornucopia of new physics and potential applications, which are briefly discussed here. Whereas one can be certain of the realness of applications only when commercial products appear, graphene no longer requires any further proof of its importance in terms of fundamental physics. Owing to its unusual electronic spectrum, graphene has led to the emergence of a new paradigm of 'relativistic' condensed-matter physics, where quantum relativistic phenomena, some of which are unobservable in high-energy physics, can now be mimicked and tested in table-top experiments. More generally, graphene represents a conceptually new class of materials that are only one atom thick, and, on this basis, offers new inroads into low-dimensional physics that has never ceased to surprise and continues to provide a fertile ground for applications.					Novoselov, Kostya/G-9581-2014	Novoselov, Kostya/0000-0003-4972-5371; Sifuentes, Itan/0000-0002-9848-4896; hai yan, he/0000-0003-0366-6185													1476-1122	1476-4660				MAR	2007	6	3					183	191		10.1038/nmat1849	http://dx.doi.org/10.1038/nmat1849								17330084					WOS:000244570700015
J	Grimme, S; Antony, J; Ehrlich, S; Krieg, H				Grimme, Stefan; Antony, Jens; Ehrlich, Stephan; Krieg, Helge			A consistent and accurate ab initio parametrization of density functional dispersion correction (DFT-D) for the 94 elements H-Pu	JOURNAL OF CHEMICAL PHYSICS												The method of dispersion correction as an add-on to standard Kohn-Sham density functional theory (DFT-D) has been refined regarding higher accuracy, broader range of applicability, and less empiricism. The main new ingredients are atom-pairwise specific dispersion coefficients and cutoff radii that are both computed from first principles. The coefficients for new eighth-order dispersion terms are computed using established recursion relations. System (geometry) dependent information is used for the first time in a DFT-D type approach by employing the new concept of fractional coordination numbers (CN). They are used to interpolate between dispersion coefficients of atoms in different chemical environments. The method only requires adjustment of two global parameters for each density functional, is asymptotically exact for a gas of weakly interacting neutral atoms, and easily allows the computation of atomic forces. Three-body nonadditivity terms are considered. The method has been assessed on standard benchmark sets for inter- and intramolecular noncovalent interactions with a particular emphasis on a consistent description of light and heavy element systems. The mean absolute deviations for the S22 benchmark set of noncovalent interactions for 11 standard density functionals decrease by 15%-40% compared to the previous (already accurate) DFT-D version. Spectacular improvements are found for a tripeptide-folding model and all tested metallic systems. The rectification of the long-range behavior and the use of more accurate C-6 coefficients also lead to a much better description of large (infinite) systems as shown for graphene sheets and the adsorption of benzene on an Ag(111) surface. For graphene it is found that the inclusion of three-body terms substantially (by about 10%) weakens the interlayer binding. We propose the revised DFT-D method as a general tool for the computation of the dispersion energy in molecules and solids of any kind with DFT and related (low-cost) electronic structure methods for large systems.					Ehrlich, Stephan/F-9359-2011; Grimme, Stefan/B-2873-2010	Ehrlich, Stephan/0000-0002-6594-4710													0021-9606	1089-7690				APR 21	2010	132	15							154104	10.1063/1.3382344	http://dx.doi.org/10.1063/1.3382344								20423165					WOS:000276971500005
J	Weigend, F; Ahlrichs, R				Weigend, F; Ahlrichs, R			Balanced basis sets of split valence, triple zeta valence and quadruple zeta valence quality for H to Rn: Design and assessment of accuracy	PHYSICAL CHEMISTRY CHEMICAL PHYSICS												Gaussian basis sets of quadruple zeta valence quality for Rb-Rn are presented, as well as bases of split valence and triple zeta valence quality for H-Rn. The latter were obtained by (partly) modifying bases developed previously. A large set of more than 300 molecules representing (nearly) all elements - except lanthanides - in their common oxidation states was used to assess the quality of the bases all across the periodic table. Quantities investigated were atomization energies, dipole moments and structure parameters for Hartree-Fock, density functional theory and correlated methods, for which we had chosen Moller-Plesset perturbation theory as an example. Finally recommendations are given which type of basis set is used best for a certain level of theory and a desired quality of results.					Weigend, Florian/R-5843-2017	Weigend, Florian/0000-0001-5060-1689; Cador, Olivier/0000-0003-2064-6223													1463-9076	1463-9084					2005	7	18					3297	3305		10.1039/b508541a	http://dx.doi.org/10.1039/b508541a								16240044					WOS:000231618300007
J	Henkelman, G; Uberuaga, BP; Jónsson, H				Henkelman, G; Uberuaga, BP; Jónsson, H			A climbing image nudged elastic band method for finding saddle points and minimum energy paths	JOURNAL OF CHEMICAL PHYSICS												A modification of the nudged elastic band method for finding minimum energy paths is presented. One of the images is made to climb up along the elastic band to converge rigorously on the highest saddle point. Also, variable spring constants are used to increase the density of images near the top of the energy barrier to get an improved estimate of the reaction coordinate near the saddle point. Applications to CH4 dissociative adsorption on Ir(111) and H-2 on Si(100) using plane wave based density functional theory are presented. (C) 2000 American Institute of Physics. [S0021-9606(00)71246-3].					Uberuaga, Blas/I-1809-2019; Henkelman, Graeme/A-9301-2008; Jonsson, Hannes/G-2267-2013	Uberuaga, Blas/0000-0001-6934-6219; Jonsson, Hannes/0000-0001-8285-5421													0021-9606	1089-7690				DEC 8	2000	113	22					9901	9904	PII [S0021-9606(00)71246-3]	10.1063/1.1329672	http://dx.doi.org/10.1063/1.1329672													WOS:000165584900005
J	Hasan, MZ; Kane, CL				Hasan, M. Z.; Kane, C. L.			Colloquium: Topological insulators	REVIEWS OF MODERN PHYSICS												Topological insulators are electronic materials that have a bulk band gap like an ordinary insulator but have protected conducting states on their edge or surface. These states are possible due to the combination of spin-orbit interactions and time-reversal symmetry. The two-dimensional (2D) topological insulator is a quantum spin Hall insulator, which is a close cousin of the integer quantum Hall state. A three-dimensional (3D) topological insulator supports novel spin-polarized 2D Dirac fermions on its surface. In this Colloquium the theoretical foundation for topological insulators and superconductors is reviewed and recent experiments are described in which the signatures of topological insulators have been observed. Transport experiments on HgTe/CdTe quantum wells are described that demonstrate the existence of the edge states predicted for the quantum spin Hall insulator. Experiments on Bi1-xSbx, Bi2Se3, Bi2Te3, and Sb2Te3 are then discussed that establish these materials as 3D topological insulators and directly probe the topology of their surface states. Exotic states are described that can occur at the surface of a 3D topological insulator due to an induced energy gap. A magnetic gap leads to a novel quantum Hall state that gives rise to a topological magnetoelectric effect. A superconducting energy gap leads to a state that supports Majorana fermions and may provide a new venue for realizing proposals for topological quantum computation. Prospects for observing these exotic states are also discussed, as well as other potential device applications of topological insulators.					HASAN, M./D-8237-2012; Kane, Charles/A-1035-2007														0034-6861	1539-0756				NOV 8	2010	82	4					3045	3067		10.1103/RevModPhys.82.3045	http://dx.doi.org/10.1103/RevModPhys.82.3045													WOS:000283929800001
J	Ferrari, AC; Meyer, JC; Scardaci, V; Casiraghi, C; Lazzeri, M; Mauri, F; Piscanec, S; Jiang, D; Novoselov, KS; Roth, S; Geim, AK				Ferrari, A. C.; Meyer, J. C.; Scardaci, V.; Casiraghi, C.; Lazzeri, M.; Mauri, F.; Piscanec, S.; Jiang, D.; Novoselov, K. S.; Roth, S.; Geim, A. K.			Raman spectrum of graphene and graphene layers	PHYSICAL REVIEW LETTERS												Graphene is the two-dimensional building block for carbon allotropes of every other dimensionality. We show that its electronic structure is captured in its Raman spectrum that clearly evolves with the number of layers. The D peak second order changes in shape, width, and position for an increasing number of layers, reflecting the change in the electron bands via a double resonant Raman process. The G peak slightly down-shifts. This allows unambiguous, high-throughput, nondestructive identification of graphene layers, which is critically lacking in this emerging research area.					Geim, Andre/J-7888-2012; Jiang, Da/E-3543-2013; scardaci, vittorio/A-1610-2008; Lazzeri, Michele/N-7615-2016; MAURI, FRANCESCO/K-5726-2012; Novoselov, Kostya/G-9581-2014; Meyer, Jannik/H-8541-2012	Lazzeri, Michele/0000-0002-6644-6617; MAURI, FRANCESCO/0000-0002-6666-4710; Jiang, Da/0000-0002-4341-2289; hai yan, he/0000-0003-0366-6185; Novoselov, Kostya/0000-0003-4972-5371; Meyer, Jannik/0000-0003-4023-0778; Scardaci, Vittorio/0000-0003-0167-4368													0031-9007	1079-7114				NOV 3	2006	97	18							187401	10.1103/PhysRevLett.97.187401	http://dx.doi.org/10.1103/PhysRevLett.97.187401								17155573					WOS:000241757600056
J	Ravel, B; Newville, M				Ravel, B; Newville, M			<i>ATHENA, ARTEMIS, HEPHAESTUS</i>:: data analysis for X-ray absorption spectroscopy using <i>IFEFFIT</i>	JOURNAL OF SYNCHROTRON RADIATION												A software package for the analysis of X-ray absorption spectroscopy (XAS) data is presented. This package is based on the IFEFFIT library of numerical and XAS algorithms and is written in the Perl programming language using the Perl/Tk graphics toolkit. The programs described here are: (i) ATHENA, a program for XAS data processing, (ii) ARTEMIS, a program for EXAFS data analysis using theoretical standards from FEFF and (iii) HEPHAESTUS, a collection of beamline utilities based on tables of atomic absorption data. These programs enable high-quality data analysis that is accessible to novices while still powerful enough to meet the demands of an expert practitioner. The programs run on all major computer platforms and are freely available under the terms of a free software license.					; Newville, Matthew/B-3372-2009	Ravel, Bruce/0000-0002-4126-872X; Newville, Matthew/0000-0001-6938-1014													0909-0495					JUL	2005	12		4				537	541		10.1107/S0909049505012719	http://dx.doi.org/10.1107/S0909049505012719								15968136					WOS:000229799300024
J	Hess, B; Kutzner, C; van der Spoel, D; Lindahl, E				Hess, Berk; Kutzner, Carsten; van der Spoel, David; Lindahl, Erik			GROMACS 4: Algorithms for highly efficient, load-balanced, and scalable molecular simulation	JOURNAL OF CHEMICAL THEORY AND COMPUTATION												Molecular simulation is an extremely useful, but computationally very expensive tool for studies of chemical and biomolecular systems. Here, we present a new implementation of our molecular simulation toolkit GROMACS which now both achieves extremely high performance on single processors from algorithmic optimizations and hand-coded routines and simultaneously scales very well on parallel machines. The code encompasses a minimal-communication domain decomposition algorithm, full dynamic load balancing, a state-of-the-art parallel constraint solver, and efficient virtual site algorithms that allow removal of hydrogen atom degrees of freedom to enable integration time steps up to 5 fs; for atomistic simulations also in parallel. To improve the scaling properties of the common particle mesh Ewald electrostatics algorithms, we have in addition used a Multiple-Program, Multiple-Data approach, with separate node domains responsible for direct and reciprocal space interactions. Not only does this combination of algorithms enable extremely long simulations of large systems but also it provides that simulation performance on quite modest numbers of standard cluster nodes.					van der Spoel, David/A-5471-2008; Lindahl, Erik/D-4590-2013	Lindahl, Erik/0000-0002-2734-2794; Hess, Berk/0000-0002-7498-7763													1549-9618	1549-9626				MAR	2008	4	3					435	447		10.1021/ct700301q	http://dx.doi.org/10.1021/ct700301q								26620784					WOS:000254277900007
J	Ferrari, AC; Robertson, J				Ferrari, AC; Robertson, J			Interpretation of Raman spectra of disordered and amorphous carbon	PHYSICAL REVIEW B												The model and theoretical understanding of the Raman spectra in disordered and amorphous carbon are given. The nature of the G and D vibration modes in graphite is analyzed in terms of the resonant excitation of pi states and the long-range polarizability of pi bonding. Visible Raman data on disordered, amorphous, and diamond like carbon are classified in a three-stage model to show the factors that control the position, intensity, and widths of the G and D peaks. It is shown that the visible Raman spectra depend formally on the configuration of the sp(2) sites in sp(2)-bonded clusters. In cases where the sp(2) clustering is controlled by the sp(3) fraction, such as in as-deposited tetrahedral amorphous carbon (ta-C) or hydrogenated amorphous carbon (a-C:H) films, the visible Raman parameters can be used to derive the sp(3) fraction.																			2469-9950	2469-9969				MAY 15	2000	61	20					14095	14107		10.1103/PhysRevB.61.14095	http://dx.doi.org/10.1103/PhysRevB.61.14095													WOS:000087284900099
J	Blondel, VD; Guillaume, JL; Lambiotte, R; Lefebvre, E				Blondel, Vincent D.; Guillaume, Jean-Loup; Lambiotte, Renaud; Lefebvre, Etienne			Fast unfolding of communities in large networks	JOURNAL OF STATISTICAL MECHANICS-THEORY AND EXPERIMENT												We propose a simple method to extract the community structure of large networks. Our method is a heuristic method that is based on modularity optimization. It is shown to outperform all other known community detection methods in terms of computation time. Moreover, the quality of the communities detected is very good, as measured by the so-called modularity. This is shown first by identifying language communities in a Belgian mobile phone network of 2 million customers and by analysing a web graph of 118 million nodes and more than one billion links. The accuracy of our algorithm is also verified on ad hoc modular networks.					Guillaume, Jean-Loup/HJP-3147-2023; blondel, vincent/A-8916-2011; Lambiotte, Renaud/C-1085-2009	Lambiotte, Renaud/0000-0002-0583-4595; Guillaume, Jean-Loup/0000-0002-4615-1563													1742-5468					OCT	2008									P10008	10.1088/1742-5468/2008/10/P10008	http://dx.doi.org/10.1088/1742-5468/2008/10/P10008													WOS:000260529900010
