PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	C3	RP	EM	RI	OI	FU	FP	FX	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	DL	D2	EA	PG	WC	WE	SC	GA	PM	OA	HC	HP	DA	UT
J	Hossain, MF				Hossain, M. F.			Fabrication of Nanosticks-Like CdS Sensitizer for the Application of Solar Cells	JOURNAL OF NANOSCIENCE AND NANOTECHNOLOGY												The novelty of this work is to fabricate the Nanosticks (NSs) like CdS sensitizer on the surface of TiO2 electrode by chemical bath deposition (CBD) method with a very high vacuum annealed at 350 degrees C for 30 min. Whereas, nanocrystalline TiO2 electrodes have been prepared on FTO (SnO2: F) glass by a spin-coating method with high purity (99.99%, Degussa P25) TiO2 powder. The surface of the CdS layer has been covered by NSs like structures which are confirmed by the scanning electron microscope image. The 100 nm of platinum-coated FTO substrate and polysulfide-based electrolyte are used to assemble the Gratzel Solar cell (GSC). The performance of solar cell (SC) based on NSs like CdS has been compared with the nanoparticles (NPs) based CdS sensitized SC, where CdS NPs has synthesized by CBD without any post-annealing. The efficiency of NSs like CdS sensitized SC exhibits 2.44%, which is 2 folds of the efficiency of the CdS NPs sensitized SC. The NSs like CdS sensitized SC shows the highest photocurrent 20.24 mA/cm(2) compared to CdS NPs based SC.					Hossain, Faruk/K-6756-2014														1533-4880	1533-4899				MAY	2020	20	5					2992	2997		10.1166/jnn.2020.17477	http://dx.doi.org/10.1166/jnn.2020.17477								31635638					WOS:000492366900040
J	Li, KD				Li, Kun-Dar			The Influence of Process Parameters on the Morphological Characteristics by Directional Etching for Materials Nanoarchitectonics	JOURNAL OF NANOSCIENCE AND NANOTECHNOLOGY												In nanoarchitectonics, the advanced technology of directional etching is highly demanded for the fabrication of modern electronic device with high anisotropy ratio of structures. To facilitate the manufacturing processes, in this study we focus on establishing a phase-field model with a directional source term to simulate the dynamics of morphological formation and profile evolution in a crystalline substrate. Additionally, the influences of the etching rate, the degree of etching directionality, and the oblique angle on the structural characteristics are also taken into consideration to offer a broad perspective on the directional etching technologies. In the numerical analyses, the featured morphologies are elucidated by the dominant factors based on the mechanism of the profile evolution. The etched surface tends to be roughened with the crystallographic characters, while the kinetics of directional etching plays a prevailing role in the morphological formation. As the surface diffusion of substrate becomes a controlling factor, a flattened profile of the etched surface would be formed even in a condition of high directionality or high oblique angle. The featured surface morphologies, including the pyramid, ripple, mounds and etch pits, are reproduced numerically, and these simulation results correspond well with the observations of directional etching experiments. This study provides the fundamental knowledge and detailed information for the advanced application of the directional etching technology.																			1533-4880	1533-4899				MAY	2020	20	5					3060	3070		10.1166/jnn.2020.17429	http://dx.doi.org/10.1166/jnn.2020.17429								31635649					WOS:000492366900051
J	Oguma, H; Seitoku, E; Mutoh, M; Yoshizawa, S; Nakanishi, K; Bando, Y; Era, Y; Kiba, T; Saikaew, P; Tamai, M; Akasaka, T; Nakamura, M; Kusaka, T; Yoshida, Y; Sato, Y; Sano, H; Abe, S; Alireza, V; Watanabe, I; Inoue, S; Takada, T				Oguma, Hidetoshi; Seitoku, Eri; Mutoh, Mami; Yoshizawa, Saori; Nakanishi, Ko; Bando, Yosuke; Era, Yuko; Kiba, Takayuki; Saikaew, Pipop; Tamai, Miho; Akasaka, Tsukasa; Nakamura, Mariko; Kusaka, Teruo; Yoshida, Yasuhiro; Sato, Yoshiaki; Sano, Hidehiko; Abe, Shigeaki; Alireza, Valanezhad; Watanabe, Ikuya; Inoue, Satoshi; Takada, Tomoya			Size- and Morphology-Controlled Preparation of Surface-Modified Water-Dispersible Fullerene Nanoparticles for Bioapplications	JOURNAL OF NANOSCIENCE AND NANOTECHNOLOGY												In this study, we investigated water-dispersible surface modification for size- and shape-controlled fullerene nanoparticles (C60P) based on a condensation reaction with di-amino alkane. This modification provided for water dispersibility of C60P and the capability for secondary modification as well. The resultant C60P particles have several useful physical properties: water-dispersibility for ease of injection; fluorescence for detection and quantification; and a characteristic morphology to assist identification. These properties will widely extend the applications of these particles, especially into the biological fields of bioimaging and drug delivery.					Saikaew, Pipop/AAN-7203-2020; Kiba, Takayuki/C-6830-2018; YOSHIDA, Yasuhiro/B-2472-2011; Valanezhad, Alireza/H-4684-2019; Tamai, Miho/ABI-8323-2020; nakanishi, ko/AGH-3260-2022	Takada, Tomoya/0000-0002-5701-7140													1533-4880	1533-4899				MAY	2020	20	5					2668	2674		10.1166/jnn.2020.17473	http://dx.doi.org/10.1166/jnn.2020.17473								31635601					WOS:000492366900003
J	Shakya, J; Kasana, PK; Mohanty, T				Shakya, Jyoti; Kasana, P. K.; Mohanty, T.			Investigation of Swift Heavy Ion Irradiated Reduced Graphene Oxide (rGO)/Molybdenum Disulfide (MoS<sub>2</sub>) Nanocomposite Using Raman Spectroscopy	JOURNAL OF NANOSCIENCE AND NANOTECHNOLOGY												In this work, a few layer molybdenum disulfide (MoS2) and reduced graphene oxide (rGO) nanocomposite have been synthesized by liquid exfoliation method. The morphological and structural properties are analyzed using scanning electron microscopy and X-ray diffraction technique. The optical properties are also investigated using absorption and Raman spectroscopy. This report presents quantification of swift heavy ion irradiation induced defects using Raman spectroscopy. We found both Raman mode E-2g(1) and A(1g) corresponding to MoS2 and Raman modes of rGO are strongly affected by increasing ions doses. The defect induced lattice strain in the rGO/MoS2 nanocomposite is also estimated from Raman spectroscopy. MoS2 layers are found to be much more sensitive than rGO in the rGO/MoS2 nanocomposite. These types of study further used in device based application of rGO/MoS2 nanocomposite system.						Shakya, Jyoti/0000-0001-6403-2755													1533-4880	1533-4899				MAY	2020	20	5					3174	3181		10.1166/jnn.2020.17400	http://dx.doi.org/10.1166/jnn.2020.17400								31635662					WOS:000492366900064
J	Vathani, AM; Dhanalakshmi, S; Jeyakumaran, N; Prithivikumaran, N				Vathani, A. Mathi; Dhanalakshmi, S.; Jeyakumaran, N.; Prithivikumaran, N.			Fabrication of Al-TiO<sub>2</sub> Thin Film Electrode by Spray Pyrolysis Technique for Urea Sensing	JOURNAL OF NANOSCIENCE AND NANOTECHNOLOGY												A simple cost effective Al-TiO2 thin film electrode was fabricated for urea sensing. Urea is the key end product of nitrogen metabolism in humans. Increased level of urea leads to loss of kidney function. Thus determination of urea is important in analysis of kidney diseases. Al-TiO2 thin films were deposited with different concentration of Al by Spray pyrolysis technique. The X-ray diffraction (XRD) pattern reveals the anatase phase of the Al-TiO2 thin films with tetragonal structure. A shift is observed in the XRD peak position compared to as prepared TiO2 thin film indicates the incorporation of Al ions into Ti ions. The UV-Vis spectroscopy study shows that the absorption increases and the absorption peak shifts towards the visible region for Al-TiO2 thin films compared with that of the as prepared TiO2 thin film. The optical band gap values changes with the change in the Al concentration in TiO2 thin films. The electrochemical analysis for optimized Al-TiO2 thin film electrode was carried out by cyclic voltammetry (CV) method. CV studies of Al-TiO2 thin film electrode show the good stability and linearity which is essential to fabricate biosensor. The sensor response to urea is linear with correlation coefficient of 0.944 and the sensitivity is 3.17 mu A mM(-1) cm(-2).																			1533-4880	1533-4899				MAY	2020	20	5					2887	2892		10.1166/jnn.2020.17447	http://dx.doi.org/10.1166/jnn.2020.17447								31635625					WOS:000492366900027
J	Wakabayashi, R; Kimura, T				Wakabayashi, Ryutaro; Kimura, Tatsuo			Surfactant-Assisted Mesostructural Variation by the Molecular Structure of Frameworks	JOURNAL OF NANOSCIENCE AND NANOTECHNOLOGY												Typical syntheses for the mesostructural design were performed with strategic deviations, being substantially powerful for changing the molecular structure of frameworks, from the synthetic conditions optimized for the preparation of lamellar and 2-d hexagonal mesostructured materials where the frameworks were constructed by aluminophosphate (AlPO) like units with and without organic groups in the molecular scale. A series of the materials such as mesostructured aluminum organophosphonate (AOP) and AlPO type ones were investigated according to the molecular structure and crystallinity of inorganic-organic hybrid and non-hybrid inorganic frameworks. Considering a uniqueness of AlPO based frameworks, a rational insight on strength of interactions between crystalline/amorphous AlPO based units and cationic surfactant molecules was surveyed as one of the most significant factors for understanding the mesostructural variation.					Wakabayashi, Ryutaro/H-5544-2018; Kimura, Tatsuo/F-9382-2014	Wakabayashi, Ryutaro/0000-0003-4036-504X; Kimura, Tatsuo/0000-0002-5184-046X													1533-4880	1533-4899				MAY	2020	20	5					3078	3083		10.1166/jnn.2020.17478	http://dx.doi.org/10.1166/jnn.2020.17478								31635651					WOS:000492366900053
J	Harpale, K; Jagtap, K; Bankar, A; Dhole, S; More, M				Harpale, Kashmira; Jagtap, Krishna; Bankar, Ashok; Dhole, Sanjay; More, Mahendra			Synthesis, Characterization and Anti-Biofilm Efficacy of Polypyrrole-Zinc Oxide Composites	JOURNAL OF NANOSCIENCE AND NANOTECHNOLOGY												A nanocomposite of Polypyrrole (PPy) and zinc oxide (ZnO), termed as PPy-ZnO, was synthesized by two step route. In the first step, synthesis of PPy was carried out by chemical oxidative route. In the second step, the PPy-ZnO nanocomposite was synthesized under hydrothermal conditions. The as-synthesized PPy-ZnO nanocomposites were characterized using X-ray Diffraction (XRD), scanning electron microscopy (SEM), Fourier Transform Infra-red (FTIR) and Ultra violet visible (UV-vis) spectroscopy to reveal the phase, morphology, chemical and optical properties. The physical and chemical characterizations confirmed presence of both PPy and ZnO phases in the nanocomposite. In the present work, antimicrobial activity of the PPy-ZnO nanocomposite against human pathogen Y. lipolytica has been investigated. Attempts have been made to reveal the influence of PPy percentage on the antimicrobial activity. Interestingly, all PPy-ZnO nanocomposites, irrespective of PPy percentage showed 90 to 95% inhibited growth of Yarrowia lipolytica. The results obtained herein imply the potential of PPy-ZnO biofilm in inhibiting the growth of Y. lipolytica and thus preventing infections caused due to Y. lipolytica in humans.					More, Mahendra/H-8332-2013; jagtap, krishna/J-9191-2015; Harpale, Kashmira/HNJ-2624-2023	Jagtap, Krishna/0009-0004-1776-8515													1533-4880	1533-4899				APR	2020	20	4					2639	2644		10.1166/jnn.2020.17367	http://dx.doi.org/10.1166/jnn.2020.17367								31492289					WOS:000484789100085
J	Jeong, H; Myung, WR; Kim, KY; Min, KD; Jung, SB				Jeong, Haksan; Myung, Woo-Ram; Kim, Kyung-Yeol; Min, Kyung Deuk; Jung, Seung-Boo			Mechanical Reliability of Epoxy Sn-58wt.%Bi Composite Solder Under Temperature-Humidity Treatment with Organic Solderability Preservatives (OSP) Surface Finish	SCIENCE OF ADVANCED MATERIALS												The microstructures and mechanical reliability of Sn-58Bi solder and epoxy Sn-58Bi composite solder joint were investigated with organic solderability preservative surface finishes. The mechanical reliabilities of Sn58Bi and epoxy Sn58Bi solder were evaluated by the board-level drop test and the 3-point bend test after temperature-humidity storage testing. The microstructure and chemical composition of the solder joints were characterized by scanning electron microscopy and energy dispersive X-ray spectroscopy, respectively. The addition of epoxy in solder paste did not affect the morphology of the intermetallic compound. The thickness of the scalloped-shaped Cu6Sn5 intermetallic compound of solder/OSP joint increased with aging time. The drop number until fail for the epoxy Sn58Bi/OSP joint was higher than that for the Sn-58Bi/OSP joint; the average numbers of drops withstood by the Sn-58Bi/OSP joint and epoxy Sn-58Bi/OSP joint following the reflow process were fewer than 10 drops and 180 drops, respectively. The drop number of solder/OSP joints decreased with increasing aging time. The result of the 3-point bend tests shows that the number of bend cycles for the epoxy Sn-58Bi/OSP joint was 30 times higher than that for the Sn-58Bi/OSP joint. The number of bend cycles for solder/OSP joints was decreased with increasing aging time.					kim, nayoung/IWV-4038-2023														1947-2935	1947-2943				APR	2020	12	4					525	530		10.1166/sam.2020.3660	http://dx.doi.org/10.1166/sam.2020.3660													WOS:000495065200011
J	Kang, H; Kim, S; Kang, J				Kang, Hyunki; Kim, Saehong; Kang, Jungwon			Improved Sensitivity of Indirect Organic X-ray Detector Using Ag Nanoparticles Blended in Bulk-Heterojunction Active Layer	SCIENCE OF ADVANCED MATERIALS												Blending effect of Ag nanoparticles (NPs) in bulk-heterojunction P3HT:PC70BM layer was studied to improve the sensitivity of indirect X-ray detector. Scintillator-decoupled detectors with different contents (1, 3, 5 and 7 wt%) of Ag NPs were fabricated and tested using a solar simulator. Compared with the detector having pristine P3HT:PC70BM layer, the detector with 3 wt% Ag NPs blended in the P3HT:PC70BM layer showed 26% higher PCE and 19% higher J(sc). CsI(Tl) scintillator-coupled detectors were then tested under irradiation of X-ray source. The detector with 3 wt% Ag NPs-blended P3HT:PC70BM layer showed the highest CCD of 350.51 nA/cm(2) and the highest sensitivity of 2.20 mA/Gy.cm(2). At optimal Ag NPs blending condition, Ag NPs in the P3HT:PC70BM layer can enhance charge-generation by improving absorption of visible-photons and charge-extraction by improving carrier-mobility while lowering resistance.					Kang, Jungwon/ABE-4548-2021														1947-2935	1947-2943				APR	2020	12	4					544	549		10.1166/sam.2020.3663	http://dx.doi.org/10.1166/sam.2020.3663													WOS:000495065200014
J	Li, ZJ; Wang, XY; Tian, M; Zhang, XD; Shi, FN; Bai, B				Li, Zhi-Jie; Wang, Xiao-Yan; Tian, Ming; Zhang, Xu-Dong; Shi, Fa-Nian; Bai, Bing			Facile Synthesis and Optical Properties of Aluminum Nitride Nanowires Array	JOURNAL OF NANOSCIENCE AND NANOTECHNOLOGY												AlN nanowires macro-array were successfully fabricated on Si substrate by double template method and chemical vapour deposition. The research shows that AlN nanowires array with different diameter, length and coverage can be prepared by controlling the experimental conditions. The as-prepared AlN nanowires array were characterized by X-ray diffraction (XRD), scanning electron microscopy (SEM) and transmission electron microscopy (TEM). Furthermore, the Ultraviolet absorption of AlN nanowires array as a sensors was investigated and calculated with the first principle.																			1533-4880	1533-4899				APR	2020	20	4					2598	2602		10.1166/jnn.2020.17310	http://dx.doi.org/10.1166/jnn.2020.17310								31492282					WOS:000484789100078
