ID,Abstract,rule1,rule2,rule3,rule4,rule5,rule6,rule7,rule8,rule9,rule10,rule11,rule12,rule13,rule14,rule15,rule16,rule17,rule18,rule19,rule20,rule21,rule22,rule23,rule24,rule25,rule26,rule27,rule28,rule29,rule30,rule31,rule32,rule33,rule34
0,"Background: Illumina paired-end reads are used to analyse microbial communities by targeting amplicons of the 16S rRNA gene. Publicly available tools are needed to assemble overlapping paired-end reads while correcting mismatches and uncalled bases; many errors could be corrected to obtain higher sequence yields using quality information. Results: PANDAseq assembles paired-end reads rapidly and with the correction of most errors. Uncertain error corrections come from reads with many low-quality bases identified by upstream processing. Benchmarks were done using real error masks on simulated data, a pure source template, and a pooled template of genomic DNA from known organisms. PANDAseq assembled reads more rapidly and with reduced error incorporation compared to alternative methods. Conclusions: PANDAseq rapidly assembles sequences and scales to billions of paired-end reads. Assembly of control libraries showed a 4-50% increase in the number of assembled sequences over naive assembly with negligible loss of ""good"" sequence.",yes,no,no,no,no,no,no,no,no,no,yes,yes,no,no,no,no,yes,yes,yes,no,no,no,yes,yes,yes,yes,no,yes,no,no,yes,yes,yes,
1,"Motivation: Modern anatomical and developmental studies often require high-resolution imaging of large specimens in three dimensions (3D). Confocal microscopy produces high-resolution 3D images, but is limited by a relatively small field of view compared with the size of large biological specimens. Therefore, motorized stages that move the sample are used to create a tiled scan of the whole specimen. The physical coordinates provided by the microscope stage are not precise enough to allow direct reconstruction (Stitching) of the whole image from individual image stacks. Results: To optimally stitch a large collection of 3D confocal images, we developed a method that, based on the Fourier Shift Theorem, computes all possible translations between pairs of 3D images, yielding the best overlap in terms of the cross-correlation measure and subsequently finds the globally optimal configuration of the whole group of 3D images. This method avoids the propagation of errors by consecutive registration steps. Additionally, to compensate the brightness differences between tiles, we apply a smooth, nonlinear intensity transition between the overlapping images. Our stitching approach is fast, works on 2D and 3D images, and for small image sets does not require prior knowledge about the the configuration.",yes,no,no,no,no,no,yes,no,yes,yes,yes,yes,no,no,no,no,yes,yes,yes,no,yes,no,yes,yes,yes,yes,yes,yes,no,no,no,yes,yes,
2,"This paper is a companion to a recent paper on fast rotation functions [Storoni et al. (2004), Acta Cryst. D60, 432-438], which showed how a Taylor-series expansion of the maximum-likelihood rotation function leads to improved likelihood-enhanced fast rotation functions. In a similar manner, it is shown here how linear and quadratic Taylor-series expansions and least-squares approximations of the maximum-likelihood translation function lead to likelihood-enhanced translation functions, which can be calculated by FFT and which are more sensitive to the correct translation than the traditional correlation-coefficient fast translation function. These likelihood-enhanced translation targets for molecular-replacement searches have been implemented in the program Phaser using the Computational Crystallography Toolbox (cctbx).",no,no,no,yes,no,no,no,no,yes,yes,yes,yes,no,no,no,no,yes,yes,yes,no,yes,no,yes,no,yes,yes,yes,yes,no,no,yes,yes,,
3,"We present rna22, a method for identifying microRNA binding sites and their corresponding heteroduplexes. Rna22 does not rely upon cross-species conservation, is resilient to noise, and, unlike previous methods, it first finds putative microRNA binding sites in the sequence of interest, then identifies the targeting microRNA. Computationally, we show that rna22 identifies most of the currently known heteroduplexes. Experimentally, with luciferase assays, we demonstrate average repressions of 30% or more for 168 of 226 tested targets. The analysis suggests that some microRNAs may have as many as a few thousand targets, and that between 74% and 92% of the gene transcripts in four model genomes are likely under microRNA control through their untranslated and amino acid coding regions. We also extended the method's key idea to a low-error microRNA-precursor-discovery scheme; our studies suggest that the number of microRNA precursors in mammalian genomes likely ranges in the tens of thousands.",no,no,no,yes,yes,no,yes,no,no,no,yes,yes,no,no,no,yes,yes,yes,yes,no,no,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,,
4,"DNA amplification is essential to most nucleic acid testing strategies, but established techniques require sophisticated equipment or complex experimental procedures, and their uptake outside specialised laboratories has been limited. Our novel approach, recombinase polymerase amplification (RPA), couples isothermal recombinase-driven primer targeting of template material with strand-displacement DNA synthesis. It achieves exponential amplification with no need for pretreatment of sample DNA. Reactions are sensitive, specific, and rapid and operate at constant low temperature. We have also developed a probe-based detection system. Key aspects of the combined RPA amplification/detection process are illustrated by a test for the pathogen methicillin-resistant Staphylococcus aureus. The technology proves to be sensitive to fewer than ten copies of genomic DNA. Furthermore, products can be detected in a simple sandwich assay, thereby establishing an instrument-free DNA testing system. This unique combination of properties is a significant advance in the development of portable and widely accessible nucleic acid based tests.",yes,no,no,yes,yes,no,yes,yes,no,yes,yes,yes,no,no,no,yes,yes,yes,yes,no,no,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,
5,"Necroptosis is a cellular mechanism of necrotic cell death induced by apoptotic stimuli in the form of death domain receptor engagement by their respective ligands under conditions where apoptotic execution is prevented. Although it occurs under regulated conditions, necroptotic cell death is characterized by the same morphological features as unregulated necrotic death. Here we report that necrostatin-1, a previously identified small-molecule inhibitor of necroptosis, is a selective allosteric inhibitor of the death domain receptor-associated adaptor kinase RIP1 in vitro. We show that RIP1 is the primary cellular target responsible for the antinecroptosis activity of necrostatin-1. In addition, we show that two other necrostatins, necrostatin-3 and necrostatin-5, also target the RIP1 kinase step in the necroptosis pathway, but through mechanisms distinct from that of necrostatin-1. Overall, our data establish necrostatins as the first-in-class inhibitors of RIP1 kinase, the key upstream kinase involved in the activation of necroptosis.",yes,no,no,no,no,no,yes,no,yes,yes,yes,yes,no,no,no,no,yes,yes,yes,yes,no,no,yes,no,yes,yes,yes,yes,no,no,no,yes,yes,
6,"The cell-cycle transition from G(1) to S phase has been difficult to visualize. We have harnessed antiphase oscillating proteins that mark cell-cycle transitions in order to develop genetically encoded fluorescent probes for this purpose. These probes effectively label individual G, phase nuclei red and those in S/G(2)/M phases green. We were able to generate cultured cells and transgenic mice constitutively expressing the cell-cycle probes, in which every cell nucleus exhibits either red or green fluorescence. We performed time-lapse imaging to explore the spatiotemporal patterns of cell-cycle dynamics during the epithelial-mesenchymal transition of cultured cells, the migration and differentiation of neural progenitors in brain slices, and the development of tumors across blood vessels in live mice. These mice and cell lines will serve as model systems permitting unprecedented spatial and temporal resolution to help us better understand how the cell cycle is coordinated with various biological events.",yes,no,no,no,yes,no,yes,no,yes,no,yes,yes,no,no,yes,no,yes,yes,yes,no,no,no,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,
7,"The ryanodine receptor (RyR)/calcium release channel on the sarcoplasmic reticulum (SR) is the major source of calcium (Ca2+) required for cardiac muscle excitation-contraction (EC) coupling. The channel is a tetramer comprised of four type 2 RyR polypeptides (RyR2) and four FK506 binding proteins (FKBP12.6). We show that protein kinase A (PKA) phosphorylation of RyR2 dissociates FKBP12.6 and regulates the channel open probability (P-o). Using cosedimentation and coimmunoprecipitation we have defined a macromolecular complex comprised of RyR2, FKBP12.6, PKA, the protein phosphatases PP1 and PP2A, and an anchoring protein, mAKAP. In failing human hearts, RyR2 is PKA hyperphosphorylated, resulting in defective channel function due to increased sensitivity to Ca2+-induced activation.",yes,no,no,no,no,no,yes,no,no,yes,yes,yes,no,no,no,no,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,no,no,yes,yes,yes,
8,"Pathogenic Escherichia coli cause over 160 million cases of dysentery and one million deaths per year, whereas non-pathogenic E. coli constitute part of the normal intestinal flora of healthy mammals and birds. The evolutionary pathways underlying this dichotomy in bacterial lifestyle were investigated by multilocus sequence typing of a global collection of isolates. Specific pathogen types [enterohaemorrhagic E. coli, enteropathogenic E. coli, enteroinvasive E. coli, K1 and Shigella] have arisen independently and repeatedly in several lineages, whereas other lineages contain only few pathogens. Rates of evolution have accelerated in pathogenic lineages, culminating in highly virulent organisms whose genomic contents are altered frequently by increased rates of homologous recombination; thus, the evolution of virulence is linked to bacterial sex. This long-term pattern of evolution was observed in genes distributed throughout the genome, and thereby is the likely result of episodic selection for strains that can escape the host immune response.",yes,no,no,no,no,no,yes,no,yes,yes,yes,yes,yes,no,no,no,yes,yes,yes,yes,no,no,yes,yes,yes,yes,yes,yes,no,no,yes,yes,yes,
9,"The neutral red uptake assay provides a quantitative estimation of the number of viable cells in a culture. It is one of the most used cytotoxicity tests with many biomedical and environmental applications. It is based on the ability of viable cells to incorporate and bind the supravital dye neutral red in the lysosomes. Most primary cells and cell lines from diverse origin may be successfully used. Cells are seeded in 96-well tissue culture plates and are treated for the appropriate period. The plates are then incubated for 2 h with a medium containing neutral red. The cells are subsequently washed, the dye is extracted in each well and the absorbance is read using a spectrophotometer. The procedure is cheaper and more sensitive than other cytotoxicity tests (tetrazolium salts, enzyme leakage or protein content). Once the cells have been treated, the assay can be completed in < 3 h.",yes,no,no,yes,no,no,no,happy,happy,no,yes,yes,no,no,no,yes,yes,yes,happy,happy,yes,no,yes,yes,yes,yes,happy,happy,no,no,no,yes,no,
10,"Motivation: We introduce gmap, a standalone program for mapping and aligning cDNA sequences to a genome. The program maps and aligns a single sequence with minimal startup time and memory requirements, and provides fast batch processing of large sequence sets. The program generates accurate gene structures, even in the presence of substantial polymorphisms and sequence errors, without using probabilistic splice site models. Methodology underlying the program includes a minimal sampling strategy for genomic mapping, oligomer chaining for approximate alignment, sandwich DP for splice site detection, and microexon identification with statistical significance testing. Results: On a set of human messenger RNAs with random mutations at a 1 and 3% rate, gmap identified all splice sites accurately in over 99.3% of the sequences, which was one-tenth the error rate of existing programs. On a large set of human expressed sequence tags, gmap provided higher-quality alignments more often than blat did. On a set of Arabidopsis cDNAs, gmap performed comparably with GeneSeqer. In these experiments, gmap demonstrated a several-fold increase in speed over existing programs.",yes,no,no,yes,yes,no,yes,yes,yes,no,yes,yes,yes,no,no,no,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,
11,"During hypoxia, hypoxia-inducible factor-1 alpha (HIF-1 alpha) is required for induction of a variety of genes including erythropoietin and vascular endothelial growth factor. Hypoxia increases mitochondrial reactive oxygen species (ROS) generation at Complex III, which causes accumulation of HIF-1 alpha protein responsible for initiating expression of a luciferase reporter construct under the control of a hypoxic response element. This response is lost in cells depleted of mitochondrial DNA (rho degrees cells). Overexpression of catalase abolishes hypoxic response element-luciferase expression during hypoxia. Exogenous H2O2 stabilizes HIF-1 alpha protein during normoxia and activates luciferase expression in wild-type and rho degrees cells. Isolated mitochondria increase ROS generation during hypoxia, as does the bacterium Paracoccus denitrificans. These findings reveal that mitochondria-derived ROS are both required and sufficient to initiate HIF-1 alpha stabilization during hypoxia.",yes,no,no,no,no,no,no,happy,happy,no,yes,yes,no,no,no,no,yes,yes,yes,no,no,no,yes,yes,yes,yes,yes,yes,no,no,yes,yes,no,
12,"Circular RNAs (circRNAs), formed by non-sequential back-splicing of pre-mRNA transcripts, are a widespread form of non-coding RNA in animal cells. However, it is unclear whether the majority of circRNAs represent splicing by-products without function or are produced in a regulated manner to carry out specific cellular functions. We show that hundreds of circRNAs are regulated during human epithelial-mesenchymal transition (EMT) and find that the production of over one-third of abundant circRNAs is dynamically regulated by the alternative splicing factor, Quaking (QKI), which itself is regulated during EMT. Furthermore, by modulating QKI levels, we show the effect on circRNA abundance is dependent on intronic QKI binding motifs. Critically, the addition of QKI motifs is sufficient to induce de novo circRNA formation from transcripts that are normally linearly spliced. These findings demonstrate circRNAs are both purposefully synthesized and regulated by cell-type specific mechanisms, suggesting they play specific biological roles in EMT.",yes,no,no,yes,yes,no,yes,yes,no,yes,yes,yes,no,no,no,no,yes,yes,yes,no,no,no,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,
