Publication Type,Authors,Title,Abstract,DOI,ID,rule1,rule2,rule3,rule4,rule5,rule6,rule7,rule8,rule9,rule10,rule11,rule12,rule13,rule14,rule15,rule16,rule17,rule18,rule19,rule20,rule21,rule22,rule23,rule24,rule25,rule26,rule27,rule28,rule29,rule30,rule31
J,"Cadenas, E; Davies, KJA","Mitochondrial free radical generation, oxidative stress, and aging","Mitochondria have been described as ""the powerhouses of the cell"" because they link the energy-releasing activities of electron transport and proton pumping with the energy conserving process of oxidative phosphorylation, to harness the value of foods in the form of ATP. Such energetic processes are not without dangers, however, and the electron transport chain has proved to be somewhat ""leaky."" Such side reactions of the mitochondrial electron transport chain with molecular oxygen directly generate the superoxide anion radical(O-2(.-)), which dismutates to form hydrogen peroxide (H2O2), which can further react to form the hydroxyl radical (HO.). In addition to these toxic electron transport chain reactions of the inner mitochondrial membrane. the mitochondrial outer membrane enzyme monoamine oxidase catalyzes the oxidative deamination of biogenic amines and is a quantitatively large source of H2O2 that contributes to an increase in the steady state concentrations of reactive species within both the mitochondrial matrix and cytosol. In this article we review the mitochondrial rates of production and steady state levels of these reactive oxygen species. Reactive oxygen species generated by mitochondria, or from other sites within or outside the cell, cause damage to mitochondrial components and initiate degradative processes. Such toxic reactions contribute significantly to the aging process and form the central dogma of ""The Free Radical Theory of Aging."" In this article we review current understandings of mitochondrial DNA, RNA, and protein modifications by oxidative stress and the enzymatic removal of oxidatively damaged products by nucleases and proteases. The possible contributions of mitochondrial oxidative polynucleotide and protein turnover to apoptosis and aging are explored. (C) 2000 Elsevier Science Inc.",10.1016/S0891-5849(00)00317-8,0,yes,no,yes,yes,no,no,no,no,yes,yes,yes,yes,no,no,no,no,no,no,no,yes,no,no,no,no,yes,no,no,yes,yes,yes,
J,"Kermany, DS; Goldbaum, M; Cai, WJ; Valentim, CCS; Liang, HY; Baxter, SL; McKeown, A; Yang, G; Wu, XK; Yan, FB; Dong, J; Prasadha, MK; Pei, J; Ting, M; Zhu, J; Li, C; Hewett, S; Dong, JS; Ziyar, I; Shi, A; Zhang, RZ; Zheng, LH; Hou, R; Shi, W; Fu, X; Duan, YO; Huu, VAN; Wen, C; Zhang, ED; Zhang, CL; Li, OL; Wang, XB; Singer, MA; Sun, XD; Xu, J; Tafreshi, A; Lewis, MA; Xia, HM; Zhang, K",Identifying Medical Diagnoses and Treatable Diseases by Image-Based Deep Learning,"The implementation of clinical-decision support algorithms for medical imaging faces challenges with reliability and interpretability. Here, we establish a diagnostic tool based on a deep-learning framework for the screening of patients with common treatable blinding retinal diseases. Our framework utilizes transfer learning, which trains a neural network with a fraction of the data of conventional approaches. Applying this approach to a dataset of optical coherence tomography images, we demonstrate performance comparable to that of human experts in classifying age-related macular degeneration and diabetic macular edema. We also provide a more transparent and interpretable diagnosis by highlighting the regions recognized by the neural network. We further demonstrate the general applicability of our AI system for diagnosis of pediatric pneumonia using chest X-ray images. This tool may ultimately aid in expediting the diagnosis and referral of these treatable conditions, thereby facilitating earlier treatment, resulting in improved clinical outcomes.",10.1016/j.cell.2018.02.010,1,yes,yes,no,no,yes,no,yes,yes,no,no,yes,no,yes,no,no,yes,yes,yes,yes,no,no,no,no,yes,yes,yes,yes,yes,yes,yes,yes
J,"Hannum, G; Guinney, J; Zhao, L; Zhang, L; Hughes, G; Sadda, S; Klotzle, B; Bibikova, M; Fan, JB; Gao, Y; Deconde, R; Chen, M; Rajapakse, I; Friend, S; Ideker, T; Zhang, K",Genome-wide Methylation Profiles Reveal Quantitative Views of Human Aging Rates,"The ability to measure human aging from molecular profiles has practical implications in many fields, including disease prevention and treatment, forensics, and extension of life. Although chronological age has been linked to changes in DNA methylation, the methylome has not yet been used to measure and compare human aging rates. Here, we build a quantitative model of aging using measurements at more than 450,000 CpG markers from the whole blood of 656 human individuals, aged 19 to 101. This model measures the rate at which an individual's methylome ages, which we show is impacted by gender and genetic variants. We also show that differences in aging rates help explain epigenetic drift and are reflected in the transcriptome. Moreover, we show how our aging model is upheld in other human tissues and reveals an advanced aging rate in tumor tissue. Our model highlights specific components of the aging process and provides a quantitative readout for studying the role of methylation in age-related disease.",10.1016/j.molcel.2012.10.016,2,yes,no,no,yes,yes,no,yes,no,yes,no,yes,yes,yes,no,no,no,yes,yes,yes,no,no,no,yes,yes,yes,yes,yes,no,yes,yes,yes
J,"Bodenreider, O",The Unified Medical Language System (UMLS): integrating biomedical terminology,"The Unified Medical Language System (http://umlsks.nlm.nih.gov) is a repository of biomedical vocabularies developed by the US National Library of Medicine. The UMLS integrates over 2 million names for some 900 000 concepts from more than 60 families of biomedical vocabularies, as well as 12 million relations among these concepts. Vocabularies integrated in the UMLS Metathesaurus include the NCBI taxonomy, Gene Ontology, the Medical Subject Headings (MeSH), OMIM and the Digital Anatomist Symbolic Knowledge Base. UMLS concepts are not only inter-related, but may also be linked to external resources such as GenBank. In addition to data, the UMLS includes tools for customizing the Metathesaurus (MetamorphoSys), for generating lexical variants of concept names (Ivg) and for extracting UMLS concepts from text (MetaMap). The UMLS knowledge sources are updated quarterly. All vocabularies are available at no fee for research purposes within an institution, but UMLS users are required to sign a license agreement. The UMLS knowledge sources are distributed on CD-ROM and by FTP.",10.1093/nar/gkh061,3,yes,yes,no,yes,no,no,no,no,no,no,yes,no,yes,no,no,no,no,no,no,no,no,no,no,yes,no,yes,no,no,yes,yes,no
J,"Wishart, DS; Tzur, D; Knox, C; Eisner, R; Guo, AC; Young, N; Cheng, D; Jewell, K; Arndt, D; Sawhney, S; Fung, C; Nikolai, L; Lewis, M; Coutouly, MA; Forsythe, I; Tang, P; Shrivastava, S; Jeroncic, K; Stothard, P; Amegbey, G; Block, D; Hau, DD; Wagner, J; Miniaci, J; Clements, M; Gebremedhin, M; Guo, N; Zhang, Y; Duggan, GE; MacInnis, GD; Weljie, AM; Dowlatabadi, R; Bamforth, F; Clive, D; Greiner, R; Li, L; Marrie, T; Sykes, BD; Vogel, HJ; Querengesser, L",HMDB: the human metabolome database,"The Human Metabolome Database (HMDB) is currently the most complete and comprehensive curated collection of human metabolite and human metabolism data in the world. It contains records for more than 2180 endogenous metabolites with information gathered from thousands of books, journal articles and electronic databases. In addition to its comprehensive literature-derived data, the HMDB also contains an extensive collection of experimental metabolite concentration data compiled from hundreds of mass spectra (MS) and Nuclear Magnetic resonance (NMR) metabolomic analyses performed on urine, blood and cerebrospinal fluid samples. This is further supplemented with thousands of NMR and MS spectra collected on purified, reference metabolites. Each metabolite entry in the HMDB contains an average of 90 separate data fields including a comprehensive compound description, names and synonyms, structural information, physico-chemical data, reference NMR and MS spectra, biofluid concentrations, disease associations, pathway information, enzyme data, gene sequence data, SNP and mutation data as well as extensive links to images, references and other public databases. Extensive searching, relational querying and data browsing tools are also provided. The HMDB is designed to address the broad needs of biochemists, clinical chemists, physicians, medical geneticists, nutritionists and members of the metabolomics community. The HMDB is available at: www.hmdb.ca.",10.1093/nar/gkl923,4,yes,yes,no,no,no,no,no,no,no,no,yes,yes,yes,yes,yes,no,no,no,yes,no,no,no,no,yes,yes,yes,yes,no,no,yes,no
J,"Kopelman, NM; Mayzel, J; Jakobsson, M; Rosenberg, NA; Mayrose, I",Clumpak: a program for identifying clustering modes and packaging population structure inferences across <i>K</i>,"The identification of the genetic structure of populations from multilocus genotype data has become a central component of modern population-genetic data analysis. Application of model-based clustering programs often entails a number of steps, in which the user considers different modelling assumptions, compares results across different predetermined values of the number of assumed clusters (a parameter typically denoted K), examines multiple independent runs for each fixed value of K, and distinguishes among runs belonging to substantially distinct clustering solutions. Here, we present Clumpak (Cluster Markov Packager Across K), a method that automates the postprocessing of results of model-based population structure analyses. For analysing multiple independent runs at a single K value, Clumpak identifies sets of highly similar runs, separating distinct groups of runs that represent distinct modes in the space of possible solutions. This procedure, which generates a consensus solution for each distinct mode, is performed by the use of a Markov clustering algorithm that relies on a similarity matrix between replicate runs, as computed by the software Clumpp. Next, Clumpak identifies an optimal alignment of inferred clusters across different values of K, extending a similar approach implemented for a fixed K in Clumpp and simplifying the comparison of clustering results across different K values. Clumpak incorporates additional features, such as implementations of methods for choosing K and comparing solutions obtained by different programs, models, or data subsets. Clumpak, available at , simplifies the use of model-based analyses of population structure in population genetics and molecular ecology.",10.1111/1755-0998.12387,5,yes,no,no,yes,yes,no,yes,yes,no,no,yes,no,no,no,no,no,no,no,no,no,yes,no,no,no,yes,yes,yes,yes,yes,yes,
J,"Ashwal-Fluss, R; Meyer, M; Pamudurti, NR; Ivanov, A; Bartok, O; Hanan, M; Evantal, N; Memczak, S; Rajewsky, N; Kadener, S",circRNA Biogenesis Competes with Pre-mRNA Splicing,"Circular RNAs (circRNAs) are widely expressed noncoding RNAs. However, their biogenesis and possible functions are poorly understood. Here, by studying circRNAs that we identified in neuronal tissues, we provide evidence that animal circRNAs are generated cotranscriptionally and that their production rate is mainly determined by intronic sequences. We demonstrate that circularization and splicing compete against each other. These mechanisms are tissue specific and conserved in animals. Interestingly, we observed that the second exon of the splicing factor muscleblind (MBL/MBNL1) is circularized in flies and humans. This circRNA (circMbl) and its flanking introns contain conserved muscleblind binding sites, which are strongly and specifically bound by MBL. Modulation of MBL levels strongly affects circMbl biosynthesis, and this effect is dependent on the MBL binding sites. Together, our data suggest that circRNAs can function in gene regulation by competing with linear splicing. Furthermore, we identified muscleblind as a factor involved in circRNA biogenesis.",10.1016/j.molcel.2014.08.019,6,yes,no,yes,no,yes,no,yes,no,yes,no,yes,yes,yes,no,no,no,yes,yes,yes,yes,no,no,no,yes,yes,yes,no,yes,yes,yes,
J,"Schneidman-Duhovny, D; Inbar, Y; Nussinov, R; Wolfson, HJ",PatchDock and SymmDock: servers for rigid and symmetric docking,"Here, we describe two freely available web servers for molecular docking. The PatchDock method performs structure prediction of protein-protein and protein-small molecule complexes. The SymmDock method predicts the structure of a homomultimer with cyclic symmetry given the structure of the monomeric unit. The inputs to the servers are either protein PDB codes or uploaded protein structures. The services are available at http://bioinfo3d.cs.tau.ac.il. The methods behind the servers are very efficient, allowing large-scale docking experiments.",10.1093/nar/gki481,7,yes,yes,no,no,yes,yes,yes,yes,no,no,yes,no,yes,no,no,no,yes,no,yes,no,no,no,no,yes,no,no,no,no,no,yes,yes
J,"Rejman, J; Oberle, V; Zuhorn, IS; Hoekstra, D",Size-dependent internalization of particles via the pathways of clathrin-and caveolae-mediated endocytosis,"Non-phagocytic eukaryotic cells can internalize particles < 1 mum in size, encompassing pathogens, liposomes for drug delivery or lipoplexes applied in gene delivery. In the present study, we have investigated the effect of particle size on the pathway of entry and subsequent intracellular fate in non-phagocytic B16 cells, using a range of fluorescent latex beads of defined sizes (501000 nun). Our data reveal that particles as large as 500 nm were internalized by cells via an energy-dependent process. With an increase in size (50-500 nm), cholesterol depletion increased the efficiency of inhibition of uptake. The processing of the smaller particles was significantly perturbed upon microtubule disruption, while displaying a negligible effect on that of the 500 run beads. Inhibitor and co-localization studies revealed that the mechanism by which the beads were internalized, and their subsequent intracellular routing, was strongly dependent on particle size. Internalization of microspheres with a diameter < 200 nm involved clathrin-coated pits. With increasing size, a shift to a mechanism that relied on caveolae-mediated internalization became apparent, which became the predominant pathway of entry for particles of 500 nm in size. At these conditions, delivery to the lysosomes was no longer apparent. The data indicate that the size itself of (liganddevoid) particles can determine the pathway of entry. The clathrin-mediated pathway of endocytosis shows an upper size limit for internalization of approx. 200 nm, and kinetic parameters may determine the almost exclusive internalization of such particles along this pathway rather than via caveolae.",10.1042/BJ20031253,8,yes,no,no,no,yes,no,yes,no,yes,no,yes,yes,yes,no,no,no,yes,yes,no,yes,yes,yes,no,yes,yes,yes,no,no,yes,yes,yes
J,"Wakita, T; Pietschmann, T; Kato, T; Date, T; Miyamoto, M; Zhao, ZJ; Murthy, K; Habermann, A; Kräusslich, HG; Mizokami, M; Bartenschlager, R; Liang, TJ",Production of infectious hepatitis C virus in tissue culture from a cloned viral genome,Hepatitis C virus (HCV) infection causes chronic liver diseases and is a global public health problem. Detailed analyses of HCV have been hampered by the lack of viral culture systems. Subgenomic replicons of the JFH1 genotype 2a strain cloned from an individual with fulminant hepatitis replicate efficiently in cell culture. Here we show that the JFH1 genome replicates efficiently and supports secretion of viral particles after transfection into a human hepatoma cell line (Huh7). Particles have a density of about 1.15 - 1.17 g/ml and a spherical morphology with an average diameter of about 55 nm. Secreted virus is infectious for Huh7 cells and infectivity can be neutralized by CD81-specific antibodies and by immunoglobulins from chronically infected individuals. The cell culture - generated HCV is infectious for chimpanzee. This system provides a powerful tool for studying the viral life cycle and developing antiviral strategies.,10.1038/nm1268,9,yes,no,yes,yes,no,no,no,no,yes,yes,yes,yes,no,yes,no,yes,yes,yes,yes,yes,no,no,yes,yes,yes,yes,yes,yes,yes,yes,yes
