ID,Abstract,rule1,rule2,rule3,rule4,rule5,rule6,rule7,rule8,rule9,rule10,rule11,rule12,rule13,rule14,rule15,rule16,rule17,rule18,rule19,rule20,rule21,rule22,rule23,rule24,rule25,rule26,rule27,rule28,rule29,rule30,rule31,rule32,rule33,rule34
0,"Modular allosteric aptamers with discrete recognition and signaling regions provide a facile method of carrying out label-free detection by forgoing complex target labeling requirements. Herein, we describe the design and function of an aptamer scaffold capable of forming a hairpin loop in the presence of FAD (the signaling trigger). The aptamer includes a recognition region for the microRNA (miR) Let-7i. Upon selective miR hybridization, the aptamer undergoes a conformational shift to release FAD and thus produce a measurable response. As a result, the described method can sensitively and selectively detect miR Let-7i with a wide linear range of 0.1 pM to 1 mu M and a detection limit of 150 fM. Additionally, this strategy was able to selectively discriminate between sequences with 1- and 2-nucleotide (nt) differences.",no,no,no,no,no,yes,yes,yes,no,no,yes,yes,no,no,no,yes,yes,yes,yes,no,no,no,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,
1,"Hordeum vulgare and Hordeum bulbosum are two closely related barley species, which share a common H genome. H. vulgare has two nucleolar organizer regions (NORs), while the NOR of IL bulbosum is only one. We sequenced the 2.5 kb 25S-18S region in the rDNA of H. bulbosum and compared it to the same region in H. vulgare as well as to the other Triticeae. The region includes an intergenic spacer (IGS) with a number of subrepeats, a promoter, and an external transcribed spacer (5'ETS). The IGS of H. bulbosum downstream of 25S rRNA contains two 143-bp repeats and six 128-bp repeats. In contrast, the IGS in H. vulgare contains an array of seven 79-bp repeats and a varying number of 135-bp repeats. The 135-bp repeats in H. vulgare and the 128-bp repeats in H. bulbosum show similarity. Compared to H. vulgare, the 5'ETS of H. bulbosum is shorter. Additionally, the 5'ETS regions in H. bulbosum and H. vulgare diverged faster than in other Triticeae genera. Alignment of the Triticeae promoter sequences suggests that in Hordeum, as in diploid Triticum, transcription starts with guanine and not with adenine as it is in many other plants.",yes,no,no,yes,yes,no,yes,yes,no,no,yes,yes,yes,no,no,no,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,,
2,"In this paper, we suggest a new computational technique for the minimization of Hylleraas' functional with additional orthogonality restrictions imposed on the desired vectors. It is shown how Hylleraas' constrained problem can be reduced to an unconstrained one by minimal computational efforts. The asymptotic projection (AP) method proposed earlier to minimize Rayleigh's quotient subject to some orthogonality restrictions is applied to construct a modified Hylleraas' functional whose solution fulfills the required constraints automatically. Specifically, equivalence between the original problem and the one for the modified Hamilton operator is derived. It is shown that the AP methodology allows additional restrictions to be treated in a unified approach for both Rayleigh's quotient and Hylleraas' functional. Specific features of the method are demonstrated on the electronic parallel polarizability of H-2(+). Some emphasis is put on the choice of specific distributed basis set adapted for polarizability computation. A comparison with other methods, considered exact or extremely accurate, is also given.",no,no,no,yes,yes,yes,yes,yes,no,no,yes,no,no,no,no,no,yes,yes,yes,no,no,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,
3,"A new framework for B-1 insensitive adiabatic pulse design is proposed, denoted Spin Lock Adiabatic Correction (SLAC), which counteracts deviations from ideal behaviour through inclusion of an additional correction component during pulse design. SLAC pulses are theoretically derived, then applied to the design of enhanced BIR-4 and hyperbolic secant pulses to demonstrate practical utility of the new pulses. At 7T, SLAC pulses are shown to improve the flip angle homogeneity compared to a standard adiabatic pulse with validation in both simulations and phantom experiments, under SAR equivalent experimental conditions. The SLAC framework can be applied to any arbitrary adiabatic pulse to deliver excitation with increased B-1 insensitivity. (C) 2019 Elsevier Inc. All rights reserved.",no,no,no,no,no,no,no,yes,no,no,yes,yes,no,no,no,yes,yes,yes,yes,no,no,no,no,yes,yes,yes,yes,yes,yes,no,yes,yes,no,
4,"Fatty acids (FAs) are basic components in plants. The pharmacological significance of FAs has attracted attentions of nutritionists and pharmaceutists. Sensitive and accurate detection of FAs is of great importance. In the present study, a pre-column derivatization and online mass spectrometry-based qualitative and quantitative analysis of FAs was developed. Nineteen main FAs were derivatized by 2-(7-methyl-1H-pyrazolo-[3,4-b]quinoline-1-yl)ethyl-4-methyl benzenesulfonate (NMP) and separated on reversed-phase Hypersil BDS C8 column with gradient elution. All FAs showed excellent linear responses with correlation coefficients more than 0.9996. The method obtained LOQs between 0.93 ng/mL and 5.64 ng/mL. FA derivatives were identified by both retention time and protonated molecular ion corresponding to m/z [M + H](+). A comparative study based on FA contents in peel and pulp, seeds and leaves of Nitraria tangutourum Bobr (NTB) from different geographical origins was performed with the established method. Results indicated that NTB were rich in FAs, and the types and contents of FAs varied among tissues. On the other hand, the same tissue of NTB from different geographical areas differed in the content, but not in type, of FAs.",yes,no,no,no,yes,no,yes,yes,yes,no,yes,yes,yes,[],yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,no,no,yes,yes,no
5,"Moraea pallida Bak. (yellow tulp) poisoning is the most important plant cardiac glycoside toxicosis in South Africa. The toxic principle, a bufadienolide, is 1 alpha, 2 alpha-epoxyscillirosidine. The aim was to investigate the potential to develop a vaccine against epoxyscillirosidine. Epoxyscillirosidine, proscillaridin and bufalin, were successfully conjugated to hen ovalbumin (OVA), bovine serum albumin (BSA) and keyhole limpet haemocyanin (KLH). There was a low immune response following vaccination of adult male New Zealand White rabbits with epoxyscillirosidine-OVA (n = 3) and OVA (n = 3) using Freund's adjuvant in Trial (T) 1. The immune response improved significantly in T2 following doubling of the dose to 0.8 mg/rabbit and changing the adjuvant to Montanide. In T3, the rabbits (n = 15), allocated into 5 equal groups, vaccinated with proscillaridin-BSA, bufalin-BSA, epoxyscillirosidine-KLH, epoxyscillirosidine-BSA and BSA respectively, using Montanide adjuvant, developed antibodies against the administered immunogens, with epoxyscillirosidine-KLH inducing the highest immune response. Proscillaridin and bufalin antibodies cross-reacted with epoxyscillirosidine in an enzyme linked immunosorbent assay. The conjugation methodology will be adjusted in the future to target optimal conjugation efficiency. Additional vaccination will be conducted in search of neutralizing antibodies against the yellow tulp toxin. The cross-reactivity of proscillaridin and bufalin antibodies with epoxyscillirosidine could be studied in future to explore the potential to prevent yellow tulp poisoning.",yes,no,yes,no,yes,yes,yes,no,yes,no,yes,yes,no,no,no,yes,yes,yes,yes,no,yes,no,yes,yes,yes,yes,yes,no,no,yes,yes,yes,yes,
6,"Presented here is the National Institute of Standards and Technology (NIST) Mass Calculator, a software tool that provides both a relative molecular mass (M-r) value and an associated uncertainty value for a given protein sequence. The calculation of a protein M-r based on its amino acid residue sequence is performed by many software applications. Unfortunately, many of the results do not agree with each other. Reasons for this lack of consensus may include the use of rounded values, calculation errors, or alternative calculation methods, and it is often not possible to distinguish the source of the differences. Additionally, the result is provided without an estimate of precision. This would imply that the M-r is perfectly known when in fact it is not because the basis for the calculation, either the relative atomic masses or the standard atomic weights, are themselves provided as estimates. Until the release of the NIST Mass Calculator, there were no applications available to provide both an M-r value and an associated uncertainty value. Furthermore, the full disclosure of the computation methods and elemental values allows for independent verification of the results. The uncertainty is obtained via Monte Carlo simulation and is now a useful feature in light of the ,high resolution capability now available in the mass spectrometry of intact proteins.",yes,no,yes,yes,yes,no,yes,yes,no,no,yes,yes,no,no,no,yes,yes,yes,yes,no,yes,no,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,no,
7,"A putative copper ion-sensing transcriptional regulator CopR (TON_0836) from Thermococcus onnurineus NA1 was characterized. The CopR protein consists of a winged helix-turn-helix DNA-binding domain in the amino-terminal region and a TRASH domain that is assumed to be involved in metal ion-sensing in the carboxyl-terminal region. The CopR protein was most strongly bound to a region between its own gene promoter and a counter directional promoter region for copper efflux system CopA. When the divalent metals such as nickel, cobalt, copper, and iron were present, the CopR protein was dissociated from the target promoters on electrophoretic mobility shift assay (EMSA). The highest sensible ion is copper which affected protein releasing under 10 mu M concentrations. CopR recognizes a significant upstream region of TATA box on CopR own promoter and acts as a transcriptional repressor in an in vitro transcription assay. Through site-directed mutagenesis of the DNA-binding domain, R34M mutant protein completely lost the DNA-binding activity on target promoter. When the conserved cysteine residues in C144XXC147 motif 1 of the TRASH domain were mutated into glycine, the double cysteine residue mutant protein alone lost the copper-binding activity. Therefore, CopR is a copper-sensing transcriptional regulator and acts as a repressor for autoregulation and for a putative copper efflux system CopA of T. onnurineus NA1.",no,no,no,no,no,no,no,no,yes,yes,yes,yes,no,no,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,no,yes,yes,no,
8,"Nutritional deficiencies often precede the diagnosis of cystic fibrosis (CF) in infants, and occur at a stage where the rapidly developing brain is more vulnerable to insult. We aim to compare fat-soluble nutrient status of newly diagnosed non-screened infants with CF to that of healthy infants, and explore the association with neurodevelopment evaluated by electroencephalography (EEG). Our results show that CF infants had lower levels of all fat-soluble vitamins and docosahexaenoic acid (DHA) compared to controls. The auditory evoked potential responses were higher in CF compared to controls whereas the visual components did not differ between groups. DHA levels were correlated with auditory evoked potential responses. Although resting state frequency power was similar between groups, we observed a negative correlation between DHA levels and low frequencies. This study emphasizes the need for long-term neurodevelopmental follow-up of CF infants and pursuing intervention strategies in the future.",yes,no,no,no,yes,yes,yes,yes,no,yes,yes,no,no,yes,no,yes,yes,yes,yes,no,no,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,
9,"In this paper, a multi-exposure fusion high-motion projection tomography three-dimensional imaging method based on spatial frequency filtering is proposed to realize the three-dimensional structure imaging of living zebrafish(17 mmx4 mm, maximum thickness 2.33 mm, minimum thickness 0.29 mm). Our method is to record the series of absorption images by using different exposure time of the camera, transform each image into the frequency domain to remove the low frequency, and then superimpose each filtered spatial frequency signal and inverse Fourier transform back into the air domain, and the transformed image is normalized to obtain a high dynamic image. The high dynamic absorption projection image is obtained at each projection angle, and then reconstructed by a filtered back projection algorithm to obtain highly dynamic three-dimensional structure information. The experimental imaging results show that the multi-exposure fusion high-visibility optical projection tomography three-dimensional imaging study of spatial frequency filtering can obtain more abundant spatial information of complex structures, and the relationship and process of early embryo growth and development of zebrafish monitoring and quantitative assessment have certain application prospects.",no,no,no,no,yes,yes,yes,yes,no,no,yes,yes,yes,no,yes,no,yes,yes,yes,no,yes,no,no,yes,yes,yes,yes,yes,no,yes,no,yes,yes,
