Publication Type,Authors,Title,Abstract,DOI,ID,rule1,rule2,rule3,rule4,rule5,rule6,rule7,rule8,rule9,rule10,rule11,rule12,rule13,rule14,rule15,rule16,rule17,rule18,rule19,rule20,rule21,rule22,rule23,rule24,rule25,rule26,rule27,rule28,rule29,rule30,rule31
J,"Maletskyi, Z; Zigta, DK; Kulesha, O; Ratnaweera, H",Chemical Enhancement for Retrofitting Moving Bed Biofilm and Integrated Fixed Film Activated Sludge Systems into Membrane Bioreactors,"Positive effects of retrofitting MBBR and IFAS systems into MBRs can be exploited by introducing chemical enhancement applying coagulants in the membrane separation step. The current study reports basic principles of chemical enhancement with aluminium sulphate coagulant in biofilm-MBR (Bf-MBR) based on results of total recycle tests performed at different dosages of the chemical enhancer and properties characterization of filtrates, supernatants and sediments. It demonstrates a possibility to achieve lower membrane fouling rates with dosing of aluminium sulphate coagulant into MBBR and IFAS mixed liquors by extending operational cycles by 20 and 80 time respectively as well as increasing operating permeability of membrane separation by 1.3 times for IFAS. It has been found that charge neutralization is the dominating mechanism of aluminium sulphate action as a chemical enhancer in Bf-MBR, however, properties of the membrane surface influencing charge repulsion of foulants should be considered together with the secondary ability of the coagulant to improve consolidation of sediments.",10.3390/membranes9100135,0,yes,no,no,no,yes,no,yes,no,yes,no,yes,yes,yes,no,yes,yes,yes,yes,no,yes,no,no,yes,yes,yes,no,no,no,yes,yes,no
J,"Manjari, P; Hyder, I; Dang, AK",Implantation associated divergence in neutrophil glucocorticoid and cysteine-X-cysteine receptor genes in cattle,"The differential roles of Interferon-tau (IFNT) and Progesterone (P-4) in triggering pro- and anti-inflammatory responses during peri-implantation period were assessed in cows. An ex vivo study was done by isolating neutrophils from the animals post artificial insemination (AI) at defined intervals and analyzing the expression changes of Glucocorticoid receptor-a (GR alpha) and Interleukin-8 receptor (CXCR1) genes. An in vitro study was also done isolating neutrophils from prepubertal heifers subjecting them to IFNT and Progesterone P-4 supplementation separately. We observed that from day 14 post Artificial Insemination, there is a significant up-regulation of neutrophil GR alpha and CXCR1 in pregnant and non-pregnant cows respectively. The in vitro study showed that IFNT significantly up-regulates GR alpha whereas P-4 significantly up-regulates CXCR1. The total leukocyte count and neutrophil count were also significantly higher in non-pregnant cows. We conclude that IFNT efficiently mediates neutrophil immunosuppression during peri-implantation period in cows by interacting with Interleukin 8 receptor and can also exert ligand independent actions on GR alpha. [GRAPHICS]",10.1007/s11033-019-04865-w,1,yes,no,no,no,yes,no,yes,no,yes,no,yes,yes,yes,no,yes,no,yes,yes,no,yes,no,no,yes,yes,yes,yes,no,no,no,yes,yes
J,"Mesgari-Abbasi, M; Ghaderi, S; Khordadmehr, M; Nofouzi, K; Tayefi-Nasrabadi, H; McIntyre, G",Enteroprotective effect of <i>Tsukamurella inchonensis</i> on streptozotocin induced type 1 diabetic rats,"Objectives: Enteropathy is one of the most important complications of diabetes mellitus. The present study determined the possible effects of Tsukamurella inchonensis (Ti) on diabetes enteropathy on rat small intestine. Materials and methods: A total of 40 rats were divided into four groups of 10. Diabetes was induced by streptozotocin. Oral administration of Ti at dose of 10(5) and 10(7) CFU/rat was performed in two groups continuously for 14 days. The third and fourth groups received normal saline as the diabetic and negative control groups, respectively. The blood and intestine tissue samples were taken on 21st day post treatment for biochemical and pathological evaluations. Results: Significant differences were found in serum glucose, cholesterol and triglycerides values together with in CAT and SOD activities, MDA level and IL-6 concentration in both Ti treated groups in comparison with the diabetic rats. Moreover, there were severe pathological changes including degeneration of intestinal mucosa, mononuclear cell infiltration, decreasing number of goblet cells and villous length associated with increasing in villous thickness on the diabetic rats which markedly attenuated in both Ti recipient groups. Conclusion: In conclusion, it seems that oral administration of Ti may improve intestinal damage in diabetic patients by modulation of intestinal antioxidant defense system.",10.1515/tjb-2018-0309,2,yes,no,no,no,yes,no,yes,no,yes,no,yes,yes,yes,no,yes,yes,yes,yes,no,yes,no,no,yes,yes,yes,yes,no,no,yes,yes,no
J,"Mzingirwa, FA; Mkare, TK; Nyingi, DW; Njiru, J","Genetic diversity and spatial population structure of a deepwater snapper, <i>Pristipomoides</i> <i>filamentosus</i> in the south-west Indian Ocean","The crimson job fish, Pristipomoides filamentosus Valenciennes, 1830 is an economically important demersal species largely distributed in the Indo-Pacific region. Pristipomoides filamentosus constitutes a significant portion of catch landed in demersal fisheries throughout the species' distribution range. Despite the species' economic importance, there is insufficient data to guide the species' conservation management, especially within the south-western (SW) Indian Ocean region. The aims of the present study were to conduct a population genetic analysis to determine the spatial genetic structure of the species and, whether different management units could be established in the region, using an analysis of both mitochondrial DNA fragment (mtDNA), and nuclear microsatellite loci. A total of 193 fin clips were collected from Seychelles, Kenya, Tanzania, Comoros, Madagascar, Mauritius and South Africa, with each having an established fishery of the species. Both haplotype diversity (h) and expected heterozygosity (H-E) for mtDNA and microsatellite loci respectively were generally high for all localities, except for Seychelles where both diversity indices were at the lowest (i.e. h = 0.429 +/- 0.134; H-E = 0.647 +/- 0.059). Even though mtDNA failed to detect population differentiation, the hypervariable microsatellite loci consistently indicated presence of four genetic clusters irrespective of the clustering approach applied. Based on present results, we propose recognising the four clusters as distinct fisheries management units of the species in the SW Indian Ocean region.",10.1007/s11033-019-04962-w,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J,"Nakano, Y; Kobayashi, D; Miyake, M; Kanno, R; Murakawa, M; Hazama, A",The Cytotoxic Effects of Geranylgeranylacetone Are Attenuated in the High-Glucose Condition,"Geranylgeranylacetone (GGA) has been used as an antiulcer drug and also is known as inducer of heat shock protein 70 that has cytoprotective effects especially in hyperglycemic condition. In contrast, cytotoxicity of GGA has also been reported. Some studies have reported that GGA suppresses cell growth and induces apoptosis in cell models of human leukemia, ovarian carcinoma, and colon cancer in vitro. Therefore, the aim of this study was to determine whether GGA can have a cytotoxic effect on a human cervical cancer cell line (HeLa), human colorectal adenocarcinoma cells (Caco-2), and human embryonic kidney cells 293 (HEK) in normal-glucose and high-glucose environments (NG and HG, respectively). The results showed that 100 mu M GGA inhibited proliferation of HeLa cells only in NG environment despite inhibiting proliferation of Caco-2 and HEK cells regardless of glucose concentration. Cell viability assay revealed that GGA decreased viability of HeLa, Caco-2, and HEK cells only in NG environment. Flow cytometric analyses revealed that the type of cell death was a combination of necrosis and apoptosis. Our study revealed that difference in cytotoxicity of GGA is influenced by glucose condition. The cytotoxic effects of GGA are attenuated in the HG condition. Since both cytotoxic and cytoprotective effects are reported about GGA, further research is needed about the mechanism of the cytotoxic effects.",10.1089/biores.2018.0041,4,yes,no,yes,yes,yes,no,yes,no,yes,yes,yes,yes,yes,no,no,yes,yes,yes,no,yes,yes,yes,no,yes,yes,yes,no,no,yes,yes,no
J,"Peela, S; Girijashankar, V; Ponamgi, SPD; Mandali, N; Nagaraju, GP",Novel tetracycline SBR-22 is a functional moiety deviation and bioactive against multidrug resistant strains,"A new tetracycline analogue SBR-22 was isolated using bioactivity guided screening of the Streptomyces psammoticus 125-vr, from sea residues of the Visakhapatnam coast of South India. Based on spectral data, the name and structure of the antibiotic SBR-22 were identified as 1,5-dihydroxy- 5-methyl- 7- (N,N-dimethyl) amino- 6,8,11,12- tetraoxo- 7,9,10 -hexahydro- naphthacene. Unlike the standard oxytetracycline pharmacophore (OTP) at C2 and C1 positions, the SBR-22 molecule lacked (C9) -carbamido and (C10) keto functional groups. Furthermore, the oxidation of the B-ring, caused by the presence of two keto carbonyls at opposite positions, resulted in a Quinone ring system, making it an effective antibiotic. Unlike the OTP molecule, four prime functional groups in the A and B-rings were either absent or altered in this native novel molecule SBR-22, which successfully retained its bioactivity against inhibit multidrug resistant strains of bacteria. Hence, this new analogue SBR-22 is effective (64 mu g/ml(-1) minimum inhibitory concentration (MIC90)) against methicillin resistant Gram-positive bacteria Staphylococcus aureus and human pathogenic fungi Aspergillus wentii and A. niger (42 mu g/ml(-1) of MIC90). Interestingly, it can also inhibit MDRS of Pseudomonas aeruginosa and yeast Candida albicans (MIC90 of 128 mu g/ml(-1)), respectively.",10.1016/j.procbio.2019.06.022,5,yes,no,no,yes,yes,no,yes,no,yes,no,yes,yes,no,no,yes,yes,yes,yes,yes,no,no,no,yes,yes,yes,yes,yes,no,yes,yes,no
J,"Priyadharshini, JC; Kumar, DT; Sneha, P; Siva, R; Jebaraj, WCE; Doss, CGP; Zayed, H",An integrative bioinformatics pipeline to demonstrate the alteration of the interaction between the ALDH2*2 allele with NAD<SUP>+</SUP> and Disulfiram,"Alcohol use disorder (AUD) is a multifactorial psychiatric behavior disorder. Disulfiram is the first approved drug by the Food and Drug Administration for alcohol-dependent patients, which targets the ALDH2 enzyme. Several genes are known to be involved in alcohol metabolism; mutations in any of these genes are known to be associated with AUD. The E504K mutation in the ALDH2 of the precursor protein or the E487K of the mature protein (E504K/E487K; ALDH2*2 allele) is carried by approximately 8% of the world population. In this study, we aimed to test the known inactive allele ALDH2*2, to validate the use of our extensive computational pipeline (in silico tools, molecular modeling, and molecular docking) for testing the interaction between the ALDH2*2 allele, NAD(+,) and Disulfiram. In silico predictions showed that the E504K variant of ALDH2 to be pathogenic and destabilizing with the maximum number of prediction in silico tools. Consequently, we studied the effect of this mutation mainly on the interaction between NAD(+)-E504K and Disulfiram-E504K complexes using molecular docking technique, and molecular dynamics (MD) analysis. From the molecular docking analysis with NAD(+), we observed that the interaction affinity of the NAD(+) decreases with the impact of E504K variant. On the other hand, the drug Disulfiram showed similar interaction in both the native and mutant ALDH2 proteins. Further, the comprehensive MD analysis predicted that the E504K destabilizes the protein and influences the NAD(+) and Disulfiram interactions. Our findings reveal that the interaction of NAD(+) to the protein is disturbed by the E504K/E487K variant whereas the drug Disulfiram has a similar effect as both native ALDH2 and ALDH2 bearing E504K/E487K variant. This study provides a platform to understand the effect of E504K/E487K on the molecular interaction with NAD(+) and Disulfiram.",10.1002/jcb.28964,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J,"Purgat, K; Borowczyk, K; Zakrzewski, R; Glowacki, R; Kubalczyk, P",Determination of nikethamide by micellar electrokinetic chromatography,"A simple, fast, sensitive and reproducible micellar electrokinetic chromatography (MEKC)-UV method for the determination of nikethamide (NKD) in human urine and pharmaceutical formulation has been developed and validated. The method exhibits high trueness, good precision, short analysis time and low reagent consumption. NKD is an organic compound belonging to the psychoactive stimulants used as an analeptic drugs. The proposed analytical procedure consists of few steps: dilution of urine or drug in distilled water, centrifugation for 2 min (12,000g), separation by MEKC and ultraviolet-absorbance detection of NKD at 260 nm. The background electrolyte used was 0.035 mol/L pH 9 borate buffer with the addition of 0.05 mol/L sodium dodecyl sulfate and 6.5% ACN. Effective separation was achieved within 5.5 min under a voltage of 21 kV (~90 mu A) using a standard fused-silica capillary (effective length 51 cm, 75 mu m i.d.). The determined limit of detection for NKD in urine was 1 mu mol/L (0.18 mu g/mL). The calibration curve obtained for NKD in urine showed linearity in the range 4-280 mu mol/L (0.71-49.90 mu g/mL), with R-2 0.9998. The RSD of the points of the calibration curve varied from 5.4 to 9.5%. The analytical procedure was successfully applied to analysis of pharmaceutical formulation and spiked urine samples from healthy volunteers.",10.1002/bmc.4571,7,yes,no,no,no,yes,no,yes,no,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,no,no,yes,yes,yes,yes,no,no,yes,yes,
J,"Ramyar, KX; Xu, X; White, NM; Keightley, A; Geisbrecht, BV","Expression, purification, and characterization of a human complement component C3 analog that lacks the C-terminal C345c domain","The complement system consists of a series of soluble and cell-surface proteins that serve numerous roles in innate immunity, development, and homeostasis. Despite its many functions, the central event in the complement system is the proteolytic activation of the 185 kDa complement component 3 (C3) into its opsonin and anaphylatoxin fragments known as C3b (175 kDa) and C3a (10 kDa), respectively. The C3 protein is comprised of thirteen separate structural domains, several of which undergo extensive structural rearrangement upon activation to C3b. In addition to this, the C-terminal C345c domain found in C3, C3b, and the terminal degradation product, C3c (135 kDa), appears to adopt multiple conformations relative to the remainder of the molecule. To facilitate various structure/function studies, we designed two C3 analogs that could be activated to a C345c-less, C3c-like state following treatment with Tobacco Etch Virus (TEV) protease. We generated stably transfected Chinese Hamster Ovary (CHO) cell lines that secrete approximately 1.5 mg of the highest-expressing C3 analog per liter of conditioned culture medium. We purified this C3 analog by sequential immobilized metal ion affinity and size exclusion chromatographies, activated the protein by digestion with TEV protease, and purified the resulting C3c analog by a final size exclusion chromatography. The conformations and activities of our C3 and C3c analogs were assessed by measuring their binding profiles to known C3/b/c ligands by surface plasmon resonance. Together, this work demonstrates the feasibility of producing a C3 analog that can be site-specifically activated by an exogenous proteolytic enzyme.",10.1016/j.jim.2019.07.005,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J,"Ren, BY; Tan, YM; Sun, CL; Sheng, YG","Synthesis and Properties of a Bay-Annulated-Indigo Tetramer Based on Low-Cost Spiro[Fluorene-9,9′-Xanthene] Core","A three-dimensional bay-annulated-indigo (BAI) tetramer has been prepared by appending BAI units onto a low-cost spiro[fluorene-9,9 '-xanthene] (SFX) core. The target compound 4BAI-SFX exhibits strong and broad absorption in the visible region covering the range of 450 similar to 700 nm. The electrochemical measurement illuminates the characteristics of a deep lowest unoccupied molecular orbital (LUMO) level and multiple redox states of 4BAI-SFX. These results suggest that 4BAI-SFX should be a selectable electron-transporting material for eco-friendly organic semiconductors.",10.3390/molecules24193623,9,yes,yes,no,no,no,no,no,no,yes,no,yes,yes,no,no,no,yes,yes,yes,yes,no,no,no,yes,yes,yes,no,no,no,yes,yes,no
