ID,Abstract,rule1,rule2,rule3,rule4,rule5,rule6,rule7,rule8,rule9,rule10,rule11,rule12,rule13,rule14,rule15,rule16,rule17,rule18,rule19,rule20,rule21,rule22,rule23,rule24,rule25,rule26,rule27,rule28,rule29,rule30,rule31,rule32,rule33
0,"An algorithm to extract kinetics of the ion radical bands from the strong absorption background in the transient absorption spectra of the Rhodobacter sphaeroides reaction centers upon femtosecond excitation of the primary electron donor is suggested. The rising kinetics of the transient absorption band at 1020 nm and the bleaching kinetics of the 545-nm band constructed using the proposed method are adequately fitted by the kinetic equations for sequential electron transfer from the excited primary donor to the B-A (monomeric bacteriochlorophyll) molecule, and then to the H-A (bacteriopheophytin serving as an electron acceptor) molecule with the rate constants of 3.5 +/- 0.2 and 0.8 +/- 0.1 ps, respectively. The kinetics of the bacteriochlorophyll absorption band at 600 nm shows both the ultrafast bleaching of the P-870 dimer and slower bleaching of the B-A monomer due to its transition to the anion radical. The plotted kinetics of the ion radical bands is in agreement with the concentration profiles of the charge-separated states produced by the global target analysis of experimental data using the model of sequential electron transfer in the reaction centers.",yes,no,no,no,no,no,yes,no,yes,yes,yes,yes,no,no,no,no,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,no,no,yes,yes,
1,"Many biological studies involve either (i) manipulating some aspect of a cell or its environment and then simultaneously measuring the effect on thousands of genes, or (ii) systematically manipulating each gene and then measuring the effect on some response of interest. A common challenge that arises in these studies is to explain how genes identified as relevant in the given experiment are organized into a subnetwork that accounts for the response of interest. The task of inferring a subnetwork is typically dependent on the information available in publicly available, structured databases, which suffer from incompleteness. However, a wealth of potentially relevant information resides in the scientific literature, such as information about genes associated with certain concepts of interest, as well as interactions that occur among various biological entities. We contend that by exploiting this information, we can improve the explanatory power and accuracy of subnetwork inference in multiple applications. Here we propose and investigate several ways in which information extracted from the scientific literature can be used to augment subnetwork inference. We show that we can use literature-extracted information to (i) augment the set of entities identified as being relevant in a subnetwork inference task, (ii) augment the set of interactions used in the process, and (iii) support targeted browsing of a large inferred subnetwork by identifying entities and interactions that are closely related to concepts of interest. We use this approach to uncover the pathways involved in interactions between a virus and a host cell, and the pathways that are regulated by a transcription factor associated with breast cancer. Our experimental results demonstrate that these approaches can provide more accurate and more interpretable subnetworks. Integer program code, background network data, and pathfinding code are available at https://github.com/Craven-Biostat-Lab/subnetwork_inference Author summary There is a multitude of publicly available databases that contain information about biological entities (i.e., genes, proteins, and other small molecules) as well as information about how these entities interact together. However, these databases are often incomplete. There is a wealth of information present in the text of the scientific literature that is not yet available in these databases. Using tools that mine the scientific literature we are able to extract some of this potentially relevant information. In this work we show how we can use publicly available databases in conjunction with the information extracted from the scientific literature to infer the networks that are involved in specific biological processes, such as viral replication and cancer tumor growth.",yes,no,no,yes,yes,no,yes,no,yes,no,yes,yes,no,no,no,no,yes,yes,yes,no,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes
2,"Background: Understanding how neuronal signals propagate in local network is an important step in understanding information processing. As a result, spike trains recorded with multi-electrode arrays (MEAs) have been widely used to study the function of neural networks. Studying the dynamics of neuronal networks requires the identification of both excitatory and inhibitory connections. The detection of excitatory relationships can robustly be inferred by characterizing the statistical relationships of neural spike trains. However, the identification of inhibitory relationships is more difficult: distinguishing endogenous low firing rates from active inhibition is not obvious. New method: In this paper, we propose an in silico interventional procedure that makes predictions about the effect of stimulating or inhibiting single neurons on other neurons, and thereby gives the ability to accurately identify inhibitory effects. Comparison: To experimentally test these predictions, we have developed a Neural Circuit Probe (NCP) that delivers drugs transiently and reversibly on individually identified neurons to assess their contributions to the neural circuit behavior. Results: Using the NCP, putative inhibitory connections identified by the in silico procedure were validated through in vitro interventional experiments. Conclusions: Together, these results demonstrate how detailed microcircuitry can be inferred from statistical models derived from neurophysiology data.",yes,no,yes,no,no,no,yes,no,yes,yes,yes,yes,no,yes,yes,no,yes,yes,yes,no,no,no,yes,no,yes,yes,yes,yes,no,no,yes,yes,
3,"FimH is the adhesin of type I fimbriae expressed on Escherichia coli that can mediate specific adherence to host cells. High binding mutations in FimH are related to the adaptive evolution of bacteria. However, additional roles that these allelic variations may play remain elusive. To investigate novel biological functions of the mutations in FimH, we introduced four different variants of FimH by incorporating single amino acid substitutions at specific sites, namely A25P, G73R, A106, and T158P, respectively. In this study, adjuvant potential of FimH variants was evaluated by investigating their ability to trigger innate immune response to DC2.4 and adaptive immunity to improve immunological characteristics. The data revealed that purified A106 and T158P up-regulated the expression of co-stimulatory molecules critically involved in DC2.4 activation by interaction with TLR4, whereas A25P and G73R did not induce the phenotypic maturation of DC2.4. Besides, the culture of DC2.4 with A106 and T158P enhanced the release of cytokines and protein phagocytosis. When formulated with PAc, T158P elicited more robust PAc-specific IgG and IgA antibody responses compared to PBS, PAc and PAc +K12 groups and inhibited bacteria colonization. Collectively, the results confirmed that the T158P mutation located around the inter-domain interface of the protein induced a specific enhancement effect on adjuvant characteristics.",yes,no,no,no,yes,no,yes,yes,yes,yes,yes,yes,no,no,no,yes,yes,yes,yes,yes,no,no,yes,yes,yes,yes,yes,yes,no,no,yes,yes,yes
4,"Gaseous CePO2 has been identified by Knudsen effusion mass spectrometry during vaporization of CeO2 and magnesium diphosphate from tungsten double, two-temperature effusion cell. Structure and molecular parameters of gaseous cerium phosphate under study were determined using quantum chemical calculations. On the basis of equilibrium constants measured for gas-phase reaction, standard formation enthalpy of CePO2 was determined to be -508 +/- 41 kJ mol(-1) at the temperature 298 K.",yes,no,no,no,no,no,yes,no,yes,yes,yes,yes,no,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,happy,happy,no,no,happy,happy,
5,"We developed a new GeneFields (R) EHEC/SS PCR dipstick DNA chromatography kit for the simultaneously detection of invA, ipaH, and six genes in Salmonella enterica (56 strains), Shigella spp. (44), and enterohemorrhagic Escherichia coli (EHEC) (28), respectively, and evaluated the sensitivity and specificity with other bacteria (57) by this kit. The sensitivity and specificity were 100%, respectively. The detection limit of various methods was determined using 5% (w/v) stool suspensions spiked with each bacterium. The detection limit of the GeneFields (R) EHEC/SS kit ranged from approximately 10(2) -10(3) CFU/g. Additionally, the relative sensitivities and specificities of the GeneFields (R) EHEC/SS kit vs two commercially available real-time PCR kits were > 85.0% and > 90.0%, respectively. These results indicate that the GeneFields (R) EHEC/SS kit can be used for genetic screening of S. enterica, Shigella spp., and EHEC in human stool specimens with sensitivities and specificities similar to those of the commercially available real-time PCR kits.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,"8-Arylethynylxanthine derivatives are potent, selective adenosine A(2A) receptor antagonists, which represent (potential) therapeutics for Parkinson's disease, Alzheimer's dementia, and the immunotherapy of cancer. 6-Amino-5-amidouracil derivatives are important precursors for the synthesis of such xanthines. We noticed an unexpected duplication of NMR signals in many of these uracil derivatives. Here, we present a detailed analytical study of structurally diverse 6-amino-5-carboxamidouracils employing dynamic and two-dimensional NMR spectroscopy, density functional theory calculations, and X-ray analysis to explain the unexpected properties of these valuable drug intermediates.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,"Agrobacterium tumefaciens is a well studied phytopathogen given its various applications for deciphering host-pathogen interactions, bacterial communication, and capacity to transfer DNA fragments into host cells via a membrane protein system, the type IV secretion system (T4SS). T4SS mechanism is similar to the one responsible for antibiotic resistance gene transmission, and new knowledge gained could be applied to other organisms using such a mechanism. As well, A. tumefaciens is of economic importance in biotechnology due to its capacity to generate genetically modified plants. Agrobacterium tumefaciens harbours a plasmid known as Ti plasmid encoding T4SS function genes used for transferring genetic information and plant colonization. In this review, the authors describe the molecular basis of infection, from detection of host signals, to the description of different regions of Ti plasmid key to infection, ending with substrate transfer through bacterial wall. [Journal translation]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,"Peroxisome proliferator-activated receptor gamma (PPAR) is involved in the regulation of lipid and glucose homeostasis and inflammation. PPAR expression level has been widely studied in multiple tissues; however, there are few reports of preceding attempts to produce full-length human PPAR (hPPAR) in cellular models, and generally, expression level is not known or measurable. We propose an alternative strategy to express recombinant hPPAR1, using a transient transfection with an inducible Tet-On 3G system where target and reporter gene were cloned in the same open reading frame. We transiently co-transfected human embryonic kidney 293T (HEK293T) cells with pTRE-ZsGreen1-IRES2-hPPAR1 and pCMV-TET3G for inducible expression of hPPAR1. Relative expression of the transcript was evaluated by RT-qPCR 48h after transfection, obtaining a high expression level of hPPAR (530-fold change, p<0.002) in co-transfected HEK293T cells in the presence of doxycycline (1g/mL); also a significantly increased production of the reporter protein ZsGreen1 (3.6-fold change, p<0.05) was determined by fluorescence analysis. These data indicated that HEK293T cells were successfully co-transfected and it could be an alternative model for hPPAR expression in vitro. Additionally, this model will help to validate the quantification of inducible hPPAR expression in vivo models for future research.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,"We assessed the capacity of Kingella kingae to grow in blood culture bottles (BCB), taking into account the concentrations of the microorganism and blood in the culture medium. An initial suspension (McFarland 0.5) of 32 strains of K. kingae was serially diluted. One mL of the initial suspension and 1 mL of the subsequent dilutions were inoculated in two BCB, together with 1 mL of human blood in the 2nd BCB. Also, 1mL serial dilutions of human blood were added to BCBs previously inoculated with 1 mL of K. kingae dilution 1/10(4). In non-blood-supplemented BCB, 23 strains grew with the initial suspension and only one with the first processed dilution, as compared to all strains with the initial suspension and the 3 first dilutions, 22 with the 4th dilution, and one with the 5th dilution in blood-supplemented BCB. In BCB inoculated with K. kingae dilution 1/10(4) and decreasing concentrations of human blood, all strains grew with blood dilutions 1/2 and 1/4, 26 with dilution 1/8, 19 with dilution 1/16, 10 with dilution 1/32, and none with dilution 1/64. Increasing time to positivity was observed with both decreasing bacterial (p = .001) and blood concentrations (r = - 0.632, p < .0001). The addition of human blood was essential to boost the growth of K. kingae in BCB. If replicated in vivo, these findings would increase the isolation of fastidious K. kingae organisms from pediatric osteoarticular exudates.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
