Publication Type,Authors,Title,Abstract,DOI,ID,rule1,rule2,rule3,rule4,rule5,rule6,rule7,rule8,rule9,rule10,rule11,rule12,rule13,rule14,rule15,rule16,rule17,rule18,rule19,rule20,rule21,rule22,rule23,rule24,rule25,rule26,rule27,rule28,rule29,rule30,rule31,rule32
J,"Reuter, H; van Bodegraven, AM; Bender, E; Knies, C; Diek, N; Beginn, U; Hammerbacher, K; Schneider, V; Kinscherf, R; Bonaterra, GA; Svajda, R; Rosemeyer, H","Guanosine Nucleolipids: Synthesis, Characterization, Aggregation and X-Ray Crystallographic Identification of Electricity-Conducting G-Ribbons","The lipophilization of beta -d-riboguanosine (1) with various symmetric as well as asymmetric ketones is described (-> 3a-3f). The formation of the corresponding O-2 ' ,3 ' -ketals is accompanied by the appearance of various fluorescent by-products which were isolated chromatographically as mixtures and tentatively analyzed by ESI-MS spectrometry. The mainly formed guanosine nucleolipids were isolated and characterized by elemental analyses, H-1-, C-13-NMR and UV spectroscopy. For a drug profiling, static topological polar surface areas as well as (10)logP(OW) values were calculated by an increment-based method as well as experimentally for the systems 1-octanol-H2O and cyclohexane-H2O. The guanosine-O-2 ' ,3 ' -ketal derivatives 3b and 3a could be crystallized in (D-6)DMSO - the latter after one year of standing at ambient temperature. X-ray analysis revealed the formation of self-assembled ribbons consisting of two structurally similar 3b nucleolipid conformers as well as integrated (D-6)DMSO molecules. In the case of 3a.DMSO, the ribbon is formed by a single type of guanosine nucleolipid molecules. The crystalline material 3b.DMSO was further analyzed by differential scanning calorimetry (DSC) and temperature-dependent polarization microscopy. Crystallization was also performed on interdigitated electrodes (Au, distance, 5 mu m) and visualized by scanning electron microscopy. Resistance and amperage measurements clearly demonstrate that the electrode-bridging 3b crystals are electrically conducting. All O-2 ' ,3 ' -guanosine ketals were tested on their cytostatic/cytotoxic activity towards phorbol 12-myristate 13-acetate (PMA)-differentiated human THP-1 macrophages as well as against human astrocytoma/oligodendroglioma GOS-3 cells and against rat malignant neuroectodermal BT4Ca cells.",10.1002/cbdv.201900024,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J,"Roman, BI",Essay: Avoiding unfounded health claims on small molecules in scientific literature,"The publication of unfounded health claims on small molecules in peer-reviewed scientific literature is a problem that requires attention. It undermines the evidence-based decision making processes of modern-day society, weakens the credibility of the scientific enterprise, and diverts resources to futile research efforts. In the present essay we discuss some human and scientific causes behind the issue. We propose a number of actions to be taken up by scientists, referees and publishers. One particularly important factor is the issue of enigmatic compound behavior in biological assays. We therefore also introduce the idea of biological filters, a pattern recognition method to triage enigmatic compounds into valuable hits and false positives, based on the entirety of their biological effects in cell-based systems.",10.1016/j.bioorg.2019.02.002,1,yes,no,yes,no,yes,no,yes,yes,no,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,
J,"Sakiyama, H; Eguchi, H; Yoshihara, D; Ookawara, T; Naruse, H; Fujiwara, N; Suzuki, K",Basic skills examination in a biochemical practical training program for undergraduate students,"University lectures are mainly passive in nature, and there are few subjects in which students need to learn and function independently. Tutorial education and related activities at universities that specialize in medical and pharmaceutical training have been actively carried out, and lectures in conjunction with practical skills are gradually being developed, although progress has been slow in this area. In past years, our biochemistry practice classes have been evaluated in reports dealing with experiments and written examinations, as is done in other universities. However, using this methodology, we are not able to evaluate the extent to which students master biochemical experimental skills. To address this, we introduced a basic skill test to our biochemical curriculum for the first time. Our exams contributed to a deeper understanding of student skills and could be good tools for evaluating the degree of understanding of the students. The students understood the contents of the training well and felt interested in research in the field of basic medicine. Thus, we conclude that introducing practical testing to biochemical practice was effective for medical students in the field of biochemistry. (c) 2019 International Union of Biochemistry and Molecular Biology, 47(3):279-287, 2019.",10.1002/bmb.21229,2,yes,no,yes,yes,yes,no,yes,no,yes,yes,yes,yes,no,no,no,yes,yes,yes,no,yes,no,no,no,yes,yes,no,yes,no,no,yes,yes,
J,"Shepelev, MV; Saakian, EK; Kalinichenko, SV; Korobko, IV",Human Antithrombin III Minigene with an Optimized Splicing Pattern,"Antithrombin III (AT3) belongs to the superfamily of serine protease inhibitors (serpins) and is a major anticoagulant in physiological conditions. Based on SERPINC1 gene, a minigene coding for human AT3, which is valuable for medicine and biotechnology, was constructed by minimizing the size of lengthy introns and preserving the splicing site-flanking sequences. An analysis of the minigene splicing pattern identified one correct AT3 transcript and two alternatively spliced transcripts, which formed either due to minigene exons 2 and 3 skipping or an aberrant exon insertion via splicing at cryptic splicing sites in intron 1 of the minigene. Site-directed mutagenesis of the cryptic splicing sites successfully optimized the splicing pattern of the AT3 minigene to completely prevent the generation of the alternative transcripts. The presence of the cryptic splicing sites in intron 1 of the minigene was confirmed with Human Splicing Finder v. 3.1 software, thus demonstrating that putative alternative splicing sites are possible to identify in minimized or hybrid introns of minigenes and to eliminate via mutagenesis before experimentally testing the minigene splicing patterns. The approach to the design of minigenes together with the bioinformatical analysis of the nucleotide sequences of minigene introns can be used to construct minigenes in order to generate transgenic animals producing economically valuable proteins in the milk.",10.1134/S0026893319030178,3,yes,no,no,no,yes,no,no,no,yes,no,yes,yes,no,yes,no,no,yes,yes,no,yes,no,no,no,yes,yes,yes,no,yes,yes,no,no,
J,"Silverstein, TP; Williamson, JC",Liposome permeability probed by laser light scattering,"We have developed a laboratory project in which students prepare liposomes, expose them to hyperosmotic and hypoosmotic solutions, and follow the resulting shrinking and swelling (respectively) with laser light scattering. Each light intensity transient can be fit to an exponential decline or rise, with the decay constant (k) and the amplitude (Delta V-max) being indirectly related to the kinetics and thermodynamics (respectively) of transmembrane osmotic flux. Students vary the experimental system by changing the types and concentrations of osmolytes such as alcohols, amides, and salts. Students then compare how these changes alter the rate and extent of osmotic flux. This upper division biochemistry laboratory project is a challenging and rewarding one that exposes students to a biomolecule (lipid) and a spectroscopic technique (laser spectroscopy) that are not commonly used in the undergraduate laboratory setting. (c) 2019 International Union of Biochemistry and Molecular Biology, 47(3):239-246, 2019.",10.1002/bmb.21226,4,yes,yes,no,no,yes,no,yes,no,yes,no,yes,yes,yes,yes,yes,yes,yes,no,no,yes,yes,yes,no,no,yes,no,no,no,yes,yes,,
J,"Stanczak, A; Milaczewska, A; Borowski, T",Reaction mechanism between Cu(II)-enolate complex and O<sub>2</sub> as a test case for methodology used in DFT computational studies,"The reaction mechanism of an intricate oxidation reaction of chlorodiketonate ligand of mononuclear Cu(II) complex was studied computationally employing five different models that differ in: a) basis set, b) the way that solvent corrections are included, and c) DFT functional. Qualitative and quantitative comparison of structures and enthalpy reaction profiles enabled us to assess how sensitive they are to the changes in computational methodology.",10.1007/s00894-019-3998-3,5,no,no,no,no,yes,yes,yes,no,yes,no,yes,yes,no,no,no,yes,yes,yes,no,yes,no,no,no,no,yes,no,no,no,no,yes,no,
J,"Taheri, M; Ghandil, P; Hashemi, SJ; Ghafourian, M; Zadeh, ARM; Ghadiri, AA",Association study between two polymorphisms of tumor necrosis factor ligand superfamily member 15 (<i>TNFSF15</i>) gene and ulcerative colitis in south-west of Iran,"Background and aims Ulcerative colitis (UC) is the most prevalent clinical manifestation of the inflammatory bowel disease (IBD). Several candidate genes have been suggested to be involved in the genetic susceptibility or resistance in the development of UC. Among them, tumor necrosis factor ligand superfamily member 15 (TNFSF15) have been reported in association with IBD in several studies. The aim of this study was to investigate the association of TNFSF15 gene polymorphisms located in the promoter region, including rs6478108 (G/A -9706) and rs3810936 (G/A -15524) in Iranian patients with UC. Methods In this way, the two single nucleotide polymorphisms were studied in 115 patients with UC and 115 healthy controls with the same ethnic group from south-west of Iran. The genomic DNA of samples was genotyped using TaqMan Real-time PCR assay. This case-control study was conducted at the Department of Immunology, Jundishapur University of Medical Sciences, Ahvaz, Iran. Results and conclusion Our results did not confirm the formerly reported association of the studied polymorphisms with UC disease in comparison with healthy controls, neither with the type of the clinical forms of Colitis in the studied Iranian population. Comparing the genotype frequency of single nucleotide polymorphism (SNP) rs6478108, wild-type homozygous and heterozygote and mutant homozygote were 33%, 55.7%, and 11.3% in cases vs. 34.8%, 50.4%, and 14.8% in the controls (P = 0.6). The genotype frequency of SNP rs3810936 were 20.9%, 40.9%, and 38.2% in the cases compared to 18.3%, 44.3%, and 37.4% in controls, which was not significant (P = 0.8). As multiple ethnic groups reside in all around the country, further studies using different ethnicities and/or larger sample size are required to clarify the role of these polymorphisms in the genetic susceptibility of UC in Iranian populations.",10.1002/jcb.28165,6,yes,no,yes,yes,yes,no,yes,no,yes,no,yes,yes,yes,yes,no,no,yes,yes,no,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,no,no,
J,"Van Dyck, M; de Trixhe, XW; Vermeulen, A; Vanroose, W",A Robust Simulator for Physiologically Structured Population Models,"A framework to simulate physiologically structured population (PSP) models on high performance compute (HPC) infrastructure is built. Based on the model of a single cell, billions of cells can be simulated in an efficient way, allowing fast simulation of the interaction of an entire organ with other body parts. Through combination of three state-of-the-art algorithms, the simulation time is decreased with multiple orders of magnitude. First: PSP modelling exploits the fact that a lot of the cells behave identically at the same time which results in multiple orders of magnitude speed-up. The second speed-up is achieved by using an unconditionally stable, partial differential equation solver which allows big time-stepping by trading off speed with precision. The third speed-up is due to the fact that the framework is designed with HPC cluster use in mind. The PSP simulator is mathematically derived to have maximal stability. Simulation results are validated and simulation speed and accuracy are measured.",10.1109/TCBB.2018.2810077,7,yes,yes,no,no,yes,no,yes,no,yes,yes,yes,yes,no,yes,no,yes,yes,no,no,yes,no,no,no,no,yes,no,no,no,yes,yes,,
J,"Vasilyeva, AD; Yurina, LV; Bugrova, AE; Indeykina, MI; Azarova, DY; Bychkova, AV; Akzhigitova, KI; Kononikhin, AS; Nikolaev, EN; Rosenfeld, MA",Peroxide-Induced Oxidative Modification of Hemoglobin,"The oxidative modification of human hemoglobin (Hb) treated with hydrogen peroxide was investigated. Using the mass spectrometry method, the oxidized amino acid residues of the hemoglobin molecule were detected: alpha Trp14, alpha Tyr24, alpha Arg31, alpha Met32, alpha Tyr42, alpha His45, alpha His72, alpha Met76, alpha Pro77, alpha Lys90, alpha Cys104, alpha Tyr140, beta His2, beta Trp15, beta Trp37, beta Met55, beta Cys93, beta Cys112, beta Tyr130, beta Lys144, and beta His146. The antioxidant potential of the Hb molecule in the intracellular space and in the blood plasma is discussed.",10.1134/S1607672919030116,8,yes,yes,no,no,yes,no,yes,no,yes,no,yes,yes,no,yes,no,no,yes,yes,no,yes,no,no,no,yes,no,no,no,no,yes,yes,no,
J,"Young, DC; Brehm, JM; Scrimgeour, J",Driving complex flow waveforms with a linear voice coil actuator,"Oscillatory and pulsatile fluid flows for use in microfluidic applications were generated using a deformable chamber driven by a low cost linear voice coil actuator. Compliance in the fluidic system originating in the deformable chamber and the fluidic tubing produced a strong frequency dependence in the relationship between the system's input and the output flow rate. The effects of this frequency dependence were overcome by precise system calibration, enabling on-demand generation of sinusoidal oscillations in the fluid flow rate with a controlled amplitude in the range from 0.1 to over 1ml/min across a frequency range from 0.1Hz to 10Hz. The calibration data further enabled the optimization of a multistage exponential smoothing model of the system that allowed the generation of arbitrary complex waveforms. This was demonstrated by combining flow modulation with a constant background flow generated by a syringe pump to mimic the pulsatile flow found in the human vascular system.",10.1063/1.5086286,9,yes,yes,no,no,no,no,no,no,yes,no,yes,yes,no,yes,no,yes,yes,yes,no,yes,yes,yes,no,yes,yes,yes,no,no,no,yes,no,
