Publication Type,Authors,Title,Abstract,DOI,ID,rule1,rule2,rule3,rule4,rule5,rule6,rule7,rule8,rule9,rule10,rule11,rule12,rule13,rule14,rule15,rule16,rule17,rule18,rule19,rule20,rule21,rule22,rule23,rule24,rule25,rule26,rule27,rule28,rule29,rule30,rule31,rule32
J,"Coey, JMD; Venkatesan, M; Fitzgerald, CB",Donor impurity band exchange in dilute ferromagnetic oxides,"Dilute ferromagnetic oxides having Curie temperatures far in excess of 300 K and exceptionally large ordered moments per transition-metal cation challenge our understanding of magnetism in solids. These materials are high-k dielectrics with degenerate or thermally activated n-type semiconductivity. Conventional super-exchange or double-exchange interactions cannot produce long-range magnetic order at concentrations of magnetic cations of a few percent. We propose that ferromagnetic exchange here, and in dilute ferromagnetic nitrides, is mediated by shallow donor electrons that form bound magnetic polarons, which overlap to create a spin-split impurity band. The Curie temperature in the mean-field approximation varies as (xdelta)(1/2) where x and delta are the concentrations of magnetic cations and donors, respectively. High Curie temperatures arise only when empty minority-spin or majority-spin d states lie at the Fermi level in the impurity band. The magnetic phase diagram includes regions of semiconducting and metallic ferromagnetism, cluster paramagnetism, spin glass and canted antiferromagnetism.",10.1038/nmat1310,0,yes,no,yes,yes,yes,no,yes,yes,no,no,yes,no,no,no,no,no,yes,yes,yes,no,yes,no,yes,yes,yes,no,yes,yes,yes,yes,yes,
J,"McKinnon, JJ; Jayatilaka, D; Spackman, MA",Towards quantitative analysis of intermolecular interactions with Hirshfeld surfaces,Enhancements to the properties based on Hirshfeld surfaces enable quantitative comparisons between contributions to crystal packing from various types of intermolecular contacts.,10.1039/b704980c,1,yes,yes,no,no,yes,yes,yes,yes,no,no,yes,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,yes,yes,
J,"Becerril, HA; Mao, J; Liu, Z; Stoltenberg, RM; Bao, Z; Chen, Y",Evaluation of solution-processed reduced graphene oxide films as transparent conductors,"Processable, single-layered graphene oxide (GO) is an intriguing nanomaterial with tremendous potential for electronic applications. We spin-coated GO thin-films on quartz and characterized their sheet resistance and optical transparency using different reduction treatments. A thermal graphitization procedure was most effective, producing films with sheet resistances as low as 10(2) - 10(3) Omega/square with 80% transmittance for 550 nm light. Our experiments demonstrate solution-processed GO films have potential as transparent electrodes.",10.1021/nn700375n,2,yes,yes,no,no,yes,no,yes,no,yes,no,yes,yes,no,yes,no,yes,yes,yes,yes,no,no,no,yes,yes,yes,yes,no,no,yes,yes,,
J,"Brezesinski, T; Wang, J; Tolbert, SH; Dunn, B",Ordered mesoporous α-MoO<sub>3</sub> with iso-oriented nanocrystalline walls for thin-film pseudocapacitors,"Capacitive energy storage is distinguished from other types of electrochemical energy storage by short charging times and the ability to deliver significantly more power than batteries. A key limitation to this technology is its low energy density and for this reason there is considerable interest in exploring pseudocapacitive materials where faradaic mechanisms offer increased levels of energy storage. Here we show that the capacitive charge-storage properties of mesoporous films of iso-oriented alpha-MoO3 are superior to those of either mesoporous amorphous material or non-porous crystalline MoO3. Whereas both crystalline and amorphous mesoporous materials show redox pseudocapacitance, the iso-oriented layered crystalline domains enable lithium ions to be inserted into the van der Waals gaps of the alpha-MoO3. We propose that this extra contribution arises from an intercalation pseudocapacitance, which occurs on the same timescale as redox pseudocapacitance. The result is increased charge-storage capacity without compromising charge/discharge kinetics in mesoporous crystalline MoO3.",10.1038/NMAT2612,3,yes,no,yes,no,yes,no,yes,yes,no,no,yes,yes,no,no,no,no,yes,yes,yes,no,no,no,no,yes,yes,no,yes,no,yes,yes,yes,
J,"Stamenkovic, VR; Mun, BS; Arenz, M; Mayrhofer, KJJ; Lucas, CA; Wang, GF; Ross, PN; Markovic, NM",Trends in electrocatalysis on extended and nanoscale Pt-bimetallic alloy surfaces,"One of the key objectives in fuel-cell technology is to improve and reduce Pt loading as the oxygen-reduction catalyst. Here, we show a fundamental relationship in electrocatalytic trends on Pt3M (M = Ni, Co, Fe, Ti, V) surfaces between the experimentally determined surface electronic structure (the d-band centre) and activity for the oxygen-reduction reaction. This relationship exhibits 'volcano-type' behaviour, where the maximum catalytic activity is governed by a balance between adsorption energies of reactive intermediates and surface coverage by spectator (blocking) species. The electrocatalytic trends established for extended surfaces are used to explain the activity pattern of Pt3M nanocatalysts as well as to provide a fundamental basis for the catalytic enhancement of cathode catalysts. By combining simulations with experiments in the quest for surfaces with desired activity, an advanced concept in nanoscale catalyst engineering has been developed.",10.1038/nmat1840,4,yes,yes,no,no,yes,yes,yes,yes,no,no,yes,no,no,no,no,no,no,no,yes,no,no,no,no,yes,yes,no,no,no,yes,yes,,
J,"Zhang, H; Lv, XJ; Li, YM; Wang, Y; Li, JH",P25-Graphene Composite as a High Performance Photocatalyst,"Herein we obtained a chemically bonded TiO2 (P25)-graphene nanocomposite photocatalyst with graphene oxide and P25, using a facile one-step hydrothermal method. During the hydrothermal reaction, both of the reduction of graphene oxide and loading of P25 were achieved. The as-prepared P25-graphene photocatalyst possessed great adsorptivity of dyes, extended light absorption range, and efficient charge separation properties simultaneously, which was rarely reported in other TiO2-carbon photocatalysts. Hence, in the photodegradation of methylene blue, a significant enhancement in the reaction rate was observed with P25-graphene, compared to the bare P25 and P25-CNTs with the same carbon content. Overall, this work could provide new insights into the fabrication of a TiO2-carbon composite as high performance photocatalysts and facilitate their application in the environmental protection issues.",10.1021/nn901221k,5,yes,no,no,no,yes,no,no,no,yes,yes,yes,yes,no,no,no,yes,yes,yes,no,yes,no,no,no,yes,yes,yes,yes,no,yes,yes,yes,
J,"Cancado, LG; Jorio, A; Ferreira, EHM; Stavale, F; Achete, CA; Capaz, RB; Moutinho, MVO; Lombardo, A; Kulmala, TS; Ferrari, AC",Quantifying Defects in Graphene via Raman Spectroscopy at Different Excitation Energies,"We present a Raman study of Ar+-bombarded graphene samples with increasing ion doses. This allows us to have a controlled, increasing, amount of defects. We find that I the ratio between the D and G peak intensities, for a given defect density, strongly depends on the laser excitation energy. We quantify this effect and present a simple equation for the determination of the point defect density in graphene via Raman spectroscopy for any visible excitation energy. We note that, for all excitations, the D to G intensity ratio reaches a maximum for an interdefect distance similar to 3 nm. Thus, a given ratio could correspond to two different defect densities, above or below the maximum. The analysis of the G peak width and its dispersion with excitation energy solves this ambiguity.",10.1021/nl201432g,6,yes,no,no,no,yes,no,yes,yes,no,no,yes,no,yes,yes,no,yes,yes,yes,yes,no,no,no,yes,yes,yes,yes,yes,no,yes,yes,yes,
J,"Kibsgaard, J; Chen, ZB; Reinecke, BN; Jaramillo, TF",Engineering the surface structure of MoS<sub>2</sub> to preferentially expose active edge sites for electrocatalysis,"Controlling surface structure at the atomic scale is paramount to developing effective catalysts. For example, the edge sites of MoS2 are highly catalytically active and are thus preferred at the catalyst surface over MoS2 basal planes, which are inert. However, thermodynamics favours the presence of the basal plane, limiting the number of active sites at the surface. Herein, we engineer the surface structure of MoS2 to preferentially expose edge sites to effect improved catalysis by successfully synthesizing contiguous large-area thin films of a highly ordered double-gyroid MoS2 bicontinuous network with nanoscaled pores. The high surface curvature of this catalyst mesostructure exposes a large fraction of edge sites, which, along with its high surface area, leads to excellent activity for electrocatalytic hydrogen evolution. This work elucidates how morphological control of materials at the nanoscale can significantly impact the surface structure at the atomic scale, enabling new opportunities for enhancing surface properties for catalysis and other important technological applications.",10.1038/NMAT3439,7,yes,no,yes,no,yes,no,yes,no,yes,no,yes,yes,no,no,no,yes,yes,yes,yes,no,no,no,no,yes,yes,yes,yes,yes,yes,yes,yes,
J,"Hess, B",P-LINCS: A parallel linear constraint solver for molecular simulation,"By removing the fastest degrees of freedom, constraints allow for an increase of the time step in molecular simulations. In the last decade parallel simulations have become commonplace. However, up till now efficient parallel constraint algorithms have not been used with domain decomposition. In this paper the parallel linear constraint solver (P-LINCS) is presented, which allows the constraining of all bonds in macromolecules. Additionally the energy conservation properties of (P-)LINCS are assessed in view of improvements in the accuracy of uncoupled angle constraints and integration in single precision.",10.1021/ct700200b,8,yes,no,yes,yes,yes,no,yes,yes,no,yes,yes,yes,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,no,
J,"Peterson, AA; Abild-Pedersen, F; Studt, F; Rossmeisl, J; Norskov, JK",How copper catalyzes the electroreduction of carbon dioxide into hydrocarbon fuels,"Density functional theory calculations explain copper's unique ability to convert CO2 into hydrocarbons, which may open up (photo-)electrochemical routes to fuels.",10.1039/c0ee00071j,9,yes,yes,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,yes,no,yes,yes,
