Publication Type,Authors,Title,Abstract,DOI,ID,rule1,rule2,rule3,rule4,rule5,rule6,rule7,rule8,rule9,rule10,rule11,rule12,rule13,rule14,rule15,rule16,rule17,rule18,rule19,rule20,rule21,rule22,rule23,rule24,rule25,rule26,rule27,rule28,rule29,rule30,rule31
J,"Jakalian, A; Bush, BL; Jack, DB; Bayly, CI","Fast, efficient generation of high-quality atomic Charges. AM1-BCC model: I. Method","The AM1-BCC method quickly and efficiently generates high-quality atomic charges for use in condensed-phase simulations. The underlying features of the electron distribution including formal charge and delocalization are first captured by AM1 atomic charges for the individual molecule. Bond charge corrections (BCCs), which have been parameterized against the HF/6-31G* electrostatic potential (ESP) of a training set of compounds containing relevant functional groups, are then added using a formalism identical to the consensus BCI (bond charge increment) approach. As a proof of the concept, we fit BCCs simultaneously to 45 compounds including O-, N-, and S-containing functionalities, aromatics, and hetoroaromatics, using only 41 BCC parameters. AM1-BCC yields charge sets of comparable quality to HF/6-31G* ESP-derived charges in a fraction of the time while reducing instabilities in the atomic charges compared to direct ESP-fit methods. We then apply the BCC parameters to a small ""test set"" consisting of aspirin, D-glucose, and eryodictyol; the AM1-BCC model again provides atomic charges of quality comparable with HF/6-31G* RESP charges, as judged by an increase of only 0.01 to 0.02 atomic units in the root-mean-square (RMS) error in ESP. Based on these encouraging results, we intend to parameterize the AM1-BCC model to provide a consistent charge model for any organic or biological molecule. (C) 2000 John Wiley & Sons, Inc.",10.1002/(SICI)1096-987X(20000130)21:2<132::AID-JCC5>3.0.CO;2-P,0,yes,no,no,yes,yes,no,yes,no,yes,no,yes,yes,yes,no,no,yes,yes,yes,no,yes,no,no,yes,yes,yes,yes,yes,yes,yes,yes,yes
J,"Bubnova, O; Khan, ZU; Malti, A; Braun, S; Fahlman, M; Berggren, M; Crispin, X","Optimization of the thermoelectric figure of merit in the conducting polymer poly(3,4-ethylenedioxythiophene)","Thermoelectric generators (TEGs) transform a heat flow into electricity. Thermoelectric materials are being investigated for electricity production from waste heat (co-generation) and natural heat sources. For temperatures below 200 degrees C, the best commercially available inorganic semiconductors are bismuth telluride (Bi2Te3)-based alloys, which possess a figure of merit ZT close to one(1). Most of the recently discovered thermoelectric materials with ZT > 2 exhibit one common property, namely their low lattice thermal conductivities(2,3). Nevertheless, a high ZT value is not enough to create a viable technology platform for energy harvesting. To generate electricity from large volumes of warm fluids, heat exchangers must be functionalized with TEGs. This requires thermoelectric materials that are readily synthesized, air stable, environmentally friendly and solution processable to create patterns on large areas. Here we show that conducting polymers might be capable of meeting these demands. The accurate control of the oxidation level in poly(3,4-ethylenedioxythiophene) (PEDOT) combined with its low intrinsic thermal conductivity (lambda = D 0.37W m(-1) K-1) yields a ZT = 0.25 at room temperature that approaches the values required for efficient devices.",10.1038/NMAT3012,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J,"Hulicova-Jurcakova, D; Seredych, M; Lu, GQ; Bandosz, TJ",Combined Effect of Nitrogen- and Oxygen-Containing Functional Groups of Microporous Activated Carbon on its Electrochemical Performance in Supercapacitors,"Microporous activated carbon originating from coconut shell, as received or oxidized with nitric acid, is treated with melamine and urea and heated to 950 degrees C in an inert atmosphere to modify the carbon surface with nitrogen- and oxygen-containing groups for a systematic investigation of their combined effect on electrochemical performance in 1 m H2SO4 supercapacitors. The chemistry of the samples is characterized using elemental analysis, Boehm titration, potentiometric titration, and X-ray photoelectron spectroscopy. Sorption of nitrogen and carbon dioxide is used to determine the textural properties. The results show that the surface chemistry is affected by the type of nitrogen precursor and the specific groups present on the surface before the treatment leading to the incorporation of nitrogen. Analysis of the electrochemical behavior of urea- and melamine-treated samples reveal pseudocapacitance from both the oxygen and the nitrogen containing functional groups located in the pores larger than 10 angstrom. On the other hand, pores between 5 angstrom and 6 angstrom are most effective in a double-layer formation, which correlates well with the size of hydrated ions. Although the quaternary and pyridinic-N-oxides nitrogen groups have enhancing effects on capacitance due to the positive charge, and thus an improved electron transfer at high current loads, the most important functional groups affecting energy storage performance are pyrrolic and pyridinic nitrogen along with quinone oxygen.",10.1002/adfm.200801236,2,yes,no,no,no,yes,no,yes,no,yes,no,yes,yes,no,no,yes,yes,yes,yes,yes,no,yes,no,no,yes,yes,yes,no,no,yes,yes,no
J,"Peng, ZA; Peng, XG",Nearly monodisperse and shape-controlled CdSe nanocrystals via alternative routes: Nucleation and growth,"The nucleation and growth of colloidal CdSe nanocrystals with a variety of elongated shapes were explored in detail. The critical size nuclei for the system were magic sized nonoclusters, which possessed a sharp and dominated absorption peak at 349 nm. The formation of the unique magic sized nuclei in a broad monomer concentration range was not expected by the classic nucleation theory. We propose that this was a result of the extremely high chemical potential environment, that is, very high monomer concentrations in the solution, required for the growth of those elongated nanocrystals. The shape, size, and size/shape distributions of the resulting nanocrystals were all determined by two related factors, the magic sized nuclei and the concentration of the remaining monomers after the initial nucleation stage. Without any size sorting, nearly monodisperse CdSe quantum structures with different shapes were reproducibly synthesized by using the alternative cadmium precursors, cadmium-phosphonic acid complexes. A reasonably large excess of the cadmium precursor, which is less reactive than the Se precursor, was found beneficial for the system to reach the desired balance between nucleation and growth. The shape evolution and growth kinetics of these elongated nanocrystals were consistent with the diffusion-controlled model proposed previously. The branched nanocrystals had to grow at very high monomer concentrations because the multiple growth centers at the end of each branch must be fed with a very high diffusion flux to keep all branches in the 1 D-growth mode. The rice-shaped nanocrystals were found as special products of the 3D-growth stage. The growth of the nanocrystals in the 1 D-growth stage was proven to be not unidirectional after the length of the nanocrystals reached a certain threshold. Experimental results indicate that coordinating solvents arid two ligands with distinguishable coordinating abilities are both not intrinsic requirements for the growth of elongated CdSe nanocrystals.",10.1021/ja0173167,3,yes,yes,no,yes,yes,no,no,no,yes,no,yes,yes,no,no,no,no,yes,yes,no,yes,no,no,no,yes,yes,no,no,no,no,yes,no
J,"Zhu, FF; Chen, WJ; Xu, Y; Gao, CL; Guan, DD; Liu, CH; Qian, D; Zhang, SC; Jia, JF",Epitaxial growth of two-dimensional stanene,"Following the first experimental realization of graphene, other ultrathin materials with unprecedented electronic properties have been explored, with particular attention given to the heavy group-IV elements Si, Ge and Sn. Two-dimensional buckled Si-based silicene has been recently realized by molecular beam epitaxy growth, whereas Ge-based germanene was obtained by molecular beam epitaxy and mechanical exfoliation. However, the synthesis of Sn-based stanene has proved challenging so far. Here, we report the successful fabrication of 2D stanene by molecular beam epitaxy, confirmed by atomic and electronic characterization using scanning tunnelling microscopy and angle-resolved photoemission spectroscopy, in combination with first-principles calculations. The synthesis of stanene and its derivatives will stimulate further experimental investigation of their theoretically predicted properties, such as a 2D topological insulating behaviour with a very large bandgap, and the capability to support enhanced thermoelectric performance, topological superconductivity and the near-room-temperature quantum anomalous Hall effect.",10.1038/NMAT4384,4,yes,no,yes,yes,yes,no,yes,no,yes,yes,yes,yes,no,yes,no,no,yes,yes,no,yes,yes,yes,no,no,yes,no,yes,yes,yes,yes,
J,"Ugeda, MM; Bradley, AJ; Shi, SF; da Jornada, FH; Zhang, Y; Qiu, DY; Ruan, W; Mo, SK; Hussain, Z; Shen, ZX; Wang, F; Louie, SG; Crommie, MF",Giant bandgap renormalization and excitonic effects in a monolayer transition metal dichalcogenide semiconductor,"Two-dimensional (2D) transition metal dichalcogenides (TMDs) are emerging as a new platform for exploring 2D semiconductor physics(1-9). Reduced screening in two dimensions results in markedly enhanced electron-electron interactions, which have been predicted to generate giant bandgap renormalization and excitonic effects(10-13). Here we present a rigorous experimental observation of extraordinarily large exciton binding energy in a 2D semiconducting TMD. We determine the single-particle electronic bandgap of single-layer MoSe2 by means of scanning tunnelling spectroscopy (STS), as well as the two-particle exciton transition energy using photoluminescence (PL) spectroscopy. These yield an exciton binding energy of 0.55 eV for monolayer MoSe2 on graphene-orders of magnitude larger than what is seen in conventional 3D semiconductors and significantly higher than what we see for MoSe2 monolayers in more highly screening environments. This finding is corroborated by our ab initio GW and Bethe-Salpeter equation calculations(14,15) which include electron correlation effects. The renormalized bandgap and large exciton binding observed here will have a profound impact on electronic and optoelectronic device technologies based on single-layer semiconducting TMDs.",10.1038/NMAT4061,5,yes,no,yes,yes,yes,no,yes,yes,no,no,yes,yes,no,yes,no,no,yes,yes,yes,no,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes
J,"Szot, K; Speier, W; Bihlmayer, G; Waser, R",Switching the electrical resistance of individual dislocations in single-crystalline SrTiO<sub>3</sub>,"The great variability in the electrical properties of multinary oxide materials, ranging from insulating, through semiconducting to metallic behaviour, has given rise to the idea of modulating the electronic properties on a nanometre scale for high-density electronic memory devices. A particularly promising aspect seems to be the ability of perovskites to provide bistable switching of the conductance between non-metallic andmetallic behaviour by the application of an appropriate electric field. Here we demonstrate that the switching behaviour is an intrinsic feature of naturally occurring dislocations in single crystals of a prototypical ternary oxide, SrTiO3. The phenomenon is shown to originate from local modulations of the oxygen content and to be related to the self-doping capability of the early transition metal oxides. Our results show that extended defects, such as dislocations, can act as bistable nanowires and hold technological promise for terabit memory devices.",10.1038/nmat1614,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J,"Pop, E; Mann, D; Wang, Q; Goodson, KE; Dai, HJ",Thermal conductance of an individual single-wall carbon nanotube above room temperature,"The thermal properties of a suspended metallic single-wall carbon nanotube (SWNT) are extracted from its high-bias (l-V) electrical characteristics over the 300-800 K temperature range, achieved by Joule self-heating. The thermal conductance is approximately 2.4 nW/K, and the thermal-conductivity is nearly 3500 Wm(-1)K(-1) at room temperature for a SWNT of length 2.6 mu m and diameter 1.7 nm. A subtle decrease in thermal conductivity steeper than 1/T is observed at the upper end of the temperature range, which is attributed to second-order three-phonon scattering between two acoustic modes and one optical mode. We discuss sources of uncertainty and propose a simple analytical model for the SWNT thermal conductivity including length and temperature dependence.",10.1021/nl052145f,7,yes,yes,no,no,yes,yes,yes,yes,no,no,yes,no,no,no,no,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,no,no,no,yes,yes,no
J,"Park, S; An, JH; Jung, IW; Piner, RD; An, SJ; Li, XS; Velamakanni, A; Ruoff, RS",Colloidal Suspensions of Highly Reduced Graphene Oxide in a Wide Variety of Organic Solvents,"We report that homogeneous colloidal suspensions of chemically modified graphene sheets were readily produced in a wide variety of organic solvent systems. Two different sets of solubility parameters are used to rationalize when stable colloidal suspensions of graphene oxide sheets and, separately, of reduced graphene oxide sheets in a given solvent type are possible and when they are not. As an example of the utility of such colloidal suspensions, ""paperlike"" materials generated by very simple filtration of the reduced graphene oxide sheets had electrical conductivity values as high as 16 000 S/m.",10.1021/nl803798y,8,yes,yes,no,no,yes,no,yes,no,yes,no,yes,yes,no,no,no,yes,yes,yes,no,yes,no,no,no,yes,yes,no,no,no,yes,yes,yes
J,"Kappera, R; Voiry, D; Yalcin, SE; Branch, B; Gupta, G; Mohite, AD; Chhowalla, M",Phase-engineered low-resistance contacts for ultrathin MoS<sub>2</sub> transistors,"Ultrathin molybdenum disulphide (MoS2) has emerged as an interesting layered semiconductor because of its finite energy bandgap and the absence of dangling bonds. However, metals deposited on the semiconducting 2H phase usually form high-resistance (0.7 k Omega mu m-10 k Omega mu m) contacts, leading to Schottky-limited transport. In this study, we demonstrate that the metallic 1T phase of MoS2 can be locally induced on semiconducting 2H phase nanosheets, thus decreasing contact resistances to 200-300 Omega mu m at zero gate bias. Field-effect transistors (FETs) with 1T phase electrodes fabricated and tested in air exhibit mobility values of similar to 50 cm(2)V(-1)s(-1), subthreshold swing values below 100mV per decade, on/of ratios of >10(7), drive currents approaching similar to 100 mu A mu m(-1), and excellent current saturation. The deposition of different metals has limited influence on the FET performance, suggesting that the 1T/2H interface controls carrier injection into the channel. An increased reproducibility of the electrical characteristics is also obtained with our strategy based on phase engineering of MoS2.",10.1038/NMAT4080,9,yes,no,no,yes,no,no,no,no,no,no,yes,yes,no,no,no,yes,yes,yes,yes,no,no,no,yes,yes,yes,yes,yes,yes,yes,yes,yes
J,"Naldoni, A; Allieta, M; Santangelo, S; Marelli, M; Fabbri, F; Cappelli, S; Bianchi, CL; Psaro, R; Dal Santo, V",Effect of Nature and Location of Defects on Bandgap Narrowing in Black TiO<sub>2</sub> Nanoparticles,"The increasing need for new materials capable of solar fuel generation is central in the development of a green energy economy. In this contribution, we demonstrate that black TiO2 nanoparticles obtained through a one-step reduction/crystallization process exhibit a bandgap of only 1.85 eV, which matches well with visible light absorption. The electronic structure of black TiO2 nanoparticles is determined by the unique crystalline and defective core/disordered shell morphology. We introduce new insights that will be useful for the design of nanostructured photocatalysts for energy applications.",10.1021/ja3012676,10,yes,yes,no,no,yes,no,yes,yes,no,no,yes,yes,no,no,no,no,yes,yes,yes,no,no,no,yes,yes,yes,yes,yes,no,yes,yes,yes
J,"Moore, VC; Strano, MS; Haroz, EH; Hauge, RH; Smalley, RE; Schmidt, J; Talmon, Y",Individually suspended single-walled carbon nanotubes in various surfactants,"Individual single-walled carbon nanotubes (SWNTs) have been suspended in aqueous media using various anionic, cationic, nonionic surfactants and polymers. The surfactants are compared with respect to their ability to suspend individual SWNTs and the quality of the absorption and fluorescence spectra. For the ionic surfactants, sodium dodecylbenzene sulfonate (SDBS) gives the most well resolved spectral features. For the nonionic systems, surfactants with higher molecular weight suspend more SWNT material and have more pronounced spectral features.",10.1021/nl034524j,11,yes,yes,no,yes,no,no,no,no,yes,no,yes,yes,yes,no,no,yes,yes,yes,yes,no,no,no,no,yes,yes,no,no,no,yes,no,no
J,"Noel, NK; Abate, A; Stranks, SD; Parrott, ES; Burlakov, VM; Goriely, A; Snaith, HJ",Enhanced Photoluminescence and Solar Cell Performance <i>via</i> Lewis Base Passivation of Organic Inorganic Lead Halide Perovskites,"Organic-inorganic metal halide perovskites have recently emerged as a top contender to be used as an absorber material in highly efficient, low-cost photovoltaic devices. Solution-processed semiconductors tend to have a high density of defect states and exhibit a large degree of electronic disorder. Perovskites appear to go against this trend, and despite relatively little knowledge of the impact of electronic defects, certified solar-to-electrical power conversion efficiencies of up to 17.9% have been achieved. Here, through treatment of the crystal surfaces with the Lewis bases thiophene and pyridine, we demonstrate significantly reduced nonradiative electron-hole recombination within the CH3NH3PbI3-xClx perovskite, achieving photoluminescence lifetimes which are enhanced by nearly an order of magnitude, up to 2 mu s. We propose that this is due to the electronic passivation of under-coordinated Pb atoms within the crystal. Through this method of Lewis base passivation, we achieve power conversion efficiencies for solution-processed planar heterojunction solar cells enhanced from 13% for the untreated solar cells to 15.3% and 16.5% for the thiophene and pyridine-treated solar cells, respectively.",10.1021/nn5036476,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J,"Slowing, II; Trewyn, BG; Giri, S; Lin, VSY",Mesoporous silica nanoparticles for drug delivery and biosensing applications,"Recent advancements in morphology control and surface functionalization of mesoporous silica nanoparticles (MSNs) have enhanced the biocompatibility of these materials with high surface areas and pore volumes. Several recent reports have demonstrated that the MSNs can be efficiently internalized by animal and plant cells. The functionalization of MSNs with organic moieties or other nanostructures brings controlled release and molecular recognition capabilities to these mesoporous materials for drug/gene delivery and sensing applications, respectively. Herein, we review recent research progress on the design of functional MSN materials with various mechanisms of controlled release, along with the ability to achieve zero release in the absence of stimuli, and the introduction of new characteristics to enable the use of nonselective molecules as screens for the construction of highly selective sensor systems.",10.1002/adfm.200601191,13,yes,no,yes,yes,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,yes
J,"Khazaei, M; Arai, M; Sasaki, T; Chung, CY; Venkataramanan, NS; Estili, M; Sakka, Y; Kawazoe, Y",Novel Electronic and Magnetic Properties of Two-Dimensional Transition Metal Carbides and Nitrides,"Layered MAX phases are exfoliated into 2D single layers and multilayers, so-called MXenes. Using first-principles calculations, the formation and electronic properties of various MXene systems, M2C (M = Sc, Ti, V, Cr, Zr, Nb, Ta) and M2N (M = Ti, Cr, Zr) with surfaces chemically functionalized by F, OH, and O groups, are examined. Upon appropriate surface functionalization, Sc2C, Ti2C, Zr2C, and Hf2C MXenes are expected to become semiconductors. It is also derived theoretically that functionalized Cr2C and Cr2N MXenes are magnetic. Thermoelectric calculations based on the Boltzmann theory imply that semiconducting MXenes attain very large Seebeck coefficients at low temperatures.",10.1002/adfm.201202502,14,yes,yes,no,no,yes,no,no,no,yes,no,yes,yes,no,no,no,no,yes,yes,yes,no,yes,no,no,yes,yes,yes,no,no,yes,no,no
J,"Brinkman, A; Huijben, M; Van Zalk, M; Huijben, J; Zeitler, U; Maan, JC; Van der Wiel, WG; Rijnders, G; Blank, DHA; Hilgenkamp, H",Magnetic effects at the interface between non-magnetic oxides,"The electronic reconstruction at the interface between two insulating oxides can give rise to a highly conductive interface. Here we show how, in analogy to this remarkable interface-induced conductivity, magnetism can be induced at the interface between the otherwise non-magnetic insulating perovskites SrTiO3 and LaAlO3. A large negative magnetoresistance of the interface is found, together with a logarithmic temperature dependence of the sheet resistance. At low temperatures, the sheet resistance reveals magnetic hysteresis. Magnetic ordering is a key issue in solid-state science and its underlying mechanisms are still the subject of intense research. In particular, the interplay between localized magnetic moments and the spin of itinerant conduction electrons in a solid gives rise to intriguing many-body effects such as Ruderman-Kittel-Kasuya-Yosida interactions, the Kondo effect and carrier-induced ferromagnetismin diluted magnetic semiconductors. The conducting oxide interface now provides a versatile system to induce and manipulate magnetic moments in otherwise non-magnetic materials.",10.1038/nmat1931,15,yes,yes,no,yes,yes,no,yes,yes,no,no,yes,no,no,no,no,no,yes,yes,no,yes,no,no,no,yes,yes,yes,no,no,yes,yes,yes
J,"De Roo, J; Ibáñez, M; Geiregat, P; Nedelcu, G; Walravens, W; Maes, J; Martins, JC; Van Driessche, I; Koyalenko, MV; Hens, Z",Highly Dynamic Ligand Binding and Light Absorption Coefficient of Cesium Lead Bromide Perovskite Nanocrystals,"Lead halide perovskite materials have attracted significant attention in the context of photovoltaics and other optoelectronic applications, and recently, research efforts have been directed to nanostructured lead halide perovskites. Collodial nanocrystals (NCs) of cesium lead halides (CsPbX3, X = Cl, Br, I) exhibit bright photoluminescence, with emission tunable over the entire visible spectral region. However, previous studies on CsPbX3 NCs did not address key aspects of their chemistry and photophysics such as surface chemistry and quantitative light absorption. Here, we elaborate on the synthesis of CsPbBr3 NCs and their surface chemistry. In addition, the intrinsic absorption coefficient was determined experimentally by combining elemental analysis with accurate optical absorption measurements. H-1 solution nuclear magnetic resonance spectroscopy was used to characterize sample purity, elucidate the surface chemistry, and evaluate the influence of purification methods on the surface composition. We find that ligand binding to the NC surface is highly dynamic, and therefore, ligands are easily lost during the isolation and purification procedures. However, when a small amount of both oleic acid and oleylamine is added, the NCs can be purified, maintaining optical, colloidal, and material integrity. In addition, we find that a high amine content in the ligand shell increases the quantum yield due to the improved binding of the carboxylic acid.",10.1021/acsnano.5b06295,16,yes,no,yes,yes,yes,no,yes,yes,no,no,yes,yes,no,yes,no,no,yes,yes,yes,no,yes,no,no,yes,yes,yes,no,no,yes,yes,
J,"Liang, JJ; Huang, Y; Zhang, L; Wang, Y; Ma, YF; Guo, TY; Chen, YS",Molecular-Level Dispersion of Graphene into Poly(vinyl alcohol) and Effective Reinforcement of their Nanocomposites,"Despite great recent progress with carbon nanotubes and other nanoscale fillers, the development of strong, durable, and cost-efficient multifunctional nanocomposite materials has yet to be achieved. The challenges are to achieve molecule-level dispersion and maximum interfacial interaction between the nanofiller and the matrix at low loading. Here, the preparation of poly(vinyl alcohol) (PVA) nanocomposites with graphene oxide (GO) using a simple water solution processing method is reported. Efficient load transfer is found between the nanofiller graphene and matrix PVA and the mechanical properties of the graphene-based nanocomposite with molecule-level dispersion are significantly improved. A 76% increase in tensile strength and a 62% improvement of Young's modulus are achieved by addition of only 0.7 wt% of GO. The experimentally determined Young's modulus is in excellent agreement with theoretical simulation.",10.1002/adfm.200801776,17,yes,yes,no,yes,yes,no,yes,no,yes,no,yes,yes,no,no,no,yes,yes,yes,no,yes,no,no,yes,yes,no,no,no,no,yes,yes,
J,"Dong, XC; Xu, H; Wang, XW; Huang, YX; Chan-Park, MB; Zhang, H; Wang, LH; Huang, W; Chen, P",3D Graphene-Cobalt Oxide Electrode for High-Performance Supercapacitor and Enzymeless Glucose Detection,"Using a simple hydrothermal procedure; cobalt oxide (Co3O4) nanowires were in situ synthesized on three-dimensional (3D) graphene foam grown by chemical vapor deposition. The structure and morphology of the resulting 3D graphene/Co3O4 composites were characterized by scanning electron microscopy, transmission electron microscopy, X-ray diffraction, and Raman spectroscopy, The 3D graphene/Co3O4 composite was used as the monolithic free-standing electrode for supercapacitor application and for enzymeless electrochemical detection of glucose. We demonstrate that it is capable of delivering high specific capacitance of similar to 1100 F g(-1) at a current density of 10 A g(-1) with excellent cycling stability, and it can detect glucose with a ultrahigh sensitivity of 3.39 mA mM(-1) cm(-2) and a remarkable lower detection limit of <25 nM (S/N = 8.5).",10.1021/nn300097q,18,no,no,no,no,no,no,no,no,yes,no,yes,yes,no,yes,no,yes,yes,yes,yes,no,no,no,yes,yes,no,no,no,no,yes,yes,
