Publication Type,Authors,Title,Abstract,DOI,ID,rule1,rule2,rule3,rule4,rule5,rule6,rule7,rule8,rule9,rule10,rule11,rule12,rule13,rule14,rule15,rule16,rule17,rule18,rule19,rule20,rule21,rule22,rule23,rule24,rule25,rule26,rule27,rule28,rule29,rule30,rule31
J,"Karkowski, TA; Krol, H; Czarny-Dzialak, M; Szpringer, M; Florek-Luszczki, M; Dziechciaz, M; Gworek, B; Karkowska, D; Chmielewski, J",Procedures for protecting personnel exposed at work to chemical factors in the form of cytotoxic drugs,,10.15199/62.2019.10.19,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J,"Kashid, VS; Kote, BS; Balakrishna, MS",Chloropalladated tetranuclear and copper( I) complexes of propargylamines [RCCCH<sub>2</sub>NC<sub>4</sub>H<sub>8</sub>NCH<sub>2</sub>CCR],"The reactions of propargylamines 1,4-bis(3-phenylprop-2-yn-1-yl)piperazine (1) and 1,4-bis(3-(trimethylsilyl)prop-2-yn-1-yl)piperazine (2) with PdCl2 and CuI is described. 1,4-Bis(3-phenylprop-2-yn-1-yl) piperazine reacts with one equivalent of PdCl2 to afford kappa(2)-N,N-coordinated complexes [PdCl2{Me3SiC CCH2NC4H8NCH2C CSiMe3-kappa(2)-N,N] (3) and [PdCl2{Me3SiC CCH2NC4H8NCH2C CSiMe3}-kappa(2)-N,N] (4). The reactions of 1 and 2 with two equivalents of PdCl2 yielded rare chloropalladated tetranuclear complexes [Pd-4(mu-Cl)(4)(PhC = C(Cl)CH2NC4H8NCH2(Cl)C=CPh)(2)] (5) and [Pd-4(mu-Cl)(4)(Me3SiC=C(Cl)CH2NC4H8NCH2(Cl)C CSiMe3)(2)] (6), respectively, resulting from the trans nucleophilic addition of chloride ion onto the electrophilic C=C bond. The reactions of 1 and 2 with two equivalents of CuI produced 2-D coordination polymers [{Cu-2(mu-I)}(2)(PhC C-CH2NC4H8NCH2C CPh)](n) (7) and [{Cu-2(mu-I)}(2)(Me3SiC CCH2NC4H8NCH2C CSiMe3)](n) (8), respectively. Similar reactions in 1:1 M ratios produced dimeric complexes [Cu-2(mu-I)(2)(PhC CCH2NC4H8NCH2C CPh)(2)] (9) and [Cu-2(mu-I)(2)(Me3SiC CCH2NC4H8NCH2C CSiMe3)(2)] (10), respectively. The structures of compounds 3, 5 and 7 have been established by single crystal X-ray analysis. (c) 2019 Elsevier B.V. All rights reserved.",10.1016/j.jorganchem.2019.07.006,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J,"Kaur, G; Sharma, MK",Fission analysis of Z=114 superheavy isotopes formed via heavy-ion induced reactions,"The quasi-fission and fission mass distributions for Ti-48 + U-238 -> (286)Fl* and Ca-48 + Pu-244 -> (292)Fl* reactions are investigated within dynamical cluster decay model by addressing the experimentally available symmetric fission (A/2 +/- 20) and asymmetric quasi-fission cross-sections in nuclear deformation space. The contribution of quasi-fission components comes out to be negligibly small for spherical constitution of fragments, which increases significantly on adding deformation effects with the appearance of some sharp peaks in the neighborhood of Z = 82 magicity. The contribution of quasi-fission events increases with increase in isotopic mass of superheavy system with Z = 114.",10.1007/s10967-019-06620-8,2,yes,yes,no,no,yes,yes,yes,no,no,no,yes,no,yes,no,no,no,yes,yes,yes,no,yes,no,yes,yes,yes,no,no,no,yes,yes,
J,"Kaya, I; Cora, ÖN; Koç, M",Formability of Ultrasonically Additive Manufactured Ti-Al Thin Foil Laminates,"This study investigates the effect of strain rates and temperatures on the mechanical behavior of ultrasonically consolidated Titanium-Aluminum thin foils to understand and characterize their formability. To this goal, laminated composite samples with a distinct number of layers were bonded using ultrasonic consolidation. Then, tensile and biaxial hydraulic bulge tests at different strain rates and temperature conditions were conducted. The effect of the sample orientation on the mechanical response was also examined. Tensile and hydraulic bulge tests results were compared to observe differences in ultimate tensile strength and strain levels under uniaxial and biaxial loading conditions. The effects of loading condition, strain rate, and temperature on the material response were analyzed and discussed on the basis of test results. In general, it was concluded that the maximum elongation values attained were higher for the samples subtracted along the sonotrode movement direction compared to those obtained from the normal to sonotrode movement direction. The elongation was obtained as high as 46% for seven bi-layered samples at high-temperature ranges of 200-300 degrees C. Hydraulic bulge test results showed that elongation improved as the number of bi-layers increased, yet the ultimate strength values did not change significantly indicating an expansion of the formability window.",10.3390/ma12203402,3,yes,yes,no,no,yes,yes,yes,no,yes,no,yes,yes,yes,no,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,no,no,no,yes,no
J,"Kertys, M; Kosutova, P; Mokra, D; Mokry, J",Development of rapid and high-throughput LC-MS/MS method for quantification of olprinone in rabbit plasma,"A simple, highly sensitive and rapid method for quantification of olprinone (phosphodiesterase 3 inhibitor) in rabbit plasma using liquid chromatography-tandem mass spectrometry with electrospray was developed. An aliquot of 50 mu L of plasma sample was cleaned up and extracted using Ostro (TM) 96-well plate followed by dilution. Chromatographic separation of olprinone and olprinone-d3 was carried out on a CORTECS (R) T3 column within 3 min. Detection was achieved using a triple quadrupole mass spectrometer employing electrospray ionization operated in positive ion multiple reaction monitoring mode using the transitions m/z 251.07 -> m/z 155.06 and m/z 254.21 -> m/z 158.10 for olprinone and olprinone-d3, respectively. The method was validated according to US Food and Drug Administration guideline for bioanalytical methods, and showed excellent linearity in the range 10.0-2000.0 ng/mL with coefficient of determination >0.99. The intra- and inter-day precisions (CV) were <5.1% and the accuracies were within the range 99.7-103.2% at all quality control concentrations. Furthermore, olprinone was stable under various stability conditions. The developed method was used for quantification of olprinone in rabbit plasma after its intravenous administration at the dose of 1 mg/kg in order to better understand the metabolism of olprinone in a rabbit model of lung injury.",10.1002/bmc.4620,4,yes,no,no,no,yes,no,yes,no,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,no,no,yes,no,no
J,"Khalid, HN; Ahmed, E; Sharif, A; Amanat, S; Arshed, F; Arshad, M; Farooqi, ZH","Isolation, Structure Elucidation and Anti-microbial potential of a New Sphingolipid from <i>Salvadora oleoides</i>","Salvadoramide (1) have been isolated from the ethyl acetate soluble fraction of the whole plant of Salvadora oleoides. The structure, (2R)-2-hydroxy-N-[(2S, 3S, 4R, 5E, 7E)-1, 3, 4-trihydroxy-5, 7-tetra decdiene-2-yl] tetradecanamide), was established by the use of sophisticated modern spectroscopic techniques (ID and 2D-NMR, EIMS, HREIMS, UV and IR) and chemical reactions. The compound was further evaluated for its antimicrobial activity.",,5,yes,yes,no,no,yes,no,no,no,yes,no,yes,yes,yes,yes,no,yes,yes,no,no,yes,no,no,no,no,no,no,no,no,no,yes,no
J,"Khalilov, LM; Mescheryakova, ES; Bikmukhametov, KS; Makhmudiyarova, NN; Shangaraev, KR; Tulyabaev, AR","How the oxazole fragment influences the conformation of the tetraoxazocane ring in a cyclo-hexanespiro-3′-(1,2,4,5,7-tetraoxazocane): single-crystal X-ray and theoretical study","Single crystals of (2S,5R)-2-isopropyl-5-methyl-7-(5-methylisoxazol-3-yl)cyclo-hexanespiro-3'-(1,2,4,5,7-tetraoxazocane), C16H26N2O5, have been studied via X-ray diffraction. The tetraoxazocane ring adopts a boat-chair conformation in the crystalline state, which is due to intramolecular interactions. Conformational analysis of the tetraoxazocane fragment performed at the B3LYP/6-31G(d, 2p) level of theory showed that there are three minima on the potential energy surface, one of which corresponds to the conformation realized in the solid state, but not to a global minimum. Analysis of the geometry and the topological parameters of the electron density at the (3,-1) bond critical points (BCPs), and the charge transfer in the tetraoxazocane ring indicated that there are stereoelectronic effects in the O-C-O and N-C-O fragments. There is a two-cross hyperconjugation in the N-C-O fragment between the lone electron pair of the N atom (lpN) and the antibonding orbital of a C-O bond (sigma*(C-O)) and vice versa between lpO and sigma*(C-N). The oxazole substituent has a considerable effect on the geometry and the topological parameters of the electron density at the (3,-1) BCPs of the tetraoxazocane ring. The crystal structure is stabilized via intermolecular C-H center dot center dot center dot N and C-H center dot center dot center dot O hydrogen bonds, which is unambiguously confirmed with PIXEL calculations, a quantum theory of atoms in molecules (QTAIM) topological analysis of the electron density at the (3,-1) BCPs and a Hirshfeld analysis of the electrostatic potential. The molecules form zigzag chains in the crystal due to intermolecular C-H center dot center dot center dot N interactions being electrostatic in origin. The molecules are further stacked due to C-H center dot center dot center dot O hydrogen bonds. The dispersion component in the total stabilization energy of the crystal lattice is 68.09%.",10.1107/S2053229619012592,6,yes,no,no,no,no,no,no,no,yes,no,yes,yes,yes,no,yes,no,yes,yes,yes,no,yes,no,yes,yes,yes,yes,no,no,no,yes,no
J,"Khrenova, MG; Kots, ED; Kulakova, AM; Nemukhin, AV",Reconstructing the Electron Density of Intermediates of the Hydrolysis of <i>N</i>-Acetylaspartate by Aspartoacylase,"The hydrolysis of N-acetylaspartate by human aspartoacylase shows that using promolecular electron density (superpositions of the densities of spherical atoms) is insufficient for describing intermediates of reactions of enzyme catalysis. The deformation of electron density caused by the formation of covalent and coordination bonds inside a system must be considered, creating the need to develop new approaches in protein crystallography for better interpretation of observed electron density and more precise determination of the geometrical parameters of reaction intermediates.",10.1134/S003602441910011X,7,yes,yes,no,no,yes,no,yes,yes,no,no,yes,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,yes,no
J,"Kihara, N; Matsumoto, Y; Tsukamoto, S",Enhancement of Acid-Catalyzed Esterification by the Addition of Base,"General acid-catalyzed reaction can be enhanced by the addition of base. Self-catalyzed esterification of benzoic acid and octan-1-ol was enhanced by the addition of certain base such as imidazole. The rate of the esterification was accelerated as the concentration of imidazole increased. Trans-esterification of 4-nitrophenyl acetate was promoted in chloroform by the mixture of benzoic acid and imidazole, but not by benzoic acid or imidazole alone.",10.1002/hlca.201900154,8,yes,yes,no,no,no,no,no,no,yes,no,yes,yes,no,no,no,no,yes,yes,no,yes,no,no,no,yes,yes,no,no,no,no,yes,yes
J,"Kim, B; Cho, S",Hyperspectral Super-Resolution Technique Using Histogram Matching and Endmember Optimization,"In most hyperspectral super-resolution (HSR) methods, which are techniques used to improve the resolution of hyperspectral images (HSIs), the HSI and the target RGB image are assumed to have identical fields of view. However, because implementing these identical fields of view is difficult in practical applications, in this paper, we propose a HSR method that is applicable when an HSI and a target RGB image have different spatial information. The proposed HSR method first creates a low-resolution RGB image from a given HSI. Next, a histogram matching is performed on a high-resolution RGB image and a low-resolution RGB image obtained from an HSI. Finally, the proposed method optimizes endmember abundance of the high-resolution HSI towards the histogram-matched high-resolution RGB image. The entire procedure is evaluated using an open HSI dataset, the Harvard dataset, by adding spatial mismatch to the dataset. The spatial mismatch is implemented by shear transformation and cutting off the upper and left sides of the target RGB image. The proposed method achieved a lower error rate across the entire dataset, confirming its capability for super-resolution using images that have different fields of view.",10.3390/app9204444,9,yes,no,no,yes,yes,no,yes,no,yes,yes,yes,no,yes,no,no,yes,yes,yes,no,yes,no,no,yes,yes,yes,no,yes,no,yes,yes,
