ID,Abstract,rule1,rule2,rule3,rule4,rule5,rule6,rule7,rule8,rule9,rule10,rule11,rule12,rule13,rule14,rule15,rule16,rule17,rule18,rule19,rule20,rule21,rule22,rule23,rule24,rule25,rule26,rule27,rule28,rule29,rule30,rule31,rule32,rule33
0,"Graphene nanoscroll introduced recently is another form of a graphene-based two-dimensional material, which is especially attractive in nanoelectronic applications. As carriers can travel ballistically or semi-ballistically, they can reach high-speed and energy if the channel length is enough. Therefore, they can collide and result in an excessive current called ionisation current. As a result, it is important to study this mechanism carefully. In this paper, we propose an analytical approach to calculate an ionisation coefficient.",yes,no,no,no,no,no,yes,no,no,no,yes,yes,no,no,no,no,yes,no,no,yes,yes,no,no,no,yes,yes,yes,yes,no,no,no,yes,yes
1,"AA8xxx alloys employed in the HVAC&R sector (heating, ventilating, air conditioning, and refrigerating) were investigated to highlight the effect of active surface layers in heat-exchanger fins. The local behavior of the surface and the bulk of the alloy sheets was studied by means of an electrochemical microcell in combination with glow-discharge optical-emission spectrometry. Surface layers strongly enhance the electrochemical activity of the fin material. This is related to the segregation of Mg and other elements (Sn) strongly impairing the protective behavior of the oxide film generated during thermomechanical processing.",yes,yes,no,no,no,no,no,no,no,no,yes,yes,no,yes,yes,no,yes,yes,yes,no,yes,no,yes,yes,yes,yes,yes,yes,no,no,yes,yes,no
2,"Combining autoantigens with immune-modulating drugs has emerged as an attractive approach to selectively reinstate tolerance in autoimmune diseases. The disparate properties of autoantigens and small-molecule immunosuppressants commonly used to treat autoimmune diseases can confound efforts to co-deliver these therapies. However, both components may be co-delivered with adjuvants which have been successful in delivering antigens to immune cells. We evaluated several common adjuvants as vehicles to co-deliver a model antigen and immunosuppressant, ovalbumin (OVA) and dexamethasone (DEX), respectively. Formulations were developed, and the release of DEX from adjuvants was investigated. Next, the effect of adjuvant, DEX, and OVA was tested in vitro using a DC line. A MF59-analog (MF59a) formulation was advanced to more sophisticated co-culture studies using OVA-primed bone marrow-derived dendritic cells and splenocytes or T-cells from OT-II mice. Most of these studies indicated MF59a-based antigen-specific immunotherapies could diminish the markers of inflammation associated with OVA recognition. We rationalized MF59a co-delivery of antigen and drug could reduce the risk of side effects typically associated with these drugs and reinstate immune tolerance, thus prompting continued investigation of emulsion adjuvants as delivery vehicles for antigen-specific immunotherapy of autoimmune diseases. (C) 2019 American Pharmacists Association (R). Published by Elsevier Inc. All rights reserved.",yes,no,no,yes,yes,no,yes,no,yes,yes,yes,yes,no,no,no,no,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
3,"Over the last few years, Nitinol (NiTi) has become one of the most attractive alloy materials for industrial applications. However, its implementation is still problematic due to its surface nickel content, making it sensitive to pitting corrosion. In applications, it is often necessary to modify NiTi surfaces by using organic coatings, which provides new physico-chemical properties as well as functionalities and often contributes to a reinforcement of the alloy corrosion resistance. In this work, we assess the differences between the molecular layers made out of methylphosphonic acid (C1P) and the bi-phosphonic acid derivatives: (methylimino)dimethylene-bisphophonic acid (MIP2) and 1-hydroxyethylidene-1,1-diphosphonic acid (HEP2) using conventional (CG) and electro-assisted (EG) graftings. The surface modifications with the bi-phosphonic derivatives (MIP2) and (HEP2) carried out with the EG process lead to denser layers and a reinforced NiTi corrosion resistance.",yes,no,no,no,no,no,no,happy,happy,no,yes,yes,no,no,no,no,yes,yes,yes,no,no,no,yes,yes,yes,yes,yes,yes,no,no,yes,yes,yes
4,"Asimple co-precipitation method at normal temperature was used to prepare Mg and Al co doped ZnO nanoparticles. The structure and chemical properties of synthesized nanoparticles were characterized by various techniques such as XRD, FTIR, SEM-EDX, UV-Visible Spectroscopy and AFM, whereas the photo-catalysis study of congo red (CR) was performed by UV/VIS spectrophotometry. The XRD results exhibited that Mg, Al co-doped ZnO nanoparticles possess hexagonal wurtzite structure. The SEM analysis suggested varying nano morphology of synthesized nanoparticles and the purity of the sample was checked by EDX analysis. Mg, Al co-doped ZnO nanoparticles were subjected for the photo-degradation of congored dye (CR) in aqueous medium under UV-light irradiation. The photo-degradation study revealed that the Mg, Al co-doped ZnO nanoparticles is a promising substance for the hazardous ecological remediation.",no,no,no,no,no,no,no,no,yes,yes,yes,yes,no,yes,no,no,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,no,yes,no,no,yes,yes,
5,"For the purpose of modeling internal corrosion of the stainless steel fuel pins in fast nuclear reactors, the present work presents a thermodynamic description of the Fe-Ni-Te system modeled via the Calphad method. The liquid phase was modeled using the ionic 2-sublattice liquid model. Only binary parameters were optimized in the beta 2, delta and tau solid phases, to fit the isothermal section at 600 degrees C. The liquid did not require much adjustment from the extrapolation from the binary Fe-Te, Ni-Te and Fe-Ni systems. The paper presents a re-optimization of the Fe-Te liquid description in order to remove inverted liquid miscibility gaps at high temperatures. The resulting phase diagrams reproduce experimental isothermal sections well, and fits liquidus and solidus data very well. The description will be incorporated into the Thermodynamics of Advanced Fuels - International Database (TAF-ID). This will then be coupled with the Germinal system code to model the fission-product induced corrosion in nuclear fuel pins.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,"The solubility of stevioside (a natural sweetener) in 12 pure solvents (methanol, 1-propanol, 2-propanol, 1-buthanol, 2-buthanol, 1-pentanol, 2-pentanol, 2-ethoxyethanol, 2-propoxyethanol, 2-buthoxyethanol, water, and acetone) and in binary mixed solvents (2-ethoxyethanol + water) have been determined using high performance liquid chromatography (HPLC) method at temperatures ranging from 288.15 to 328.15 K and atmospheric pressure. From the experimental data, it was found that the solubility increased with the rising temperature in all selected solvents. The experimental data for the solubility of stevioside were correlated with Apelblat and non-random two-liquid (NRTL) models. It was found that the Apelblat model has the better quality in fitting the solubility data. Also, thermodynamic functions of dissolution, mixing and transfer process were calculated by the van't Hoff equation. Furthermore, the crystal habits of stevioside in selected solvents were studied.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,"Micronized CaO with pores was synthesized by calcining the reaction product CaCO3 from NH4HCO3 and Ca(OH)(2). Scanning electron microscopy, X-ray diffraction, energy dispersive X-ray spectroscopy, X-ray fluorescence, Fourier transform infrared spectroscopy, and Brunauer-Emmett-Teller analysis were used to characterize CaO, which confirmed that after calcining at 800 degrees C for 2 hr, CaCO3 was completely converted into porous micronized CaO with a surface area of about 7.295m(2)/g and a particle size of 0.5-1.5 mu m. The porous CaO microparticles were used as heterogeneous catalysts for producing biodiesel from transesterification of soybean oil and methanol. The influences of reaction time, calcined temperature, and reusability of CaO were explored. The experiments showed that CaO has high catalytic activity for transesterification reaction, and the yield of biodiesel reaches more than 98% under the conditions of methanol/oil mole ratio of 9, and the catalyst amount (catalyst/oil) of 3% after reaction for 2.5 hr. The CaO catalyst can be recycled easily and it also has the advantage of low pollution. Simple synthetic route, low cost, high catalytic activity, good reusability, and great potential for industrialization are the advantages of the porous micronized CaO catalyst that was proposed in this work.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,"Anecdotal evidence and a further report from leather experts show that there is close to no enlightenment of the production of leather vessels in Ghanaian leather industries. This study was, therefore, conducted as a result of the need to add leather as supplementary material to the traditional materials such as clay, metal, wood and half-gourd used for producing vessels in Ghana. The purpose of the study was to find out how Ghanaian indigenous leather could be used in the production of leather vessels. The qualitative study employed three key techniques, namely: 'Cuir bouilli' leather hardening methods, the sand pounding technique, and assemblage and construction technique. Based on the results, the baking and hot wax methods adversely affected the indigenous leather positively in the hardening of the leather. The results also show that using only one part of the leather (the back, belly or butt) affected the quality of the leather vessels, but incorporating the various parts of the hide helped improve the quality and durability of the leather vessels. The implications of the results and future research directions are also presented. This study has, therefore, expanded the usefulness of the Ghanaian indigenous vegetable tanned leather apart from the conventional usage for making shoes, bags and belts.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,"Rattlesnakes are easily recognized by a rattle on the tail. Despite the advances in molecular, morphological, and evolutionary studies about several aspects of rattles, there are no studies elucidating these nanoscale topographical features using high-resolution techniques. Here we propose a set of approaches to show these micro/nano surface features searching for patterns or hidden signatures. The results showed that the older rattle ring (segment 8) presented higher roughness values when compared to other segments. Cluster analysis allowed the observation of similarities/differences among some groups, which reinforced the strong discrepancy of the segment 8 when compared to the others and enable possible topographical transitions among each segment features, considering their linkages and Euclidean distances. Attractive forces and surface hardness were also significant increased on segment 8, while adhesion was significantly decreased on the segments 5, 6, and 7 compared to segment 1 (P < 0.05). Fourier transform infrared spectroscopy showed typical profiles of keratin spectra considering the amino acids present in this protein structure. Energy dispersive spectroscopy results indicated possible different molecular composition on each segment. These set of approaches applied on the present study represents an array of new possibilities towards the qualitative and quantitative analyses of this type of biomaterials enabling to address several structural, chemical and mechanical questions ongoing on scientific world.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
