Publication Type,Authors,Title,Abstract,DOI,ID,rule1,rule2,rule3,rule4,rule5,rule6,rule7,rule8,rule9,rule10,rule11,rule12,rule13,rule14,rule15,rule16,rule17,rule18,rule19,rule20,rule21,rule22,rule23,rule24,rule25,rule26,rule27,rule28,rule29,rule30,rule31
J,"Clarkson, CR; Solano, N; Bustin, RM; Bustin, AMM; Chalmers, GRL; He, L; Melnichenko, YB; Radlinski, AP; Blach, TP","Pore structure characterization of North American shale gas reservoirs using USANS/SANS, gas adsorption, and mercury intrusion","Small-angle and ultra-small-angle neutron scattering (SANS and USANS), low-pressure adsorption (N-2 and CO2), and high-pressure mercury intrusion measurements were performed on a suite of North American shale reservoir samples providing the first ever comparison of all these techniques for characterizing the complex pore structure of shales. The techniques were used to gain insight into the nature of the pore structure including pore geometry, pore size distribution and accessible versus inaccessible porosity. Reservoir samples for analysis were taken from currently-active shale gas plays including the Barnett, Marcellus, Haynesville, Eagle Ford, Woodford, Muskwa, and Duvernay shales. Low-pressure adsorption revealed strong differences in BET surface area and pore volumes for the sample suite, consistent with variability in composition of the samples. The combination of CO2 and N-2 adsorption data allowed pore size distributions to be created for micro-meso-macroporosity up to a limit of similar to 1000 angstrom. Pore size distributions are either uni- or multi-modal. The adsorption-derived pore size distributions for some samples are inconsistent with mercury intrusion data, likely owing to a combination of grain compression during high-pressure intrusion, and the fact that mercury intrusion yields information about pore throat rather than pore body distributions. SANS/USANS scattering data indicate a fractal geometry (power-law scattering) for a wide range of pore sizes and provide evidence that nanometer-scale spatial ordering occurs in lower mesopore-micropore range for some samples, which may be associated with inter-layer spacing in clay minerals. SANS/USANS pore radius distributions were converted to pore volume distributions for direct comparison with adsorption data. For the overlap region between the two methods, the agreement is quite good. Accessible porosity in the pore size (radius) range 5 nm-10 mu m was determined for a Barnett shale sample using the contrast matching method with pressurized deuterated methane fluid. The results demonstrate that accessible porosity is pore-size dependent. (C) 2012 Elsevier Ltd. All rights reserved.",10.1016/j.fuel.2012.06.119,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J,"Simonin, JP",On the comparison of pseudo-first order and pseudo-second order rate laws in the modeling of adsorption kinetics,"In most works in the current literature about liquid/solid adsorption kinetics, the respective abilities of pseudo-first order and pseudo-second kinetics for describing the data are compared. In nearly all cases, it is concluded that the latter surpasses the former. The aim of this work is to point out that more caution should be exercised in this comparison. Indeed, it appears that the method generally used is flawed and that it unfairly favors pseudo-second order kinetics. A different method is proposed to analyze experimental results. It is employed here to reexamine experimental data taken from the literature. (C) 2016 Elsevier B.V. All rights reserved.",10.1016/j.cej.2016.04.079,1,yes,yes,no,yes,yes,no,yes,yes,no,yes,yes,yes,yes,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,yes,no
J,"Pal, P; Vaidyanathan, PP",Nested Arrays: A Novel Approach to Array Processing With Enhanced Degrees of Freedom,"A new array geometry, which is capable of significantly increasing the degrees of freedom of linear arrays, is proposed. This structure is obtained by systematically nesting two or more uniform linear arrays and can provide O(N-2) degrees of freedom using only physical sensors when the second-order statistics of the received data is used. The concept of nesting is shown to be easily extensible to multiple stages and the structure of the optimally nested array is found analytically. It is possible to provide closed form expressions for the sensor locations and the exact degrees of freedom obtainable from the proposed array as a function of the total number of sensors. This cannot be done for existing classes of arrays like minimum redundancy arrays which have been used earlier for detecting more sources than the number of physical sensors. In minimum-input-minimum-output (MIMO) radar, the degrees of freedom are increased by constructing a longer virtual array through active sensing. The method proposed here, however, does not require active sensing and is capable of providing increased degrees of freedom in a completely passive setting. To utilize the degrees of freedom of the nested co-array, a novel spatial smoothing based approach to DOA estimation is also proposed, which does not require the inherent assumptions of the traditional techniques based on fourth-order cumulants or quasi stationary signals. As another potential application of the nested array, a new approach to beamforming based on a nonlinear preprocessing is also introduced, which can effectively utilize the degrees of freedom offered by the nested arrays. The usefulness of all the proposed methods is verified through extensive computer simulations.",10.1109/TSP.2010.2049264,2,yes,no,no,yes,yes,no,yes,no,yes,no,yes,no,no,no,no,no,yes,no,yes,no,no,no,no,no,yes,yes,yes,no,no,yes,no
J,"Hartmann, NB; Hüffer, T; Thompson, RC; Hassellöv, M; Verschoor, A; Daugaard, AE; Rist, S; Karlsson, T; Brennholt, N; Cole, M; Herrling, MP; Hess, MC; Ivleva, NP; Lusher, AL; Wagner, M",Are We Speaking the Same Language? Recommendations for a Definition and Categorization Framework for Plastic Debris,"The accumulation of plastic litter in natural environments is a global issue. Concerns over potential negative impacts on the economy, wildlife, and human health provide strong incentives for improving the sustainable use of plastics. Despite the many voices raised on the issue, we lack a consensus on how to define and categorize plastic debris. This is evident for microplastics, where inconsistent size classes are used and where the materials to be included are under debate. While this is inherent in an emerging research field, an ambiguous terminology results in confusion and miscommunication that may compromise progress in research and mitigation measures. Therefore, we need to be explicit on what exactly we consider plastic debris. Thus, we critically discuss the advantages and disadvantages of a unified terminology, propose a definition and categorization framework, and highlight areas of uncertainty. Going beyond size classes, our framework includes physicochemical properties (polymer composition, solid state, solubility) as defining criteria and size, shape, color, and origin as classifiers for categorization. Acknowledging the rapid evolution of our knowledge on plastic pollution, our framework will promote consensus building within the scientific and regulatory community based on a solid scientific foundation.",10.1021/acs.est.8b05297,3,yes,no,yes,yes,yes,no,yes,yes,no,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,no,yes,yes,yes
J,"Shafi, M; Molisch, AF; Smith, PJ; Haustein, T; Zhu, PY; De Silva, P; Tufvesson, F; Benjebbour, A; Wunder, G","5G: A Tutorial Overview of Standards, Trials, Challenges, Deployment, and Practice","There is considerable pressure to define the key requirements of 5G, develop 5G standards, and perform technology trials as quickly as possible. Normally, these activities are best done in series but there is a desire to complete these tasks in parallel so that commercial deployments of 5G can begin by 2020. 5G will not be an incremental improvement over its predecessors; it aims to be a revolutionary leap forward in terms of data rates, latency, massive connectivity, network reliability, and energy efficiency. These capabilities are targeted at realizing highspeed connectivity, the Internet of Things, augmented virtual reality, the tactile internet, and so on. The requirements of 5G are expected to be met by new spectrum in the microwave bands (3.3-4.2 GHz), and utilizing large bandwidths available in mm-wave bands, increasing spatial degrees of freedom via large antenna arrays and 3-D MIMO, network densification, and new waveforms that provide scalability and flexibility to meet the varying demands of 5G services. Unlike the one size fits all 4G core networks, the 5G core network must be flexible and adaptable and is expected to simultaneously provide optimized support for the diverse 5G use case categories. In this paper, we provide an overview of 5G research, standardization trials, and deployment challenges. Due to the enormous scope of 5G systems, it is necessary to provide some direction in a tutorial article, and in this overview, the focus is largely user centric, rather than device centric. In addition to surveying the state of play in the area, we identify leading technologies, evaluating their strengths and weaknesses, and outline the key challenges ahead, with research test beds delivering promising performance but pre-commercial trials lagging behind the desired 5G targets.",10.1109/JSAC.2017.2692307,4,yes,no,yes,yes,yes,no,yes,yes,no,yes,yes,no,no,no,no,no,yes,yes,yes,no,no,no,no,yes,yes,yes,yes,yes,yes,yes,yes
J,"Lu, YF; Zhang, Y; Deng, YF; Jiang, W; Zhao, YP; Geng, JJ; Ding, LL; Ren, HQ",Uptake and Accumulation of Polystyrene Microplastics in Zebrafish (<i>Danio rerio</i>) and Toxic Effects in Liver,"Microplastics have become emerging contaminants, causing widespread concern about their potential toxic effects. In this study, the uptake and tissue accumulation of polystyrene microplastics (PS-MPs) in zebrafish were detected, and the toxic effects in liver were investigated. The results showed that after 7 days of exposure, 5 mu m diameter MPs accumulated in fish gills, liver, and gut, while 20 mu m diameter MPs accumulated only in fish gills and gut. Histopathological analysis showed that both 5 mu m and 70 nm PS-MPs caused inflammation and lipid accumulation in fish liver. PS-MPs also induced significantly increased activities of superoxide dismutase and catalase, indicating that, oxidative stress was induced after treatment with MPs. In addition, metabolomic analysis suggested that exposure to MPs induced alterations of metabolic profiles in fish liver and disturbed the lipid and energy metabolism. These findings provide new insights into the toxic effects of MPs on fish.",10.1021/acs.est.6b00183,5,yes,yes,no,no,yes,no,yes,no,yes,no,yes,yes,no,no,no,no,yes,yes,no,yes,yes,yes,no,yes,yes,yes,no,no,yes,yes,no
J,"Xydeas, CS; Petrovic, V",Objective image fusion performance measure,"A measure for objectively assessing the pixel level fusion performance is defined. The proposed metric reflects the quality of,visual information obtained from the fusion of input images and can he used to compare the performance of different image fusion algorithms. Experimental results clearly indicate that this metric is perceptually meaningful.",10.1049/el:20000267,6,yes,yes,no,no,yes,yes,yes,yes,no,no,yes,no,no,no,no,yes,yes,yes,yes,no,no,no,no,no,yes,yes,no,no,no,yes,no
J,"Ganti, RK; Ye, F; Lei, H",Mobile Crowdsensing: Current State and Future Challenges,"An emerging category of devices at the edge of the Internet are consumer-centric mobile sensing and computing devices, such as smartphones, music players, and in-vehicle sensors. These devices will fuel the evolution of the Internet of Things as they feed sensor data to the Internet at a societal scale. In this article, we examine a category of applications that we term mobile crowdsensing, where individuals with sensing and computing devices collectively share data and extract information to measure and map phenomena of common interest. We present a brief overview of existing mobile crowdsensing applications, explain their unique characteristics, illustrate various research challenges, and discuss possible solutions. Finally, we argue the need for a unified architecture and envision the requirements it must satisfy.",10.1109/MCOM.2011.6069707,7,yes,no,no,yes,yes,no,yes,yes,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,no,yes,yes,yes
J,"Lachheb, H; Puzenat, E; Houas, A; Ksibi, M; Elaloui, E; Guillard, C; Herrmann, JM","Photocatalytic degradation of various types of dyes (Alizarin S, Crocein Orange G, Methyl Red, Congo Red, Methylene Blue) in water by UV-irradiated titania","The photocatalytic degradation of five various dyes has been investigated in TiO2/UV aqueous suspensions. It was attempted to determine the feasibility of such a degradation by varying the chemical structures, either anthraquinonic (Alizarin S (AS)), or azoic (Crocein Orange G (OG), Methyl Red (MR), Congo Red (CR)) or heteropolyaromatic (Methylene Blue (MB)). In addition to a prompt removal of the colors, TiO2/UV-based photocatalysis was simultaneously able to fully oxidize the dyes, with a complete mineralization of carbon into CO2. Sulfur heteroatoms were converted into innocuous SO(4)(2-)ions. The mineralization of nitrogen was more complex. Nitrogen atoms in the -3 oxidation state, such as in amino-groups, remain at this reduction degree and produced NH4+ cations, subsequently and very slowly converted into NO3- ions. For azo-dye (OG, MR, CR) degradation, the complete mass balance in nitrogen indicated that the central -N=N- azo-group was converted in gaseous dinitrogen, which is the ideal issue for the elimination of nitrogen-containing pollutants, not only for environmental photocatalysis but also for any physicochemical method. The aromatic rings were submitted to successive attacks by photogenerated OH. radicals leading to hydroxylated metabolites before the ring opening and the final evolution of CO2 induced by repeated subsequent ""photo-Kolbe"" reactions with carboxylic intermediates. These results suggest that TiO2/UV photocatalysis maybe envisaged as a method for treatment of diluted colored waste waters not only for decolorization, but also for detoxification, in particular in textile industries in semi-arid countries. (C) 2002 Elsevier Science B.V. All rights reserved.",10.1016/S0926-3373(02)00078-4,8,yes,no,no,no,yes,no,yes,no,yes,no,yes,yes,yes,yes,no,no,yes,yes,no,yes,no,no,no,yes,yes,yes,no,yes,yes,yes,no
J,"Chen, YH; Krishna, T; Emer, JS; Sze, V",Eyeriss: An Energy-Efficient Reconfigurable Accelerator for Deep Convolutional Neural Networks,"Eyeriss is an accelerator for state-of-the-art deep convolutional neural networks (CNNs). It optimizes for the energy efficiency of the entire system, including the accelerator chip and off-chip DRAM, for various CNN shapes by reconfiguring the architecture. CNNs are widely used in modern AI systems but also bring challenges on throughput and energy efficiency to the underlying hardware. This is because its computation requires a large amount of data, creating significant data movement from on-chip and off-chip that is more energyconsuming than computation. Minimizing data movement energy cost for any CNN shape, therefore, is the key to high throughput and energy efficiency. Eyeriss achieves these goals by using a proposed processing dataflow, called row stationary (RS), on a spatial architecture with 168 processing elements. RS dataflow reconfigures the computation mapping of a given shape, which optimizes energy efficiency by maximally reusing data locally to reduce expensive data movement, such as DRAM accesses. Compression and data gating are also applied to further improve energy efficiency. Eyeriss processes the convolutional layers at 35 frames/s and 0.0029 DRAM access/multiply and accumulation (MAC) for AlexNet at 278 mW (batch size N = 4), and 0.7 frames/s and 0.0035 DRAM access/MAC for VGG-16 at 236 mW (N = 3).",10.1109/JSSC.2016.2616357,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
