ID,Abstract,rule1,rule2,rule3,rule4,rule5,rule6,rule7,rule8,rule9,rule10,rule11,rule12,rule13,rule14,rule15,rule16,rule17,rule18,rule19,rule20,rule21,rule22,rule23,rule24,rule25,rule26,rule27,rule28,rule29,rule30,rule31,rule32,rule33
0,"A deformation measurement system based on particle image velocimetry (PIV) and close-range photogrammetry has been developed for use in geotechnical testing. In this paper, the theory underlying this system is described, and the performance is validated. Digital photography is used to capture images of planar soil deformation. Using PIV, the movement of a fine mesh of soil patches is measured to a high precision. Since PIV operates on the image texture, intrusive target markers need not be installed in the observed soil. The resulting displacement vectors are converted from image space to object space using a photogrammetric transformation. A series of validation experiments are reported. These demonstrate that the precision, accuracy and resolution of the system are an order of magnitude higher than previous image-based deformation methods, and are comparable to local instrumentation used in element testing. This performance is achieved concurrent with an order of magnitude increase in the number of measurement points that can be fitted in an image. The performance of the system is illustrated with two example applications.",no,happy,happy,no,no,happy,happy,happy,happy,no,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes
1,"Self-driving vehicles are a maturing technology with the potential to reshape mobility by enhancing the safety, accessibility, efficiency, and convenience of automotive transportation. Safety-critical tasks that must be executed by a self-driving vehicle include planning of motions through a dynamic environment shared with other vehicles and pedestrians, and their robust executions via feedback control. The objective of this paper is to survey the current state of the art on planning and control algorithms with particular regard to the urban setting. A selection of proposed techniques is reviewed along with a discussion of their effectiveness. The surveyed approaches differ in the vehicle mobility model used, in assumptions on the structure of the environment, and in computational requirements. The side by side comparison presented in this survey helps to gain insight into the strengths and limitations of the reviewed approaches and assists with system level design choices.",yes,no,no,yes,yes,no,yes,yes,no,no,yes,no,no,no,no,no,yes,yes,yes,no,yes,no,yes,yes,yes,yes,yes,yes,yes,no,no,yes,no
2,"In 1991 Morris proposed an effective screening sensitivity measure to identify the few important factors in models with many factors. The method is based on computing for each input a number of incremental ratios, namely elementary effects, which are then averaged to assess the overall importance of the input. Despite its value, the method is still rarely used and instead local analyses varying one factor at a time around a baseline point are usually employed. In this piece of work we propose a revised version of the elementary effects method, improved in terms of both the definition of the measure and the sampling strategy. In the present form the method shares many of the positive qualities of the variance-based techniques, having the advantage of a lower computational cost, as demonstrated by the analytical examples. The method is employed to assess the sensitivity of a chemical reaction model for dimethylsulphide (DMS), a gas involved in climate change. Results of the sensitivity analysis open up the ground for model reconsideration: some model components may need a more thorough modelling effort while some others may need to be simplified. (c) 2006 Elsevier Ltd. All rights reserved.",yes,no,no,yes,yes,no,yes,no,yes,no,yes,yes,no,no,no,no,yes,yes,yes,no,no,no,yes,yes,yes,yes,yes,yes,yes,no,no,yes,yes
3,"An unstructured grid, finite-volume, three-dimensional (3D) primitive equation ocean model has been developed for the study of coastal oceanic and estuarine circulation. The model consists of momentum, continuity, temperature, salinity, and density equations and is closed physically and mathematically using the Mellor and Yamada level-2.5 turbulent closure submodel. The irregular bottom slope is represented using a sigma-coordinate transformation, and the horizontal grids comprise unstructured triangular cells. The finite-volume method (FVM) used in this model combines the advantages of a finite-element method (FEM) for geometric flexibility and a finite-difference method (FDM) for simple discrete computation. Currents, temperature, and salinity in the model are computed in the integral form of the equations, which provides a better representation of the conservative laws for mass, momentum, and heat in the coastal region with complex geometry. The model was applied to the Bohai Sea, a semienclosed coastal ocean, and the Satilla River, a Georgia estuary characterized by numerous tidal creeks and inlets. Compared with the results obtained from the finite-difference model (ECOM-si), the new model produces a better simulation of tidal elevations and residual currents, especially around islands and tidal creeks. Given the same initial distribution of temperature in the Bohai Sea, the FVCOM and ECOM-si models show similar distributions of temperature and stratified tidal rectified flow in the interior region away from the coast and islands, but FVCOM appears to provide a better simulation of temperature and currents around the islands, barriers, and inlets with complex topography.",yes,no,no,yes,no,no,no,no,yes,yes,yes,yes,no,no,no,no,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes
4,"We propose a linear-time line segment detector that gives accurate results, a controlled number of false detections, and requires no parameter tuning. This algorithm is tested and compared to state-of-the-art algorithms on a wide set of natural images.",no,no,no,no,yes,yes,yes,yes,no,no,yes,no,yes,no,no,yes,yes,yes,yes,no,no,no,yes,yes,no,yes,yes,yes,no,no,no,yes,yes
5,"We provide a model (for both continuous and discrete time) describing the evolution of a flock. Our model is parameterized by a constant beta capturing the rate of decay-which in our model is polynomial-of the influence between birds in the flock as they separate in space. Our main result shows that when beta < 1/2 convergence of the flock to a common velocity is guaranteed, while for beta < 1/2 convergence-is guaranteed under some condition on the initial positions and velocities of the birds only.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,"The Landsat Ecosystem Disturbance Adaptive Processing System (LEDAPS) at the National Aeronautics and Space Administration (NASA) Goddard Space Flight Center has processed and released 2100 Landsat Thematic Mapper and Enhanced Thematic Mapper Plus surface reflectance scenes, providing 30-m resolution wall-to-wall reflectance coverage for North America for epochs centered on 1990 and 2000. This dataset can support decadal assessments of environmental and land-cover change, production of reflectance-based biophysical products, and applications that merge reflectance data from multiple sensors [e.g., the Advanced Spaceborne Thermal Emission and Reflection Radiometer, Multiangle Imaging Spectroradiometer, Moderate Resolution Imaging Spectroradiometer (MODIS)]. The raw imagery was obtained from the orthorectified Landsat GeoCover dataset, purchased by NASA from the Earth Satellite Corporation. Through the LEDAPS project, these data were calibrated, converted to top-of-atmosphere reflectance, and then atmospherically corrected using the MODIS/6S methodology. Initial comparisons with ground-based optical thickness measurements and simultaneously acquired MODIS imagery indicate comparable uncertainty in Landsat surface reflectance compared to the standard MODIS reflectance product (the greater of 0.5% absolute reflectance or 5% of the recorded reflectance value). The rapid automated nature of the processing stream also paves the way for routine high-level products from future Landsat sensors.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,"High data rate wireless communications, nearing 1-Gb/s transmission rates, is of interest in emerging wireless local area networks and home audio/visual networks. Designing very high speed wireless links that offer good quality-of-service and range capability in non-line-of-sight (NLOS) environments constitutes a significant research and engineering challenge. Ignoring fading in NLOS environments, we can, in principle, meet the 1-Gb/s data rate requirement with a single-transmit single-receive antenna wireless system if the product of bandwidth (measured in hertz) and spectral efficiency (measured in bits per second per hertz) is equal to 10(9). As we shall outline in this paper a variety of cost, technology and regulatory constraints make such a brute force solution unattractive if not impossible. The use of multiple antennas at transmitter and receiver popularly known as multiple-input multiple-output (MIMO) wireless is an emerging cost-effective technology that offers substantial leverages in making 1-Gb/s wireless links a reality. This paper provides an overview of MIMO wireless technology covering channel models, performance limits, coding, and transceiver design.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,"Recently, convolutional neural networks have demonstrated excellent performance on various visual tasks, including the classification of common two-dimensional images. In this paper, deep convolutional neural networks are employed to classify hyperspectral images directly in spectral domain. More specifically, the architecture of the proposed classifier contains five layers with weights which are the input layer, the convolutional layer, the max pooling layer, the full connection layer, and the output layer. These five layers are implemented on each spectral signature to discriminate against others. Experimental results based on several hyperspectral image data sets demonstrate that the proposed method can achieve better classification performance than some traditional methods, such as support vector machines and the conventional deep learning-based methods.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,"Thermal energy storage with phase change materials (PCMs) offers a high thermal storage density with a moderate temperature variation, and has attracted growing attention due to its important role in achieving energy conservation in buildings with thermal comfort. Various methods have been investigated by previous researchers to incorporate PCMs into the building structures, and it has been found that with the help of PCMs the indoor temperature fluctuations can be reduced significantly whilst maintaining desirable thermal comfort. This paper summarises previous works on latent thermal energy storage in building applications, covering PCMs, the impregnation methods, current building applications and their thermal performance analyses, as well as numerical simulation of buildings with PCMs. Over 100 references are included in this paper. (C) 2011 Elsevier Ltd. All rights reserved.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
