Publication Type,Authors,Title,Abstract,DOI,ID,rule1,rule2,rule3,rule4,rule5,rule6,rule7,rule8,rule9,rule10,rule11,rule12,rule13,rule14,rule15,rule16,rule17,rule18,rule19,rule20,rule21,rule22,rule23,rule24,rule25,rule26,rule27,rule28,rule29,rule30,rule31,rule32
J,"Zhao, B; Song, Q; Liu, WH; Sun, YD",Overview of Dual-Active-Bridge Isolated Bidirectional DC-DC Converter for High-Frequency-Link Power-Conversion System,"High-frequency-link (HFL) power conversion systems (PCSs) are attracting more and more attentions in academia and industry for high power density, reduced weight, and low noise without compromising efficiency, cost, and reliability. In HFL PCSs, dual-active-bridge (DAB) isolated bidirectional dc-dc converter (IBDC) serves as the core circuit. This paper gives an overview of DAB-IBDC for HFL PCSs. First, the research necessity and development history are introduced. Second, the research subjects about basic characterization, control strategy, soft-switching solution and variant, as well as hardware design and optimization are reviewed and analyzed. On this basis, several typical application schemes of DAB-IBDC for HPL PCSs are presented in a worldwide scope. Finally, design recommendations and future trends are presented. As the core circuit of HFL PCSs, DAB-IBDC has wide prospects. The large-scale practical application of DAB-IBDC for HFL PCSs is expected with the recent advances in solid-state semiconductors, magnetic and capacitive materials, and microelectronic technologies.",10.1109/TPEL.2013.2289913,0,yes,yes,no,yes,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,no,yes,yes,yes,
J,"Maddah-Ali, MA; Niesen, U",Fundamental Limits of Caching,"Caching is a technique to reduce peak traffic rates by prefetching popular content into memories at the end users. Conventionally, these memories are used to deliver requested content in part from a locally cached copy rather than through the network. The gain offered by this approach, which we term local caching gain, depends on the local cache size (i.e., the memory available at each individual user). In this paper, we introduce and exploit a second, global, caching gain not utilized by conventional caching schemes. This gain depends on the aggregate global cache size (i.e., the cumulative memory available at all users), even though there is no cooperation among the users. To evaluate and isolate these two gains, we introduce an information-theoretic formulation of the caching problem focusing on its basic structure. For this setting, we propose a novel coded caching scheme that exploits both local and global caching gains, leading to a multiplicative improvement in the peak rate compared with previously known schemes. In particular, the improvement can be on the order of the number of users in the network. In addition, we argue that the performance of the proposed scheme is within a constant factor of the information-theoretic optimum for all values of the problem parameters.",10.1109/TIT.2014.2306938,1,yes,no,yes,yes,yes,no,yes,yes,no,yes,yes,no,no,no,no,no,yes,yes,yes,no,no,no,yes,yes,yes,no,yes,yes,no,yes,yes,
J,"Liu, WF; Pokharel, PP; Principe, JC",Correntropy: properties and applications in non-gaussian signal processing,"The optimality of second-order statistics depends heavily on the assumption of Gaussianity. In this paper, we elucidate further the probabilistic and geometric meaning of the recently defined correntropy function as a localized similarity measure. A close relationship between correntropy and M-estimation is established. Connections and differences between correntropy and kernel methods are presented. As such correntropy has vastly different properties compared with second-order statistics that can be very useful in non-Gaussian signal processing, especially in the impulsive noise environment. Examples are presented to illustrate the technique.",10.1109/TSP.2007.896065,2,yes,yes,no,yes,yes,no,yes,yes,no,no,yes,no,no,no,no,no,yes,yes,yes,no,no,no,no,no,no,no,no,yes,no,no,yes,yes
J,"Mao, YY; Zhang, J; Letaief, KB",Dynamic Computation Offloading for Mobile-Edge Computing With Energy Harvesting Devices,"Mobile-edge computing (MEC) is an emerging paradigm to meet the ever-increasing computation demands from mobile applications. By offloading the computationally intensive workloads to the MEC server, the quality of computation experience, e.g., the execution latency, could be greatly improved. Nevertheless, as the on-device battery capacities are limited, computation would be interrupted when the battery energy runs out. To provide satisfactory computation performance as well as achieving green computing, it is of significant importance to seek renewable energy sources to power mobile devices via energy harvesting (EH) technologies. In this paper, we will investigate a green MEC system with EH devices and develop an effective computation offloading strategy. The execution cost, which addresses both the execution latency and task failure, is adopted as the performance metric. A low-complexity online algorithm is proposed, namely, the Lyapunov optimization-based dynamic computation offloading algorithm, which jointly decides the offloading decision, the CPU-cycle frequencies for mobile execution, and the transmit power for computation offloading. A unique advantage of this algorithm is that the decisions depend only on the current system state without requiring distribution information of the computation task request, wireless channel, and EH processes. The implementation of the algorithm only requires to solve a deterministic problem in each time slot, for which the optimal solution can be obtained either in closed form or by bisection search. Moreover, the proposed algorithm is shown to be asymptotically optimal via rigorous analysis. Sample simulation results shall be presented to corroborate the theoretical analysis as well as validate the effectiveness of the proposed algorithm.",10.1109/JSAC.2016.2611964,3,yes,no,no,yes,yes,no,yes,no,no,yes,yes,no,no,no,no,yes,yes,no,no,yes,no,no,no,no,yes,yes,no,no,yes,yes,,
J,"Vaidyanathan, PP; Pal, P",Sparse Sensing With Co-Pprime Samplers and Arrays,"This paper considers the sampling of temporal or spatial wide sense stationary (WSS) signals using a co-prime pair of sparse samplers. Several properties and applications of co-prime samplers are developed. First, for uniform spatial sampling with and sensors where and are co-prime with appropriate interelement spacings, the difference co-array has O(MN) freedoms which can be exploited in beamforming and in direction of arrival estimation. An M-point DFT filter bank and an N-point DFT filter bank can be used at the outputs of the two sensor arrays and their outputs combined in such a way that there are effectively MN bands (i.e., MN narrow beams with beamwidths proportional to 1/MN), a result following from co-primality. The ideas are applicable to both active and passive sensing, though the details and tradeoffs are different. Time domain sparse co-prime samplers also generate a time domain co-array with O(MN) freedoms, which can be used to estimate the autocorrelation at much finer lags than the sample spacings. This allows estimation of power spectrum of an arbitrary signal with a frequency resolution proportional to 2 pi/(MNT) even though the pairs of sampled sequences x(c)(NTn) and x(c)(MTn) in the time domain can be arbitrarily sparse - in fact from the sparse set of samples x(c)(NTn) and x(c)(MTn) one can estimate O(MN) frequencies in the range vertical bar omega vertical bar < pi/T. It will be shown that the co-array based method for estimating sinusoids in noise offers many advantages over methods based on the use of Chinese remainder theorem and its extensions. Examples are presented throughout to illustrate the various concepts.",10.1109/TSP.2010.2089682,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J,"Kasprzyk-Hordern, B; Dinsdale, RM; Guwy, AJ","The removal of pharmaceuticals, personal care products, endocrine disruptors and illicit drugs during wastewater treatment and its impact on the quality of receiving waters","A 5-month monitoring program was undertaken in South Wales in the UK to determine the fate of SS pharmaceuticals, personal care products, endocrine disruptors and illicit drugs (PPCPs) in two contrasting wastewater plants utilising two different wastewater treatment technologies: activated sludge and trickling filter beds. The impact of treated wastewater effluent on the quality of receiving waters was also assessed. PPCPs were found to be present at high loads reaching 10 kg day(-1) in the raw sewage. Concentrations of PPCPs in raw sewage were found to correlate with their usage/consumption patterns in Wales and their metabolism. The efficiency of the removal of PPCPs was found to be strongly dependent on the technology implemented in the wastewater treatment plant (WWTP). In general, the WWTP utilising trickling filter beds resulted in, on average, less than 70% removal of all 55 PPCPs studied, while the WWTP utilising activated sludge treatment gave a much higher removal efficiency of over 85%. The monitoring programme revealed that treated wastewater effluents were the main contributors to PPCPs concentrations (up to 3 kg of PPCPs day(-1)) in the rivers studied. Bearing in mind that in the cases examined here the WWTP effluents were also major contributors to rivers' flows (dilution factor for the studied rivers did not exceed 23 times) the effect of WWTP effluent on the quality of river water is significant and cannot be underestimated. (C) 2008 Elsevier Ltd. All rights reserved.",10.1016/j.watres.2008.10.047,5,yes,no,no,no,yes,no,yes,no,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,no,yes,no,no,yes,yes,yes,yes,no,no,yes,yes,no,
J,"Adams, LK; Lyon, DY; Alvarez, PJJ","Comparative eco-toxicity of nanoscale TiO<sub>2</sub>, SiO<sub>2</sub>, and ZnO water suspensions","The potential eco-toxicity of nanosized titanium dioxide (TiO2), silicon dioxide (SiO2), and zinc oxide (ZnO) water suspensions was investigated using Gram-positive Bacillus subtilis and Gram-negative Escherichia coli as test organisms. These three photosensitive nanomaterials were harmful to varying degrees, with antibacterial activity increasing with particle concentration. Antibacterial activity generally increased from SiO2 to TiO2 to ZnO, and B. subtilis was most susceptible to their effects. Advertised nanoparticle size did not correspond to true particle size. Apparently, aggregation produced similarly sized particles that had similar antibacterial activity at a given concentration. The presence of light was a significant factor under most conditions tested, presumably due to its role in promoting generation of reactive oxygen species (ROS). However, bacterial growth inhibition was also observed under dark conditions, indicating that undetermined mechanisms additional to photocatalytic ROS production were responsible for toxicity. These results highlight the need for caution during the use and disposal of such manufactured nanomaterials to prevent unintended environmental impacts, as well as the importance of further research on the mechanisms and factors that increase toxicity to enhance risk management. (c) 2006 Elsevier Ltd. All rights reserved.",10.1016/j.watres.2006.08.004,6,yes,yes,no,no,yes,no,yes,no,yes,yes,yes,yes,yes,no,no,yes,yes,yes,no,yes,no,no,yes,yes,yes,yes,no,no,yes,yes,no,
J,"Samarati, P",Protecting respondents' identities in microdata release,"Today's globally networked society places great demand on the dissemination and sharing of information. While in the past released information was mostly in tabular and statistical form, many situations call today for the release of specific data (microdata). In order to protect the anonymity of the, entities (called respondents) to which information refers, data holders often remove or encrypt explicit identifiers such as names, addresses, and phone numbers. Deidentifying data, however, provides no guarantee of anonymity. Released information often contains other data, such as race, birth date, sex, and ZIP code, that can be linked to publicly available information to reidentify respondents and inferring information that was not intended for disclosure. In this paper we address the problem of releasing microdata while safeguarding the anonymity of the respondents to which the data refer. The approach is based on the definition of k-anonymity. A table provides k-anonymity if attempts to link explicitly identifying information to its content map the information to at least k entities. We illustrate how k-anonymity can be provided without compromising the Integrity (or truthfulness) of the information released by using generalization and suppression techniques. We introduce the concept of minimal generalization that captures the property of the release process not to distort the data more than needed to achieve k-anonymity, and present an algorithm for the computation of such a generalization. We also discuss possible preference policies to choose among different minimal generalizations.",10.1109/69.971193,7,yes,no,no,yes,yes,no,yes,yes,no,yes,yes,no,yes,no,no,yes,no,no,no,no,no,no,no,no,no,yes,yes,no,yes,no,yes,
J,"Jindal, N",MIMO broadcast channels with finite-rate feedback,"Mlultiple transmit antennas in a downlink channel can provide tremendous capacity (i.e., multiplexing) gains, even when receivers have only single antennas. However, receiver and transmitter channel state information is generally required. In this correspondence, a system where each receiver has perfect channel knowledge, but the transmitter only receive-s quantized information regarding the channel instantiation is analyzed. The well-known zero-forcing transmission technique is considered, and simple expressions for the throughput degradation due to finite-rate feedback are derived. A key finding is that the feedback rate per mobile must be increased linearly with the signal-to-noise ratio (SNR) (in decibels) in order to achieve the full multiplexing gain. This is in sharp contrast to point-to-point multiple-input multiple-output (MIMO) systems, in which it is not necessary to increase the feedback rate as a function of the SNR.",10.1109/TIT.2006.883550,8,yes,yes,no,yes,yes,no,yes,no,yes,no,yes,yes,no,no,no,yes,yes,yes,yes,no,no,no,no,yes,no,no,yes,no,no,yes,yes,
J,"Navarro, E; Piccapietra, F; Wagner, B; Marconi, F; Kaegi, R; Odzak, N; Sigg, L; Behra, R",Toxicity of Silver Nanoparticles to <i>Chlamydomonas reinhardtii</i>,"Silver nanoparticles (AgNP) are likely to enter the aquatic environment because of their multiple uses. We have examined the short-term toxicity of AgNP and ionic silver (Ag+) to photosynthesis in Chlamydomonas reinhardtii using fluorometry. AgNP ranged in size from 10 to 200 nm with most particles around 25 nm. As determined by DGT (diffusive gradients in thin films), byion-selective electrode, and by centrifugal ultrafiltration, about 1% of the AgNP was present as Ag+ ions. Based on total Ag concentration, toxicity was 18 times higher for AgNO3 than for AgNP (in terms of EC50). However, when compared as a function of the Ag+ concentration, toxicity of AgNP appeared to be much higher than that of AgNO3. The ionic Ag+ measured in the AgNP suspensions could not fully explain the observed toxicity. Cysteine, a strong Ag+ ligand, abolished the inhibitory effects on photosynthesis of both AgNP and Ag+. Together, the results indicate that the interaction of these particles with algae influences the toxicity of AgNP, which is mediated by Ag+. Particles contributed to the toxicity as a source of Ag+ which is formed in presence of algae.",10.1021/es801785m,9,yes,no,no,no,yes,no,yes,no,yes,no,yes,yes,yes,yes,no,yes,yes,yes,no,yes,no,no,yes,no,yes,no,no,no,yes,yes,,
