Publication Type,Authors,Title,Abstract,DOI,ID,rule1,rule2,rule3,rule4,rule5,rule6,rule7,rule8,rule9,rule10,rule11,rule12,rule13,rule14,rule15,rule16,rule17,rule18,rule19,rule20,rule21,rule22,rule23,rule24,rule25,rule26,rule27,rule28,rule29,rule30,rule31
J,"Li, L; Ma, SY; Li, ZQ; Ruan, XG",Finite element analysis of the effects of additional load phase and amplitude on fretting wear,"Fretting wear is a major form of fretting damage involving various factors, such as material properties, surface roughness, surface topography, lubrication conditions, environment temperature, type of loading, and loading phase difference. In this study, ABAQUS is used to establish three models to simulate the variation of wear depth with the amplitude of additional load. The influence of the phase difference between additional load and original load is considered. Four phase difference angles are involved, i.e. 0 degrees, 90 degrees, 180 degrees, and 270 degrees. Results indicate that the rule of the variation of wear depth with the additional load amplitude increasing varies under different phase differences. It is observed that for the 0 degrees phase difference, the wear depth firstly decreases then increases with the increase of the additional load. However, the wear depth increases monotonously in the case of the 180 degrees phase difference. The variation of wear depth with additional load amplitude for 90 degrees phase difference is similar to that of the 270 degrees phase difference. The depth of wear is firstly kept at a relatively low level and then increases sharply, with the increase of the additional load. It is found that the distribution of shear stress and relative slip at the contact interface is also affected by the phase difference.",10.1177/1350650119851886,0,yes,no,no,no,no,no,no,no,yes,no,yes,yes,no,yes,no,yes,yes,yes,yes,no,no,no,yes,yes,yes,yes,no,no,no,yes,no
J,"Li, X; Yang, L; Zhao, JW; Liu, Y; Sun, FZ",A bottom-feed omni-directional circularly polarized antenna array,"A bottom-feed omni-directional CP (circularly polarized) antenna array is proposed in this letter. The antenna array is composed of four elements (two printed ZPS (zero-phase-shift) line loops and two half-wavelength dipoles). The four elements are fed with the same phase and amplitude. The ZPS line loops provide the horizontal polarization while the dipoles provide the vertical polarization. Therefore, omni-directional circular polarization is formed in the far field. The feeding network consists of a 1-4 T-shaped power divider formed by parallel strip lines. In order to balance the amplitude of the feeding coaxial cable, the structure is used in the bottom to transfer parallel strip line to micro-strip line. Besides, the loops and the dipoles are placed on the different side of the network to guarantee the omni-directional radiation property. The measured impedance bandwidth of the fabricated antenna is 0.13 GHz (2.40-2.53 GHz) and the measured maximum CP gain at 2.45 GHz is 4.8 dBic.",10.1017/S1759078719000825,1,yes,yes,no,no,yes,yes,yes,yes,no,no,yes,no,no,yes,no,yes,yes,yes,yes,no,no,no,yes,yes,yes,yes,no,no,yes,yes,
J,"Li, XH; Gao, R; Shen, T",Analysis of material motion characteristics of vertical nonlinear synchronous vibration dryer,"The nonlinear characteristics of a vertical dryer prototype under the synchronous excitation of vibration motors were analyzed. The vibration synchronization conditions of the two excitation motors of the vertical dryer were pursued. The analysis of motion characteristics of the material granules on the vertical dryer was conducted. The relationship between the structure parameters of the vertical dryer powered by two excitation motors and the motion characteristics of the material granules were discussed. Experimental results and discussion were used to verify the correctness of the theoretical analysis. This research demonstrated that the displacement of the material granules in the moving direction increased as the installment angle of the two excitation motors increased. This can improve the production efficiency; however, too large an installment angle destabilized the response of the dryer, no longer satisfying the design and use requirements. The research methods and conclusions presented in this paper can provide theoretical support and experimental basis for future development of a vibration dryer powered by two excitation motors.",10.1139/tcsme-2018-0247,2,yes,yes,no,no,yes,no,yes,no,yes,no,yes,yes,no,yes,no,no,yes,yes,no,yes,no,no,no,yes,yes,no,no,yes,yes,no,yes
J,"Li, YC; Yang, ZJ; Dang, CH",TRUSS STRUCTURE OPTIMIZATION BASED ON IMPROVED WOLF PACK ALGORITHM,"Aiming at the optimization of truss structure, a wolf pack algorithm based on chaos and improved search strategy was proposed. The mathematical model of truss optimization was constructed, and the classical truss structure was optimized. The results were compared with those of other optimization algorithms. When selecting and updating the initial position of wolves, chaos idea was used to distribute the initial value evenly in the solution space; phase factor was introduced to optimize the formula of wolf detection; information interaction between wolves is increased and the number of runs is reduced. The numerical results show that the improved wolf pack algorithm has the characteristics of fewer parameters, simple programming, easy implementation, fast convergence speed, and can quickly find the optimal solution. It is suitable for the optimization design of the section size of space truss structures.",10.14311/CEJ.2019.04.0040,3,yes,yes,no,no,yes,yes,yes,no,yes,no,yes,yes,no,no,no,no,yes,yes,no,yes,no,no,yes,yes,yes,yes,no,no,no,no,no
J,"Li, ZS; Xue, YL; Tan, XL; Li, WQ; Xu, SN; Wang, ZY; Wang, J; Li, LN; Miao, SD","Study on the Phase Equilibrium of Na<SUP>+</SUP>, K<SUP>+</SUP>/Cl<SUP>-</SUP>, CO<sub>3</sub><SUP>2-</SUP>-H<sub>2</sub>O and Single-Salt of Potassium Separation with the Aid of Compressed CO<sub>2</sub>","It is of great importance to separate potassium salts from carbonate-based lakes, especially the low-[K+] but high-[Nal brine which has been discovered around the world. Here the phase diagram of the quaternary system Na+, K+/Cl-, CO32--H2O was experimentally studied at 298.15 K via the method of isothermal evaporation, and the results corrected the previous diagram reported by Blasdale (J. Am. Chem. Soc. 1923, 45, 2935-2946). The type of salts appeared and their solubility during the evaporation, and the density vs composition diagram and the pH values were plotted based on the experimental data. It was found that there were six invariant points, seven univariant curves, and five crystallization fields in the equilibrium phase diagram. To extract single-salt of potassium, certain areas in the Na+, K+//C1-, C032 --H2O diagram were chosen to be acidified by the compressed CO2, and potassium in the form of KHCO3 was precipitated from the mother solution. The compressed CO2 was able to avoid formation of NaKCO3.6H2O during evaporation of the original system Na+, K+//C1-, CO32--H2O. Based on experiment data, the region area for potassium salt extraction was determined, and this area was suitable for extracting K+ salts from brines with a [Na+/ICl ratio even lower than 0.44. This strategy opened a new way to recovery of potassium with a maximum yield of 59.88% from the carbonate-chloride -based brine.",10.1021/acs.jced.9b00367,4,yes,no,no,yes,yes,no,yes,no,yes,yes,yes,yes,yes,no,yes,no,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,no,no
J,"Lin, SL; Lin, MT; Chen, MY; Leung, TK",<i>IN</i>-<i>VITRO</i> AND <i>IN</i>-<i>VIVO</i> STUDIES OF THE POSSIBLE CHEMOPREVENTIVE FUNCTIONS OF SOYBEAN ISOFLAVONE AND FLAVONOIDS ON BREAST CANCER,"Objectives: In this study, we assess the possible influence of soybean isoflavone (genistein) and other flavonoids (quercetin and catechin) on breast cancer chemoprevention. We design in-vitro and in-vivo experiments to analyze the effect of genistein, quercetin and catechin on cell proliferation, cell migration, and angiogenesis of breast cancer cells. Methods: In cell proliferation experiment, MCF-7 cells, SKBR-3 cells, and HUVEC cells were treated with genistein and other flavonoids (catechin and/or quercetin) for 48 h to assess the influence on cell growth of normal and breast cancer cells. In cell motility test, we analyze the effect of isoflavone and flavonoids on migration ability of MCF-7 cells by 16 h and SKBR-3 cells by 24 h in two different concentrations (1.25 mu g/ml and 2.5 mu g/ml). In the in-vivo experiment, SKBR-3 cells mixed with PBS and catechin, respectively, were injected subcutaneously into nude mice, then we investigated the effect of catechin on cell growth by observing subcutaneous tumor size changes after 15 days. Results: The results suggest that genistein and quercetin can significantly inhibit proliferation of breast cancer cells, and their inhibitory effects are independent of estrogen receptor. In cell motility tests, all of the three phytochemicals were effective in the inhibition of cell migration on two breast cancer cell lines, except for quercetin on cell migration of SKBR-3 cell line. In the in vitro experiment, catechin showed stimulatory effect on cell proliferation of HUVEC cell line, which may consider positive effect on angiogenesis, rather than inhibitory effect. However, in the in vivo experiment, it showed no significant change in tumor size between the groups of with and without catechin treatment. Conclusions: According to our study, the results suggest that isoflavone and flavonoids tend to inhibit cell growth and metastasis of breast cancer cells. Our in vivo experiment does not reach a significant result, and it may be due to lower catechin concentration. Under in vivo environment, we should also consider the possible metabolic forms of catechin that cause different result from the in vitro study.",10.4015/S1016237219500455,5,yes,no,no,no,yes,yes,yes,yes,no,no,yes,yes,yes,no,yes,yes,yes,yes,yes,no,no,no,yes,yes,yes,yes,yes,no,yes,yes,yes
J,"Liu, HY; Ma, LR; Zhang, H",On the Minimum Distance of Some Improper Array Codes,"For an odd prime q and an integer m <= q, we can construct a regular quasi-cyclic parity-check matrix H I (m, q) that specifies a linear block code C-I (m, q), called an improper array code. In this letter, we prove the minimum distance of C-I (4, q) is equal to 10 for any q >= 11. In addition, we prove the minimum distance of C-I (5, q) is upper bounded by 12 for any q >= 11 and conjecture the upper bound is tight.",10.1587/transfun.E102.A.2021,6,yes,yes,no,no,yes,no,yes,yes,no,no,yes,no,no,no,no,yes,yes,yes,yes,no,no,no,no,yes,no,yes,yes,no,no,yes,yes
J,"Wenchao, LC; Chen, Z; Wang, C; Dong, HY; Wang, RW",FINITE ELEMENT ANALYSIS OF THE SEISMIC BEHAVIOR OF THE ASSEMBLED LIGHT STEEL FRAME-LIGHT WALL STRUCTURES,"In order to meet the needs of the development of low-rise assembly structure in rural areas, a fabricated light-weight steel frame-composite light wall structure is proposed in this paper. The light-weight steel frames are used to bear the vertical loads. The single-row-reinforced recycled concrete wall-boards are used as lateral members to resist most of the horizontal earthquake loads. The wall-board, EPS (Expanded Polystyrene) insulation modules, and fly ash blocks form the thermally insulated wall. Four fabricated lightweight steel frame-composite light wall structures and one light-weight steel frame (FRA) structure were tested under the low cyclic loads. The influence of wall reinforcement spacing and structural form (be it fly ash block or not) on the seismic performance of this new structure was analysed and the damage process of the specimen was simulated using the ABAQUS (R) software. The results show that the light steel frames and the single-row-reinforced recycled concrete wall-board can work well together. Furthermore, the structure has two clear seismic lines. Due to the use of EPS insulation modules and fly ash blocks, the structure has good anti-seismic and thermal insulation abilities. Reducing the spacing of bars or compositing fly ash blocks can significantly improve the seismic performance of the structure. The finite element method (FEM) calculations agreed well with the experimental results, which validates the proposed model.",10.14311/CEJ.20.04.0051,7,yes,no,no,no,yes,yes,yes,no,yes,no,yes,yes,yes,no,yes,yes,yes,yes,yes,no,yes,no,no,yes,yes,no,no,no,yes,yes,
J,"Liu, WJ; Irudayaraj, J",Understanding the dynamics and structure of epigenetic states with single-molecule fluorescence microscopy,"Epigenetic modifications play an important role in regulating gene expression among a host of other factors during cell development. The plasticity of epigenetic modifications has the potential to direct a cell in relation to environmental factors to its destined state. Therefore, understanding different epigenetic states is crucial for dissecting the gene regulatory mechanisms. With the recent advances in single-molecule tools, monitoring the dynamics of epigenetic regulation and quantification has become possible. In this review, we discuss the recent advances in single-molecule fluorescence tools in gaining new insights into the epigenetic regulation and its relation to chromatin conformation.",10.1016/j.cobme.2019.08.010,8,yes,no,no,yes,yes,no,yes,yes,no,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,no,yes,yes,yes
J,"Liu, Y; Zhou, A; Yuan, LB",High sensitivity directional torsion sensor based on cascaded multimode and Mach-Zehnder interferometers with spiral structure,"An ultra-high sensitivity directional torsion sensor by hybrid cascaded configuration is proposed. The cascaded structure are composed of a multimode interference (MMI) employing multimode fiber (MMF) and a Mach-Zehnder interference (MZI) employing triangular four core fiber (TFCF) with a spiral structure. Under the condition of continuous arc discharge, the spiral structure is realized by torquing TFCF. The spiral structure assisted the MZI has the ability to sense torsion and identify the direction. The ultra-high torsion sensitivity is due to the modified Vernier-effect, which is generated due to the spatial frequency difference between the MMI and MZI. The MMI acts as the reference interferometer, and the MZI with spiral structure act as the sensing interferometer. We used the Gaussian function to filter out the envelope frequency component. The inverse fast Fourier transform (IFFT) is used to recover the envelope spectrum. The values of sensitivity magnification can be tuned by changing the length of the TFCF. The proposed configuration are applied for high-sensitive directional twisted sensor with a sensitivity of 0.8916 nm rad(-1) m(-1) over the range of -20.94 rad m(-1) to 13.96 rad m(-1). Moreover, the proposed sensor exhibits a low temperature cross-sensitivity is 0.166 (rad/m)/degrees C in the range of 40 degrees C-140 degrees C.",10.1088/2631-8695/ab5833,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
