ID,Abstract,rule1,rule2,rule3,rule4,rule5,rule6,rule7,rule8,rule9,rule10,rule11,rule12,rule13,rule14,rule15,rule16,rule17,rule18,rule19,rule20,rule21,rule22,rule23,rule24,rule25,rule26,rule27,rule28,rule29,rule30,rule31,rule32,rule33
0,"This paper is dedicated to Prof. Reinhardt for excellent supervision and exciting research. He was about 20 years my supervisor and mentor. On the occasion of the 80(th) birthday of Prof. Hans-Wolf Reinhardt, one of the most important modern measuring techniques for concrete quality control is discussed. It was developed under his guidance and facilitates the ultrasound technique for monitoring and analyzing fresh concrete and mortar properties during setting and hardening. To stress Prof. Reinhardt's merits, the developments at the University of Stuttgart are summarized. They culminated in one of the first commercially available modern test device that was the blueprint for other devices. The paper is giving also an introduction into the capabilities of the technique along with some more recent example of applications and a brief overview about standardization activities. The author's hope is that more scientists and practitioners are stimulated to use and further develop this technique establishing it on a broader range in the area of building constructions.",yes,no,no,yes,no,no,no,no,no,no,yes,yes,no,no,no,no,yes,yes,no,yes,no,no,yes,no,yes,yes,no,yes,no,yes,no,yes,yes
1,"Realkalization potential of drinking water reservoir coatings The realkalizing effect of mineral mortars is known from the repair of carbonated concrete in building construction. The application there is limited to the use of an ordinary Portland cement (CEM I) based repair material and to an average carbonation depth of less than 20 mm beyond the reinforcement. Concerning the repair of drinking water reservoirs, special boundary conditions must also be considered from both a hygienic and a technical point of view. According to the DVGW Code of Practice W 300-3, cement-bonded coatings are classified according to their ability to realkalize leached or carbonated concrete. The realkalization depot of the mortar and the existing residual alkalinity of the substrate are decisive for the choice of the cement-bonded coating. The relationship between the alkalinity depot and resistance to an reoccurring leaching attack of repair mortars as well as the simultaneous realkalization of the concrete substrate are not sufficiently known. In a DVGW funded research project, the performance of repair mortars is being investigated. The necessary boundary conditions for a successful realkalisation are determined and a more detailed description of the realkalisation depot is developed, aiding planners and users in their endeavor to estimate and improve durability of structures.",yes,no,no,yes,yes,no,yes,no,no,no,yes,yes,no,no,no,no,yes,yes,no,yes,no,yes,no,no,yes,yes,yes,yes,no,yes,yes,yes,no
2,"It is very difficult to plan the maintenance requirements of concrete pavements with alkali-silica reaction. Up to now, the necessary assessment has been carried out via visual appearance, AKR-provoking concrete investigations as well as polarization microscopic investigations on thin sections. With these investigations a forecast for the damage development is not possible. It is only possible to assess whether damage is no longer to be expected or whether there is still further potential for residual damage. The often significant deterioration of concrete pavement can be traced back to an undetected horizontal crack formation. In the context of an alkali-silica reaction (ASR), horizontal cracks can be found in the area of the joint crosses, the transverse joints and the longitudinal joints, which then extend several centimeters into the carriageway slab. The article illustrates the consequences of a damaging ASR and other loads in a carriageway slab. For the first time, it establishes a systematic relationship between a damaging ASR in a carriageway slab and the horizontal cracks in the area of the joints.",yes,no,no,no,no,no,no,happy,happy,no,yes,yes,no,no,no,no,yes,yes,yes,no,no,no,no,yes,yes,yes,happy,happy,no,no,yes,yes,
3,"This work presents a multi-chamber and multi-compartment model of a horizontal fluidized bed apparatus for layering granulation, coating, and drying. Each chamber is designed individually and process conditions, such as spray rate, particle feed or gas temperature, can be adjusted for each chamber separately. Particle growth is described by population balance modeling. The characteristics of the particle exchange rates between the individual process chambers are determined by separation functions to account for different weir configurations. Additionally a drying model is presented that takes initial droplet size and contact angle as well as partial wetting of the particle surface into account. Because of the great variety of parameters that influence this model, a parametric study is carried out to identify how construction or process parameters affect the product quality. The influence of different separation functions, thermal process conditions, and initial droplet properties on key product quality features such as particle size distribution, product moisture content, and degree of surface wetting are presented and discussed. The developed model can be used to describe product quality and particle transport in complex horizontal fluidized bed apparatuses.",yes,no,no,no,no,no,yes,no,yes,yes,yes,yes,no,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,no,no,yes,yes
4,"The compressive strength of concrete under biaxial dynamic compression The compressive strength of two concretes under biaxial dynamic compressive stress was investigated. A biaxial split Hopkinson bar was used, that applied the dynamic load to the test specimen in the form of two load waves perpendicular to each other. For reference, the static compressive strengths under biaxial load with different stress ratios of the two load axes were determined in a triaxial testing machine. The results indicate a partially superposition of the two strength-increasing effects of multi-axial compressive stress and increased strain rate. In particular, clear differences can be seen in the fracture and crack pattern for the different load types.",yes,no,no,no,no,no,yes,no,yes,yes,yes,yes,no,yes,no,no,yes,yes,yes,yes,no,no,yes,yes,yes,yes,no,yes,no,no,no,yes,yes
5,"Three-dimensional (3D) microwave imaging in very dispersive media using a phase shift and sum (PSAS) algorithm is presented. The phase shift and amplitude attenuation within the dispersive media are compensated individually for each frequency component and then integrated to calculate the pixel values in the region of interest (ROI). Therefore, the multi-speed and multipath issue when an ultra-wide band (UWB) signal propagates in the dispersive media is overcome. The current approach is validated by lab-collected data using our self-developed 3-D UWB microwave measurement system. Image results are compared with prior arts at the end of this paper.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,"In the combined transportation of multiple girder transport vehicles, the lifting of multiple hydraulic cylinders must ensure a certain synchronization accuracy, otherwise the bridge structure will be damaged, and even serious construction accidents will occur. The synchronous lifting of a large prefabricated bridge is studied. According to the requirements of synchronous lifting of the bridge, the appropriate control strategy is selected and the hydraulic system of synchronous lifting device is designed. The mathematical model of the synchronous lifting hydraulic system is established, and the fuzzy PID controller is applied. The simulation of the fuzzy adaptive PID control system for the synchronous lifting device is carried out by using MATLAB simulation software, and the simulation results indicate that the rationality of the control system is verified. The experimental results show that the control of the system is convenient and the synchronization accuracy is high, which can provide a reference for the synchronous lifting control.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,"This paper reveals various constraints in digital way of estimating the age of human facial image. The age estimation involves analyzing the facial features and classifying the age in accordance to the extracted feature values. The biometric features such as the facial parts (eye, mouth, chin, forehead, hair), texture, color and shape provide essential aging details. In the proposed method, the fractal features are extracted using fractal directional code method to retain the significant details present in the input image. The fractal features along with the local features are used to train the system. The deep neural network with three layers is used to train the system. The scaled conjugate gradient back propagation trains the system and the age is classified into seven age groups (0-10, 11-19, 20-29, 30-39, 40-49, 50-59 and 60-69). Higher accuracy is achieved by concocting the biometric features and the fractal features.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,"Workers in power supply systems are exposed to electromagnetic fields. These fields must not exceed the limit values set out in EU Directive 2013/35/EU (minimum health and safety requirements for workers with regard to exposure to the risk of physical agents (electromagnetic fields)) in order to protect workers against health risks. In Austria, a group of experts from the National Standardization Committee (OVE) has drawn up a national guideline (OVE guideline R 27) in order to prevent the diversity of assessment procedures. In addition, the guide aims to reduce time and effort in evaluation and documentation of electric and magnetic fields. This article provides an overview of the procedure and an assessment of the evaluated distances determined in accordance with OVE guideline R 27 for the protection of workers with regard to electric fields in substations.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,The energy saving and optimal operation of energy networks are essential issues in today's system management studies. A kind of natural gas (NG) storages called NG tank is presented in this Letter. The NG tank is modelled and formulated in the integrated energy network in a way that it can improve the optimal operation of an energy network as well.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
