ID,Abstract,rule1,rule2,rule3,rule4,rule5,rule6,rule7,rule8,rule9,rule10,rule11,rule12,rule13,rule14,rule15,rule16,rule17,rule18,rule19,rule20,rule21,rule22,rule23,rule24,rule25,rule26,rule27,rule28,rule29,rule30,rule31,rule32,rule33,rule34
0,"Graphene is a rapidly rising star on the horizon of materials science and condensed-matter physics. This strictly two-dimensional material exhibits exceptionally high crystal and electronic quality, and, despite its short history, has already revealed a cornucopia of new physics and potential applications, which are briefly discussed here. Whereas one can be certain of the realness of applications only when commercial products appear, graphene no longer requires any further proof of its importance in terms of fundamental physics. Owing to its unusual electronic spectrum, graphene has led to the emergence of a new paradigm of 'relativistic' condensed-matter physics, where quantum relativistic phenomena, some of which are unobservable in high-energy physics, can now be mimicked and tested in table-top experiments. More generally, graphene represents a conceptually new class of materials that are only one atom thick, and, on this basis, offers new inroads into low-dimensional physics that has never ceased to surprise and continues to provide a fertile ground for applications.",yes,no,no,no,no,no,yes,no,no,happy,yes,yes,no,no,no,no,yes,yes,yes,happy,no,no,yes,yes,yes,yes,yes,happy,happy,no,yes,no,yes,no
1,"Two-dimensional materials are attractive for use in next-generation nanoelectronic devices because, compared to one-dimensional materials, it is relatively easy to fabricate complex structures from them. The most widely studied two-dimensional material is graphene(1,2), both because of its rich physics(3-5) and its high mobility(6). However, pristine graphene does not have a bandgap, a property that is essential for many applications, including transistors(7). Engineering a graphene bandgap increases fabrication complexity and either reduces mobilities to the level of strained silicon films(8-13) or requires high voltages(14,15). Although single layers of MoS2 have a large intrinsic bandgap of 1.8 eV (ref. 16), previously reported mobilities in the 0.5-3 cm(2) V-1 s(-1) range(17) are too low for practical devices. Here, we use a halfnium oxide gate dielectric to demonstrate a room-temperature single-layer MoS2 mobility of at least 200 cm(2) V-1 s(-1), similar to that of graphene nanoribbons, and demonstrate transistors with room-temperature current on/off ratios of 1 x 10(8) and ultralow standby power dissipation. Because monolayer MoS2 has a direct bandgap(16,18), it can be used to construct interband tunnel FETs19, which offer lower power consumption than classical transistors. Monolayer MoS2 could also complement graphene in applications that require thin transparent semiconductors, such as optoelectronics and energy harvesting.",yes,no,no,yes,no,no,no,no,yes,yes,yes,yes,no,no,no,yes,yes,yes,yes,no,no,no,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,
2,"Reduction of a colloidal suspension of exfoliated graphene oxide sheets in water with hydrazine hydrate results in their aggregation and subsequent formation of a high-surface-area carbon material which consists of thin graphene-based sheets. The reduced material was characterized by elemental analysis, thermo-gravimetric analysis, scanning electron microscopy, X-ray photoelectron spectroscopy, NMR spectroscopy, Raman spectroscopy, and by electrical conductivity measurements. (c) 2007 Elsevier Ltd. All rights reserved.",yes,yes,no,no,no,no,no,no,no,no,yes,yes,no,yes,no,yes,yes,yes,no,yes,yes,yes,no,yes,yes,yes,no,no,no,no,no,yes,happy,
3,"The model and theoretical understanding of the Raman spectra in disordered and amorphous carbon are given. The nature of the G and D vibration modes in graphite is analyzed in terms of the resonant excitation of pi states and the long-range polarizability of pi bonding. Visible Raman data on disordered, amorphous, and diamond like carbon are classified in a three-stage model to show the factors that control the position, intensity, and widths of the G and D peaks. It is shown that the visible Raman spectra depend formally on the configuration of the sp(2) sites in sp(2)-bonded clusters. In cases where the sp(2) clustering is controlled by the sp(3) fraction, such as in as-deposited tetrahedral amorphous carbon (ta-C) or hydrogenated amorphous carbon (a-C:H) films, the visible Raman parameters can be used to derive the sp(3) fraction.",yes,no,no,yes,no,no,no,no,yes,yes,yes,yes,no,no,no,no,yes,yes,yes,no,yes,no,yes,yes,yes,yes,yes,yes,no,no,yes,yes,yes,
4,We report the measurement of the thermal conductivity of a suspended single-layer graphene. The room temperature values of the thermal conductivity in the range similar to(4.84 +/- 0.44) x 10(3) to (5.30 +/- 0.48) x 10(3) W/mK were extracted for a single-layer graphene from the dependence of the Raman G peak frequency on the excitation laser power and independently measured G peak temperature coefficient. The extremely high value of the thermal conductivity suggests that graphene can outperform carbon nanotubes in heat conduction. The superb thermal conduction property of graphene is beneficial for the proposed electronic applications and establishes graphene as an excellent material for thermal management.,no,no,no,no,no,no,no,happy,happy,no,yes,yes,no,no,no,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,happy,happy,no,no,no,yes,yes,
5,"The Open Visualization Tool (OVITO) is a new 3D visualization software designed for post-processing atomistic data obtained from molecular dynamics or Monte Carlo simulations. Unique analysis, editing and animations functions are integrated into its easy-to-use graphical user interface. The software is written in object-oriented C++, controllable via Python scripts and easily extendable through a plug-in interface. It is distributed as open-source software and can be downloaded from the website http://ovito.sourceforge.net/.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,"Hybrid organic-inorganic semiconductors feature complex lattice dynamics due to the ionic character of the crystal and the softness arising from non-covalent bonds between molecular moieties and the inorganic network. Here we establish that such dynamic structural complexity in a prototypical two-dimensional lead iodide perovskite gives rise to the coexistence of diverse excitonic resonances, each with a distinct degree of polaronic character. By means of high-resolution resonant impulsive stimulated Raman spectroscopy, we identify vibrational wavepacket dynamics that evolve along different configurational coordinates for distinct excitons and photocarriers. Employing density functional theory calculations, we assign the observed coherent vibrational modes to various low-frequency (less than or similar to 50 cm(-1)) optical phonons involving motion in the lead iodide layers. We thus conclude that different excitons induce specific lattice reorganizations, which are signatures of polaronic binding. This insight into the energetic/configurational landscape involving globally neutral primary photoexcitations may be relevant to a broader class of emerging hybrid semiconductor materials.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,"The production of hydrogen from water using a catalyst and solar energy is an ideal future energy source, independent of fossil reserves. For an economical use of water and solar energy, catalysts that are sufficiently efficient, stable, inexpensive and capable of harvesting light are required. Here, we show that an abundant material, polymeric carbon nitride, can produce hydrogen from water under visible-light irradiation in the presence of a sacrificial donor. Contrary to other conducting polymer semiconductors, carbon nitride is chemically and thermally stable and does not rely on complicated device manufacturing. The results represent an important first step towards photosynthesis in general where artificial conjugated polymer semiconductors can be used as energy transducers.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,"An improved method for the preparation of graphene oxide (GO) is described. Currently, Hummers' method (KMnO4, NaNO3, H2SO4) is the most common method used for preparing graphene oxide. We have found that excluding the NaNO3, increasing the amount of KMnO4, and performing the reaction in a 9:1 mixture of H2SO4/H3PO4 improves the efficiency of the oxidation process. This improved method provides a greater amount of hydrophilic oxidized graphene material as compared to Hummers' method or Hummers' method with additional KMnO4. Moreover, even though the GO produced by our method is more oxidized than that prepared by Hummers' method, when both are reduced in the same chamber with hydrazine, chemically converted graphene (CCG) produced from this new method is equivalent in its electrical conductivity. In contrast to Hummers' method, the new method does not generate toxic gas and the temperature is easily controlled. This improved synthesis of GO may be important for large-scale production of GO as well as the construction of devices composed of the subsequent CCG.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,"Graphene sheets offer extraordinary electronic, thermal and mechanical properties and are expected to find a variety of applications. A prerequisite for exploiting most proposed applications for graphene is the availability of processable graphene sheets in large quantities. The direct dispersion of hydrophobic graphite or graphene sheets in water without the assistance of dispersing agents has generally been considered to be an insurmountable challenge. Here we report that chemically converted graphene sheets obtained from graphite can readily form stable aqueous colloids through electrostatic stabilization. This discovery has enabled us to develop a facile approach to large-scale production of aqueous graphene dispersions without the need for polymeric or surfactant stabilizers. Our findings make it possible to process graphene materials using low-cost solution processing techniques, opening up enormous opportunities to use this unique carbon nanostructure for many technological applications.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,"Phonon plays essential roles in dynamical behaviors and thermal properties, which are central topics in fundamental issues of materials science. The importance of first principles phonon calculations cannot be overly emphasized. Phonopy is an open source code for such calculations launched by the present authors, which has been world-widely used. Here we demonstrate phonon properties with fundamental equations and show examples how the phonon calculations are applied in materials science. (C) 2015 Acta Materialia Inc. Published by Elsevier Ltd. This is an open access article under the CC BY license (http://creativecommons.orgilicenses/by/4.0/).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,"An algorithm is presented for carrying out decomposition of electronic charge density into atomic contributions. As suggested by Bader [R. Bader, Atoms in Molecules: A Quantum Theory, Oxford University Press, New York, 1990], space is divided up into atomic regions where the dividing surfaces are at a minimum in the charge density, i.e. the gradient of the charge density is zero along the surface normal. Instead of explicitly finding and representing the dividing surfaces, which is a challenging task, our algorithm assigns each point on a regular (x, y, z) grid to one of the regions by following a steepest ascent path on the grid. The computational work required to analyze a given charge density grid is approximately 50 arithmetic operations per grid point. The work scales linearly with the number of grid points and is essentially independent of the number of atoms in the system. The algorithm is robust and insensitive to the topology of molecular bonding. In addition to two test problems involving a water molecule and NaCl crystal, the algorithm has been used to estimate the electrical activity of a cluster of boron atoms in a silicon crystal. The highly stable three-atom boron cluster, B3I is found to have a charge of -1.5 e, which suggests approximately 50% reduction in electrical activity as compared with three substitutional boron atoms. (c) 2005 Elsevier B.V. All rights reserved.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,"Novel physical phenomena can emerge in low-dimensional nanomaterials. Bulk MoS2, a prototypical metal dichalcogenide, is an indirect bandgap semiconductor with negligible photoluminescence. When the MoS2 crystal is thinned to monolayer, however, a strong photoluminescence emerges, indicating an indirect to direct bandgap transition in this d-electron system. This observation shows that quantum confinement in layered d-electron materials like MoS2 provides new opportunities for engineering the electronic structure of matter at the nanoscale.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,"Accelerating the discovery of advanced materials is essential for human welfare and sustainable, clean energy. In this paper, we introduce the Materials Project (www.materialsproject.org), a core program of the Materials Genome Initiative that uses high-throughput computing to uncover the properties of all known inorganic materials. This open dataset can be accessed through multiple channels for both interactive exploration and data mining. The Materials Project also seeks to create open-source platforms for developing robust, sophisticated materials analyses. Future efforts will enable users to perform ""rapid-prototyping"" of new materials in silico, and provide researchers with new avenues for cost-effective, data-driven materials design. (C) 2013 Author(s).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,"The bone-bonding ability of a material is often evaluated by examining the ability of apatite to form on its surface in a simulated body fluid (SBF) with ion concentrations nearly equal to those of human blood plasma. However, the validity of this method for evaluating bone-bonding ability has not been assessed systematically. Here, the history of SBF, correlation of the ability of apatite to form oil various materials in SBF with their in vivo bone bioactivities, and some examples of the development of novel bioactive materials based on apatite formation in SBF are reviewed. It was concluded that examination of apatite formation on a material in SBF is useful for predicting the in vivo bone bioactivity of a material, and the number of animals used in and the duration of animal experiments call be reduced remarkably by using this method. (c) 2006 Elsevier Ltd. All rights reserved.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,"The surface area of a single graphene sheet is 2630 m(2)/g, substantially higher than values derived from BET surface area measurements of activated carbons used in current electrochemical double layer capacitors. Our group has pioneered a new carbon material that we call chemically modified graphene (CMG). CMG materials are made from 1-atom thick sheets of carbon, functionalized as needed, and here we demonstrate in an ultracapacitor cell their performance, Specific capacitances of 135 and 99 F/g in aqueous and organic electrolytes, respectively, have been measured. In addition, high electrical conductivity gives these materials consistently good performance over a wide range of voltage scan rates. These encouraging results illustrate the exciting potential for high performance, electrical energy storage devices based on this new class of carbon material.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,"Two-dimensional crystals have emerged as a class of materials that may impact future electronic technologies. Experimentally identifying and characterizing new functional two-dimensional materials is challenging, but also potentially rewarding. Here, we fabricate field-effect transistors based on few-layer black phosphorus crystals with thickness down to a few nanometres. Reliable transistor performance is achieved at room temperature in samples thinner than 7.5 nm, with drain current modulation on the order of 10(5) and well-developed current saturation in the I-V characteristics. The charge-carrier mobility is found to be thickness-dependent, with the highest values up to similar to 1,000 cm(2) V-1 s(-1) obtained for a thickness of similar to 10nm. Our results demonstrate the potential of black phosphorus thin crystals as a new two-dimensional material for applications in nanoelectronic devices.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,"The ultimate aim of any detection method is to achieve such a level of sensitivity that individual quanta of a measured entity can be resolved. In the case of chemical sensors, the quantum is one atom or molecule. Such resolution has so far been beyond the reach of any detection technique, including solid-state gas sensors hailed for their exceptional sensitivity(1-4). The fundamental reason limiting the resolution of such sensors is fluctuations due to thermal motion of charges and defects(5), which lead to intrinsic noise exceeding the sought-after signal from individual molecules, usually by many orders of magnitude. Here, we show that micrometre-size sensors made from graphene are capable of detecting individual events when a gas molecule attaches to or detaches from graphene's surface. The adsorbed molecules change the local carrier concentration in graphene one by one electron, which leads to step-like changes in resistance. The achieved sensitivity is due to the fact that graphene is an exceptionally low-noise material electronically, which makes it a promising candidate not only for chemical detectors but also for other applications where local probes sensitive to external charge, magnetic field or mechanical strain are required.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,"Metal halides perovskites, such as hybrid organic-inorganic CH3NH3PbI3, are newcomer optoelectronic materials that have attracted enormous attention as solution-deposited absorbing layers in solar cells with power conversion efficiencies reaching 20%. Herein we demonstrate a new avenue for halide perovskites by designing highly luminescent perovskite-based colloidal quantum dot materials. We have synthesized monodisperse colloidal nanocubes (4-15 nm edge lengths) of fully inorganic cesium lead halide perovskites (CsPbX3, X = Cl, Br, and I or mixed halide systems Cl/Br and Br/I) using inexpensive commercial precursors. Through compositional modulations and quantum size-effects, the bandgap energies and emission spectra are readily tunable over the entire visible spectral region of 410-700 nm. The photoluminescence of CsPbX3 nanocrystals is characterized by narrow emission line-widths of 12-42 nm, wide color gamut covering up to 140% of the NTSC color standard, high quantum yields of up to 90%, and radiative lifetimes in the range of 1-29 ns. The compelling combination of enhanced optical properties and chemical robustness makes CsPbX3 nanocrystals appealing for optoelectronic applications, particularly for blue and green spectral regions (410-530 nm), where typical metal chalcogenide-based quantum dots suffer from photodegradation.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,"The outstanding electrical(1), mechanical(2,3) and chemical(4,5) properties of graphene make it attractive for applications in flexible electronics(6-8). However, efforts to make transparent conducting films from graphene have been hampered by the lack of efficient methods for the synthesis, transfer and doping of graphene at the scale and quality required for applications. Here, we report the roll-to-roll production and wet-chemical doping of predominantly monolayer 30-inch graphene films grown by chemical vapour deposition onto flexible copper substrates. The films have sheet resistances as low as similar to 125 Omega square(-1) with 97.4% optical transmittance, and exhibit the half-integer quantum Hall effect, indicating their high quality. We further use layer-by-layer stacking to fabricate a doped four-layer film and measure its sheet resistance at values as low as similar to 30 Omega square(-1) at similar to 90% transparency, which is superior to commercial transparent electrodes such as indium tin oxides. Graphene electrodes were incorporated into a fully functional touch-screen panel device capable of withstanding high strain.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,"Multicomponent alloys containing several components in equal atomic proportions have been manufactured by casting and melt spinning, and their microstructures and properties have been investigated by a combination of optical microscopy, scanning electron microscopy, electron probe microanalysis, X-ray diffractrometry and microhardness measurements. Alloys containing 16 and 20 components in equal proportions are multiphase, crystalline and brittle both as-cast and after melt spinning. A five component Fe20Cr20Mn20Ni20Co20 alloy forms a single fcc solid solution which solidifies dendritically. A wide range of other six to nine component late transition metal rich multicomponent alloys exhibit the same majority fcc primary dendritic phase, which can dissolve substantial amounts of other transition metals such as Nb, Ti and V More electronegative elements such as Cu and Ge are less stable in the fcc dendrites and are rejected into the interdendritic regions. The total number of phases is always well below the maximum equilibrium number allowed by the Gibbs phase rule, and even further below the maximum number allowed under non-equilibrium solidification conditions. Glassy structures are not formed by casting or melt spinning of late transition metal rich multicomponent alloys, indicating that the confusion principle does not apply, and other factors are more important in promoting glass formation. (C) 2003 Elsevier B.V. All rights reserved.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
