Publication Type,Authors,Title,Abstract,DOI,ID,rule1,rule2,rule3,rule4,rule5,rule6,rule7,rule8,rule9,rule10,rule11,rule12,rule13,rule14,rule15,rule16,rule17,rule18,rule19,rule20,rule21,rule22,rule23,rule24,rule25,rule26,rule27,rule28,rule29,rule30,rule31,rule32
J,"Yu, XZ; Kanazawa, N; Onose, Y; Kimoto, K; Zhang, WZ; Ishiwata, S; Matsui, Y; Tokura, Y",Near room-temperature formation of a skyrmion crystal in thin-films of the helimagnet FeGe,"The skyrmion(1-4), a vortex-like spin-swirling object, is anticipated to play a vital role in quantum magneto-transport processes such as the quantum Hall and topological Hall effects(3,5,6). The existence of the magnetic skyrmion crystal (SkX) state was recently verified experimentally for MnSi and Fe0.5Co0.5Si by means of small-angle neutron scattering(7,8) and Lorentz transmission electron microscopy(9). However, to enable the application of such a SkX for spintronic function, materials problems such as a low crystallization temperature and low stability of SkX have to be overcome. Here we report the formation of SkX close to room temperature in thin-films of the helimagnet FeGe. In addition to the magnetic twin structure, we found a magnetic chirality inversion of the SkX across lattice twin boundaries. Furthermore, for thin crystal plates with thicknesses much smaller than the SkX lattice constant (a(s)) the two-dimensional SkX is quite stable over a wide range of temperatures and magnetic fields, whereas for quasi-three-dimensional films with thicknesses over a(s) the SkX is relatively unstable and observed only around the helical transition temperature. The room-temperature stable SkX state as promised by this study will pave a new path to designing quantum-effect devices based on the controllable skyrmion dynamics.",10.1038/nmat2916,0,yes,no,yes,yes,yes,no,yes,yes,no,yes,yes,no,no,no,no,no,yes,yes,yes,no,no,no,no,yes,yes,yes,yes,yes,yes,yes,,
J,"Zhang, LP; Xia, ZH",Mechanisms of Oxygen Reduction Reaction on Nitrogen-Doped Graphene for Fuel Cells,"Graphene and its derivatives are attractive for electrocatalytical application in fuel cells because of their unique structures and electronic properties. The electrocatalytical mechanism of nitrogen doped graphene in acidic environment was studied by using density functional theory (DFT). The simulations demonstrate that the oxygen reduction reaction (ORR) on N-doped graphene is a direct four-electron pathway, which is consistent with the experimental observations. The energy calculated for each ORR step shows that the ORR can spontaneously occur on the N-graphene. The active catalytical sites on single nitrogen doped graphene are identified, which have either high positive spin density or high positive atomic charge density. The nitrogen doping introduces asymmetry spin density and atomic charge density, making it possible for N-graphene to show high electroncatalytic activities for the ORR.",10.1021/jp201991j,1,yes,yes,no,no,yes,no,yes,no,yes,no,yes,yes,no,yes,no,no,yes,yes,yes,no,yes,no,no,yes,yes,yes,no,no,yes,yes,no,
J,"Aurbach, D; Pollak, E; Elazari, R; Salitra, G; Kelley, CS; Affinito, J","On the Surface Chemical Aspects of Very High Energy Density, Rechargeable Li-Sulfur Batteries","Li(metal)-sulfur (Li-S) systems are among the rechargeable batteries of the highest possible energy density due to the high capacity of both electrodes. The surface chemistry developed on Li electrodes in electrolyte solutions for Li-S batteries was rigorously studied using Fourier transform infrared and X-ray photoelectron spectroscopies. A special methodology was developed for handling the highly reactive Li samples. It was possible to analyze the contribution of solvents such as 1-3 dioxolane, the electrolyte LiN(SO2CF3)(2), polysulfide (Li2Sn), and LiNO3 additives to protective surface films that are formed on the Li electrodes. The role of LiNO3 as a critical component whose presence in solutions prevents a shuttle mechanism that limits the capacity of the sulfur electrodes is discussed and explained herein.",10.1149/1.3148721,2,yes,yes,no,no,yes,no,no,no,yes,no,yes,yes,no,yes,no,no,yes,yes,no,yes,no,no,no,no,no,no,no,no,yes,no,no,
J,"Zhou, C; Zhang, YW; Li, YY; Liu, JP",Construction of High-Capacitance 3D CoO@Polypyrrole Nanowire Array Electrode for Aqueous Asymmetric Supercapacitor,"We have developed a supercapacitor electrode composed of well-aligned CoO nanowire array grown on 3D nickel foam with polypyrrole (PPy) uniformly immobilized onto or firmly anchored to each nanowire surface to boost the pseudocapacitive performance. The electrode architecture takes advantage of the high electrochemical activity from both the CoO and PPy, the high electronic conductivity of PPy, and the short ion diffusion pathway in ordered mesoporous nanowires. These merits together with the elegant synergy between CoO and PPy lead to a high specific capacitance of 2223 F g(-1) approaching the theoretical value, good rate capability, and cycling stability (99.8% capacitance retention after 2000 cycles). An aqueous asymmetric supercapacitor device with a maximum voltage of 1.8 V fabricated by using our hybrid array as the positive electrode and activated carbon film as the negative electrode has demonstrated high energy density (,similar to 43.5 Wh kg(-1)), high power density (similar to 5500 W kg(-1) at 11.8 Wh kg(-1)) and outstanding cycleability (similar to 20 000 times). After charging for only similar to 40 s, two such 4 cm(2) asymmetric supercapacitors connected in series can efficiently power 5 mm diameter red, yellow, and green round LED indicators (lasting for 1 h for red LED) and drive a mini 130 rotation-motor robustly.",10.1021/nl400378j,3,yes,no,no,no,yes,no,no,no,yes,no,yes,yes,no,yes,no,yes,yes,yes,no,yes,no,no,yes,yes,yes,yes,no,no,yes,yes,,
J,"Kelzenberg, MD; Boettcher, SW; Petykiewicz, JA; Turner-Evans, DB; Putnam, MC; Warren, EL; Spurgeon, JM; Briggs, RM; Lewis, NS; Atwater, HA",Enhanced absorption and carrier collection in Si wire arrays for photovoltaic applications,"Si wire arrays are a promising architecture for solar-energy-harvesting applications, and may offer a mechanically flexible alternative to Si wafers for photovoltaics(1-17). To achieve competitive conversion efficiencies, the wires must absorb sunlight over a broad range of wavelengths and incidence angles, despite occupying only a modest fraction of the array's volume. Here, we show that arrays having less than 5% areal fraction of wires can achieve up to 96% peak absorption, and that they can absorb up to 85% of day-integrated, above-bandgap direct sunlight. In fact, these arrays show enhanced near-infrared absorption, which allows their overall sunlight absorption to exceed the ray-optics light-trapping absorption limit(18) for an equivalent volume of randomly textured planar Si, over a broad range of incidence angles. We furthermore demonstrate that the light absorbed by Si wire arrays can be collected with a peak external quantum efficiency of 0.89, and that they show broadband, near-unity internal quantum efficiency for carrier collection through a radial semiconductor/liquid junction at the surface of each wire. The observed absorption enhancement and collection efficiency enable a cell geometry that not only uses 1/100th the material of traditional wafer-based devices, but also may offer increased photovoltaic efficiency owing to an effective optical concentration of up to 20 times.",10.1038/NMAT2635,4,yes,no,no,no,yes,no,yes,yes,no,no,yes,no,no,no,no,yes,yes,yes,yes,no,no,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,
J,"Liang, T; Gibson, Q; Ali, MN; Liu, MH; Cava, RJ; Ong, NP",Ultrahigh mobility and giant magnetoresistance in the Dirac semimetal Cd<sub>3</sub>As<sub>2</sub>,"Dirac and Weyl semimetals are 3D analogues of graphene in which crystalline symmetry protects the nodes against gap formation(1-3). Na3Bi and Cd3As2 were predicted to be Dirac semimetals(4,5), and recently confirmed to be so by photoemission experiments(6-8). Several novel transport properties in a magnetic field have been proposed for Dirac semimetals(2,9-11). Here, we report a property of Cd3As2 that was unpredicted, namely a remarkable protection mechanism that strongly suppresses backscattering in zero magnetic field. In single crystals, the protection results in ultrahigh mobility, 9 x 10(6) cm(2) V-1 s(-1) at 5 K. Suppression of backscattering results in a transport lifetime 10(4) times longer than the quantum lifetime. The lifting of this protection by the applied magnetic field leads to a very large magnetoresistance. We discuss how this may relate to changes to the Fermi surface induced by the applied magnetic field.",10.1038/nmat4143,5,yes,no,yes,yes,no,no,no,no,yes,no,yes,yes,no,no,no,no,yes,yes,yes,no,no,no,yes,yes,yes,no,yes,no,yes,yes,yes,
J,"Sathiya, M; Rousse, G; Ramesha, K; Laisa, CP; Vezin, H; Sougrati, MT; Doublet, ML; Foix, D; Gonbeau, D; Walker, W; Prakash, AS; Ben Hassine, M; Dupont, L; Tarascon, JM",Reversible anionic redox chemistry in high-capacity layered-oxide electrodes,"Li-ion batteries have contributed to the commercial success of portable electronics and may soon dominate the electric transportation market provided that major scientific advances including new materials and concepts are developed. Classical positive electrodes for Li-ion technology operate mainly through an insertion-deinsertion redox process involving cationic species. However, this mechanism is insufficient to account for the high capacities exhibited by the new generation of Li-rich (Li1-xNiyCozMn(1-x- y- z)O2) layered oxides that present unusual Li reactivity. In an attempt to overcome both the inherent composition and the structural complexity of this class of oxides, we have designed structurally related Li2Ru1-ySnyO3 materials that have a single redox cation and exhibit sustainable reversible capacities as high as 230 mA h g(-1). Moreover, they present good cycling behaviour with no signs of voltage decay and a small irreversible capacity. We also unambiguously show, on the basis of an arsenal of characterization techniques, that the reactivity of these high-capacity materials towards Li entails cumulative cationic (Mn+ -> M(n+1)+) and anionic (O2- -> O-2(2-)) reversible redox processes, owing to the d-sp hybridization associated with a reductive coupling mechanism. Because Li2MO3 is a large family of compounds, this study opens the door to the exploration of a vast number of high-capacity materials.",10.1038/NMAT3699,6,yes,no,yes,yes,yes,no,yes,no,yes,yes,yes,yes,no,no,no,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,
J,"Lu, QP; Yu, YF; Ma, QL; Chen, B; Zhang, H",2D Transition-Metal-Dichalcogenide-Nanosheet-Based Composites for Photocatalytic and Electrocatalytic Hydrogen Evolution Reactions,"Hydrogen (H-2) is one of the most important clean and renewable energy sources for future energy sustainability. Nowadays, photocatalytic and electrocatalytic hydrogen evolution reactions (HERs) from water splitting are considered as two of the most efficient methods to convert sustainable energy to the clean energy carrier, H-2. Catalysts based on transition metal dichalcogenides (TMDs) are recognized as greatly promising substitutes for noble-metal-based catalysts for HER. The photocatalytic and electrocatalytic activities of TMD nanosheets for the HER can be further improved after hybridization with many kinds of nanomaterials, such as metals, oxides, sulfides, and carbon materials, through different methods including the in situ reduction method, the hot-injection method, the heating-up method, the hydro(solvo) thermal method, chemical vapor deposition (CVD), and thermal annealing. Here, recent progress in photocatalytic and electrocatalytic HERs using 2D TMD-based composites as catalysts is discussed.",10.1002/adma.201503270,7,yes,no,yes,yes,yes,no,yes,yes,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,no,
J,"Park, JU; Hardy, M; Kang, SJ; Barton, K; Adair, K; Mukhopadhyay, DK; Lee, CY; Strano, MS; Alleyne, AG; Georgiadis, JG; Ferreira, PM; Rogers, JA",High-resolution electrohydrodynamic jet printing,"Efforts to adapt and extend graphic arts printing techniques for demanding device applications in electronics, biotechnology and microelectromechanical systems have grown rapidly in recent years. Here, we describe the use of electrohydrodynamically induced fluid flows through fine microcapillary nozzles for jet printing of patterns and functional devices with submicrometre resolution. Key aspects of the physics of this approach, which has some features in common with related but comparatively low-resolution techniques for graphic arts, are revealed through direct high-speed imaging of the droplet formation processes. Printing of complex patterns of inks, ranging from insulating and conducting polymers, to solution suspensions of silicon nanoparticles and rods, to single-walled carbon nanotubes, using integrated computer-controlled printer systems illustrates some of the capabilities. High-resolution printed metal interconnects, electrodes and probing pads for representative circuit patterns and functional transistors with critical dimensions as small as 1 mu m demonstrate potential applications in printed electronics.",10.1038/nmat1974,8,yes,yes,no,no,yes,no,yes,yes,no,no,yes,no,yes,yes,yes,no,yes,yes,yes,no,no,no,no,yes,yes,yes,yes,no,yes,yes,yes,
J,"Shahil, KMF; Balandin, AA",Graphene-Multilayer Graphene Nanocomposites as Highly Efficient Thermal Interface Materials,"We found that the optimized mixture of graphene and multilayer graphene, produced by the high-yield inexpensive liquid-phase-exfoliation technique, can lead to an extremely strong enhancement of the cross-plane thermal conductivity K of the composite. The ""laser flash"" measurements revealed a record-high enhancement of K by 2300% in the graphene-based polymer at the filler loading fraction f = 10 vol %. It was determined that the relatively high concentration of the single-layer and bilayer graphene flakes (similar to 10-15%) present simultaneously with the thicker multilayers of large lateral size (similar to 1 mu m) were essential for the observed unusual K enhancement. The thermal conductivity of the commercial thermal grease was increased from an initial value of similar to 5.8 W/mK to K = 14 W/mK at the small loading f = 2%, which preserved all mechanical properties of the hybrid. Our modeling results suggest that graphene-multilayer graphene nanocomposite used as the thermal interface material outperforms those with carbon nanotubes or metal nanoparticles owing to graphene's aspect ratio and lower Kapitza resistance at the graphene-matrix interface.",10.1021/nl203906r,9,yes,no,no,no,no,no,no,no,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,
