Publication Type,Authors,Title,Abstract,DOI,ID,rule1,rule2,rule3,rule4,rule5,rule6,rule7,rule8,rule9,rule10,rule11,rule12,rule13,rule14,rule15,rule16,rule17,rule18,rule19,rule20,rule21,rule22,rule23,rule24,rule25,rule26,rule27,rule28,rule29,rule30,rule31
J,"Lee, YH; Zhang, XQ; Zhang, WJ; Chang, MT; Lin, CT; Chang, KD; Yu, YC; Wang, JTW; Chang, CS; Li, LJ; Lin, TW",Synthesis of Large-Area MoS2 Atomic Layers with Chemical Vapor Deposition,,10.1002/adma.201104798,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J,"Peet, J; Kim, JY; Coates, NE; Ma, WL; Moses, D; Heeger, AJ; Bazan, GC",Efficiency enhancement in low-bandgap polymer solar cells by processing with alkane dithiols,"High charge-separation efficiency combined with the reduced fabrication costs associated with solution processing and the potential for implementation on flexible substrates make 'plastic' solar cells a compelling option for tomorrow's photovoltaics. Attempts to control the donor/acceptor morphology in bulk heterojunction materials as required for achieving high power-conversion efficiency have, however, met with limited success. By incorporating a few volume per cent of alkanedithiols in the solution used to spin-cast films comprising a low-bandgap polymer and a fullerene derivative, the power-conversion efficiency of photovoltaic cells (air-mass 1.5 global conditions) is increased from 2.8% to 5.5% through altering the bulk heterojunction morphology. This discovery can potentially enable morphological control in bulk heterojunction materials where thermal annealing is either undesirable or ineffective.",10.1038/nmat1928,1,yes,yes,no,yes,no,no,no,no,yes,no,yes,yes,no,no,no,yes,yes,yes,no,yes,no,no,no,yes,no,no,no,yes,yes,yes,yes
J,"AshaRani, PV; Mun, GLK; Hande, MP; Valiyaveettil, S",Cytotoxicity and Genotoxicity of Silver Nanoparticles in Human Cells,"Silver nanoparticles (Ag-np) are being used increasingly in wound dressings, catheters, and various household products due to their antimicrobial activity. The toxicity of starch-coated silver nanoparticles was studied using normal human lung fibroblast cells (IMR-90) and human glioblastoma cells (U251). The toxicity was evaluated using changes in cell morphology, cell viability, metabolic activity, and oxidative stress. Ag-np reduced ATP content of the cell caused damage to mitochondria and increased production of reactive oxygen species (ROS) in a dose-dependent manner. DNA damage, as measured by single cell gel electrophoresis (SCGE) and cytokinesis blocked micronucleus assay (CBMN), was also dose-dependent and more prominent in the cancer cells. The nanoparticle treatment caused cell cycle arrest in G(2)/M phase possibly due to repair of damaged DNA. Annexin-V propidium iodide (PI) staining showed no massive apoptosis or necrosis. The transmission electron microscopic ITEM) analysis indicated the presence of Ag-np inside the mitochondria and nucleus, implicating their direct involvement in the mitochondrial toxicity and DNA damage. A possible mechanism of toxicity is proposed which involves disruption of the mitochondrial respiratory chain by Ag-np leading to production of ROS and interruption of ATP synthesis, which in turn cause DNA damage. It is anticipated that DNA damage is augmented by deposition, followed by interactions of Ag-np to the DNA leading to cell cycle arrest in the G(2)/M phase. The higher sensitivity of U251 cells and their arrest in G2/M phase could be explored further for evaluating the potential use of Ag-np in cancer therapy.",10.1021/nn800596w,2,yes,no,no,no,yes,no,yes,no,yes,no,yes,yes,yes,yes,no,yes,yes,yes,no,yes,yes,yes,yes,no,yes,yes,no,yes,yes,yes,
J,"Yang, D; Velamakanni, A; Bozoklu, G; Park, S; Stoller, M; Piner, RD; Stankovich, S; Jung, I; Field, DA; Ventrice, CA; Ruoff, RS",Chemical analysis of graphene oxide films after heat and chemical treatments by X-ray photoelectron and Micro-Raman spectroscopy,"Several nanometer-thick graphene oxide films deposited on silicon nitride-on silicon substrates were exposed to nine different heat treatments (three in Argon, three in Argon and Hydrogen, and three in ultra-high vacuum), and also a film was held at 70 degrees C while being exposed to a vapor from hydrazine monohydrate. The films were characterized with atomic force microscopy to obtain local thickness and variation in thickness over extended regions. X-ray photoelectron spectroscopy was used to measure significant reduction of the oxygen content of the films; heating in ultra-high vacuum was particularly effective. The overtone region of the Raman spectrum was used, for the first time, to provide a ""fingerprint"" of changing oxygen content. (C) 2008 Elsevier Ltd. All rights reserved.",10.1016/j.carbon.2008.09.045,3,yes,yes,no,no,no,no,no,no,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,no,yes,yes,yes,no,no,yes,yes,no
J,"Xu, YX; Sheng, KX; Li, C; Shi, GQ",Self-Assembled Graphene Hydrogel <i>via</i> a One-Step Hydrothermal Process,"Self-assembly of two-dimensional graphene sheets is an important strategy for producing macroscopic graphene architectures for practical applications, such as thin films and layered paperlike materials. However, construction of graphene self-assembled macrostructures with three-dimensional networks has never been realized. In this paper, we prepared a self-assembled graphene hydrogel (SGH) via a convenient one-step hydrothermal method. The SGH is electrically conductive, mechanically strong, and thermally stable and exhibits a high specific capacitance. The high-performance SGH with inherent biocompatibility of carbon materials is attractive in the fields of biotechnology and electrochemistry, such as drug-delivery, tissue scaffolds, bionic nanocomposites, and supercapacitors.",10.1021/nn101187z,4,yes,yes,no,yes,yes,no,yes,no,yes,no,yes,yes,no,no,no,yes,yes,yes,yes,no,no,no,no,yes,yes,no,no,yes,yes,yes,yes
J,"Ikeda, S; Miura, K; Yamamoto, H; Mizunuma, K; Gan, HD; Endo, M; Kanai, S; Hayakawa, J; Matsukura, F; Ohno, H",A perpendicular-anisotropy CoFeB-MgO magnetic tunnel junction,"Magnetic tunnel junctions (MTJS) with ferromagnetic electrodes possessing a perpendicular magnetic easy axis are of great interest as they have a potential for realizing next-generation hight-density non-volatile memory and logic chips with high thermal stability and low critical current for current-induced magnetization switching(1-3). To attain perpendicular anisotropy, a number of material system have been explored as electrodes, which include rare-earth/transition-metal alloys(4,5), L1(0)-ordered (Co, Fe)-Pt alloys(3,6,7) and Co/(Pd, Pt) multilayers(1,8-10). However, none of them so far satisfy high thermal stability at reduced dimension, low-current current-induced magnetization switching and high tunnel magnetoresistance ratio all at the same time. Here, we use interfacial perpendicular anisotropy between the ferro-magnetic electrodes and the tunnel barrier of the MTJ by employing the material combination of CoFeB-MgO, a system widely adopted to produce a giant tunnel magnetoresistance ratio in MTJs with in-plane anisotropy(11-13). This approach requires no material other than those used in conventional in-plane-anisotropy MTJs. The perpendicular MTJs consisting of Ta/CoFeB/MgO/CoFeB/Ta show a high tunnel magnetoresistance ratio, over 120%, high thermal stability at dimension as low as 40 nm diameter and a low switching current of 49 mu A.",10.1038/NMAT2804,5,yes,no,no,yes,yes,no,yes,yes,no,no,yes,no,no,no,no,yes,yes,yes,yes,no,no,no,no,yes,yes,yes,yes,yes,yes,yes,
J,"Sun, XM; Liu, Z; Welsher, K; Robinson, JT; Goodwin, A; Zaric, S; Dai, HJ",Nano-Graphene Oxide for Cellular Imaging and Drug Delivery,"Two-dimensional graphene offers interesting electronic, thermal, and mechanical properties that are currently being explored for advanced electronics, membranes, and composites. Here we synthesize and explore the biological applications of nano-graphene oxide (NGO), i.e., single-layer graphene oxide sheets down to a few nanometers in lateral width. We develop functionalization chemistry in order to impart solubility and compatibility of NGO in biological environments. We obtain size separated pegylated NGO sheets that are soluble in buffers and serum without agglomeration. The NGO sheets are found to be photoluminescent in the visible and infrared regions. The intrinsic photoluminescence (PL) of NGO is used for live cell imaging in the near-infrared (NIR) with little background. We found that simple physisorption via pi-stacking can be used for loading doxorubicin, a widely used cancer drug onto NGO functionalized with antibody for selective killing of cancer cells in vitro. Owing to its small size, intrinsic optical properties, large specific surface area, low cost, and useful non-covalent interactions with aromatic drug molecules, NGO is a promising new material for biological and medical applications.",10.1007/s12274-008-8021-8,6,yes,no,no,no,yes,no,yes,no,yes,no,yes,yes,no,no,no,no,yes,yes,no,yes,no,no,no,yes,yes,yes,yes,yes,yes,yes,yes
J,"Thomas, A; Fischer, A; Goettmann, F; Antonietti, M; Müller, JO; Schlögl, R; Carlsson, JM",Graphitic carbon nitride materials: variation of structure and morphology and their use as metal-free catalysts,"Graphitic carbon nitride, g-C3N4, can be made by polymerization of cyanamide, dicyandiamide or melamine. Depending on reaction conditions, different materials with different degrees of condensation, properties and reactivities are obtained. The firstly formed polymeric C3N4 structure, melon, with pendant amino groups, is a highly ordered polymer. Further reaction leads to more condensed and less defective C3N4 species, based on tri-s-triazine (C6N7) units as elementary building blocks. High resolution transmission electron microscopy proves the extended two-dimensional character of the condensation motif. Due to the polymerization-type synthesis from a liquid precursor, a variety of material nanostructures such as nanoparticles or mesoporous powders can be accessed. Those nanostructures also allow fine tuning of properties, the ability for intercalation, as well as the possibility to give surface-rich materials for heterogeneous reactions. Due to the special semiconductor properties of carbon nitrides, they show unexpected catalytic activity for a variety of reactions, such as for the activation of benzene, trimerization reactions, and also the activation of carbon dioxide. Model calculations are presented to explain this unusual case of heterogeneous, metal-free catalysis. Carbon nitride can also act as a heterogeneous reactant, and a new family of metal nitride nanostructures can be accessed from the corresponding oxides.",10.1039/b800274f,7,yes,no,no,yes,no,no,no,no,no,no,yes,no,no,yes,no,no,yes,yes,yes,no,yes,no,no,yes,yes,no,no,no,yes,yes,no
J,"Wang, W; Winkler, MT; Gunawan, O; Gokmen, T; Todorov, TK; Zhu, Y; Mitzi, DB",Device Characteristics of CZTSSe Thin-Film Solar Cells with 12.6% Efficiency,,10.1002/aenm.201301465,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J,"Coey, JMD; Venkatesan, M; Fitzgerald, CB",Donor impurity band exchange in dilute ferromagnetic oxides,"Dilute ferromagnetic oxides having Curie temperatures far in excess of 300 K and exceptionally large ordered moments per transition-metal cation challenge our understanding of magnetism in solids. These materials are high-k dielectrics with degenerate or thermally activated n-type semiconductivity. Conventional super-exchange or double-exchange interactions cannot produce long-range magnetic order at concentrations of magnetic cations of a few percent. We propose that ferromagnetic exchange here, and in dilute ferromagnetic nitrides, is mediated by shallow donor electrons that form bound magnetic polarons, which overlap to create a spin-split impurity band. The Curie temperature in the mean-field approximation varies as (xdelta)(1/2) where x and delta are the concentrations of magnetic cations and donors, respectively. High Curie temperatures arise only when empty minority-spin or majority-spin d states lie at the Fermi level in the impurity band. The magnetic phase diagram includes regions of semiconducting and metallic ferromagnetism, cluster paramagnetism, spin glass and canted antiferromagnetism.",10.1038/nmat1310,9,yes,no,yes,yes,yes,no,yes,yes,no,no,yes,no,no,no,no,no,yes,yes,yes,no,yes,no,yes,yes,yes,no,yes,yes,no,yes,yes
J,"Cococcioni, M; de Gironcoli, S",Linear response approach to the calculation of the effective interaction parameters in the LDA+U method,"In this work we reexamine the LDA+U method of Anisimov and co-workers in the framework of a plane-wave pseudopotential approach. A simplified rotational-invariant formulation is adopted. The calculation of the Hubbard U entering the expression of the functional is discussed and a linear response approach is proposed that is internally consistent with the chosen definition for the occupation matrix of the relevant localized orbitals. In this way we obtain a scheme whose functionality should not depend strongly on the particular implementation of the model in ab initio calculations. We demonstrate the accuracy of the method, computing structural and electronic properties of a few systems including transition and rare-earth correlated metals, transition metal monoxides, and iron silicate.",10.1103/PhysRevB.71.035105,10,yes,yes,no,yes,yes,no,no,no,yes,no,yes,yes,yes,no,no,no,yes,no,no,yes,no,no,no,no,no,no,no,no,no,yes,yes
J,"Becerril, HA; Mao, J; Liu, Z; Stoltenberg, RM; Bao, Z; Chen, Y",Evaluation of solution-processed reduced graphene oxide films as transparent conductors,"Processable, single-layered graphene oxide (GO) is an intriguing nanomaterial with tremendous potential for electronic applications. We spin-coated GO thin-films on quartz and characterized their sheet resistance and optical transparency using different reduction treatments. A thermal graphitization procedure was most effective, producing films with sheet resistances as low as 10(2) - 10(3) Omega/square with 80% transmittance for 550 nm light. Our experiments demonstrate solution-processed GO films have potential as transparent electrodes.",10.1021/nn700375n,11,yes,yes,no,no,yes,no,no,no,yes,no,yes,yes,no,yes,no,yes,yes,yes,yes,no,no,no,yes,yes,yes,yes,no,no,yes,yes,
J,"Brezesinski, T; Wang, J; Tolbert, SH; Dunn, B",Ordered mesoporous α-MoO<sub>3</sub> with iso-oriented nanocrystalline walls for thin-film pseudocapacitors,"Capacitive energy storage is distinguished from other types of electrochemical energy storage by short charging times and the ability to deliver significantly more power than batteries. A key limitation to this technology is its low energy density and for this reason there is considerable interest in exploring pseudocapacitive materials where faradaic mechanisms offer increased levels of energy storage. Here we show that the capacitive charge-storage properties of mesoporous films of iso-oriented alpha-MoO3 are superior to those of either mesoporous amorphous material or non-porous crystalline MoO3. Whereas both crystalline and amorphous mesoporous materials show redox pseudocapacitance, the iso-oriented layered crystalline domains enable lithium ions to be inserted into the van der Waals gaps of the alpha-MoO3. We propose that this extra contribution arises from an intercalation pseudocapacitance, which occurs on the same timescale as redox pseudocapacitance. The result is increased charge-storage capacity without compromising charge/discharge kinetics in mesoporous crystalline MoO3.",10.1038/NMAT2612,12,yes,no,yes,yes,yes,no,yes,no,no,yes,yes,yes,no,no,no,no,yes,yes,yes,no,no,no,no,yes,yes,yes,yes,no,yes,yes,yes
