ID,Abstract,rule1,rule2,rule3,rule4,rule5,rule6,rule7,rule8,rule9,rule10,rule11,rule12,rule13,rule14,rule15,rule16,rule17,rule18,rule19,rule20,rule21,rule22,rule23,rule24,rule25,rule26,rule27,rule28,rule29,rule30,rule31,rule32,rule33
0,"Hierarchical porous nitrogen-doped carbon (HPNC) nanosheets (NS) have been prepared via simultaneous activation and graphitization of biomass-derived natural silk. The as-obtained HPNC-NS show favorable features for electrochemical energy storage such as high specific surface area (S-BET: 2494 m(2)/g), high volume of hierarchical pores (2.28 cm(3)/g), nanosheet structures, rich N-doping (4.7%), and defects. With respect to the multiple synergistic effects of these features, a lithium-ion battery anode and a two-electrode-based supercapacitor have been prepared. A reversible lithium storage capacity of 1865 mA h/g has been reported, which is the highest for N-doped carbon anode materials to the best of our knowledge. The HPNC-NS supercapacitor's electrode in ionic liquid,electrolytes exhibit a capacitane of 242 F/g and energy density of 102 W h/kg (48W h/L), with high cycling life stability (9% loss after 10 000 cycles). Thus, a high-performance Li-ion battery and supercapacitors were successfully assembled for the same electrode material, which was obtained through a one-step and facile large-scale synthesis route. It is promising for next-generation hybrid energy storage and renewable delivery devices.",no,no,no,no,no,no,no,no,yes,yes,yes,yes,no,no,no,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes
1,"By creating nanoscale pores in a layer of graphene, it could be used as an effective separation membrane due to its chemical and mechanical stability, its flexibility and, most importantly, its one-atom thickness. Theoretical studies have indicated that the performance of such membranes should be superior to state-of-the-art polymer-based filtration membranes, and experimental studies have recently begun to explore their potential. Here, we show that single-layer porous graphene can be used as a desalination membrane. Nanometre-sized pores are created in a graphene monolayer using an oxygen plasma etching process, which allows the size of the pores to be tuned. The resulting membranes exhibit a salt rejection rate of nearly 100% and rapid water transport. In particular, water fluxes of up to 10(6) g m(-2) s(-1) at 40 degrees C were measured using pressure difference as a driving force, while water fluxes measured using osmotic pressure as a driving force did not exceed 70 g m(-2) s(-1) atm(-1).",yes,no,no,yes,yes,no,yes,no,no,no,yes,yes,no,no,no,yes,yes,yes,yes,no,no,no,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes
2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,"A central goal of modern materials physics and nanoscience is the control of materials and their interfaces to atomic dimensions. For interfaces between polar and nonpolar layers, this goal is thwarted by a polar catastrophe that forces an interfacial reconstruction. In traditional semiconductors, this reconstruction is achieved by an atomic disordering and stoichiometry change at the interface, but a new option is available in multivalent oxides: if the electrons can move, the atoms do not have to. Using atomic-scale electron energy loss spectroscopy, we have examined the microscopic distribution of charge and ions across the (001) LaAlO3/SrTiO3 interface. We find that there is a fundamental asymmetry between the ionically compensated AlO2/SrO/TiO2 interface, and the electronically compensated AlO2/ LaO/TiO2 interface, both in interfacial sharpness and charge density. This suggests a general strategy to design sharp interfaces, remove interfacial screening charges, control the band offset and, hence, markedly improve the performance of oxide devices.",yes,no,no,yes,yes,no,yes,yes,no,yes,yes,yes,no,no,no,no,yes,yes,yes,no,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes
4,This overview highlights very recent achievements and new trends in one of the most active and developing fields in modern materials science: the production of bulk ultrafine-grained (UFG) materials using severe plastic deformation (SPD). The article also summarizes the chronology of early work in SPD processing and presents clear and definitive descriptions of the terminology currently in use in this research at-ea. Special attention is given to the principles of the various SPD processing techniques as well as the major structural features and unique properties of bulk UFG materials that underlie their prospects for widespread practical utilization.,yes,no,no,yes,no,no,no,no,no,no,yes,yes,no,no,no,no,yes,no,no,yes,no,no,no,yes,yes,yes,no,yes,no,yes,yes,yes,no
5,"Photopolymerized hydrogels are being investigated for a number of tissue engineering applications because of the ability to form these materials in situ in a minimally invasive manner such as by injection. In addition, hydrogels, three-dimensional networks of hydrophilic polymers that are able to swell large amounts of water, can be made to resemble the physical characteristics of soft tissues. Hydrogel materials also generally exhibit high permeability and good biocompatibility making, these materials attractive for use in cell encapsulation and tissue engineering applications. A number of hydrogel materials can be formed via photopolymerization processes mild enough to be carried out in the presence of living cells. This allows one to homogeneously seed cells throughout the scaffold material and to form hydrogels in situ. This review presents advantages of photopolymerization of hydrogels and describes the photoinitiators and materials in current use. Applications of photopolymerized hydrogels in tissue engineering that have been investigated are summarized. (C) 2002 Elsevier Science Ltd. All rights reserved.",yes,no,no,yes,no,no,no,no,no,happy,yes,yes,no,no,no,no,yes,yes,happy,happy,no,no,yes,no,yes,yes,happy,happy,no,yes,yes,yes,happy
6,"Electronics that are capable of intimate, non-invasive integration with the soft, curvilinear surfaces of biological tissues offer important opportunities for diagnosing and treating disease and for improving brain/machine interfaces. This article describes a material strategy for a type of bio-interfaced system that relies on ultrathin electronics supported by bioresorbable substrates of silk fibroin. Mounting such devices on tissue and then allowing the silk to dissolve and resorb initiates a spontaneous, conformal wrapping process driven by capillary forces at the biotic/abiotic interface. Specialized mesh designs and ultrathin forms for the electronics ensure minimal stresses on the tissue and highly conformal coverage, even for complex curvilinear surfaces, as confirmed by experimental and theoretical studies. In vivo, neural mapping experiments on feline animal models illustrate one mode of use for this class of technology. These concepts provide new capabilities for implantable and surgical devices.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,"Carbon nanotube sponges are synthesized by chemical vapor deposition, in which nanotubes are self-assembled into a three-dimensionally interconnected framework. The sponges are very light, highly porous, hydrophobic in pristine form, and can be elastically and reversibly deformed into any shape. The sponges can float on water surfaces and absorb large-area spreading oil films (see images), suggesting promising environmental applications.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,"The potential position of and drivers for inorganic polymers (""geopolymers"") as an element of the push for a sustainable concrete industry are discussed. These materials are alkali-activated aluminosilicates, with a much smaller CO2 footprint than traditional Portland cements, and display very good strength and chemical resistance properties as well as a variety of other potentially valuable characteristics. It is widely known that the widespread uptake of geopolymer technology is hindered by a number of factors, in particular issues to do with a lack of long-term (20+ years) durability data in this relatively young research field. There are also difficulties in compliance with some regulatory standards in Europe and North America, specifically those defining minimum clinker content levels or chemical compositions in cements. Work on resolving these issues is ongoing, with accelerated durability testing showing highly promising results with regard to salt scaling and freeze-thaw cycling. Geopolymer concrete compliance with performance-based standards is comparable to that of most other high-strength concretes. Issues to do with the distinction between geopolymers synthesised for cement replacement applications and those tailored for niche ceramic applications are also discussed. Particular attention is paid to the role of free alkali and silicate in poorly-formulated systems and its deleterious effects on concrete performance, which necessitates a more complete understanding of the chemistry of geopolymerisation for the technology to be successfully applied. The relationship between CO, footprint and composition in comparison with Portland-based cements is quantified. (C) 2007 Elsevier Ltd. All rights reserved.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,"Accurately predicting the lifetime of complex, nonlinear systems such as lithium-ion batteries is critical for accelerating technology development. However, diverse aging mechanisms, significant device variability and dynamic operating conditions have remained major challenges. We generate a comprehensive dataset consisting of 124 commercial lithium iron phosphate/graphite cells cycled under fast-charging conditions, with widely varying cycle lives ranging from 150 to 2,300 cycles. Using discharge voltage curves from early cycles yet to exhibit capacity degradation, we apply machine-learning tools to both predict and classify cells by cycle life. Our best models achieve 9.1% test error for quantitatively predicting cycle life using the first 100 cycles (exhibiting a median increase of 0.2% from initial capacity) and 4.9% test error using the first 5 cycles for classifying cycle life into two groups. This work highlights the promise of combining deliberate data generation with data-driven modelling to predict the behaviour of complex dynamical systems.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,"An effective method to control the rate of perovskite crystallization by incorporating rationally chosen additives into the perovskite precursor solutions is demonstrated. The processing additives simultaneously facilitate nucleation and modulate the kinetics of crystal growth during crystallization, leading to much smoother perovskite morphology with improved coverage area and crystal uniformity. As a result, it enables very high PCE (similar to 12%) planar-heterojunction solar cells to be fabricated through the low-temperature solution processes (under 150 degrees C). This study opens up a new direction for optimizing perovskite active layer properties to expand device performance ceilings.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,"Colloidal-quantum-dot (CQD) optoelectronics offer a compelling combination of solution processing and spectral tunability through quantum size effects. So far, CQD solar cells have relied on the use of organic ligands to passivate the surface of the semiconductor nanoparticles. Although inorganic metal chalcogenide ligands have led to record electronic transport parameters in CQD films, no photovoltaic device has been reported based on such compounds. Here we establish an atomic ligand strategy that makes use of monovalent halide anions to enhance electronic transport and successfully passivate surface defects in PbS CQD films. Both time-resolved infrared spectroscopy and transient device characterization indicate that the scheme leads to a shallower trap state distribution than the best organic ligands. Solar cells fabricated following this strategy show up to 6% solar AM1.5G power-conversion efficiency. The CQD films are deposited at room temperature and under ambient atmosphere, rendering the process amenable to low-cost, roll-by-roll fabrication.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,"Targeted drug delivery vehicles with low immunogenicity and toxicity are needed for cancer therapy. Here we show that exosomes, endogenous nano-sized membrane vesicles secreted by most cell types, can deliver chemotherapeutics such as doxorubicin (Dox) to tumor tissue in BALB/c nude mice. To reduce immunogenicity and toxicity, mouse immature dendritic cells (imDCs) were used for exosome production. Tumor targeting was facilitated by engineering the imDCs to express a well-characterized exosomal membrane protein (Lamp2b) fused to alpha v integrin-specific iRGD peptide (CRGDKGPDC). Purified exosomes from imDCs were loaded with Dox via electroporation, with an encapsulation efficiency of up to 20%. iRGD exosomes showed highly efficient targeting and Dox delivery to am integrin-positive breast cancer cells in vitro as demonstrated by confocal imaging and flow cytometry. Intravenously injected targeted exosomes delivered Dox specifically to tumor tissues, leading to inhibition of tumor growth without overt toxicity. Our results suggest that exosomes modified by targeting ligands can be used therapeutically for the delivery of Dox to tumors, thus having great potential value for clinical applications. (c) 2013 Elsevier Ltd. All rights reserved.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,"Recently there is strong interest in lightweight, flexible, and wearable electronics to meet the technological demands of modern society. Integrated energy storage devices of this type are a key area that is still significantly underdeveloped, Here, we describe wearable power devices using everyday textiles as the platform. With an extremely simple ""dipping and drying"" process using single-walled carbon nanotube (SWNT) ink, we produced highly conductive textiles with conductivity of 125 S cm(-1) and sheet resistance less than 1 Omega/sq. Such conductive textiles show outstanding flexibility and stretchability and demonstrate strong adhesion between the SWNTs and the textiles of interest. Supercapacitors made from these conductive textiles show high areal capacitance, up to 0.48F/cm(2), and high specific energy. We demonstrate the loading of pseudocapacitor materials into these conductive textiles that leads to a 24-fold increase of the areal capacitance of the device. These highly conductive textiles can provide new design opportunities for wearable electronics and energy storage applications.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,"Chitin, extracted primarily from shellfish sources, is a unique biopolymer based on the N-acetyl-glucosamine monomer. More than 40 years have lapsed since this biopolymer had aroused the interest of the scientific community around the world for its potential biomedical applications. Chitin, together with its variants, especially its deacetylated counterpart chitosan, has been shown to be useful as a wound dressing material, drug delivery vehicle and increasingly a candidate for tissue engineering. The promise for this biomaterial is vast and will continue to increase as the chemistry to extend its capabilities and new biomedical applications are investigated. It is interesting to note that a majority of this work has come from Asia. Japan has been the undisputed leader, but other Asian nations, namely Korea, Singapore, Taiwan and Thailand have also. made notable contributions. More recently, China has joined the club to become an increasingly major research source for chitin and chitosan in Asia, This review surveys select works of key groups in Asia developing chitin and chitosan materials for implantable biomedical applications. (C) 2003 Elsevier Science Ltd. All rights reserved.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,"This year, the battery industry celebrates the 25th anniversary of the introduction of the lithium ion rechargeable battery by Sony Corporation. The discovery of the system dates back to earlier work by Asahi Kasei in Japan, which used a combination of lower temperature carbons for the negative electrode to prevent solvent degradation and lithium cobalt dioxide modified somewhat from Goodenough's earlier work. The development by Sony was carried out within a few years by bringing together technology in film coating from their magnetic tape division and electrochemical technology from their battery division. The past 25 years has shown rapid growth in the sales and in the benefits of lithium ion in comparison to all the earlier rechargeable battery systems. Recent work on new materials shows that there is a good likelihood that the lithium ion battery will continue to improve in cost, energy, safety and power capability and will be a formidable competitor for some years to come. (C) The Author(s) 2016. Published by ECS. This is an open access article distributed under the terms of the Creative Commons Attribution 4.0 License (CC BY, http://creativecommons.org/licenses/by/4.0/), which permits unrestricted reuse of the work in any medium, provided the original work is properly cited. All rights reserved.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,"We evaluate the ability of the embedded-atom method (EAM) potentials and the tight-binding (TB) method to predict reliably energies and stability of nonequilibrium structures by taking Cu as a model material. Two EAM potentials are used here. One is constructed in this work by using more fitting parameters than usual and including ab initio energies in the fitting database. The other potential was constructed previously using a traditional scheme. Excellent agreement is observed between ab initio, TB, and EAM results for the energies and stability of several nonequilibrium structures of Cu, as well as for energies along deformation paths between different structures. We conclude that not only TB calculations but also EAM potentials can be suitable for simulations in which correct energies and stability of different atomic configurations are essential, at least for Cu. The bcc, simple cubic, and diamond structures of Cu were identified as elastically unstable, while some other structures (e.g., hcp and 9R) are metastable. As an application of this analysis, nonequilibrium structures of epitaxial Cu films on (001)-oriented fcc or bcc substrates are evaluated using a simple model and atomistic simulations with an EAM potential. In agreement with experimental data, the structure of the film can be either deformed fee or deformed hcp. The bcc structure cannot be stabilized by epitaxial constraints.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,"We compare the results of equilibrium and nonequilibrium methods to compute thermal conductivity. Using Sillinger-Weber silicon as a model system, we address issues related to nonlinear response, thermal equilibration, and statistical averaging. In addition, we present an analysis of finite-size effects and demonstrate how reliable results can be obtained when using nonequilibrium methods by extrapolation to an infinite system size. For the equilibrium Green-Kubo method, we show that results for the thermal conductivity are insensitive to the choice of the definition of local energy from the many-body part of the potential. Finally, we show that the results obtained by the equilibrium and nonequilibrium methods are consistent with each other and for the case of Si are in reasonable agreement with experimental results.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,"One of the most effective methods to achieve high-performance perovskite solar cells has been to include additives that serve as dopants, crystallization agents, or passivate defect sites. Cl-based additives are among the most prevalent in literature, yet their exact role is still uncertain. In this work, we systematically study the function of methylammonium chloride (MACl) additive in formamidinium lead iodide (FAPbI(3))-based perovskite. Using density functional theory, we provide a theoretical framework for understanding the interaction of MACl with a perovskite. We show that MACl successfully induces an intermediate to the pure FAPbI(3) alpha-phase without annealing. The formation energy is related to the amount of incorporated MACl. By tuning the incorporation of MACl, the perovskite film quality can be significantly improved, exhibiting a 6 x increase in grain size, a 3 x increase in phase crystallinity, and a 4.3 x increase in photoluminescence lifetime. The optimized solar cells achieved a certified efficiency of 23.48%.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
