ID,Abstract,rule1,rule2,rule3,rule4,rule5,rule6,rule7,rule8,rule9,rule10,rule11,rule12,rule13,rule14,rule15,rule16,rule17,rule18,rule19,rule20,rule21,rule22,rule23,rule24,rule25,rule26,rule27,rule28,rule29,rule30,rule31,rule32,rule33
0,"Hot deformation behavior of a high-strength steel Docol 1500 Bor was investigated by compression tests on a thermal-mechanical simulator Gleeble 3500. The workability of tested steel was analyzed by building processing maps at three strains based on the test results of flow stresses. The essential deformation mechanism was further studied based on the deformation texture analysis on a scanning electronic microscope with a TSL-OIM (TM) EBSD system. It was found that that strain can affect the workability of the tested steel remarkably. At the engineering strain of 0.6, obvious textures in martensite mainly include recrystallization textures <110>//ND and other texture components <110>//RD and {001} <100>,etc. Dynamic recrystallization and recrystallization texture component <111>//ND in deformed austenite can contribute to increasing the workability of a steel Docol 1500 Bor. Finally, the optimized deformation conditions of the tested steel were obtained.",yes,no,no,no,no,no,yes,no,yes,yes,yes,yes,no,yes,no,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,no,no,no,yes,yes,
1,"TiO2-Co composite powders with various Co contents were prepared by the alloying-recomposition-oxidation-sintering process. For comparison, conventionally mixed TiO2-Co composites with the same compositions were sintered at 1000, 1100, 1200, 1300, and 1400celcius. Structural characterizations were performed using X-ray diffraction, field-emission scanning electron microscopy, energy-dispersive spectroscopy, and transmission electron microscopy. All of the sintered samples were more densified. A melted matrix was observed at a temperature higher than 1300celcius. The flexural strength and the fracture toughness of the TCA sample were higher than those of the conventionally mixed TiO2-Co sample at the same sintering temperature, while the Vickers hardness exhibited the opposite relationship. The flexural strength and the fracture toughness of the TCA sample increased until a Co content of 14 vol%, followed by decrease at 18 vol%, while those of the conventionally mixed TiO2-Co sample increased in the entire Co content range. The highest flexural strength and fracture toughness were observed for T14CA sintered at 1400celcius (161.3 MPa and 6.39 MPa m(-1/2), respectively). Consequently, the desirable Co content in the TiO2-Co composite prepared by the alloying-recomposition-oxidation-sintering process was 14 vol%.",no,happy,happy,no,no,happy,happy,happy,yes,happy,yes,yes,no,yes,no,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,no,no,yes,yes,yes
2,"In this paper, a progressive failure analysis method was developed using the Hashin failure criterion and crack band model. Using the failure criterion, the failure initiation was evaluated. If the failure initiation is occurred, the damage variables at each failure modes (fiber tension & compression, matrix tension & compression) was calculated according to linear softening degradation behavior and the variables are used to derive the damaged stiffness matrix. The damaged stiffness matrix is reflected to damaged material and the progressive failure analysis is continued until the damage variables to be 1 that complete failure of material. A series of processes were performed using FE commercial code ABAQUS with user defined material subroutine (UMAT). To evaluate the proposed progressive failure model, the experimental results of open hole composite laminate tests was compared with numerical result. Using digital image correlation system, the strain behavior also was compared. The proposed numerical results were coincided well with the experimental results.",no,happy,happy,no,no,happy,happy,happy,yes,no,yes,yes,no,no,no,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,happy,happy,no,no,no,yes,yes
3,"In the present study, new Mg-based bulk metallic glasses have been developed in a Mg-Cu-Gd-Nd based system using a Mg-Nd byproduct obtained from the recycling process of NdFeB magnet scrap through liquid metal extraction. The Mg-Cu-Gd-Nd bulk metallic glasses with a diameter of 2 mm are fabricated by injection casting using Mg-Nd byproduct. The compressive fracture strength and total strain are 850 MPa and 1.8%, respectively, for the Mg66.5-xCu28.5GdxNd5 (x=8, 10 at%) bulk metallic glasses. The activation energy of the Mg56.5Cu28.5Gd10Nd5 bulk metallic glass using Mg-Nd byproduct is similar to that of conventional Mg56.5Cu28.5Gd10Nd5 bulk metallic glass using pure elements, indicating that the thermal stability in the supercooled liquid region is similar. From the results, the recycling process for NdFeB magnet scrap can be considered a cost effective method for the formation of Mg-based bulk metallic glasses. It can therefore be concluded that the newly developed Mg-Cu-Gd-Nd bulk metallic glasses using Mg-Nd byproduct obtained from the recycling process of NdFeB magnet scrap have potential for industrial application.",no,no,no,no,no,no,no,no,yes,yes,yes,yes,no,no,no,yes,yes,yes,yes,yes,no,no,yes,no,yes,yes,no,yes,no,yes,yes,yes,yes
4,"Subsequent set pulse in stair-case pulse, which is used to control the cooling process of phase change memory (PCM), is still not enough in-depth exploration. A detailed investigation that the effect of subsequent set pulse on the set resistance distribution is presented. The improper subsequent set pulse amplitude and duration cause the cooling process of phase change material to deviate from the crystallization requirements, which leads to poor set resistance distribution. The optimal cooling current (OCC) can generate a linear decrease of the temperature, it is necessary for optimum crystallization. The thermal simulation suggests that the optimal subsequent set pulse has a similar temperature evolution to OCC. Hence the optimal subsequent set pulse enables minimum resistance, and its amplitudes are from 400 to 80 mu A and each pulse duration is 50 ns.",yes,no,no,no,no,no,yes,no,no,no,yes,yes,no,no,no,no,yes,yes,yes,no,yes,no,yes,yes,yes,yes,yes,yes,no,no,yes,yes,yes
5,"The effect of prior austenite on reversed austenite stability and mechanical properties of Fe-0.06C-0.2Si-5.5Mn-0.4Cr (wt.%) annealed steels was elucidated. With the decrease of austenitizing temperature from 1250 degrees C to 980 degrees C, the prior austenite changed from complete recrystallization to partial recrystallization, and the average austenite size was reduced. The volume fraction of reversed austenite was increased from 26.32 % to 30.25 % because of high density of grain boundaries and dislocations. The martensite transformation temperature of annealed steels was increased from similar to 115 degrees C to similar to 150 degrees C, and both of thermal and mechanical stability of reversed were reduced. There was no significant different in tensile properties, however, the impact toughness was enhanced from 100 J to 180 J at -60 degrees C. The excellent impact toughness in annealed steel (austenitized at 980 degrees C) was obtained because of higher density of high misorientation grain boundaries, more volume fraction of reversed austenite and reduced segregation at grain boundaries.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,"The solidification process and the precipitation behavior of the boron-carbide hard phase comprising a new high-boron high-speed steel were investigated through the combination of phase balance calculations (by Thermo-Calc software) and experimental tests. The results revealed that a primary austenite precipitation reaction (L -> gamma), ternary eutectic reaction (L -> gamma + M-2 (B, C) + M2C), and secondary boron carbide precipitation reaction (gamma -> M (B, C) and gamma -> M-3 (B, C)) occurred during the solidification process of the steel. These reactions occurred at characteristic temperatures of 1350 degrees C, 1220 degrees C, 1100 degrees C, and 1000 degrees C, respectively. The precipitation reaction of primary austenite yielded a primary austenite dendrite and a eutectic structure distributed along the grain boundary. The ternary eutectic reaction products were austenite, M-2 (B, C) and M2C, which were distributed in the grain boundaries in a manner consistent with interdependence and mixed growth. Similarly, the secondary M-3 (B, C) boron carbide, converted from the (Fe, Cr)(3)C carbide, was precipitated from the austenite matrix. The solidification process consisted of four stages: diffusion of alloying elements, aggregation of alloying elements at grain boundaries, nucleation of M-3 (B, C) phases and growth of M-3 (B, C) phases. This new high-boron high-speed steel can be widely used in rolls and other fields where wear resistance is required.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,"An exact, closed form, solution is derived for the non-linear stress distribution in a cracked body under antiplane shear deformation. A generalised, non work-hardening, law is introduced to describe the material behaviour, and the stress and strain fields are derived in closed form. Such a new generalised material law includes the effect of a new parameter, a, which allows the transition from the ideally elastic behaviour (low strain regime) to the pure non-linear behaviour (large strain regime) to be modulated. A discussion is carried out on the features of the new solution and on the behaviour of stresses and strains close to and far away from the crack tip.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,"Featured Application Smart factory, multi-state system, reliability engineering. Abstract This article presents a performance evaluation of a flexible manufacturing system (FMS), in which the system and its components can have different performance levels ranging from perfect functioning to total failure. An original multistate transition process for the FMS's main component, Computerized Numerical Control (CNC) machine tools, proposed in the current article and treated as an aging process because of its increasing failure rate is investigated. The Markov reward approach is utilized to analyze the availability of CNC machine tools and sensitivity analysis of each non-operational state to the machine's downtime. To overcome the ""state explosion problem"" in the subsequent FMS performance evaluation process, an application of the Lz-transform method is proposed to determine the performance evaluation and availability of such aging multistate FMS. An illustrated case is presented to demonstrate the performance evaluation process. The results show that the suggested methods can be implemented in engineering decision making and construction of various aging multistate FMS related to demands, availability, and output performance.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,"BiSmMoO6 microwave ceramics were prepared by solid-phase reaction method using Bi2O3-Sm2O3-MoO3 as raw materials. The rheological properties of the slurry and the microstructure and phase composition of the cast film were characterized. The results show that under the conditions of selecting the alcohol/isopropanol as the solvent, when pH = 6 and the solid phase content is 60% (mass fraction, the same below), and with the additives of the slurry 2% tributyl phosphate dispersant, 8% PVB binder, and 4. 8% polyethylene glycol plasticizer, the casting slurry has excellent rheological properties. After sintering, the cast film is dense in microstructure, and the phase composition does not change compared to the press-formed sample.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
