Publication Type,Authors,Title,Abstract,DOI,ID,rule1,rule2,rule3,rule4,rule5,rule6,rule7,rule8,rule9,rule10,rule11,rule12,rule13,rule14,rule15,rule16,rule17,rule18,rule19,rule20,rule21,rule22,rule23,rule24,rule25,rule26,rule27,rule28,rule29,rule30,rule31
J,"Kim, I; Yuk, JH; Choa, SH",Stretchable 5 GHz Dipole Antenna Using Silver Composite Material,"A highly stretchable small-size 5 GHz dipole antenna is presented for wearable and mobile applications. A stretchable dipole antenna was fabricated using conductive polymer composite material composed of Ag flake filler and polyester binder. The dipole antenna was printed on a stretchable polyurethane substrate using a simple and inexpensive screen-printing technique. The stretchability and durability of the dipole antenna were evaluated by the stretching and cyclic stretching tests. The stretchable dipole antenna showed excellent stretchability and RF performances up to a tensile strain of 25%. The stretchable dipole antenna also exhibited outstanding mechanical durability in the 10,000-cycle cyclic stretching endurance tests.",10.1166/sam.2019.3668,0,yes,yes,no,no,yes,yes,yes,no,yes,no,yes,yes,no,no,yes,yes,yes,yes,no,yes,no,no,yes,yes,no,no,no,no,yes,yes,no
J,"Kobayashi, Y; Naito, M; Sudoh, K; Gentils, A; Bachelet, C; Bourçois, J",Formation of Crystallographically Oriented Metastable Mg<sub>1.8</sub>Si in Mg Ion-Implanted Si,"Metastable hexagonal Mg-Si was synthesized by implanting Mg ion into Si. Single-crystalline Si(111) was irradiated with Mg ions at elevated temperature followed by thermal annealing under vacuum. Microstructural analysis with transmission electron microscopy revealed the formation of precipitates with sizes of several 10 nm in the damaged crystalline Si matrix. Using electron diffraction, the precipitates were identified as Mg1.8Si, and the crystallographic orientation relationship between Mg1.8Si precipitates and Si was determined. The phase stability of Mg1.8Si in the Si matrix is discussed in terms of the internal stress generated during the precipitation process.",10.1021/acs.cgd.9b01002,1,yes,yes,no,no,no,no,no,no,yes,no,yes,yes,no,yes,no,no,yes,yes,no,yes,yes,yes,no,yes,yes,no,no,no,no,yes,no
J,"Kruglovu, AA; Mulyukov, RR; Rudenko, OA; Karimova, AF; Enikeev, FU",Influence of the inclination angle of stiffeners on folding during superplastic forming of corrugated core panels,"Superplastic forming of thin sheet corrugated structures is of special interest in developing aircraft technologies of new generation. The manufacture of such structures includes pressure welding of a package of three sheet blanks, consisting of two outer skin sheets and one inner core blank. The stop-off coating is applied to the inner surfaces of the skin sheets before welding. During superplastic forming of the package, the skin sheets take the form of a die cavity, while the core sheet stretches between the skins to form stiffeners. One of the main problems in manufacturing three-layer structures is known to be the formation of folds on the outer surface of the skins. The paper reports on studies of the influence of the inclination angle of stiffeners on folding. The choice of skin sheets with a thickness exceeding the thickness of the core sheet by 2 - 3 times may prevent the formation of folds. However, when manufacturing the corrugated structures of variable cross-section, such as hollow fan blades of an aircraft engine, the recommended ratio may not always be implemented. Moreover, its performance is limited by the permissible weight of the blade. In the present study, finite element modeling of the process of superplastic forming of three-layer structures made of titanium sheet alloy VT6 (analog of Ti-6Al-4V) is done using ANSYS software. According to the simulation results, it was found that with an increase in the inclination angle of the ribs, the holding time under pressure should be increased.",10.22226/2410-3535-2019-4-433-435,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J,"Lan, BL; Chu, RJ",Disagreement between non-relativistic and relativistic quantum dynamics of a driven electron,"We show, both analytically and numerically, that the non-relativistic and relativistic quantum predictions for the dynamics of a prototypical driven electron - the periodically kicked rotor - do not always agree in the non-relativistic regime. The surprisingly different quantum predictions could be tested experimentally using ultra-cold fermionic atoms in a periodically-pulsed 1D optical lattice. Similar breakdown of agreement should occur for driven quantum systems in general. Since the relativistic theory should be empirically correct, it must be used instead of the approximate non-relativistic theory to correctly study the quantum dynamics of a driven system after the breakdown time, which could lead to important contributions in a wide range of fields from atomic to molecular, chemical and condensed-matter physics.",10.1016/j.rinp.2019.102654,3,yes,yes,no,no,yes,no,yes,yes,no,yes,yes,no,no,yes,no,no,yes,yes,yes,no,yes,no,no,yes,yes,yes,yes,yes,yes,yes,yes
J,"Latibari, AJ; Mohebalian, A; Tajdini, A; Pourmosua, S",The Effect of Chip Size and Alkaline Pre-Hydrolysis Conditions on Following Soda Pulping of Hornbeam Wood,"The impact of chip size and hydrolysis temperature on changing chemical composition of hornbeam wood and following soda pulping is investigated. Three chip sizes, two temperatures (60 and 90 degrees C) and 120 minutes retention time in pre-hydrolysis step were selected. After pre-hydrolysis treatment, the sample was divided into two portions; one third was used for chemical analysis and the other two thirds for soda pulping. The reference soda pulping conditions were used on either treated or untreated chips. The influence of pre-hydrolysis was determined measuring cellulose and lignin content, residual alkali and the hemicelluloses removal. The lignin and cellulose content were marginally increased and the hemicellulose removal was higher at larger chip size. Total yield and rejects, kappa number and strength properties of the unbleached pulp were measured using corresponding Tappi standard test methods. The pulping total yield and rejects of the treated chips varied between 30.31 % and 48.14 % and 0.83 % to 7.31 %, respectively. The reject from soda pulping of untreated chips was 24.16. Prehydrolysis treatment reduced the tensile index, but the tear index was only marginally improved.",10.5552/drvind.2019.1832,4,yes,yes,no,no,yes,no,yes,no,yes,no,yes,yes,yes,no,no,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,no,no,no,yes,yes,no
J,"Lee, WJ; Kim, NK","Effects of Fe doping on perovskite development and dielectric properties of Pb([Zn,Mg]<sub>1/2</sub>W<sub>1/2</sub>)O<sub>3</sub> ceramics","The stabilization of a perovskite structure in yet-unreported Pb(Zn1/2W1/2)O-3 (PZW) was attempted through compositional modification by multiple species of Mg and Fe for Zn. The attempt was accomplished through the substitutions by >= 20 mol% Pb(Mg1/2W1/2)O-3 (PMW) at the presence of additional 20 mol% Pb(Fe2/3W1/3)O-3 (PFW). The perovskite formation yields were 0% (0.8PZW-0.2PFW), 88.3% (0.6PZW-0.2PMW-0.2PFW), and >= 99.7% (virtually completed state) at higher levels of substituent PMW. Lattice parameters of the perovskite structure decreased nearly linearly with increasing fractions of Mg. Developed microstructures of the sintered ceramics mostly revealed well-developed perovskite grains with a multi-faceted polyhedral morphology. Their fracture modes were virtually intergranular. Frequency-dependent dielectric dispersion behaviors, with diffuse modes in the phase transition, were observed at the modified composition range. Values of the maximum dielectric constant increased sharply at an intermediate composition range, whereas corresponding temperatures were comparatively insensitive to the compositional change.",10.1007/s10832-019-00177-4,5,yes,yes,no,no,yes,no,yes,no,yes,no,yes,yes,no,no,no,yes,yes,yes,no,yes,no,no,yes,yes,yes,yes,no,no,yes,yes,no
J,"Lei, Y; Xia, WJ; Yan, HG; Chen, JH; Su, B; Ding, T; Zhao, L; Wu, Q",Warm deformation and strain-hardening behaviors of fine-grained ZK60 alloy sheet,"Tensile flow behaviors of the fine-grained ZK60 alloy sheet are investigated from 298 K to 523 K with strain rates from 10(?1) s(?1) to 10(?3) s(?1). The apparent activation energy tested at 523 K is estimated to be 103 kJ mol(?1), indicating that grain-boundary sliding (GBS) associated with grain boundary diffusion is the dominant deformation mechanism of the fine-grained ZK60 alloy. The effects of deformation temperature and strain rate on the strain-hardening and strain-softening behaviors are analyzed by the K-M approach. The results show that the dislocation proliferation contributes to the hardening process but DRX play an important role in the softening process.",10.1088/2053-1591/ab3ed5,6,yes,yes,no,no,yes,no,yes,no,yes,no,yes,yes,no,no,no,no,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,no,no,yes,no,no
J,"Leithäuser, T; Woizeschke, P",Influence of the Wire Feeding on the Wetting Process during Laser Brazing of Aluminum Alloys with Aluminum-Based Braze Material,"The wetting behavior in laser brazing can be designated as inconstant, caused largely by external process discontinuities such as the wire feeding. To reveal periodic melt pool propagation effects that occur during laser brazing of aluminum and for a better understanding of those effects in laser brazing in general, this paper analyzes high-speed recordings of the brazing process with aluminum alloy. It is demonstrated that two main effects of periodic melt pool behavior in different frequency scales occur during the process, related directly to the wire feeding.",10.3390/jmmp3040083,7,yes,yes,no,no,yes,no,yes,yes,no,no,yes,yes,yes,no,no,no,yes,yes,yes,no,no,no,no,no,yes,yes,no,no,no,yes,
J,"Leng, JF; Xing, LJ; Xu, DL; Wang, K; Ren, YS",Effect of aging treatment on microstructure and mechanical properties of pure aluminum inoculated with Sc Zr element and graphene,"Developing excellent performance conductors with high strength and electrical conductivity is a key issue in the electrical conductor industries. In this paper, an extruded composites containing trace amounts of Sc, Zr and graphene was prepared. Then all samples were extruded into round bars with a final diameter of 6.3 mm. Research results show that the UTS of one stage aging is 1812.7 MPa and the elongation is 21.4%. The hardness increases rapidly from 25.8HB(Brinell hardness) to 69.8HB within the first 12 h when the aging temperature at 280 C. During the secondly stage aging, a peak electrical conductivity of 58.5%IACS(International annealed copper standard, 100%IACS=58.0 MS m(?1)), which is obtained after a secondary aging at 380 C for 48 h. A large number of nano-sized precipitates phase with smaller diameter are uniformly distributed throughout the matrix after aging at 280 C for 24 h. With the increasing of aging time, the size of the precipitates phase increases significantly. This work also provides a good guideline for designing heat-resistant conductors.",10.1088/2053-1591/ab5356,8,yes,yes,no,no,no,no,no,no,yes,no,yes,yes,no,no,no,yes,yes,yes,yes,no,no,no,yes,yes,yes,yes,no,no,yes,no,no
J,"Li, BQ; Ma, YL",Observation on Multiple Wrinkles for a Graphene Thermophoretic Motion System with a Variable Heat Transmission,"This study analyzes a thermophoretic motion system with a variable heat transmission which models the nonlinear wrinkle motions in substrate-supported graphene sheets. Through symbolic computation, the analytic N-soliton solutions are obtained for the system. The N-soliton solutions can be used to describe the multiple wrinkles in graphene sheets. Furthermore, wrinkle propagation and interaction are discussed. Snake-, V- and Z-like wrinkles are observed graphically by choosing the heat transmission function as three specific functions. A collision between wrinkles is elastic. Before and after the collision, wrinkle energy and propagation direction remain unchanged. But at collision points, the energy carried by the larger wrinkles will be subtracted. The research contributes to a deeper understanding to the structures, characteristics and propagation behavior of the wrinkles in the grapheme sheets, and has potential applications in graphene materials.",10.1166/jnn.2019.16772,9,yes,yes,no,no,yes,yes,yes,no,no,no,yes,yes,no,no,no,no,yes,yes,yes,no,no,no,no,yes,yes,yes,yes,no,yes,no,yes
