Publication Type,Authors,Title,Abstract,DOI,ID,rule1,rule2,rule3,rule4,rule5,rule6,rule7,rule8,rule9,rule10,rule11,rule12,rule13,rule14,rule15,rule16,rule17,rule18,rule19,rule20,rule21,rule22,rule23,rule24,rule25,rule26,rule27,rule28,rule29,rule30,rule31,rule32
J,"Park, J; Seo, BK; Park, JI",A Framework for Real-Time 3D Freeform Manipulation of Facial Video,"This paper proposes a framework that allows 3D freeform manipulation of a face in live video. Unlike existing approaches, the proposed framework provides natural 3D manipulation of a face without background distortion and interactive face editing by a user's input, which leads to freeform manipulation without any limitation of range or shape. To achieve these features, a 3D morphable face model is fitted to a face region in a video frame and is deformed by the user's input. The video frame is then mapped as a texture to the deformed model, and the model is rendered on the video frame. Because of the high computational cost, parallelization and acceleration schemes are also adopted for real-time performance. Performance evaluation and comparison results show that the proposed framework is promising for 3D face editing in live video.",10.3390/app9214707,0,yes,yes,no,yes,yes,yes,yes,yes,no,no,yes,no,no,no,no,no,yes,yes,yes,no,no,no,no,yes,yes,yes,yes,yes,no,no,no,
J,"Park, Y; Hyun, S; Hong, YW",A Stochastic Model for Virtual Data Generation of Crack Patterns in the Ceramics Manufacturing Process,"Artificial intelligence with a sufficient amount of realistic big data in certain applications has been demonstrated to play an important role in designing new materials or in manufacturing high-quality products. To reduce cracks in ceramic products using machine learning, it is desirable to utilize big data in recently developed data-driven optimization schemes. However, there is insufficient big data for ceramic processes. Therefore, we developed a numerical algorithm to make ""virtual"" manufacturing data sets using indirect methods such as computer simulations and image processing. In this study, a numerical algorithm based on the random walk was demonstrated to generate images of cracks by adjusting the conditions of the random walk process such as the number of steps, changes in direction, and the number of cracks.",10.4191/kcers.2019.56.6.12,1,yes,no,yes,no,yes,no,yes,no,yes,yes,yes,yes,yes,no,yes,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,yes,yes,
J,"Parlak, S; Tetik, E",Soil Characteristics of Natural Silver Linden (<i>Tilia tomentosa</i> Moench) Populations,"Studies regarding the determination of the ecological characteristics of the natural distribution areas of the silver linden (Tilia tomentosa Moench) are limited. It is of great importance to select areas with similar natural cultivation characteristics in the plantations established for flower or timber production. Physiographical factors affecting these forests were explored to determine the physical and chemical characteristics of the soil. The soil samples were collected from three natural populations, and a total of 43 samples were examined in terms of aspect, elevation, declivity position, and slope. It was determined that the natural linden populations expanded between the altitudes of 0 m and 400 m and 88% of the populations were denser in aspects with shadow. It was found that 91% of the soil was in the class of ""deep to very deep"", 61% showed an expansion in sandy clay loam soils, and 30% showed an expansion in sandy loam soils. Average soil pH ranged between 5.6 and 6.6. The soils were found to be salt-free and slightly limy. In terms of the organic carbon amount, the soils were classified as medium.",10.15376/biores.14.4.9588-9600,2,yes,yes,no,no,yes,no,yes,no,yes,no,yes,yes,yes,no,yes,no,yes,yes,no,yes,no,no,yes,yes,yes,no,no,no,no,no,no,
J,"Paulin, H; Milton, RS; JanakiRaman, S; Chandraprabha, K",Audio-Visual (Multimodal) Speech Recognition System Using Deep Neural Network,"Recognizing the voice of a person by a smart device has become the need of the hour. Our cell phones are equipped with such features that converts speech to text, receives a command as a voice instruction instead of screen touch or pressing of a button. There are numerous intelligent machines such as automatic cars, robots, smart phones that use speech recognition features. These features are also very useful for people who are disabled and cannot use the smart devices with their hands. There are numerous techniques available to implement a speech recognition system. The need of such a system is to accurately recognize human voice at any circumstances, because the accent of each human differs for a single language, and also, the human voice is never devoid of noise and other emotional elements. So, the aim of such systems is to recognize human voices of different accents, even in a noisy environment. Because of this, an effective and robust speech recognition system has become important for machine and human interaction. Much voice-recognizing software depends purely on audio to recognize a voice, and one cannot guarantee that the audio will be noise free. In order to improve the accuracy and performance of traditional speech recognition system in a noisy environment, a new, nontraditional approach called a multimodal speech recognition system that uses both the audio and video features such as lip movement facial expression to recognize a speech is used. This article discusses the advantage of using video features along with the audio features with an experiment that proves it.",10.1520/JTE20180505,3,yes,no,no,yes,yes,no,yes,yes,no,yes,yes,no,no,no,no,no,yes,no,yes,no,no,no,no,no,no,no,no,yes,no,no,no,
J,"Pelliccione, AS; Silva, LS; Silva, FLMC; Silva, OP",Dealuminification of heat exchanger tubes,"This paper presents a failure analysis of heat exchanger tubes manufactured from aluminum bronze. The equipment operates as an intercooler after the first stage compression. The cooling medium was seawater that passed inside the tubes. The investigation involved visual inspection, chemical analysis, metallography, hardness test, scanning electron microscope analysis, and thermal-hydraulic evaluation. The aluminum content of the analyzed tube was higher than the maximum value defined by the design specification ASTM B111 C61400. The high aluminum content promoted gamma(2) phase formation that was preferentially attacked from the tube inner surface. The tubes failed due to dealloying (dealuminification) associated with under-deposit corrosion in regions of higher temperatures and lower seawater velocities.",10.1016/j.engfailanal.2019.07.052,4,yes,yes,no,no,yes,yes,yes,no,yes,no,yes,yes,yes,yes,no,no,yes,yes,no,yes,yes,yes,no,yes,yes,no,no,no,yes,yes,no,
J,"Peng, Y; Yang, JJ; Xie, TP; Li, ZY; Shi, WB",The anchored location of CdS on SiC via organosilane for effective heterogeneous interface design in photocatalysis,"This work demonstrates a new approach to construct a heterogeneous junction by means of the periodic lattice distribution of semiconductor atoms. The organosilane was applied as an anchored coupling agent to connect the semiconductors at both ends, one of which connects SiC and the other connects CdS, and the SiC/M/CdS heterogeneous junction was established. The photocatalytic hydrogen evolution ability of this heterojunction was three times as much as the traditional SiC/CdS composite under visible light. Meanwhile, the uniform interface distribution, prolonged charge-carrier lifetime and minor electron-hole recombination were achieved. The results provide new insights into interface design and offer an indepth understanding with respect to organic-inorganic heterojunction configuration in photocatalysis.",10.1166/mex.2019.1583,5,yes,yes,no,no,yes,yes,yes,no,yes,no,yes,yes,no,no,no,yes,yes,yes,no,yes,no,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,
J,"Perdigon-Lagunes, P; Estevez, O; Zorrilla, C; Ascencio, JA; Herrera-Becerra, R",Structural and Electronic Characterization Through Spectroscopy Analysis of Gd-Gd<sub>2</sub>O<sub>3</sub> Nanoparticles,"Based on the new necessity of residual dispensing of heavy metals (or even more, rare earths) that are part of the composition of multiple electronic components as the cellular phones or computers; this work reports the use of physical processes for taking advantage of elements from the electronic residues. Recycling and processing to generate nanomaterials is an attractive option, because the economic and ecologic perspectives. In this work, Gd-Gd2O3 nanoparticles (through a sonic-chemical method at room temperature assisted with Tannic acid as reduction agent), is reported. The structure characterization was performed over the samples using complementary techniques such as transmission electron microscopy, X-ray diffraction, Raman and infrared spectroscopies. The obtained results are related to self-assembling mechanisms. As a complement, Ultraviolet-visible absorbance data was used to determine some electronic properties such as band structure. Therefore, this work has demonstrated the possibility of synthesizing lanthanide nanoparticles without burning the samples.",10.1166/jnn.2019.16604,6,yes,yes,no,yes,yes,no,yes,yes,no,yes,yes,no,no,yes,no,yes,yes,yes,yes,no,no,no,no,yes,yes,yes,no,yes,no,yes,yes,
J,"Persaud, SY; Arioka, K; Farquharson, K; Dixon, C; Judge, CD",A Mechanistic Study of Carbon Steel Cracking in 360°C Air and Hydrogen Environments,"Thirty percent cold-worked (CW) carbon steel tensile specimens were exposed to 360 degrees C air and hydrogen environments (2 MPa H-2 and 20 MPa H-2) under an applied load to produce intergranular creep cracking. In this study, cutting-edge microscopy techniques were applied to characterize cracking on multiple length scales and in three dimensions. The objective was to develop a better mechanistic understanding of creep cracking in carbon steel, and the known deleterious effect of hydrogen (attack) at the micro-to-nanoscale. Amorphous carbon along the fracture path was observed in all experiments, with evidence for nanoscale cavities/methane bubbles in hydrogen exposures, particularly at cementite-ferrite boundaries. Results suggested that creep or residual stress led to breakdown of cementite to amorphous carbon, cavitation, and/or formation of methane (depending on H-2 content); it is suggested that the combination of deleterious mechanisms leads to initiation and/or acceleration of creep cracking in CW carbon steel. Comparisons are made between the morphology of creep cracking in these laboratory experiments and recent results from characterization of creep cracking in ex-service carbon steel piping from a CANDU nuclear power plant. Although more subtle, similar morphology and chemistry at crack tips in laboratory and ex-service CW carbon steel suggests that the mechanism(s) of creep cracking is similar.",10.5006/3294,7,yes,no,no,yes,yes,no,yes,no,yes,no,yes,yes,no,no,no,no,yes,yes,no,yes,no,no,yes,yes,yes,no,yes,no,yes,yes,,
J,"Phan, VD; Ha, DH; Tran, M; Trang, TT",Ba[Mg<sub>2</sub>Al<sub>2</sub>N<SUP>4</SUP>]Eu<SUP>2+</SUP> PHOSPHOR FOR ENHANCING THE OPTICAL QUALITY OF THE 6600K CPW-LEDs,"Compared with conventional lamps, LED-based light sources have a superior lifetime, efficiency, and reliability, which promise significant reductions in power consumption and pollution from fossil fuel power plants. In this paper, we proposed and investigated the effect of the concentration of Ba[Mg2Al2N4]Eu2+conversion phosphor on the CCT deviation (D-CCT) and lumen output (LO) of the 6600 K conformal-packaging white LEDs (CPW-LEDs). For this purpose, we used the Light Tools and Mat Lab software to investigate this problem. From the research results, we can state that the concentration of the red phosphor has a significant effect on the optical quality of the 6600 K CPW-LEDs. The D-CCT can be decreased from 4700K to 2500K, and the LO can be increased from 600 lm. to 1200 lm. This research can provide the new recommendation for LEDs industry at this time.",,8,yes,yes,no,no,yes,no,yes,no,yes,no,yes,yes,no,yes,no,yes,yes,yes,yes,no,no,no,yes,yes,yes,yes,no,no,yes,yes,,
J,"Pickup, K",The 58th Annual Conference of the British Institute of NDT - NDT 2019,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
