Publication Type,Authors,Title,Abstract,DOI,ID,rule1,rule2,rule3,rule4,rule5,rule6,rule7,rule8,rule9,rule10,rule11,rule12,rule13,rule14,rule15,rule16,rule17,rule18,rule19,rule20,rule21,rule22,rule23,rule24,rule25,rule26,rule27,rule28,rule29,rule30,rule31,rule32
J,"Kitaev, A",Anyons in an exactly solved model and beyond,"A spin-1/2 system on a honeycomb lattice is studied. The interactions between nearest neighbors are of XX, YY or ZZ type, depending on the direction of the link; different types of interactions may differ in strength. The model is solved exactly by a reduction to free fermions in a static Z(2) gauge field. A phase diagram in the parameter space is obtained. One of the phases has an energy gap and carries excitations that are Abelian anyons. The other phase is gapless, but acquires a gap in the presence of magnetic field. In the latter case excitations are non-Abelian anyons whose braiding rules coincide with those of conformal blocks for the Ising model. We also consider a general theory of free fermions with a gapped spectrum, which is characterized by a spectral Chern number nu. The Abelian and non-Abelian phases of the original model correspond to nu = 0 and nu = L respectively. The anyonic properties of excitation depend on nu mod 16, whereas nu itself governs edge thermal transport. The paper also provides mathematical background on anyons as well as an elementary theory of Chern number for quasidiagonal matrices. (c) 2005 Elsevier Inc. All rights reserved.",10.1016/j.aop.2005.10.005,0,yes,yes,no,no,yes,no,yes,no,yes,no,yes,yes,no,no,no,no,yes,yes,no,yes,no,no,yes,yes,yes,yes,yes,no,yes,no,no,
J,"Sjöstrand, T; Mrenna, S; Skands, P",A brief introduction to PYTHIA 8.1,"The PYTHIA program is a standard tool for the generation of high-energy collisions, comprising a coherent set of physics models for the evolution from a few-body hard process to a complex multihadronic final state. It contains a library of hard processes and models for initial-and final-state parton showers, multiple parton-parton interactions, beam remnants, string fragmentation and particle decays. It also has a set of utilities and interfaces to external programs. While previous versions were written in Fortran, PYTHIA 8 represents a complete rewrite in C++. The current release is the first main one after this transition, and does not yet in every respect replace the old code. It does contain some new physics aspects, on the other hand, that should make it an attractive option especially for LHC physics studies.",10.1016/j.cpc.2008.01.036,1,yes,yes,no,yes,yes,no,no,yes,yes,no,yes,yes,no,no,no,no,yes,yes,yes,no,no,no,no,no,yes,yes,no,no,yes,yes,,
J,"Klimes, J; Bowler, DR; Michaelides, A",Van der Waals density functionals applied to solids,"The van der Waals density functional (vdW-DF) of M. Dion et al. [Phys. Rev. Lett. 92, 246401 (2004)] is a promising approach for including dispersion in approximate density functional theory exchange-correlation functionals. Indeed, an improved description of systems held by dispersion forces has been demonstrated in the literature. However, despite many applications, standard general tests on a broad range of materials including traditional ""hard"" matter such asmetals, ionic compounds, and insulators are lacking. Such tests are important not least because many of the applications of the vdW-DF method focus on the adsorption of atoms and molecules on the surfaces of solids. Here we calculate the lattice constants, bulk moduli, and atomization energies for a range of solids using the original vdW-DF and several of its offspring. We find that the original vdW-DF overestimates lattice constants in a similar manner to how it overestimates binding distances for gas-phase dimers. However, some of the modified vdW functionals lead to average errors which are similar to those of PBE or better. Likewise, atomization energies that are slightly better than from PBE are obtained from the modified vdW-DFs. Although the tests reported here are for hard solids, not normally materials for which dispersion forces are thought to be important, we find a systematic improvement in cohesive properties for the alkali metals and alkali halides when nonlocal correlations are accounted for.",10.1103/PhysRevB.83.195131,2,yes,no,yes,yes,yes,no,yes,no,yes,no,yes,yes,yes,no,no,yes,yes,yes,yes,no,no,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,
J,"Park, SH; Roy, A; Beaupré, S; Cho, S; Coates, N; Moon, JS; Moses, D; Leclerc, M; Lee, K; Heeger, AJ",Bulk heterojunction solar cells with internal quantum efficiency approaching 100%,"We report the fabrication and measurement of solar cells with 6% power conversion efficiency using the alternating co-polymer, poly[N-9 ''-hepta-decanyl-2,7-carbazole-alt-5,5-(4',7'-di-2-thienyl-2',1',3'-benzothiadiazole) (PCDTBT) in bulk heterojunction composites with the fullerene derivative [6,6]-phenyl C-70-butyric acid methyl ester (PC70BM). The PCDTBT/PC70BM solar cells exhibit the best performance of any bulk heterojunction system studied to date, with J(SC) = 10.6 mA cm(-2), V-OC = 0.88 V, FF = 0.66 and eta(e) = 6.1% under air mass 1.5 global (AM 1.5 G) irradiation of 100 mW cm(-2). The internal quantum efficiency is close to 100%, implying that essentially every absorbed photon results in a separated pair of charge carriers and that all photogenerated carriers are collected at the electrodes.",10.1038/NPHOTON.2009.69,3,yes,no,no,no,no,no,no,no,yes,no,yes,yes,no,no,no,yes,yes,yes,yes,no,no,no,yes,yes,no,no,no,no,yes,yes,,
J,"Fu, L; Kane, CL; Mele, EJ",Topological insulators in three dimensions,"We study three-dimensional generalizations of the quantum spin Hall (QSH) effect. Unlike two dimensions, where a single Z(2) topological invariant governs the effect, in three dimensions there are 4 invariants distinguishing 16 phases with two general classes: weak (WTI) and strong (STI) topological insulators. The WTI are like layered 2D QSH states, but are destroyed by disorder. The STI are robust and lead to novel ""topological metal"" surface states. We introduce a tight binding model which realizes the WTI and STI phases, and we discuss its relevance to real materials, including bismuth.",10.1103/PhysRevLett.98.106803,4,yes,yes,no,yes,yes,no,yes,yes,no,no,yes,no,no,no,no,no,yes,yes,yes,no,no,no,no,yes,yes,yes,yes,yes,yes,yes,yes,
J,"Vidal, G; Werner, RF",Computable measure of entanglement,"We present a measure of entanglement that can be computed effectively for any mixed state of an arbitrary bipartite system. We show that it does not increase under local manipulations of the system, and use it to obtain a bound on the teleportation capacity and on the distillable entanglement of mixed states.",10.1103/PhysRevA.65.032314,5,yes,yes,no,no,yes,yes,yes,yes,no,no,yes,no,no,no,no,yes,yes,yes,yes,no,no,no,no,no,yes,yes,no,no,no,yes,yes,
J,"Kamaya, N; Homma, K; Yamakawa, Y; Hirayama, M; Kanno, R; Yonemura, M; Kamiyama, T; Kato, Y; Hama, S; Kawamoto, K; Mitsui, A",A lithium superionic conductor,"Batteries are a key technology in modern society(1,2). They are used to power electric and hybrid electric vehicles and to store wind and solar energy in smart grids. Electrochemical devices with high energy and power densities can currently be powered only by batteries with organic liquid electrolytes. However, such batteries require relatively stringent safety precautions, making large-scale systems very complicated and expensive. The application of solid electrolytes is currently limited because they attain practically useful conductivities (10(-2) S cm(-1)) only at 50-80 degrees C, which is one order of magnitude lower than those of organic liquid electrolytes(3-8). Here, we report a lithium superionic conductor, Li(10)GeP(2)S(12) that has a new three-dimensional framework structure. It exhibits an extremely high lithium ionic conductivity of 12 mS cm(-1) at room temperature. This represents the highest conductivity achieved in a solid electrolyte, exceeding even those of liquid organic electrolytes. This new solid-state battery electrolyte has many advantages in terms of device fabrication (facile shaping, patterning and integration), stability (non-volatile), safety (non-explosive) and excellent electrochemical properties (high conductivity and wide potential window)(9-11).",10.1038/NMAT3066,6,yes,no,yes,yes,no,no,no,no,no,yes,yes,no,no,no,no,yes,yes,yes,yes,no,no,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,
J,"Jiang, Q; Zhao, Y; Zhang, XW; Yang, XL; Chen, Y; Chu, ZM; Ye, QF; Li, XX; Yin, ZG; You, JB",Surface passivation of perovskite film for efficient solar cells,"In recent years, the power conversion efficiency of perovskite solar cells has increased to reach over 20%. Finding an effective means of defect passivation is thought to be a promising route for bringing further increases in the power conversion efficiency and the open-circuit voltage (V-oc) of perovskite solar cells. Here, we report the use of an organic halide salt phenethylammonium iodide (PEAI) on HC(NH2)(2)-CH3NH3 mixed perovskite films for surface defect passivation. We find that PEAI can form on the perovskite surface and results in higher-efficiency cells by reducing the defects and suppressing non-radiative recombination. As a result, planar perovskite solar cells with a certificated efficiency of 23.32% (quasi-steady state) are obtained. In addition, a V-oc as high as 1.18 V is achieved at the absorption threshold of 1.53 eV, which is 94.4% of the Shockley-Queisser limit V-oc (1.25 V).",10.1038/s41566-019-0398-2,7,yes,yes,no,yes,yes,no,yes,yes,no,no,yes,yes,no,no,no,yes,yes,yes,yes,no,no,no,yes,yes,yes,no,no,yes,yes,yes,,
J,"Horcajada, P; Chalati, T; Serre, C; Gillet, B; Sebrie, C; Baati, T; Eubank, JF; Heurtaux, D; Clayette, P; Kreuz, C; Chang, JS; Hwang, YK; Marsaud, V; Bories, PN; Cynober, L; Gil, S; Férey, G; Couvreur, P; Gref, R",Porous metal-organic-framework nanoscale carriers as a potential platform for drug delivery and imaging,"In the domain of health, one important challenge is the efficient delivery of drugs in the body using non-toxic nanocarriers. Most of the existing carrier materials show poor drug loading (usually less than 5 wt% of the transported drug versus the carrier material) and/or rapid release of the proportion of the drug that is simply adsorbed (or anchored) at the external surface of the nanocarrier. In this context, porous hybrid solids, with the ability to tune their structures and porosities for better drug interactions and high loadings, are well suited to serve as nanocarriers for delivery and imaging applications. Here we show that specific non-toxic porous iron(III)-based metal-organic frameworks with engineered cores and surfaces, as well as imaging properties, function as superior nanocarriers for efficient controlled delivery of challenging antitumoural and retroviral drugs (that is, busulfan, azidothymidine triphosphate, doxorubicin or cidofovir) against cancer and AIDS. In addition to their high loadings, they also potentially associate therapeutics and diagnostics, thus opening the way for theranostics, or personalized patient treatments.",10.1038/NMAT2608,8,yes,no,yes,yes,yes,no,yes,yes,no,yes,yes,no,no,no,no,no,yes,yes,yes,no,no,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,
J,"He, ZC; Zhong, CM; Su, SJ; Xu, M; Wu, HB; Cao, Y",Enhanced power-conversion efficiency in polymer solar cells using an inverted device structure,"Polymer-fullerene bulk heterojunction solar cells (PSCs) are currently attracting a great deal of attention and gaining increasing importance, having already shown great promise as renewable, lightweight and low-cost energy sources(1-4). Recently, the power-conversion efficiency of state-of-the-art PSCs has exceeded 8% in the scientific literature(5). However, to find viable applications for this emerging photovoltaic technology, further enhancements in the efficiency towards 10% (the threshold for commercial applications) are urgently required(6). Here, we demonstrate highly efficient PSCs with a certified efficiency of 9.2% using an inverted structure, which simultaneously offers ohmic contact for photogenerated charge-carrier collection and allows optimum photon harvest in the device. Because of the ease of use and drastic boost in efficiency provided by this device structure, this discovery could find use in fully exploiting the potential of various material systems, and also open up new opportunities to improve PSCs with a view to achieving an efficiency of 10%.",10.1038/NPHOTON.2012.190,9,yes,no,yes,yes,yes,no,yes,yes,no,yes,yes,no,no,no,no,yes,yes,yes,yes,no,no,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,
