ID,Abstract,rule1,rule2,rule3,rule4,rule5,rule6,rule7,rule8,rule9,rule10,rule11,rule12,rule13,rule14,rule15,rule16,rule17,rule18,rule19,rule20,rule21,rule22,rule23,rule24,rule25,rule26,rule27,rule28,rule29,rule30,rule31,rule32,rule33
0,"A new hybrid density functional for general chemistry applications is proposed. It is based on a mixing of standard generalized gradient approximations (GGAs) for exchange by Becke (B) and for correlation by Lee, Yang, and Parr (LYP) with Hartree-Fock (HF) exchange and a perturbative second-order correlation part (PT2) that is obtained from the Kohn-Sham (GGA) orbitals and eigenvalues. This virtual orbital-dependent functional contains only two global parameters that describe the mixture of HF and GGA exchange (a(x)) and of the PT2 and GGA correlation (c), respectively. The parameters are obtained in a least-squares-fit procedure to the G2/97 set of heat of formations. Opposed to conventional hybrid functionals, the optimum a(x) is found to be quite large (53% with c=27%) which at least in part explains the success for many problematic molecular systems compared to conventional approaches. The performance of the new functional termed B2-PLYP is assessed by the G2/97 standard benchmark set, a second test suite of atoms, molecules, and reactions that are considered as electronically very difficult (including transition-metal compounds, weakly bonded complexes, and reaction barriers) and comparisons with other hybrid functionals of GGA and meta-GGA types. According to many realistic tests, B2-PLYP can be regarded as the best general purpose density functional for molecules (e.g., a mean absolute deviation for the two test sets of only 1.8 and 3.2 kcal/mol compared to about 3 and 5 kcal/mol, respectively, for the best other density functionals). Very importantly, also the maximum and minium errors (outliers) are strongly reduced (by about 10-20 kcal/mol). Furthermore, very good results are obtained for transition state barriers but unlike previous attempts at such a good description, this definitely comes not at the expense of equilibrium properties. Preliminary calculations of the equilibrium bond lengths and harmonic vibrational frequencies for diatomic molecules and transition-metal complexes also show very promising results. The uniformity with which B2-PLYP improves for a wide range of chemical systems emphasizes the need of (virtual) orbital-dependent terms that describe nonlocal electron correlation in accurate exchange-correlation functionals. From a practical point of view, the new functional seems to be very robust and it is thus suggested as an efficient quantum chemical method of general purpose.",yes,no,no,yes,yes,no,no,yes,yes,yes,yes,yes,yes,no,no,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,
1,"The ternary iron arsenide BaFe2As2 becomes superconducting by hole doping, which was achieved by partial substitution of the barium site with potassium. We have discovered bulk superconductivity at T-c = 38 K in (Ba1-xKx)Fe2As2 with x approximate to 0.4. The parent compound BaFe2As2 crystallizes in the tetragonal ThCr2Si2-type structure, which consists of (FeAs)(delta-) iron arsenide layers separated by Ba2+ ions. BaFe2As2 is a poor metal and exhibits a spin density wave anomaly at 140 K. By substituting Ba2+ for K+ ions we have introduced holes in the (FeAs)(-) layers, which suppress the anomaly and induce superconductivity. The T-c of 38 K in (Ba0.6K0.4)Fe2As2 is the highest in hole doped iron arsenide superconductors so far. Therefore, we were able to expand this class of superconductors by oxygen-free compounds with the ThCr2Si2-type structure.",yes,no,no,no,no,no,yes,no,yes,yes,yes,yes,no,no,no,yes,yes,yes,yes,yes,no,no,yes,no,no,yes,yes,yes,yes,yes,yes,yes,yes
2,"A broad review of fundamental electronic properties of two-dimensional graphene with the emphasis on density and temperature-dependent carrier transport in doped or gated graphene structures is provided. A salient feature of this review is a critical comparison between carrier transport in graphene and in two-dimensional semiconductor systems (e. g., heterostructures, quantum wells, inversion layers) so that the unique features of graphene electronic properties arising from its gapless, massless, chiral Dirac spectrum are highlighted. Experiment and theory, as well as quantum and semiclassical transport, are discussed in a synergistic manner in order to provide a unified and comprehensive perspective. Although the emphasis of the review is on those aspects of graphene transport where reasonable consensus exists in the literature, open questions are discussed as well. Various physical mechanisms controlling transport are described in depth including long-range charged impurity scattering, screening, short-range defect scattering, phonon scattering, many-body effects, Klein tunneling, minimum conductivity at the Dirac point, electron-hole puddle formation, p-n junctions, localization, percolation, quantum-classical crossover, midgap states, quantum Hall effects, and other phenomena.",yes,no,no,yes,yes,no,yes,no,no,no,yes,yes,no,no,no,no,yes,yes,yes,no,yes,no,yes,yes,yes,yes,yes,yes,no,yes,no,yes,yes
3,"Graphene, a two-dimensional monolayer of sp(2)-bonded carbon atoms, has been attracting great interest due to its unique transport properties. One of the promising applications of graphene is as a transparent conductive electrode owing to its high optical transmittance and conductivity. In this paper, we report on an improved transfer process of large-area graphene grown on Cu foils by chemical vapor deposition. The transferred graphene films have high electrical conductivity and high optical transmittance that make them suitable for transparent conductive electrode applications. The improved transfer processes will also be of great value for the fabrication of electronic devices such as field effect transistor and bilayer pseudospin field effect transistor devices.",yes,yes,no,no,no,no,no,no,no,no,yes,yes,no,no,no,no,yes,yes,yes,no,no,no,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes
4,"We review various modified gravities considered as gravitational alternative for dark energy. Specifically, we consider the versions of f(R), f(G) or f(R, G) gravity, model with non-linear gravitational coupling or string-inspired model with Gauss-Bonnet-dilaton coupling in the late universe where they lead to cosmic speed-up. It is shown that some of such theories may pass the Solar System tests. On the same time, it is demonstrated that they have quite rich cosmological structure: they may naturally describe the effective (cosmological constant, quintessence or phantom) late-time era with a possible transition from decceleration to acceleration thanks to gravitational terms which increase with scalar curvature decrease. The possibility to explain the coincidence problem as the manifestation of the universe expansion in such models is mentioned. The late (phantom or quintessence) universe filled with dark fluid with inhomogeneous equation of state (where inhomogeneous terms are originated from the modified gravity) is also described.",yes,no,no,yes,no,no,no,no,yes,yes,yes,yes,no,no,no,no,yes,yes,yes,no,no,no,yes,yes,yes,yes,yes,yes,no,no,no,yes,yes
5,"To realize graphene-based electronics, various types of graphene are required; thus, modulation of its electrical properties is of great importance. Theoretic studies show that intentional doping is a promising route for this goal, and the doped graphene might promise fascinating properties and widespread applications. However, there is no experimental example and electrical testing of the substitutionally doped graphene up to date. Here, we synthesize the N-doped graphene by a chemical vapor deposition (CVD) method. We find that most of them are few-layer graphene, although single-layer graphene can be occasionally detected. As doping accompanies with the recombination of carbon atoms into graphene in the CVD process, N atoms can be substitutionally doped into the graphene lattice, which is hard to realize by other synthetic methods. Electrical measurements show that the N-doped graphene exhibits an n-type behavior, indicating substitutional doping can effectively modulate the electrical properties of graphene. Our finding provides a new experimental instance of graphene and would promote the research and applications of graphene.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Raman spectroscopy is here shown to provide a powerful tool to differentiate between two different sp(2) carbon nanostructures (carbon nanotubes and graphene) which have many properties in common and others that differ. Emphasis is given to the richness of both carbon nanostructures as prototype examples of nanostructured materials. A glimpse toward future developments in this held is presented.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,"Invertible local transformations of a multipartite system are used to define equivalence classes in the set of entangled states. This classification concerns the entanglement properties of a single copy of the state. Accordingly, we say that two states have the same kind of entanglement if both of them can be obtained from the other by means of local operations and classical communication (LOCC) with nonzero probability. When applied to pure states of a three-qubit system, this approach reveals the existence of two inequivalent kinds of genuine tripartite entanglement, for which the Greenberger-Horne-Zeilinger state and a W state appear as remarkable representatives. In particular, we show that the Wstate retains maximally bipartite entanglement when any one of the three qubits is traced out. We generalize our results both to the case of higher-dimensional subsystems and also to more than three subsystems, for all of which we show that, typically, two randomly chosen pure states cannot be converted into each other by means of LOCC, not even with a small probability of success.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,"Wurtzitic ZnO is a wide-bandgap (3.437 eV at 2 K) semiconductor which has many applications, such as piezoelectric transducers, varistors, phosphors, and transparent conducting films. Most of these applications require only polycrystalline material; however, recent successes in producing large-area single crystals have opened up the possibility of producing blue and W light emitters, and high-temperature, high-power transistors. The main advantages of ZnO as a light emitter are its large exciton binding energy (60 meV), and the existence of well-developed bulk and epitaxial growth processes; for electronic applications, its attractiveness lies in having high breakdown strength and high saturation velocity. optical UV lasing, at both low and high temperatures, has already been demonstrated. although efficient electrical lasing must await the further development of good, p-type material. ZnO is also much more resistant to radiation damage than are other common semiconductor materials? such as Si, GaAs, CdS, and even GaN; thus, it should be useful for space applications. (C) 2001 Elsevier Science B.V. All rights reserved.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,"Combining equilibrium and nonequilibrium molecular dynamics simulations with accurate carbon potentials, we determine the thermal conductivity lambda of carbon nanotubes and its dependence on temperature. Our results suggest an unusually high value, lambda approximate to 6600 W/m K, for an isolated (10, 10) nanotube at room temperature, comparable to the thermal conductivity of a hypothetical isolated graphene monolayer or diamond. Our results suggest that these high values of lambda are associated with the large phonon mean free paths in these systems; substantially lower values are predicted and observed for the basal plane of bulk graphite.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
