Publication Type,Authors,Title,Abstract,DOI,ID,rule1,rule2,rule3,rule4,rule5,rule6,rule7,rule8,rule9,rule10,rule11,rule12,rule13,rule14,rule15,rule16,rule17,rule18,rule19,rule20,rule21,rule22,rule23,rule24,rule25,rule26,rule27,rule28,rule29,rule30,rule31
J,"Goodman, J; Weare, J",ENSEMBLE SAMPLERS WITH AFFINE INVARIANCE,We propose a family of Markov chain Monte Carlo methods whose performance is unaffected by affine tranformations of space. These algorithms are easy to construct and require little or no additional computational overhead. They should be particularly useful for sampling badly scaled distributions. Computational tests show that the affine invariant methods can be significantly faster than standard MCMC methods on highly skewed distributions.,10.2140/camcos.2010.5.65,0,yes,yes,no,no,yes,yes,yes,yes,no,no,yes,no,no,no,no,no,yes,yes,yes,no,no,no,no,yes,yes,yes,yes,no,no,yes,yes
J,"Marzari, N; Mostofi, AA; Yates, JR; Souza, I; Vanderbilt, D",Maximally localized Wannier functions: Theory and applications,"The electronic ground state of a periodic system is usually described in terms of extended Bloch orbitals, but an alternative representation in terms of localized ""Wannier functions"" was introduced by Gregory Wannier in 1937. The connection between the Bloch and Wannier representations is realized by families of transformations in a continuous space of unitary matrices, carrying a large degree of arbitrariness. Since 1997, methods have been developed that allow one to iteratively transform the extended Bloch orbitals of a first-principles calculation into a unique set of maximally localized Wannier functions, accomplishing the solid-state equivalent of constructing localized molecular orbitals, or ""Boys orbitals"" as previously known from the chemistry literature. These developments are reviewed here, and a survey of the applications of these methods is presented. This latter includes a description of their use in analyzing the nature of chemical bonding, or as a local probe of phenomena related to electric polarization and orbital magnetization. Wannier interpolation schemes are also reviewed, by which quantities computed on a coarse reciprocal-space mesh can be used to interpolate onto much finer meshes at low cost, and applications in which Wannier functions are used as efficient basis functions are discussed. Finally the construction and use of Wannier functions outside the context of electronic-structure theory is presented, for cases that include phonon excitations, photonic crystals, and cold-atom optical lattices.",10.1103/RevModPhys.84.1419,1,yes,yes,no,yes,yes,no,no,no,yes,no,yes,yes,no,no,no,no,no,no,no,no,yes,no,no,no,no,yes,no,no,yes,no,no
J,"Gladman, AS; Matsumoto, EA; Nuzzo, RG; Mahadevan, L; Lewis, JA",Biomimetic 4D printing,"Shape-morphing systems can be found in many areas, including smart textiles(1), autonomous robotics(2), biomedical devices(3), drug delivery(4) and tissue engineering(5). The natural analogues of such systems are exemplified by nastic plant motions, where a variety of organs such as tendrils, bracts, leaves and flowers respond to environmental stimuli (such as humidity, light or touch) by varying internal turgor, which leads to dynamic conformations governed by the tissue composition and microstructural anisotropy of cell walls(6-10). Inspired by these botanical systems, we printed composite hydrogel architectures that are encoded with localized, anisotropic swelling behaviour controlled by the alignment of cellulose fibrils along prescribed four-dimensional printing pathways. When combined with a minimal theoretical framework that allows us to solve the inverse problem of designing the alignment patterns for prescribed target shapes, we can programmably fabricate plant-inspired architectures that change shape on immersion in water, yielding complex three-dimensional morphologies.",10.1038/NMAT4544,2,yes,no,yes,yes,no,no,no,no,yes,no,yes,yes,no,no,no,no,no,no,no,yes,no,no,no,no,yes,no,no,no,yes,yes,yes
J,"Cowan, G; Cranmer, K; Gross, E; Vitells, O",Asymptotic formulae for likelihood-based tests of new physics,"We describe likelihood-based statistical tests for use in high energy physics for the discovery of new phenomena and for construction of confidence intervals on model parameters. We focus on the properties of the test procedures that allow one to account for systematic uncertainties. Explicit formulae for the asymptotic distributions of test statistics are derived using results of Wilks and Wald. We motivate and justify the use of a representative data set, called the ""Asimov data set"", which provides a simple method to obtain the median experimental sensitivity of a search or measurement as well as fluctuations about this expectation.",10.1140/epjc/s10052-011-1554-0,3,yes,yes,no,yes,yes,yes,yes,yes,no,no,yes,no,yes,no,no,no,no,no,no,no,yes,yes,no,yes,yes,no,no,no,yes,yes,
J,"Degen, CL; Reinhard, F; Cappellaro, P",Quantum sensing,"Quantum sensing describes the use of a quantum system, quantum properties, or quantum phenomena to perform a measurement of a physical quantity. Historical examples of quantum sensors include magnetometers based on superconducting quantum interference devices and atomic vapors or atomic clocks. More recently, quantum sensing has become a distinct and rapidly growing branch of research within the area of quantum science and technology, with the most common platforms being spin qubits, trapped ions, and flux qubits. The field is expected to provide new opportunities-especially with regard to high sensitivity and precision-in applied physics and other areas of science. This review provides an introduction to the basic principles, methods, and concepts of quantum sensing from the viewpoint of the interested experimentalist.",10.1103/RevModPhys.89.035002,4,yes,no,yes,yes,yes,no,yes,yes,no,no,yes,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,yes,yes,no,yes,yes,no
J,"Raccichini, R; Varzi, A; Passerini, S; Scrosati, B",The role of graphene for electrochemical energy storage,"Since its first isolation in 2004, graphene has become one of the hottest topics in the field of materials science, and its highly appealing properties have led to a plethora of scientific papers. Among the many affected areas of materials science, this ` graphene fever' has influenced particularly the world of electrochemical energy-storage devices. Despite widespread enthusiasm, it is not yet clear whether graphene could really lead to progress in the field. Here we discuss the most recent applications of graphene both as an active material and as an inactive component - from lithium-ion batteries and electrochemical capacitors to emerging technologies such as metal-air and magnesium-ion batteries. By critically analysing state-of-the-art technologies, we aim to address the benefits and issues of graphene-based materials, as well as outline the most promising results and applications so far.",10.1038/nmat4170,5,yes,no,yes,yes,yes,no,yes,yes,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,yes
J,"Girishkumar, G; McCloskey, B; Luntz, AC; Swanson, S; Wilcke, W",Lithium - Air Battery: Promise and Challenges,"The lithium-air system captured worldwide attention in 2009 as a possible battery for electric Vehicle propulsion applications. If successfully loped, 7 this battery could provide an energy source for electric vehicles rivaling that of gasoline in terms of usable energy density. However, there are numerous scientific and technical challenges that must be overcome if this alluring promise is to turn into reality. The fundamental battery chemistry during discharge is thought to be the evidence that the oxidation of lithium metal, at the anode and reduction of Oxygen from the.,. With aprotic electrolytes, as used in Li-ion batteries, there is some evidence that the process can be reversed by applying an external Potential, i.e., that such a battery can be electrically recharged. This paper summarizes the authors' view of the promise and challenges facing development of practical Li-air batteries and the current understanding, of its chemistry. However, it Must be appreciated that this' perspective represents only a snapshot in a very rapidly evolving picture.",10.1021/jz1005384,6,yes,no,no,yes,no,no,no,no,no,no,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,yes,yes,no
J,"Taylor, J; Guo, H; Wang, J",<i>Ab initio</i> modeling of quantum transport properties of molecular electronic devices -: art. no. 245407,"We report on a self-consistent ab initio technique for modeling quantum transport properties of atomic and molecular scale nanoelectronic devices under external bias potentials. The technique is based on density functional theory using norm conserving nonlocal pseudopotentials to define the atomic core and nonequilibrium Green's functions (NEGF's) to calculate the charge distribution. The modeling of an open device system is reduced to a calculation defined on a finite region of space using a screening approximation. The interaction between the device scattering region and the electrodes is accounted for by self-energies within the NEGF formalism. Our technique overcomes several difficulties of doing first principles modeling of open molecular quantum coherent conductors. We apply this technique to investigate single wall carbon nanotubes in contact with an Al metallic electrode. We have studied the current-voltage characteristics of the nanotube-metal interface from first principles. Our results suggest that there are two transmission eigenvectors contributing to the ballistic conductance of the interface, with a total conductance G approximate toG(0) where G(0)=2e(2)/h is the conductance quanta. This is about half of the expected value for infinite perfect metallic nanotubes.",10.1103/PhysRevB.63.245407,7,yes,yes,no,yes,yes,no,yes,yes,no,no,yes,no,yes,no,no,no,yes,yes,yes,no,no,no,yes,yes,yes,yes,yes,no,yes,yes,yes
J,"Strogatz, SH",From Kuramoto to Crawford: exploring the onset of synchronization in populations of coupled oscillators,"The Kuramoto model describes a large population of coupled limit-cycle oscillators whose natural frequencies are drawn from some prescribed distribution. If the coupling strength exceeds a certain threshold, the system exhibits a phase transition: some of the oscillators spontaneously synchronize, while others remain incoherent. The mathematical analysis of this bifurcation has proved both problematic and fascinating. We review 25 years of research on the Kuramoto model, highlighting the false turns as well as the successes, but mainly following the trail leading from Kuramoto's work to Crawford's recent contributions. It is a lovely winding road, with excursions through mathematical biology, statistical physics, kinetic theory, bifurcation theory, and plasma physics. (C) 2000 Elsevier Science B.V. All rights reserved.",10.1016/S0167-2789(00)00094-4,8,yes,yes,no,yes,no,no,no,no,no,no,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,yes,yes
J,"Kind, H; Yan, HQ; Messer, B; Law, M; Yang, PD",Nanowire ultraviolet photodetectors and optical switches,"Highly sensitive nanowire switches have been created using ZnO nanowires. The light-induced conductivity increase, which is extremely sensitive to ultraviolet light, allows the reversibly switching of the nanowires between the ""OFF"" and ""ON"" states by an optical gating phenomenon analogous to the commonly used electrical gating. The Figure shows a field-emission SEM image of a 60 nm ZnO nanowire bridging four Au electrodes.",10.1002/1521-4095(20020116)14:2<158::AID-ADMA158>3.0.CO;2-W,9,yes,yes,no,no,no,no,no,no,yes,no,yes,yes,no,yes,no,no,yes,yes,yes,no,no,no,yes,yes,yes,no,no,no,yes,yes,
