ID,Abstract,rule1,rule2,rule3,rule4,rule5,rule6,rule7,rule8,rule9,rule10,rule11,rule12,rule13,rule14,rule15,rule16,rule17,rule18,rule19,rule20,rule21,rule22,rule23,rule24,rule25,rule26,rule27,rule28,rule29,rule30,rule31,rule32,rule33
0,"Light Emitting Diodes (LED) are highly energy efficient and offer long-life times for display applications. Long life and minimal energy consumption are often the most attractive advantages for electronic devices. Because LEDs are based on compound semiconductors, which explore the direct transition between the conduction and valance band edges, thermal energy loss can be minimized during operation. However, even though these types of LEDs are based on direct transition type semiconductors, thermal energy is still emitted during operation owing to forward conduction and reverse leakage currents. This research proposes capturing this energy loss through thermoelectric module-based energy recycling methods to improve the energy efficiency of LED applications, achieving savings of up to 18%. Additional analysis was performed on high power LED sources resulting in the manufacture of a high-power LED light grid system.",yes,no,yes,no,yes,no,yes,no,yes,no,yes,yes,no,no,no,yes,yes,yes,yes,no,no,no,yes,yes,no,yes,no,yes,no,no,yes,yes,yes
1,"We study the stability and dynamics of traveling-front solutions of a modified Kuramoto-Sivashinsky equation arising in the modeling of nanoscale ripple patterns that form when a nominally flat solid surface is bombarded with a broad ion beam at an oblique angle of incidence. Structurally, the linearized operators associated with these fronts have unstable essential spectrum-corresponding to instability of the spatially asymptotic states - and stable point spectrum-corresponding to stability of the transition profile of the front. We show that these waves are linearly orbitally asymptotically stable in appropriate exponentially weighted spaces. While the technical device of exponential weights allows us to accommodate the unstable essential spectrum of individual waves in our linear analysis, it does not shed light on the long-time pattern formation that is observed experimentally and in numerical simulations. To begin to address this issue, we consider a periodic array of unstable front and back solutions. While not an exact solution of the governing equation, this periodic pattern mimics experimentally observed phenomena. Our numerical experiments suggest that the convecting instabilities associated with each individual wave are damped as they pass through transition layers and that this stabilization mechanism underlies the pattern formation seen in experiments. (C) 2019 Elsevier B.V. All rights reserved.",yes,no,no,no,no,no,yes,no,yes,yes,yes,yes,no,no,no,no,yes,yes,yes,no,yes,no,yes,yes,yes,yes,yes,yes,no,yes,no,yes,yes
2,"This study proposes a simple and low-cost method of improving the photoresponse properties of ZnO nanorods by selecting optimal seed layer type and precursor concentration, which are parameters significantly influencing growth rate and morphology. When 0.025 M aqueous precursor solution was used, the obtained ZnO nanorods exhibited an improved vertical orientation and growth rate, showing directional growth along the (002) plane, as confirmed by field emission scanning electron microscopy. Moreover, ZnO nanorods (NR1) obtained on the seed layer prepared by oxidation of Zn films exhibited the faster growth rate than those (NR2) synthesized on the seed layer prepared by spin-coating method due to having access to a sufficient amount of Zn2+ ions. The ZnO nanorods obtained at a precursor concentration of 0.025 M exhibited the highest photocurrent, dark current, and photoresponsivity, with the photoresponsivity and photosensitivity of ZnO NR1 exceeding those of ZnO NR2, owing to the larger surface area.",yes,no,no,no,yes,no,yes,yes,yes,no,yes,yes,no,yes,no,yes,yes,yes,yes,no,no,no,yes,yes,yes,yes,yes,yes,no,no,no,yes,yes
3,"Magnesium hydride has a high hydrogen storage capacity (7.6 wt.%), and is cheap and lightweight, thus advantageous as a hydrogen storage alloy. However, Mg-based hydrides undergo hydrogenation/dehydrogenation at high temperature and pressure due to their thermodynamic stability and high oxidation reactivity. Various attempts have been made to lower the reaction rate and dehydrogenation temperature by adding transition elements (e.g., Ti, Fe, Co, Ni, Ce), metal oxides, and intermetallic compounds to overcome these shortcomings. On the other hand, carbon materials have been mainly studied in the field of hydrogen storage with high specific surface area and lightweight properties; however, results show that they cannot store a large amount of hydrogen. Recently, it has been theoretically reported that carbon materials act as adsorbents in hydrogen storage. This study focuses on the hydrogenation behavior of MgHx-CaO and MgHx-CaO-MWCNT composites prepared by hydrogen-induced mechanical alloying, and investigates the properties of these composite materials.",yes,no,yes,yes,no,no,yes,no,no,no,yes,yes,no,no,no,no,yes,no,no,yes,no,no,yes,no,no,yes,yes,no,yes,no,yes,yes,yes
4,"A small-area composite-varactor-based digitally tunable capacitor operated with positive and negative control voltages is proposed to remove several drawbacks resulting from the metal-insulator-metal (MIM) capacitor of the conventional switched capacitor array (SCA). It was constructed with several composite-varactor branches in parallel, each of which consists of p-type (P+/Pwell) and n-type (N+/Nwell) accumulation-mode varactors in a cascode configuration. The optimum ratio of the channel width between p-type and n-type accumulation-mode varactors was investigated through the simulation in order to maximize a quality factor (Q-factor) of the tunable capacitor at the maximum capacitance (C-MAX) state. The number of composite-varactor unit in each branch was designed to be binary-weighted, and the total capacitance can vary linearly by digitally turning on and off both varactors. It was firstly implemented in 65-nm bulk CMOS process, and showed comparable tuning range, Q-factor, and harmonic distortion performances while reducing the silicon area by half and eliminating the MIM capacitor in comparison with the conventional SCA. In the measurement, the proposed tunable capacitor showed a Q-factor of 60.3 at C-MAX state and a tuning range of 2.8 at 2 GHz frequency band. In addition, it was perfectly capable of handling a high power signal up to 0 dBm with excellent second and third-order harmonic distortion of greater than 70 dBc at the minimum capacitance (C-MIN) state and 77 dBc at C-MAX state.",yes,no,no,yes,yes,no,yes,yes,no,yes,yes,yes,no,no,no,yes,yes,yes,yes,no,no,no,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes
5,Fluctuation relations such as the Jarzynski equality provide general statements about thermodynamic variables and have been used to infer free energy from nonequilibrium measurements. Here we utilize model-specific fluctuation relations derived from corresponding stochastic dynamical equations to study systems whose thermodynamics have not been well-understood. We detail steps of known frameworks to obtain specific forms of fluctuation relations for examples governed by non-Markovian Langevin dynamics and spatial temperature heterogeneity. We show related simple approximations in a system obeying Tsallis nonextensive statistical mechanics and propose efficient design features for biomolecular machines. (C) 2019 Published by Elsevier B.V.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,"We examine the meandering instability for prismatic lattices formed from triangles, squares and hexagons using a nearest neighbor kinetic Monte Carlo model. In the first two cases, which are Bravais lattices, we find that facets with the orientation favored in the equilibrium shape of isolated islands are most prone to this instability, while the analogous facet for the hexagonal lattice is the least unstable. We argue that this is due to a significant difference in the reconstructed/equilibrium versus the non-reconstructed edge energy for non-Bravais crystals. Surface/edge energy is typically modeled as a single-valued function of orientation. We put forward a simple geometric argument that suggests this picture is inadequate for crystals with a non-Bravais lattice structure. In the case of a hexagonally structured lattice, our arguments indicate that the non-reconstructed edge energy can be viewed as both discontinuous and multi-valued for a subset of orientations that are commensurate with the crystal structure. We support these conclusions with density functional theory calculations that also reveal multivalued surface energies for the set of singular orientations.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,We consider singular self-adjoint extensions of one-dimensional Schrodinger operator acting in space of two-component wave functions within the framework of the distribution theory (Kurasov 1996 J. Math. Anal. Appl. 201 297). We show that among C-4-parameter subset compatible with the spin interpretation of the two-component structure of wave function. They can be identified as the point-like spin-momentum (Rashba) interactions. We suggest their physical realizations based on the regularized form of the Hamiltonian with coupling of the electrical field inhomogeneity of a background and spin of a carrier.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,"Al6061/Cu and Al6063/Cu cladding materials have been produced by the caliber-rolling process at 298 K. The prepared specimen was post-annealed at a temperature of 773 K for various time durations, and the effects of annealing conditions have been investigated. Vickers hardness of Al6061, Al6063 and Cu decreases as annealing time decreases; however, that of the interface between Al alloys and Cu increases with an annealing time of 1 h, and then decreases as annealing time increases further. The growth of a diffusion layer in Al6063/Cu is larger than that in Al6061/Cu, because the activation energy in the Al6063/Cu is lower than that in Al6061/Cu during the annealing process. Cracking of the diffusion layer occurs by annealing for extended periods of time in both materials, which contributes to the decrease in hardness.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,"This study deals with analysing students? causal reasoning when tackling electric current in transitory situations in introductory physics courses. We emphasise the types of reasoning students use in explanations at macroscopic and microscopic levels, as this knowledge is helpful for designing and implementing novel teaching approaches, which help articulate macroscopic and microscopic levels of description. Two open-ended questions were used to analyse students? reasoning, with emphasis on explanations. As seen in the obtained results, an important percentage of students are not able to correctly interpret phenomena in simple transitory current states. Their explanations can be categorised into two general categories. The first one is based on relational causal reasoning and the second one is a form of reasoning that excludes current flow in transitory state processes. We look at several aspects that have barely been mentioned in previous research at university level related to the topic of transitory current in circuits, such as possible difficulties with complex reasoning and the type of reasoning students use when they establish macro-micro relationships.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
