Publication Type,Authors,Title,Abstract,DOI,ID,rule1,rule2,rule3,rule4,rule5,rule6,rule7,rule8,rule9,rule10,rule11,rule12,rule13,rule14,rule15,rule16,rule17,rule18,rule19,rule20,rule21,rule22,rule23,rule24,rule25,rule26,rule27,rule28,rule29,rule30,rule31
J,"Xu, C; Hui, PM",Emergence of cooperation in finite populations under biased selection,"We study the effects of biased selection on evolutionary games in finite populations. Biased selection is induced by including a number of invariant agents, who do not evolve, into an otherwise competing and evolving population. The invariant agents react differently when they encounter different types of variant agents, helping the cooperators to attain a higher payoff than the defectors by a difference d. The probability of a single cooperator invading and taking over a population of all defectors is evaluated based on the Moran process. When M invariant agents are introduced into the evolving population of size N, their presence helps promote the replacement of defectors by cooperators, in comparison with the case of unbiased selection with M = 0. While the prisoner's dilemma cannot sustain a cooperative population without the invariant agents, it is possible for cooperation to emerge with biased selection. We show that for a given N (M), there is a threshold of M (N) above (below) which an initial population of all defectors evolve into one of all cooperators. The dependence of the threshold on the game's payoffs, intensity of selection, and the values of M and d is studied. Beyond the prisoner's dilemma, biased selection also promotes cooperation in a bigger part of payoff parameter space corresponding to other types of games. (C) 2019 Elsevier B.V. All rights reserved.",10.1016/j.physa.2019.122371,0,yes,yes,no,no,yes,no,yes,no,yes,yes,yes,yes,no,no,no,no,yes,yes,no,yes,yes,yes,no,yes,yes,yes,no,yes,no,yes,yes
J,"Xu, H; Ouyang, JM; Wang, SW; Liu, Y; Sun, X",Impact of atmospheric ionization by delayed radiation from high-altitude nuclear explosions on radio communication,"In this study, we investigated the motion, shape, and delayed radiation intensity of a radioactive cloud by establishing a volume-source model of delayed radiation after high-altitude nuclear explosions. Then, the spatial distribution of electron number density at different moments on the north side of the explosion point generated by delayed gamma-rays and delayed beta-rays from the radioactive cloud under the influence of the geomagnetic field was calculated by solving chemical reaction kinetics equations. The impact of radio communication in the different frequency bands on the process of atmospheric ionization was also studied. The numerical results of the high-altitude nuclear explosion (120 km high and with a 1 megaton equivalent at 40 degrees N latitude) indicated that the peak of electron number density ionized delayed gamma-rays is located at a height of approximately 100 km and that of electron number density ionized delayed beta-rays is about 90 km high. After 1 min of explosion, the radio communication in the medium frequency (MF) and high-frequency (HF) bands was completely interrupted, and the energy attenuation of the radio wave in the very high-frequency (VHF) band was extremely high. Five minutes later, the VHF radio communication was basically restored, but the energy attenuation in the HF band was still high. After 30 min, the VHF radio communication returned to normal, but its influence on the HF and MF radio communication continued.",10.1007/s41365-019-0703-2,1,yes,yes,no,no,yes,no,yes,no,yes,no,yes,yes,no,no,no,no,yes,yes,no,yes,no,no,yes,yes,yes,yes,no,no,yes,yes,
J,"Xue, PP; Li, GL; Cao, JP; Hao, K; Yang, T; Yang, WL",Exact solution of the <i>A</i><sub>2</sub><SUP>(2)</SUP> model with non-diagonal boundary reflections,"The exact solution of the A(2)((2)) model (or the Izergin-Korepin model) with non-diagonal boundary reflections of the type I is studied by using the off-diagonal Bethe ansatz method. The complete operator product identities of the transfer matrices are obtained with the help of fusion. Based on them and the asymptotic behaviors as well as the values at special points, the inhomogeneous T - Q relations of the system are constructed. The method and the results in this paper can be generalized to the high rank A(n)((2)) case directly. (C) 2019 Elsevier Inc. All rights reserved.",10.1016/j.aop.2019.167994,2,yes,yes,no,no,yes,no,yes,no,yes,no,yes,yes,no,no,no,no,yes,no,no,yes,no,no,no,no,no,yes,no,no,yes,yes,no
J,"Yakovlev, PA; Anikin, AS; Bol'shakova, OA; Gasnikov, AV; Gornov, AY; Ermak, TV; Makarenko, DV; Morozov, VP; Neterebskii, BO",Local Algorithms for Minimizing the Force Field for 3D Representation of Macromolecules,"The majority of problems in structural computational biology require minimization of the energy function (force field) defined on the molecule geometry. This makes it possible to determine properties of molecules, predict the correct arrangement of protein chains, find the best molecular docking for complex formation, verify hypotheses concerning the protein design, and solve other problems arising in modern drug development. In the case of low-molecular compounds (consisting of less than 250 atoms), the problem of finding the geometry that minimizes the energy function is well studied. The minimization of macromolecules (in particular, proteins) consisting of tens of thousands of atoms is more difficult. However, a distinctive feature of statements of these problems is that initial approximations that are close to the solution are often available. Therefore, the original problem can be formulated as a problem of nonconvex optimization in the space of about variables. The complexity of computing the function and its gradient is quadratic in the number variables. A comparative analysis of gradient-free methods with gradient-type methods (gradient descent, fast gradient descent, conjugate gradient, and quasi-Newton methods) in their GPU implementations is carried out.",10.1134/S0965542519120030,3,yes,yes,no,yes,yes,no,yes,yes,no,no,yes,yes,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
J,"Yan, YD; Guo, LH; Zeng, CG",Coexistence of many-body effects at the LaAlO<sub>3</sub>/SrTiO<sub>3</sub> interface,"Complicated interactions among many particles can bring about diverse many-body phenomena which are the core content of condensed matter physics. Here, we perform tunneling measurements in metal/LaAlO3/SrTiO3 junctions, which exhibit coexistence of three types of many-body effects in a single system. These effects are the Kondo resonance, superconductivity, and the Altshuler?Aronov effect, which can be effectively tuned by temperature, magnetic field, and electrostatic gating. Our results suggest that the two-dimensional electron system at the LaAlO3/SrTiO3 interface may provide an ideal platform for exploiting emergent interactions among rich physical ingredients, such as electron?electron correlation, disorder, magnetic moments, and Cooper pairing.",10.7567/1347-4065/ab55b0,4,yes,yes,no,no,yes,no,yes,yes,no,no,yes,yes,no,yes,no,no,yes,yes,yes,no,no,no,no,no,yes,yes,no,yes,yes,yes,
J,"Yanagihara, K; Murakami, K; Miura, N",Low-voltage DC electroluminescent device using semiconductive band barriers with Cu<sub>2</sub>O,"To improve the efficiency of a DC Electroluminescent (DC-EL) device, we investigated the reduction of the driving voltage while maintaining the stability of the DC-EL device in this study. Mechanisms for both the current control and hot-electron generation under low voltage were embedded in the device. Usage of a p-Cu2O thick film with high-performance electrical properties for the formation of two semiconductive band barriers in series achieved these functions. The n-ZnO/p-Cu2O controlled current, and the p-Cu2O/n-ZnS:Mn generated hot electrons. The electrical characteristics of each junction demonstrated those of the p?n junction, and the driving voltage was divided into both the junctions. 98% of the driving voltage was applied to the hot-electron generation junction. Electroluminescence was obtained at approximately 20V, because the local electric field at the junction accelerated electrons. Although the luminance was insufficient, it has been inferred that such a device structure is effective in decreasing driving voltage.",10.7567/1347-4065/ab5264,5,yes,no,no,no,yes,yes,yes,no,yes,no,yes,yes,no,no,no,no,yes,yes,no,yes,no,no,yes,yes,yes,yes,no,no,yes,yes,yes
J,"Yang, T; Shi, C; Wang, LQ; Chen, X; Pan, HY; Chen, H; Zhang, M; Zhang, ZG",Fiber Nonlinearity and Tight Filtering Impairments Mitigation of DP-16QAM Nyquist-WDM Systems Using Multiplier-Free MAP Detection,"Tight filtering and fiber Kerr effect both cause severe pattern-dependent distortions that need to be combated to achieve higher spectral efficiency (SE), larger capacity and greater achievable transmission distance in the next generation wavelength division multiplex (WDM) optical transmission system. In this paper, a novel multiplier-free maximum-a-posteriori-probability (MAP) detection scheme is proposed and verified in dual-polarization (DP) 16-ary quadrature amplitude modulation (16-QAM) Nyquist-WDM systems. Based on the innovative technique of approximate calculation of Euclidean distance, the competitive performance is obtained in terms of pattern-dependent impairments mitigation. Besides, the computational complexity (CC) is drastically reduced to about 34%, as the multiplier of the proposed MAP detection is completely removed. Comprehensive simulation results of triple-carrier Nyquist DP 16-QAM demonstrate that the MAP scheme could effectively mitigate the tight filtering and fiber nonlinearity impairments with much lower CC, i.e., achieve desirable SE and nonlinearity tolerance in long-haul transmissions. In addition, a 1.1 dB reduction of the required OSNR and 2.6 dB launch power range extension are observed in the triple-carrier 480 Gb/s Nyquist DP 16-QAM back-to-back and 700 km transmission experiments, respectively. The advantages of the proposed low-complexity MAP scheme make it a preferable impairment mitigation technique for practical Nyquist-WDM systems.",10.1109/JPHOT.2019.2947459,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J,"Yasuma, A; Okada, S; Gao, YL; Maruyama, M",Energetics and electronic structures of N-doped graphene nanoribbons with pyridinic and graphitic edges,"Using the density functional theory, we study the energetics and electronic structures of graphene nanoribbons of which edges are substituted by N atoms. Our calculations showed that the edge N atoms with pyridinic structure mimic the ? environment of C atoms, participating the ? electron network of C atoms. In contrast, N atoms act as impurities for the ? electron network of the nanoribbons when they are terminated by H atoms, leading to versatile edge localized state those are hardly synthesized using C and H atoms. The total energy of N-doped nanoribbons is the same as that of the pristine graphene nanoribbons, irrespective of the edge hydrogenation, and gradually decreases with increasing nanoribbon width. We also found that the edge hydrogenation decrease and increase the stability of the N-doped graphene nanoribbons with armchair and zigzag edges, respectively.",10.7567/1347-4065/ab5254,7,yes,yes,no,no,no,yes,yes,no,yes,no,yes,yes,no,no,no,no,yes,yes,no,yes,no,yes,yes,yes,yes,no,no,no,no,yes,yes
J,"Yukalov, VI",Superradiance by ferroelectrics in cavity resonators,"A theory is presented showing that, under appropriate conditions, a ferroelectric in a cavity resonator can emit superradiant pulses. Initially, the ferroelectric has to be prepared in a nonequilibrium state from which it relaxes emitting a coherent pulse in the infrared region. Polarization dipolar waves play the role of the triggering mechanism initiating the beginning of the process.",10.1088/1555-6611/ab4bc4,8,yes,yes,no,no,yes,yes,yes,no,yes,no,yes,yes,no,yes,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,yes,yes
J,"Zhang, JL; Lyu, JY",Helicity amplitude analysis of ψ(3686) → γχ<i><sub>cJ</sub></i> → γ<i>p</i>(<i>p</i>)over-bar,"A helicity amplitude analysis for the processes psi(3686) -> gamma chi(cJ) -> gamma p (p) over bar is performed. The joint angular distributions for these processes are obtained, which allows a proper estimation of the detection efficiency using helicity amplitude information. The helicity amplitudes parameters for chi(c1,2) -> p (p) over bar are also obtained using measured alpha values for the first time. In addition, the sensitivities of measurements of the helicity amplitudes parameters for these processes are discussed based on the MC simulation. (C) 2019 The Authors. Published by Elsevier B.V.",10.1016/j.nuclphysb.2019.114805,9,yes,yes,no,no,yes,no,yes,no,yes,no,yes,yes,no,no,no,no,yes,no,no,yes,no,no,no,no,no,no,no,no,no,yes,no
