Rule,Z-statistic,P-value
rule1,7.03422969484992,2.003648203385933e-12
rule2,9.897869609733371,4.2523664661531446e-23
rule3,-3.4239162038466078,0.0006172565104069421
rule4,6.529370729474161,6.604658707073495e-11
rule5,1.7047045082045047,0.0882495486384235
rule6,1.0936520894184925,0.27410759443595445
rule7,0.7450203021748852,0.4562594467014216
rule8,10.558853380902919,4.6227386329997424e-26
rule9,-8.186993500841616,2.6783262960366955e-16
rule10,-3.699043188024894,0.00021641377709158614
rule11,6.092811929455336,1.1094437738574295e-09
rule12,-3.30869101111532,0.0009373322160050808
rule13,4.1668460804168905,3.08842876195111e-05
rule14,-7.513530746142216,5.755361789654379e-14
rule15,-5.370826642913361,7.837652722515545e-08
rule16,-4.713185368367955,2.4387415695397967e-06
rule17,-1.1645437138065375,0.24420373888121616
rule18,-2.033403786111473,0.042011745153579194
rule19,12.066990411628762,1.5780040737506682e-33
rule20,-10.674556336429639,1.3389559922787427e-26
rule21,-10.205332803602058,1.8767663358499058e-24
rule22,-10.665640766722372,1.4737964653629022e-26
rule23,-3.496987521765081,0.0004705438416419658
rule24,0.36609227612683687,0.7142962208212186
rule25,1.8070668853634837,0.07075185110306473
rule26,4.678496565095105,2.889860108115019e-06
rule27,6.9123144354780655,4.768095084790352e-12
rule28,2.0193986237811132,0.0434458044785697
rule29,4.636106900801501,3.5503240505078144e-06
rule30,7.744474137144605,9.597822903569897e-15
rule31,5.926452208411671,3.095494187748722e-09
