ID,Abstract,rule1,rule2,rule3,rule4,rule5,rule6,rule7,rule8,rule9,rule10,rule11,rule12,rule13,rule14,rule15,rule16,rule17,rule18,rule19,rule20,rule21,rule22,rule23,rule24,rule25,rule26,rule27,rule28,rule29,rule30,rule31,rule32,rule33
1,"This letter investigates the optimal tradeoff between user experience and communications and computation resource consumptions in designing efficient mobile edge computing (MEC) systems which are based on orthogonal frequency division multiple access (OFDMA) and operating in time division duplexing (TDD) mode. First, we establish a communication model for offloading scalable tasks in TDD-OFDMA systems. Then, we formulate the system utility maximization problem with respect to the service level selection and resource allocation. Finally, we propose two algorithms to obtain a globally optimal solution and a low-complexity suboptimal solution, respectively, using convex optimization and difference of convex (DC) programming.",yes,no,no,no,yes,no,yes,yes,no,no,yes,yes,no,no,no,no,yes,no,no,yes,yes,yes,no,no,yes,yes,yes,yes,no,no,yes,yes,
2,"For emergency situations, the network system based on wireless multihop networks such as a mobile ad hoc network (MANET) has been developing to exchange messages among users without the aid of the infrastructure networks. However, many MANET-based systems have been evaluated through the simulation experiments. In this paper, we propose an evaluation framework combining simulator and game engine to simulate MANET-based systems in more realistic environment and present the case study of the evaluation framework.",yes,no,no,yes,yes,no,yes,no,yes,no,yes,yes,no,no,no,no,yes,yes,yes,no,no,no,no,no,yes,yes,yes,yes,no,no,yes,yes,
3,"An Oseen-type post-processed mixed finite element method based on a subgrid model is presented for the simulation of time-dependent incompressible Navier-Stokes equations. This method first solves a subgrid stabilized nonlinear Navier-Stokes system on a mesh of size H to obtain an approximate solution pair (u(H)(x, T), p(H)(x, T)) at the given final time T, and then post-processes the solution (u(H)(x, T), p(H)(x, T)) by solving a stabilized Oseen problem on a finer mesh or in higher-order finite element spaces. We prove stability of the stabilized method, derive error estimates for the post-processed solutions, give some numerical results to verify the theoretical predictions and demonstrate the effectiveness of the proposed method.",no,no,no,yes,yes,no,yes,no,no,no,yes,yes,no,no,no,no,yes,yes,yes,no,yes,no,yes,no,yes,yes,yes,yes,no,no,yes,yes,
4,"This work presents a quadratic boundary integral equation formulation for isotropic damage analysis of components subjected to mechanical, thermal and centrifugal loads. To evaluate domain-related integrals due to the damage effects, the radial integration method (RIM) based on the use of the approximating the normalized displacements in the domain integrals by a series of prescribed radial basis functions (RBF) is adopted. The density of micro-defects is assumed to be small in the material. The scalar damage parameter expressed in an exponential evolution equation is utilized. Numerical examples including a rectangular plate, thick-walled cylinder and rotating disk problems under the thermal loads are given.",yes,no,no,no,no,no,yes,no,no,no,yes,yes,no,no,no,no,yes,no,no,yes,yes,no,no,yes,no,yes,no,yes,no,no,yes,yes,no
5,"China, who was in charge of most of the poloidal field (PF) conductor unit lengths manufacturing for the ITER Project, has supplied all the required PF conductors and finished the PF package successfully. Around 130 t of NbTi strands were supplied and used for the PF conductors. During the package execution process, the Chinese Domestic Agency (CNDA) has organized the verification for the NbTi strand acceptance tests based on the requirements of the ITER procurement arrangement (PA). The verification tasks for NbTi strands were undertaken by the Institute of Plasma Physics Chinese Academy of Sciences (ASIPP). In total, about 550 billets of NbTi strands have been verified and supplied for the PF conductors. The verification levels fit the ITER PA requirements. The test results showed that the quality of the NbTi strands has been well controlled. In addition, in order to supply essential data for the conductor performance prediction and analysis, a full critical current I-c characterization of the NbTi strands, which requires a measurement of I-c versus field, B and temperature, T, has been obtained using the test facilities from the National Institute of Standards and Technology (NIST) and ASIPP. The parameterization using the Bottura scaling law for the strand with I-c close to the average value from the verification results has been analyzed. The test methods and strand performances are reviewed and summarized in this article.",yes,no,no,no,no,no,yes,no,yes,yes,yes,yes,yes,no,no,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,no,yes,yes,no
6,"Several deterministic models have been proposed in the literature to solve the machine loading problem (MLP), which considers a set of product types to be produced on a set of machines using a set of tool types, and determines the quantity of each product type to be produced at each time period and the corresponding machine tool loading configuration. However, processing times are subject to random increases, which could impair the quality of a deterministic solution. Thus, we propose a robust MLP counterpart, searching for an approach that properly describes the uncertainty set of model parameters and, at the same time, ensures practical application. We exploit the cardinality-constrained approach, which considers a simple uncertainty set where all uncertain parameters belong to an interval, and allows tuning the robustness level by bounding the number of parameters that assume the worst value. The resulting plans provide accurate estimations on the minimum production level that a system achieves even in the worst conditions. The applicability of the robust MLP and the impact of robustness level have been tested on several problem variants, considering single- vs multi-machine and single vs multi-period MLPs. We also consider the execution of the plans in a set of scenarios to evaluate the practical implications of MLP robustness. Results show the advantages of the robust formulation, in terms of improved feasibility of the plans, identification of the most critical tools and products, and evaluation of the maximum achievable performance in relation to the level of protection. Moreover, low computational times guarantee the applicability of the proposed robust MLP counterpart.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,"Patient video taken at home can provide valuable insights into the recovery progress during a programme of physical therapy, but is very time consuming for clinician review. Our work focussed on (i) enabling any patient to share information about progress at home, simply by sharing video and (ii) building intelligent systems to support Physical Therapists (PTs) in reviewing this video data and extracting the necessary detail. This paper reports the development of the system, appropriate for future clinical use without reliance on a technical team, and the clinician involvement in that development. We contribute an interactive content-based video retrieval system that significantly reduces the time taken for clinicians to review videos, using human head movement as an example. The system supports query-by-movement (clinicians move their own body to define search queries) and retrieves the essential fine-grained movements needed for clinical interpretation. This is done by comparing sequences of image-based pose estimates (here head rotations) through a distance metric (here Frechet distance) and presenting a ranked list of similar movements to clinicians for review. In contrast to existing intelligent systems for retrospective review of human movement, the system supports a flexible analysis where clinicians can look for any movement that interests them. Evaluation by a group of PTs with expertise in training movement control showed that 96% of all relevant movements were identified with time savings of as much as 99.1% compared to reviewing target videos in full. The novelty of this contribution includes retrospective progress monitoring that preserves context through video, and content-based video retrieval that supports both fine-grained human actions and query-by-movement. Future research, including large clinician-led studies, will refine the technical aspects and explore the benefits in terms of patient outcomes, PT time, and financial savings over the course of a programme of therapy. It is anticipated that this clinician-led approach will mitigate the reported slow clinical uptake of technology with resulting patient benefit. (C) 2019 Elsevier Ltd. All rights reserved.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,"Orthogonal signal-division multiplexing (OSDM) has recently emerged as a promising alternative to orthogonal frequency division multiplexing (OFDM) for high-rate wireless communications. Although providing more flexibility in system design, it suffers from a special interference structure, namely intervector interference (IVI), when channel time variations are present. In this paper, we first derive the general OSDM signal model over time-varying channels, and then show that a time-domain window can be used to enhance the diagonal-block-banded (DBB) approximation of the channel matrix in a transformed domain. Furthermore, based on the DBB matrix enhancement, a low-complexity OSDM equalization algorithm is designed. Simulation results indicate that the proposed equalizer has significant performance advantages over that using the direct DBB approximation. (C) 2019 Elsevier B.V. All rights reserved.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,"The dynamic analysis of induction motors is supported by well-known theories: the two-axes transformation, and the space vector theory. Yet some inconsistencies with the theory of dynamic systems exist. The machine eigenvalues suggest the existence of two damped oscillators, physically not understandable. The respective eigenfrequencies change with the angular velocity of the reference frame. This contradicts the understanding that eigenfrequencies are inherent system properties. Physically, the dynamics depend on the continuous distribution of magnetic energy and its spatial displacement during transient processes. Information on the system dynamics is lost when dividing the continuum of magnetic energy into discrete portions. Complex state variables associate the dynamics to the propagation in space of distributed magnetic fields. The dynamic analysis reveals the existence single-complex eigenvalues. These define a novel class of system identifiers. They are characterized by having only one imaginary part instead of a conjugate complex pair. The use of complex state variables conveys insight and physical understanding of the dynamic processes within the machine. The approach constitutes an extension to the theory of dynamic systems.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,"One key issue of the fifth mobile communication generation (5G) is to elaborate an appropriate new waveform. Ideally, this waveform should preserve the two main advantages of the Orthogonal Frequency Division Multiplexing (OFDM) scheme, namely low latency and complexity. Along this line of thought, we propose in this paper an OFDM-type window, i.e. identical symbol time duration and equivalent spectral efficiency as OFDM. This optimal waveform with respect to the time -frequency localization criterion is analyzed using a Filtered MultiTone (FMT) framework. For this design criterion, comparisons are carried out between our optimized FMT solution, OFDM and the Root Raised Cosine window. (C) 2019 Elsevier B.V. All rights reserved.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
