Publication Type,Authors,Title,Abstract,DOI,ID,rule1,rule2,rule3,rule4,rule5,rule6,rule7,rule8,rule9,rule10,rule11,rule12,rule13,rule14,rule15,rule16,rule17,rule18,rule19,rule20,rule21,rule22,rule23,rule24,rule25,rule26,rule27,rule28,rule29,rule30,rule31
J,"Geim, AK; Novoselov, KS",The rise of graphene,"Graphene is a rapidly rising star on the horizon of materials science and condensed-matter physics. This strictly two-dimensional material exhibits exceptionally high crystal and electronic quality, and, despite its short history, has already revealed a cornucopia of new physics and potential applications, which are briefly discussed here. Whereas one can be certain of the realness of applications only when commercial products appear, graphene no longer requires any further proof of its importance in terms of fundamental physics. Owing to its unusual electronic spectrum, graphene has led to the emergence of a new paradigm of 'relativistic' condensed-matter physics, where quantum relativistic phenomena, some of which are unobservable in high-energy physics, can now be mimicked and tested in table-top experiments. More generally, graphene represents a conceptually new class of materials that are only one atom thick, and, on this basis, offers new inroads into low-dimensional physics that has never ceased to surprise and continues to provide a fertile ground for applications.",10.1038/nmat1849,1,yes,no,yes,no,yes,no,yes,yes,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,yes,yes,no,yes,no,no,no
J,"Radisavljevic, B; Radenovic, A; Brivio, J; Giacometti, V; Kis, A",Single-layer MoS<sub>2</sub> transistors,"Two-dimensional materials are attractive for use in next-generation nanoelectronic devices because, compared to one-dimensional materials, it is relatively easy to fabricate complex structures from them. The most widely studied two-dimensional material is graphene(1,2), both because of its rich physics(3-5) and its high mobility(6). However, pristine graphene does not have a bandgap, a property that is essential for many applications, including transistors(7). Engineering a graphene bandgap increases fabrication complexity and either reduces mobilities to the level of strained silicon films(8-13) or requires high voltages(14,15). Although single layers of MoS2 have a large intrinsic bandgap of 1.8 eV (ref. 16), previously reported mobilities in the 0.5-3 cm(2) V-1 s(-1) range(17) are too low for practical devices. Here, we use a halfnium oxide gate dielectric to demonstrate a room-temperature single-layer MoS2 mobility of at least 200 cm(2) V-1 s(-1), similar to that of graphene nanoribbons, and demonstrate transistors with room-temperature current on/off ratios of 1 x 10(8) and ultralow standby power dissipation. Because monolayer MoS2 has a direct bandgap(16,18), it can be used to construct interband tunnel FETs19, which offer lower power consumption than classical transistors. Monolayer MoS2 could also complement graphene in applications that require thin transparent semiconductors, such as optoelectronics and energy harvesting.",10.1038/NNANO.2010.279,2,yes,no,yes,yes,no,no,no,no,no,no,yes,yes,no,no,no,yes,yes,yes,yes,no,no,no,yes,yes,yes,yes,yes,yes,yes,yes,yes
J,"Stankovich, S; Dikin, DA; Piner, RD; Kohlhaas, KA; Kleinhammes, A; Jia, Y; Wu, Y; Nguyen, ST; Ruoff, RS",Synthesis of graphene-based nanosheets via chemical reduction of exfoliated graphite oxide,"Reduction of a colloidal suspension of exfoliated graphene oxide sheets in water with hydrazine hydrate results in their aggregation and subsequent formation of a high-surface-area carbon material which consists of thin graphene-based sheets. The reduced material was characterized by elemental analysis, thermo-gravimetric analysis, scanning electron microscopy, X-ray photoelectron spectroscopy, NMR spectroscopy, Raman spectroscopy, and by electrical conductivity measurements. (c) 2007 Elsevier Ltd. All rights reserved.",10.1016/j.carbon.2007.02.034,3,no,no,no,no,no,no,no,no,yes,no,yes,yes,no,yes,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,yes,no
J,"Ferrari, AC; Robertson, J",Interpretation of Raman spectra of disordered and amorphous carbon,"The model and theoretical understanding of the Raman spectra in disordered and amorphous carbon are given. The nature of the G and D vibration modes in graphite is analyzed in terms of the resonant excitation of pi states and the long-range polarizability of pi bonding. Visible Raman data on disordered, amorphous, and diamond like carbon are classified in a three-stage model to show the factors that control the position, intensity, and widths of the G and D peaks. It is shown that the visible Raman spectra depend formally on the configuration of the sp(2) sites in sp(2)-bonded clusters. In cases where the sp(2) clustering is controlled by the sp(3) fraction, such as in as-deposited tetrahedral amorphous carbon (ta-C) or hydrogenated amorphous carbon (a-C:H) films, the visible Raman parameters can be used to derive the sp(3) fraction.",10.1103/PhysRevB.61.14095,4,yes,yes,no,yes,no,no,no,no,no,no,yes,no,yes,no,no,no,yes,yes,yes,no,no,no,no,yes,yes,no,no,no,yes,yes,
J,"Balandin, AA; Ghosh, S; Bao, WZ; Calizo, I; Teweldebrhan, D; Miao, F; Lau, CN",Superior thermal conductivity of single-layer graphene,We report the measurement of the thermal conductivity of a suspended single-layer graphene. The room temperature values of the thermal conductivity in the range similar to(4.84 +/- 0.44) x 10(3) to (5.30 +/- 0.48) x 10(3) W/mK were extracted for a single-layer graphene from the dependence of the Raman G peak frequency on the excitation laser power and independently measured G peak temperature coefficient. The extremely high value of the thermal conductivity suggests that graphene can outperform carbon nanotubes in heat conduction. The superb thermal conduction property of graphene is beneficial for the proposed electronic applications and establishes graphene as an excellent material for thermal management.,10.1021/nl0731872,5,yes,yes,no,no,yes,no,yes,no,yes,no,yes,yes,no,no,no,yes,yes,yes,yes,no,no,no,yes,yes,yes,yes,yes,yes,yes,yes,yes
J,"Stukowski, A",Visualization and analysis of atomistic simulation data with OVITO-the Open Visualization Tool,"The Open Visualization Tool (OVITO) is a new 3D visualization software designed for post-processing atomistic data obtained from molecular dynamics or Monte Carlo simulations. Unique analysis, editing and animations functions are integrated into its easy-to-use graphical user interface. The software is written in object-oriented C++, controllable via Python scripts and easily extendable through a plug-in interface. It is distributed as open-source software and can be downloaded from the website http://ovito.sourceforge.net/.",10.1088/0965-0393/18/1/015012,6,yes,yes,no,no,yes,yes,yes,yes,no,no,yes,no,yes,no,no,no,no,no,no,no,no,no,no,no,yes,yes,no,no,yes,yes,
J,"Thouin, F; Valverde-Chávez, DA; Quarti, C; Cortecchia, D; Bargigia, I; Beljonne, D; Petrozza, A; Silva, C; Kandada, ARS",Phonon coherences reveal the polaronic character of excitons in two-dimensional lead halide perovskites,"Hybrid organic-inorganic semiconductors feature complex lattice dynamics due to the ionic character of the crystal and the softness arising from non-covalent bonds between molecular moieties and the inorganic network. Here we establish that such dynamic structural complexity in a prototypical two-dimensional lead iodide perovskite gives rise to the coexistence of diverse excitonic resonances, each with a distinct degree of polaronic character. By means of high-resolution resonant impulsive stimulated Raman spectroscopy, we identify vibrational wavepacket dynamics that evolve along different configurational coordinates for distinct excitons and photocarriers. Employing density functional theory calculations, we assign the observed coherent vibrational modes to various low-frequency (less than or similar to 50 cm(-1)) optical phonons involving motion in the lead iodide layers. We thus conclude that different excitons induce specific lattice reorganizations, which are signatures of polaronic binding. This insight into the energetic/configurational landscape involving globally neutral primary photoexcitations may be relevant to a broader class of emerging hybrid semiconductor materials.",10.1038/s41563-018-0262-7,7,yes,yes,no,no,yes,no,yes,yes,no,no,yes,yes,no,yes,no,no,yes,yes,yes,no,yes,no,no,no,yes,yes,no,yes,yes,yes,
J,"Wang, XC; Maeda, K; Thomas, A; Takanabe, K; Xin, G; Carlsson, JM; Domen, K; Antonietti, M",A metal-free polymeric photocatalyst for hydrogen production from water under visible light,"The production of hydrogen from water using a catalyst and solar energy is an ideal future energy source, independent of fossil reserves. For an economical use of water and solar energy, catalysts that are sufficiently efficient, stable, inexpensive and capable of harvesting light are required. Here, we show that an abundant material, polymeric carbon nitride, can produce hydrogen from water under visible-light irradiation in the presence of a sacrificial donor. Contrary to other conducting polymer semiconductors, carbon nitride is chemically and thermally stable and does not rely on complicated device manufacturing. The results represent an important first step towards photosynthesis in general where artificial conjugated polymer semiconductors can be used as energy transducers.",10.1038/NMAT2317,8,yes,yes,no,no,yes,no,yes,yes,no,no,yes,no,no,no,no,no,yes,yes,yes,no,no,no,no,no,yes,yes,no,yes,no,yes,
J,"Marcano, DC; Kosynkin, DV; Berlin, JM; Sinitskii, A; Sun, ZZ; Slesarev, A; Alemany, LB; Lu, W; Tour, JM",Improved Synthesis of Graphene Oxide,"An improved method for the preparation of graphene oxide (GO) is described. Currently, Hummers' method (KMnO4, NaNO3, H2SO4) is the most common method used for preparing graphene oxide. We have found that excluding the NaNO3, increasing the amount of KMnO4, and performing the reaction in a 9:1 mixture of H2SO4/H3PO4 improves the efficiency of the oxidation process. This improved method provides a greater amount of hydrophilic oxidized graphene material as compared to Hummers' method or Hummers' method with additional KMnO4. Moreover, even though the GO produced by our method is more oxidized than that prepared by Hummers' method, when both are reduced in the same chamber with hydrazine, chemically converted graphene (CCG) produced from this new method is equivalent in its electrical conductivity. In contrast to Hummers' method, the new method does not generate toxic gas and the temperature is easily controlled. This improved synthesis of GO may be important for large-scale production of GO as well as the construction of devices composed of the subsequent CCG.",10.1021/nn1006368,9,yes,yes,no,yes,yes,no,yes,no,yes,no,yes,yes,no,no,no,yes,yes,yes,yes,no,no,no,no,yes,yes,yes,yes,yes,yes,yes,yes
J,"Naguib, M; Kurtoglu, M; Presser, V; Lu, J; Niu, JJ; Heon, M; Hultman, L; Gogotsi, Y; Barsoum, MW",Two-Dimensional Nanocrystals Produced by Exfoliation of Ti<sub>3</sub>AlC<sub>2</sub>,,10.1002/adma.201102306,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J,"Li, D; Müller, MB; Gilje, S; Kaner, RB; Wallace, GG",Processable aqueous dispersions of graphene nanosheets,"Graphene sheets offer extraordinary electronic, thermal and mechanical properties and are expected to find a variety of applications. A prerequisite for exploiting most proposed applications for graphene is the availability of processable graphene sheets in large quantities. The direct dispersion of hydrophobic graphite or graphene sheets in water without the assistance of dispersing agents has generally been considered to be an insurmountable challenge. Here we report that chemically converted graphene sheets obtained from graphite can readily form stable aqueous colloids through electrostatic stabilization. This discovery has enabled us to develop a facile approach to large-scale production of aqueous graphene dispersions without the need for polymeric or surfactant stabilizers. Our findings make it possible to process graphene materials using low-cost solution processing techniques, opening up enormous opportunities to use this unique carbon nanostructure for many technological applications.",10.1038/nnano.2007.451,11,yes,no,yes,yes,yes,no,yes,no,yes,yes,yes,yes,no,no,no,no,no,no,no,yes,no,no,no,no,no,yes,yes,yes,yes,yes,yes
J,"Togo, A; Tanaka, I",First principles phonon calculations in materials science,"Phonon plays essential roles in dynamical behaviors and thermal properties, which are central topics in fundamental issues of materials science. The importance of first principles phonon calculations cannot be overly emphasized. Phonopy is an open source code for such calculations launched by the present authors, which has been world-widely used. Here we demonstrate phonon properties with fundamental equations and show examples how the phonon calculations are applied in materials science. (C) 2015 Acta Materialia Inc. Published by Elsevier Ltd. This is an open access article under the CC BY license (http://creativecommons.orgilicenses/by/4.0/).",10.1016/j.scriptamat.2015.07.021,12,yes,yes,no,yes,yes,no,yes,yes,no,no,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes
J,"Henkelman, G; Arnaldsson, A; Jónsson, H",A fast and robust algorithm for Bader decomposition of charge density,"An algorithm is presented for carrying out decomposition of electronic charge density into atomic contributions. As suggested by Bader [R. Bader, Atoms in Molecules: A Quantum Theory, Oxford University Press, New York, 1990], space is divided up into atomic regions where the dividing surfaces are at a minimum in the charge density, i.e. the gradient of the charge density is zero along the surface normal. Instead of explicitly finding and representing the dividing surfaces, which is a challenging task, our algorithm assigns each point on a regular (x, y, z) grid to one of the regions by following a steepest ascent path on the grid. The computational work required to analyze a given charge density grid is approximately 50 arithmetic operations per grid point. The work scales linearly with the number of grid points and is essentially independent of the number of atoms in the system. The algorithm is robust and insensitive to the topology of molecular bonding. In addition to two test problems involving a water molecule and NaCl crystal, the algorithm has been used to estimate the electrical activity of a cluster of boron atoms in a silicon crystal. The highly stable three-atom boron cluster, B3I is found to have a charge of -1.5 e, which suggests approximately 50% reduction in electrical activity as compared with three substitutional boron atoms. (c) 2005 Elsevier B.V. All rights reserved.",10.1016/j.commatsci.2005.04.010,13,yes,no,no,yes,yes,yes,yes,no,yes,no,yes,yes,yes,no,no,yes,yes,yes,no,yes,no,no,yes,yes,yes,yes,yes,yes,yes,yes,no
J,"Splendiani, A; Sun, L; Zhang, YB; Li, TS; Kim, J; Chim, CY; Galli, G; Wang, F",Emerging Photoluminescence in Monolayer MoS<sub>2</sub>,"Novel physical phenomena can emerge in low-dimensional nanomaterials. Bulk MoS2, a prototypical metal dichalcogenide, is an indirect bandgap semiconductor with negligible photoluminescence. When the MoS2 crystal is thinned to monolayer, however, a strong photoluminescence emerges, indicating an indirect to direct bandgap transition in this d-electron system. This observation shows that quantum confinement in layered d-electron materials like MoS2 provides new opportunities for engineering the electronic structure of matter at the nanoscale.",10.1021/nl903868w,14,yes,no,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes
J,"Jain, A; Ong, SP; Hautier, G; Chen, W; Richards, WD; Dacek, S; Cholia, S; Gunter, D; Skinner, D; Ceder, G; Persson, KA",Commentary: The Materials Project: A materials genome approach to accelerating materials innovation,"Accelerating the discovery of advanced materials is essential for human welfare and sustainable, clean energy. In this paper, we introduce the Materials Project (www.materialsproject.org), a core program of the Materials Genome Initiative that uses high-throughput computing to uncover the properties of all known inorganic materials. This open dataset can be accessed through multiple channels for both interactive exploration and data mining. The Materials Project also seeks to create open-source platforms for developing robust, sophisticated materials analyses. Future efforts will enable users to perform ""rapid-prototyping"" of new materials in silico, and provide researchers with new avenues for cost-effective, data-driven materials design. (C) 2013 Author(s).",10.1063/1.4812323,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J,"Kokubo, T; Takadama, H",How useful is SBF in predicting in vivo bone bioactivity?,"The bone-bonding ability of a material is often evaluated by examining the ability of apatite to form on its surface in a simulated body fluid (SBF) with ion concentrations nearly equal to those of human blood plasma. However, the validity of this method for evaluating bone-bonding ability has not been assessed systematically. Here, the history of SBF, correlation of the ability of apatite to form oil various materials in SBF with their in vivo bone bioactivities, and some examples of the development of novel bioactive materials based on apatite formation in SBF are reviewed. It was concluded that examination of apatite formation on a material in SBF is useful for predicting the in vivo bone bioactivity of a material, and the number of animals used in and the duration of animal experiments call be reduced remarkably by using this method. (c) 2006 Elsevier Ltd. All rights reserved.",10.1016/j.biomaterials.2006.01.017,16,yes,yes,no,yes,yes,no,yes,no,yes,yes,yes,yes,no,no,no,no,yes,yes,no,yes,no,no,no,no,yes,no,no,no,yes,yes,no
J,"Stoller, MD; Park, SJ; Zhu, YW; An, JH; Ruoff, RS",Graphene-Based Ultracapacitors,"The surface area of a single graphene sheet is 2630 m(2)/g, substantially higher than values derived from BET surface area measurements of activated carbons used in current electrochemical double layer capacitors. Our group has pioneered a new carbon material that we call chemically modified graphene (CMG). CMG materials are made from 1-atom thick sheets of carbon, functionalized as needed, and here we demonstrate in an ultracapacitor cell their performance, Specific capacitances of 135 and 99 F/g in aqueous and organic electrolytes, respectively, have been measured. In addition, high electrical conductivity gives these materials consistently good performance over a wide range of voltage scan rates. These encouraging results illustrate the exciting potential for high performance, electrical energy storage devices based on this new class of carbon material.",10.1021/nl802558y,17,yes,yes,no,yes,no,no,no,no,yes,no,yes,yes,no,yes,no,yes,yes,yes,yes,no,no,no,no,yes,yes,yes,yes,yes,yes,yes,yes
J,"Li, LK; Yu, YJ; Ye, GJ; Ge, QQ; Ou, XD; Wu, H; Feng, DL; Chen, XH; Zhang, YB",Black phosphorus field-effect transistors,"Two-dimensional crystals have emerged as a class of materials that may impact future electronic technologies. Experimentally identifying and characterizing new functional two-dimensional materials is challenging, but also potentially rewarding. Here, we fabricate field-effect transistors based on few-layer black phosphorus crystals with thickness down to a few nanometres. Reliable transistor performance is achieved at room temperature in samples thinner than 7.5 nm, with drain current modulation on the order of 10(5) and well-developed current saturation in the I-V characteristics. The charge-carrier mobility is found to be thickness-dependent, with the highest values up to similar to 1,000 cm(2) V-1 s(-1) obtained for a thickness of similar to 10nm. Our results demonstrate the potential of black phosphorus thin crystals as a new two-dimensional material for applications in nanoelectronic devices.",10.1038/NNANO.2014.35,18,yes,no,yes,no,yes,no,yes,yes,no,no,yes,no,no,no,no,yes,yes,yes,yes,no,no,no,yes,yes,yes,yes,yes,no,yes,yes,yes
J,"Schedin, F; Geim, AK; Morozov, SV; Hill, EW; Blake, P; Katsnelson, MI; Novoselov, KS",Detection of individual gas molecules adsorbed on graphene,"The ultimate aim of any detection method is to achieve such a level of sensitivity that individual quanta of a measured entity can be resolved. In the case of chemical sensors, the quantum is one atom or molecule. Such resolution has so far been beyond the reach of any detection technique, including solid-state gas sensors hailed for their exceptional sensitivity(1-4). The fundamental reason limiting the resolution of such sensors is fluctuations due to thermal motion of charges and defects(5), which lead to intrinsic noise exceeding the sought-after signal from individual molecules, usually by many orders of magnitude. Here, we show that micrometre-size sensors made from graphene are capable of detecting individual events when a gas molecule attaches to or detaches from graphene's surface. The adsorbed molecules change the local carrier concentration in graphene one by one electron, which leads to step-like changes in resistance. The achieved sensitivity is due to the fact that graphene is an exceptionally low-noise material electronically, which makes it a promising candidate not only for chemical detectors but also for other applications where local probes sensitive to external charge, magnetic field or mechanical strain are required.",10.1038/nmat1967,19,yes,no,yes,yes,yes,yes,yes,yes,no,yes,yes,no,no,yes,no,yes,yes,yes,yes,no,no,no,no,yes,yes,yes,yes,yes,yes,yes,
J,"Protesescu, L; Yakunin, S; Bodnarchuk, MI; Krieg, F; Caputo, R; Hendon, CH; Yang, RX; Walsh, A; Kovalenko, MV","Nanocrystals of Cesium Lead Halide Perovskites (CsPbX<sub>3</sub>, X = Cl, Br, and I): Novel Optoelectronic Materials Showing Bright Emission with Wide Color Gamut","Metal halides perovskites, such as hybrid organic-inorganic CH3NH3PbI3, are newcomer optoelectronic materials that have attracted enormous attention as solution-deposited absorbing layers in solar cells with power conversion efficiencies reaching 20%. Herein we demonstrate a new avenue for halide perovskites by designing highly luminescent perovskite-based colloidal quantum dot materials. We have synthesized monodisperse colloidal nanocubes (4-15 nm edge lengths) of fully inorganic cesium lead halide perovskites (CsPbX3, X = Cl, Br, and I or mixed halide systems Cl/Br and Br/I) using inexpensive commercial precursors. Through compositional modulations and quantum size-effects, the bandgap energies and emission spectra are readily tunable over the entire visible spectral region of 410-700 nm. The photoluminescence of CsPbX3 nanocrystals is characterized by narrow emission line-widths of 12-42 nm, wide color gamut covering up to 140% of the NTSC color standard, high quantum yields of up to 90%, and radiative lifetimes in the range of 1-29 ns. The compelling combination of enhanced optical properties and chemical robustness makes CsPbX3 nanocrystals appealing for optoelectronic applications, particularly for blue and green spectral regions (410-530 nm), where typical metal chalcogenide-based quantum dots suffer from photodegradation.",10.1021/nl5048779,20,yes,no,no,no,yes,no,yes,yes,no,no,yes,yes,no,no,no,yes,yes,yes,yes,no,no,no,yes,yes,yes,yes,yes,yes,yes,yes,yes
