Rule,Z-statistic,P-value
rule1,6.05004491335253,1.4480545797692428e-09
rule2,9.575874406420867,1.0099900173669328e-21
rule3,-3.7542986513029644,0.0001738275098580424
rule4,6.115495961743184,9.625712041227686e-10
rule5,0.7460963277841329,0.45560922748226873
rule6,0.9638177047546,0.33513732867187573
rule7,-0.08836029652510137,0.9295903166059505
rule8,10.256183094995713,1.1100817102628305e-24
rule9,-8.713727110045223,2.9404371996679703e-18
rule10,-3.9647243833241537,7.348079912200351e-05
rule11,5.056711516059243,4.2654773130106795e-07
rule12,-4.058060314346858,4.948198984689335e-05
rule13,3.7627747786800607,0.0001680385202495464
rule14,-7.748911047315541,9.268391346892867e-15
rule15,-5.5687261534976695,2.5660841266240438e-08
rule16,-5.027767889903226,4.962219921429039e-07
rule17,-1.8752244086241503,0.0607618575578784
rule18,-2.703543998630802,0.006860436470345897
rule19,11.781327304592129,4.871977915617799e-32
rule20,-11.158291207059857,6.523335072864213e-29
rule21,-10.44596021183043,1.5290015497883044e-25
rule22,-10.861519064899491,1.7580017132710406e-27
rule23,-3.797366136335127,0.00014624170475900826
rule24,-0.19786720862809506,0.8431489606298345
rule25,1.1773533862904713,0.2390544867876221
rule26,4.177334166922842,2.949455535245334e-05
rule27,6.606453867036886,3.936348566356944e-11
rule28,1.7495481435757618,0.0801963144819708
rule29,3.947386104192701,7.900908389770462e-05
rule30,6.944967667399792,3.785470128634248e-12
rule31,5.564686552499783,2.6262404097812212e-08
