Rule,Yes Ratio,Rule,Yes Ratio
rule1,0.9488465396188566,rule1,0.8710337768679631
rule2,0.5005015045135406,rule2,0.2896622313203685
rule3,0.2948846539618857,rule3,0.37461617195496416
rule4,0.5767301905717152,rule4,0.4390992835209826
rule5,0.8415245737211635,rule5,0.8290685772773797
rule6,0.08324974924774323,rule6,0.07164790174002048
rule7,0.7803410230692076,rule7,0.781985670419652
rule8,0.477432296890672,rule8,0.2548618219037871
rule9,0.42326980942828485,rule9,0.6192425793244627
rule10,0.2086258776328987,rule10,0.28556806550665303
rule11,0.9408224674022067,rule11,0.8751279426816786
rule12,0.6649949849548646,rule12,0.7482088024564995
rule13,0.5175526579739218,rule13,0.4329580348004094
rule14,0.1283851554663992,rule14,0.2671443193449335
rule15,0.10832497492477432,rule15,0.1985670419651996
rule16,0.2567703109327984,rule16,0.36131013306038895
rule17,0.6840521564694082,rule17,0.7226202661207779
rule18,0.6429287863590772,rule18,0.7001023541453428
rule19,0.47141424272818455,rule19,0.21903787103377687
rule20,0.3440320962888666,rule20,0.5946775844421699
rule21,0.10531594784353059,rule21,0.29273285568065505
rule22,0.058174523570712136,rule22,0.2292732855680655
rule23,0.25576730190571717,rule23,0.3336745138178096
rule24,0.6118355065195586,rule24,0.6161719549641761
rule25,0.691073219658977,rule25,0.6663254861821903
rule26,0.6409227683049148,rule26,0.548618219037871
rule27,0.4202607823470411,rule27,0.27840327533265097
rule28,0.2888665997993982,rule28,0.2538382804503582
rule29,0.7873620862587764,rule29,0.7103377686796315
rule30,0.9087261785356068,rule30,0.7983623336745138
rule31,0.49147442326980945,rule31,0.36745138178096215
