Rule,Yes Ratio,Rule,Yes Ratio
rule1,0.8861439312567132,rule1,0.7952917093142272
rule2,0.49624060150375937,rule2,0.44421699078812693
rule3,0.1686358754027927,rule3,0.1330603889457523
rule4,0.4414607948442535,rule4,0.21494370522006143
rule5,0.728249194414608,rule5,0.7236438075742068
rule6,0.10204081632653061,rule6,0.10644831115660185
rule7,0.6595059076262084,rule7,0.6151484135107472
rule8,0.3791621911922664,rule8,0.1780962128966223
rule9,0.46509129967776586,rule9,0.6878198567041965
rule10,0.16004296455424274,rule10,0.1473899692937564
rule11,0.8947368421052632,rule11,0.8710337768679631
rule12,0.6552094522019334,rule12,0.7932446264073695
rule13,0.2556390977443609,rule13,0.28147389969293757
rule14,0.200859291084855,rule14,0.3285568065506653
rule15,0.07841031149301826,rule15,0.16581371545547594
rule16,0.5241675617615468,rule16,0.4595701125895599
rule17,0.7647690655209453,rule17,0.797338792221085
rule18,0.7314715359828142,rule18,0.7563971340839304
rule19,0.4833512352309345,rule19,0.2507676560900716
rule20,0.3501611170784103,rule20,0.6038894575230297
rule21,0.19548872180451127,rule21,0.3295803480040942
rule22,0.11707841031149302,rule22,0.25588536335721596
rule23,0.3533834586466165,rule23,0.34698055271238487
rule24,0.706766917293233,rule24,0.6898669396110543
rule25,0.7314715359828142,rule25,0.6908904810644831
rule26,0.5843179377013964,rule26,0.4390992835209826
rule27,0.44360902255639095,rule27,0.17195496417604914
rule28,0.3748657357679914,rule28,0.14227226202661208
rule29,0.7142857142857143,rule29,0.5813715455475946
rule30,0.8399570354457573,rule30,0.7328556806550666
rule31,0.439312567132116,rule31,0.2538382804503582
