Rule,Z-statistic,P-value
rule1,0.8895173140991339,0.37372512225608445
rule2,-2.3596541605995918,0.018291978942121714
rule3,0.8929697059307811,0.37187339598501323
rule4,11.230618473329017,2.8845233207363084e-29
rule5,0.056726535253625095,0.9547630359696375
rule6,-0.32002905092314415,0.7489463082823569
rule7,0.6334181458481445,0.5264606183394906
rule8,5.362262486302016,8.21859951854629e-08
rule9,-7.071701670635457,1.5304517380765875e-12
rule10,-0.8768025847202695,0.38059387495528985
rule11,-0.45444903583903085,0.6495056655560096
rule12,-8.251036319213831,1.5702681560627677e-16
rule13,3.2967268549552515,0.0009781858208336401
rule14,-11.659860659481364,2.043765776674429e-31
rule15,-4.255338419866534,2.087330589258193e-05
rule16,-4.556976233765089,5.189529348099532e-06
rule17,-5.29176361623954,1.2114241017772513e-07
rule18,-6.213061300515979,5.196216600122234e-10
rule19,0.7748020512086103,0.4384566370406948
rule20,-5.294468570997963,1.1936301478674358e-07
rule21,-6.929950760452104,4.209871257881746e-12
rule22,-4.707147354398609,2.512073267464201e-06
rule23,-4.679492572983782,2.8758577622228757e-06
rule24,-4.895153556077479,9.822899703437467e-07
rule25,-4.17144630954651,3.0267237799969122e-05
rule26,4.41926579339603,9.90367840980343e-06
rule27,5.874712137666216,4.235787414148029e-09
rule28,6.968290120938801,3.2081612508452007e-12
rule29,4.69664585289911,2.6446840785394794e-06
rule30,0.02041721067257811,0.9837105545806868
rule31,6.313844973871192,2.7218660629620385e-10
