Rule,Yes Ratio,Rule,Yes Ratio
rule1,0.8877445932028837,rule1,0.8509127789046653
rule2,0.4685890834191555,rule2,0.5162271805273834
rule3,0.2368692070030896,rule3,0.14198782961460446
rule4,0.45829042224510813,rule4,0.2099391480730223
rule5,0.7301750772399588,rule5,0.7586206896551724
rule6,0.09474768280123584,rule6,0.14198782961460446
rule7,0.6725025746652935,rule7,0.6683569979716024
rule8,0.40885684860968075,rule8,0.22413793103448276
rule9,0.4356333676622039,rule9,0.6511156186612576
rule10,0.16580844490216273,rule10,0.13691683569979715
rule11,0.9062821833161689,rule11,0.8955375253549696
rule12,0.6519052523171988,rule12,0.7789046653144016
rule13,0.18537590113285274,rule13,0.21906693711967545
rule14,0.2286302780638517,rule14,0.3407707910750507
rule15,0.07518022657054584,rule15,0.15517241379310345
rule16,0.48712667353244077,rule16,0.526369168356998
rule17,0.780638516992791,rule17,0.8255578093306288
rule18,0.7590113285272915,rule18,0.7860040567951319
rule19,0.5427394438722966,rule19,0.3144016227180527
rule20,0.2996910401647786,rule20,0.5598377281947262
rule21,0.17404737384140062,rule21,0.3093306288032454
rule22,0.10298661174047374,rule22,0.24949290060851928
rule23,0.3800205973223481,rule23,0.3924949290060852
rule24,0.7209062821833162,rule24,0.7332657200811359
rule25,0.7456230690010298,rule25,0.7363083164300203
rule26,0.5849639546858908,rule26,0.49898580121703856
rule27,0.44593202883625127,rule27,0.2281947261663286
rule28,0.38722966014418125,rule28,0.17342799188640973
rule29,0.6961894953656025,rule29,0.5689655172413793
rule30,0.8403707518022657,rule30,0.7393509127789046
rule31,0.4685890834191555,rule31,0.2748478701825558
