Rule,Yes Ratio,Rule,Yes Ratio
rule1,0.9037871033776868,rule1,0.8841893252769386
rule2,0.6059365404298874,rule2,0.6586102719033232
rule3,0.15455475946775846,rule3,0.10070493454179255
rule4,0.47697031729785055,rule4,0.3041289023162135
rule5,0.7932446264073695,rule5,0.8187311178247734
rule6,0.19447287615148415,rule6,0.1973816717019134
rule7,0.721596724667349,rule7,0.7270896273917422
rule8,0.5209825997952917,rule8,0.40584088620342396
rule9,0.3561924257932446,rule9,0.4914400805639476
rule10,0.11566018423746162,rule10,0.1299093655589124
rule11,0.9222108495394064,rule11,0.9123867069486404
rule12,0.5557830092118731,rule12,0.7099697885196374
rule13,0.22824974411463664,rule13,0.19939577039274925
rule14,0.1668372569089048,rule14,0.2618328298086606
rule15,0.04912998976458546,rule15,0.10775427995971802
rule16,0.3940634595701126,rule16,0.3413897280966767
rule17,0.7615148413510747,rule17,0.7895266868076536
rule18,0.7072671443193449,rule18,0.7280966767371602
rule19,0.5762538382804504,rule19,0.4300100704934542
rule20,0.2548618219037871,rule20,0.4259818731117825
rule21,0.150460593654043,rule21,0.2849949647532729
rule22,0.08904810644831115,rule22,0.1933534743202417
rule23,0.2865916069600819,rule23,0.2628398791540785
rule24,0.6479017400204709,rule24,0.6273917421953675
rule25,0.706243602865916,rule25,0.6777442094662638
rule26,0.5619242579324463,rule26,0.4652567975830816
rule27,0.43398157625383826,rule27,0.27391742195367574
rule28,0.3510747185261003,rule28,0.19637462235649547
rule29,0.6867963152507677,rule29,0.5770392749244713
rule30,0.8648925281473899,rule30,0.8036253776435045
rule31,0.5066530194472876,rule31,0.3947633434038268
