Publication Type,Authors,Title,Abstract,DOI
J,"Zhang, YY; Gong, HF; Zhang, XL; Liu, WJ; Jin, HY; Fang, F; Schneider, S; McIngvale, E; Zhang, CC; Goodman, WK; Sun, XR; Storch, EA",Incidence and clinical correlates of anger attacks in Chinese patients with obsessive-compulsive disorder,"Objective: Anger attacks have been observed in patients with obsessive-compulsive disorder (OCD), often triggered by obsessional triggers. However, few studies have reported the clinical characteristics and correlates of anger attacks among Chinese patients with OCD. Methods: A total of 90 adults with a primary diagnosis of OCD, ranging from 15 to 78 years old, participated in the study. Participants were administered the Rage Outbursts and Anger Rating Scale (ROARS), Yale-Brown Obsessive-Compulsive Scale-Second Edition, and Brown Assessment of Beliefs Scale by a trained clinician. Patients completed the Obsessive-Compulsive Inventory-Revised and Depression Anxiety Stress Scale-21. Results: A total of 31.3% of participants reported anger outbursts in the past week, and ROARS scores had no significant correlation with age, duration of illness, OCD severity, depression, or stress. However, ROARS scores were negatively related to education level, and positively related to obsessing symptoms and anxiety. Conclusions: These data suggest that anger attacks are relatively common in Chinese patients with OCD. The severity of anger attacks is related to educational level, obsessing symptoms, and anxiety, which may be a latent variable reflecting executive functioning and emotion regulation skills.",10.1631/jzus.B1800450
J,"Zhao, HX; Li, XY; Guan, WY; Han, XT",Impact of co-blocking the costimulatory signals on immune-related genes after high-risk rabbit corneal allograft using 2nd-generation DNA sequencing technology,"The aim of this study was to evaluate the impact and mechanism of co-blocking of costimulatory signals CD28-B7-CD40-CD40L during immune allograft rejection. Forty-eight recipient rabbits were prepared as a high-risk corneal allograft model. After surgery, the animals were randomly divided into: control group, MR1 group, anti-B7 group, and co-blocking group (n=12, each group). Subconjunctival injection was first performed on the allograft surgery day until post-surgery day five. Four weeks later, or when immune rejection occurred, the cornea was sampled to detect and analyze the gene spectrum. The survival time in the co-blocking group was significantly longer than that in the other three groups (p < 0.05). Gene expression analysis revealed that the expression of genes associated with immune rejection, interleukin (IL)-1 alpha, IL-1 beta, intercellular cell adhesion molecule-1, and IL-2 was down-regulated in the co-blocking group, while IL-10 was up-regulated, but the changes in nuclear factor-kappa B and interferon-gamma were not significant. In conclusion, the co-blocking of costimulatory signals can significantly reduce genes that promote corneal allograft rejection. The inhibition of corneal allograft rejection gene expression was significantly enhanced. These gene expression results can explain the conclusion of previous work at the genetic level.",10.1590/1678-4685-GMB-2018-0150
J,"Auler, PA; do Amaral, MN; Rossatto, T; Vighi, IL; Benitez, LC; da Maia, LC; Braga, EJB",Expression of transcription factors involved with dehydration in contrasting rice genotypes submitted to different levels of soil moisture,"Plant tolerance to abiotic stresses, such as water deficit, is triggered by complex multicomponent signaling pathways. One of the plant responses to stress conditions is expression of a large number of genes whose products are involved in various adaptive functions. Transcription factors (TFs) are important regulators of gene expression, modulating the transcription initiation rate of target genes; they are critical components in signal transduction in response to abiotic stress. Our hypothesis is that genotypes with contrasting tolerance signal water deficit through TFs (10 genes of the DREB family and bZIP) with differing degrees of expression. We believe that these genes will have greater expression in the flooded genotype because drought is an atypical condition in these plants. We tested two rice (Oryza sativa) genotypes: BRS Querencia (flooded) and AN Cambara (dryland). When they reached stage V5, the plants were submitted to water deficit, at different levels of soil moisture, 20%, 10% and recovery. In general, we observed that expression varies according to the soil moisture and the genotype. In addition, the coexpression analysis generated seven cluster interactions with several genes. Our hypothesis was confirmed in part; the contrasting genotypes gave different degrees of expression; however, we ca not affirm that the flooded genotype has more significant responses in dry soil because there were variations in expression demonstrating oscillation in metabolism, and the data do not allow us to associate expression with greater drought tolerance.",10.4238/gmr18247
J,"Chen, Q; Zhu, J",Detecting virus-specific effects on post-infection temporal gene expression,"BackgroundDifferent types of viruses have different envelope proteins, and may have their shared or distinctive host-virus interactions which result in various post-infection effects in humans and animals. These effects often do not appear at once but take time to unfold. To characterize the virus-specific effects, we applied a Multivariate Polynomial Time-dependent Genetic Association (MPTGA) method, previously proposed for detecting differences in temporal gene expression traits, to test for the differences in mouse lung transcriptome response to infection of different subtypes of influenza A viruses.ResultsWe compared two methods: the Multivariate Polynomial Time-dependent Genetic Association (MPTGA) method, and the conventional modified t-test, to study the virus-specific effects on mouse lung gene expression. Both methods found H3N2 to be the most different virus among the three viruses tested, with the largest number of genes with H3N2-specific effects. However, the MPTGA method demonstrated much higher power of detection, and the detected genes with virus-specific effects showed better biological relevance.ConclusionsTranscriptome response to virus infection is dynamic. MPTGA which leverages temporal gene expression traits showed increased power in detecting biologically relevant virus-specific effects comparing with conventional t-test method.",10.1186/s12859-019-2653-4
J,"Sun, WQ; Hu, SQ; Hu, JW; Qiu, JM; Yang, S; Hu, B; Gan, X; Liu, HH; Li, L; Wang, JW",Akirin1 promotes myoblast differentiation by modulating multiple myoblast differentiation factors,"Akirin1 is found to be involved in myoblast differentiation. However, the mechanism by which the Akirin1 gene regulates myoblast differentiation still remains unclear. In the present study, we found that ectopic expression of Akirin1 promoted myoblast differentiation by increasing the expression of myogenic regulatory factor (MRF) 4 (MRF4) and myocyte enhancer factor 2B (MEF2B) mRNA. Additionally, we showed that ectopic Akirin1 induced cell cycle arrest by up-regulating p21 mRNA. To further uncover the mechanism by which Akirin1 promotes myoblast differentiation, we showed that the enhanced Akirin1 increased the mRNA expression of P38a. Importantly, the enhanced MRF4 expression by Akirin1 can be abrogated by treatment of SB203580, a p38 inhibitor. Similarly, we found that enhanced MEF2B expression by Akirin1 can be abrogated by treatment with LY294002, a PI3K inhibitor. Together, our results indicate that Akirin1 promotes myoblast differentiation by acting on the p38 and PI3K pathways and subsequently inducing the expression of myoblast differentiation factors.",10.1042/BSR20182152
J,"Takaoka, Y; Nagumo, K; Azizah, IN; Oura, S; Iwahashi, M; Kato, N; Ueda, M",A comprehensive <i>in vitro</i> fluorescence anisotropy assay system for screening ligands of the jasmonate COI1-JAZ co-receptor in plants,"The phytohormone (+)-7-iso-jasmonoyl-L-isoleucine regulates many developmental and stress responses in plants and induces protein-protein interactions between COI1, the F-box component of E3 ubiquitin ligase, and jasmonate ZIM domain (JAZ) repressors. These interactions cause JAZ degradation and activate jasmonate (JA), leading to plant defense responses, growth inhibition, and senescence. Thirteen JAZ subtypes are encoded in the Arabidopsis thaliana genome, but a detailed understanding of the physiological functions of these JAZ subtypes remains unclear, partially because of the genetic redundancy of JAZ genes. One strategy to elucidate the complex JA signaling pathways is to develop a reliable and comprehensive binding assay system of the ligands with all combinations of the co-receptors. Herein, we report the development of a fluorescence anisotropy-based in vitro binding assay system to screen for the ligands of the COI1-JAZ co-receptors. Our assay enabled the first quantitative analysis of the affinity values and JAZ-subtype selectivity of various endogenous JA derivatives, such as coronatine, jasmonic acid, and 12-hydroxyjasmonoyl-L-isoleucine. Because of its high signal-to-noise ratio and convenient mix-and-read assay system, our screening approach can be used in plate reader-based assays of both agonists and antagonists of COI1-JAZ co-receptors.",10.1074/jbc.RA118.006639
J,"Liu, YM; Wang, ZH; Zhao, J; Zong, CY; Liu, MY; Niu, YX",Effects of glycerol concentrations on the bioproduction of PGHX by <i>Agrobacterium</i> HX1126,"PGHX is a polymer of beta (1-3)-galactose which posses the gel-forming property. As previously reported in the flask culture experiment, the crude PGHX (24.9 g/L, 48.2% in yield) with the maximum gel strength of 957 g/cm(2) can be generated. However, PGHX produced in the stirred bioreactor had no gel-forming property when using the same medium. Hence, the effects of different glycerol concentrations on both the yield and the gel-forming property of PGHX were investigated and the reason for gel-forming property losing was explored. We proposed a new strategy for the production of PGHX with enhanced gel formation in the stirred bioreactor by mediating both the concentration of carbon source and the duration of fermentation. As a result, we managed to obtain the crude PGHX (22 g/L, 42.4% in yield) with the maximum gel strength of 438 g/cm(2) at 56 h in the bioreactor. This strategy would help the enhancement of PGHX yield in the industrial production.",10.1080/10826068.2019.1591989
J,"Wang, HY; Chen, XB; Zhang, W; Zhou, WH; Liu, X; Rao, ZH",Structural analysis of molybdopterin synthases from two mycobacterial pathogens,"The molybdenum cofactor, composed of molybdopterin and molybdenum, is a necessary compound for the catalytic activity of molybdenum enzymes. Molybdenum cofactor biosynthesis is a conserved multistep process involving several enzymes. Molybdopterin synthase, a hetero-tetrameric enzyme composed of a pair of MoaE-MoaD subunits, catalyzes the generation of the cis-dithiolene group of molybdopterin in the second step of the process. The cis-dithiolene group can covalently bind molybdenum. Most mycobacterial species possess several genes encoding the full pathway of molybdenum cofactor biosynthesis. In M. smegmatis, the moaD2 and moaE2 genes encode the functional molybdopterin synthase. However, M. tuberculosis has genes encoding several molybdopterin synthase subunit homologs, including moaD1, moaD2, moaE1, moaE2, and moaX, which encodes a MoaD-MoaE fusion protein. Previous studies have shown that moaD2 and moaE2 encode functional molybdopterin synthase. Here, we report the crystal structures of two substrate-free molybdopterin synthases from two different mycobacterial pathogens, M. tuberculosis and M. smegmatis, at 2.1 angstrom and 2.6 angstrom resolutions, respectively. The overall structure of both molybdopterin synthases was hetero-tetrameric, consisting of a MoaE2 dimer flanked on either side by single MoaD2 subunits. The carboxyl-terminal domain of MoaD2 inserted into MoaE2, forming the active pocket. A comparison with previously reported molybdopterin synthase structures showed that substrate-binding and catalytic residues were conserved, despite low sequence similarity among these enzymes. The low sequence identity at the MoaE-MoaD heterodimer interface may provide the structural basis to explore mycobacterial inhibitors. (C) 2019 Elsevier Inc. All rights reserved.",10.1016/j.bbrc.2019.02.024
J,"Gan, L; Chao, YH; Su, HT; Ren, YJ; Yin, SX; Han, LEB",Altered Promoter and G-Box Binding Factor for 1-Deoxy-d-Xylulose-5-Phosphate Synthase Gene Grown from Poa pratensis Seeds after Spaceflight,"In plant cells, the nucleus DNA is considered the primary site of injury by the space environment, which could generate genetic alteration. As the part of genomic mutation, genetic variation in the promoter region could regulate gene expression. In the study, it is observed that there is a deletion in the upstream regulatory region of the 1-deoxy-d-xylulose-5-phosphate synthase 1 gene (PpDXS1) of Poa pratensis dwarf mutant and the PpDXS1 transcript abundance is lower in the dwarf mutant. It is indicated that the deletion in the promoter region between wild type and dwarf mutant could be responsible for the regulation of PpDXS1 gene expression. The PpDXS1 promoter of dwarf mutant shows a lower activity as determined by dual luciferase assay in Poa pratensis protoplast, as well as the GUS activity is lower in transgenic Poa pratensis plant. To further investigate the effect of the deletion in the promoter region on PpDXS1 transcript accumulation, the transient assay and yeast one-hybrid experiment demonstrate that the deletion comprises a motif which is a target of G-box binding factor (GBF1), and the motif correlates with an increase in transactivation by GBF1 protein. Taken together, these results indicate that the deletion in the promoter of PpDXS1 isolated from dwarf mutant is sufficient to account for the decrease in PpDXS1 transcript level and GBF1 can regulate the PpDXS1 gene expression, and subsequently affect accumulation of various isoprenoids throughout the plant.",10.3390/ijms20061398
J,"Li, R; Liang, CH; Jiang, LG; Yuan, C; Huang, MD",Structural determination of group A Streptococcal surface dehydrogenase and characterization of its interaction with urokinase-type plasminogen activator receptor,"Streptococcus pyogenes (group A Streptococcus, GAS) has caused a wide variety of human diseases. Its multifunctional surface dehydrogenase (SDH) is crucial for GAS life cycle. Furthermore, GAS infection into human pharyngeal cells has been previously shown to be mediated by the interaction between SDH and host urokinase-type plasminogen activator receptor (uPAR). However, the structural information of SDH remains to be elucidated and there are few detailed studies to characterize its interaction with uPAR. In-depth research on these issues will provide potential targets and strategies for combating GAS. Here, we prepared recombinant SDH tetramer in Escherichia coli BL21 (DE3) cells. After purification and crystallization, we determined its crystal structure at 1.74 angstrom. The unique characteristics might be potentially explored as drug targets or vaccine immunogen. We subsequently performed gel filtration chromatography, native-polyacrylamide gel electrophoresis (PAGE) and in vitro pull-down analyses. The results showed that their interaction was too weak to form stable complexes and the role of uPAR involved in GAS infection needs further demonstration. Altogether the current work provides the first view of SDH and deepens the knowledge of GAS infection. (C) 2019 Elsevier Inc. All rights reserved.",10.1016/j.bbrc.2019.01.102
